"cLinks" "cNames" "cTicker"
"1" "http://www.bloomberg.com/quote/GMEXICOB:MM" "" "GMEXICOB:MM"
"2" "http://www.marketwatch.com/investing/stock/eres" "" "ERES"
"3" "https://www.google.com/finance?q=OTCMKTS:ELUXY" "ElectroLux" "ELUXY"
"4" "http://www.bloomberg.com/quote/GFNORTEO:MM" "" "GFNORTEO"
"5" "https://www.google.com/finance?cid=661224" "Boeing" "BA"
"6" "http://www.bloomberg.com/quote/000001:CH" "Ping An Bank Co Ltd" "000001:CH"
"7" "https://www.google.com/finance?cid=34649" "Texas Instruments Inc" "TXN"
"8" "http://www.bloomberg.com/quote/BSFR:AB" "Banque Saudi Fransi" "BSFR:AB"
"9" "https://www.google.com/finance?q=MCX:AFKS" "Sistema" "MCX:AFKS"
"10" "https://www.google.com/finance?cid=690834" "Sany Heavy Industry Co., LTD" "SHA:600031"
"11" "https://www.google.com/finance?q=NYSE:C" "Citigroup Inc" "NYSE:C"
"12" "https://www.google.com/finance?cid=674894" "Fujitsu Ltd" "TYO:6702"
"13" "https://www.google.com/finance?cid=705276" "Continental Resources, Inc." "NYSE:CLR"
"14" "https://www.google.com/finance?cid=665639" "JPMorgan Chase & Co." "NYSE:JPM"
"15" "https://www.google.com/finance?cid=214336" "Fiserv Inc" "NASDAQ:FISV"
"16" "https://www.google.com/finance?cid=712515" "China Communications Construction Co Lt" "HKG:1800"
"17" "http://www.bloomberg.com/quote/SCR:FP" "Scor" "SCR:FP"
"18" "http://www.bloomberg.com/quote/NLMK:RM" "Novoliptsk Steel OJSC" "NLMK:RM"
"19" "https://www.google.com/finance?q=NYSE:SNI" "Scripps Networks Interactive, Inc." "NYSE:SNI"
"20" "http://www.bloomberg.com/quote/3698:HK" "Huishang Bank" "3698:HK"
"21" "https://www.google.com/finance?q=NYSE:CHK" "Chesapeake Energy Corporation" "NYSE:CHK"
"22" "https://www.google.com/finance?cid=656715" "British American Tobacco PLC (ADR)" "NYSEMKT:BTI"
"23" "https://www.google.com/finance?cid=1123987" "MEIJI Holdings Co Ltd" "TYO:2269"
"24" "http://www.bloomberg.com/quote/8830:JP" "Sumitomo Realty & Development Co Ltd" "8830:JP"
"25" "https://www.google.com/finance?cid=674368" "Taisei Corp" "TYO:1801"
"26" "" "" ""
