"Index","AAME.Close"
2007-01-03,3.05
2007-01-04,3.11
2007-01-05,3.42
2007-01-08,3.59
2007-01-09,3.63
2007-01-10,3.71
2007-01-11,3.18
2007-01-12,3.41
2007-01-16,3.33
2007-01-17,3.43
2007-01-18,3.43
2007-01-19,3.29
2007-01-22,3.31
2007-01-23,3.33
2007-01-24,3.41
2007-01-25,3.35
2007-01-26,3.3
2007-01-29,3.33
2007-01-30,3.32
2007-01-31,3.32
2007-02-01,3.4
2007-02-02,3.35
2007-02-05,3.4
2007-02-06,3.4
2007-02-07,3.48
2007-02-08,3.4
2007-02-09,3.55
2007-02-12,3.7
2007-02-13,3.72
2007-02-14,3.8
2007-02-15,3.81
2007-02-16,3.88
2007-02-20,3.86
2007-02-21,3.9
2007-02-22,3.81
2007-02-23,3.96
2007-02-26,3.6
2007-02-27,3.44
2007-02-28,3.36
2007-03-01,3.37
2007-03-02,3.45
2007-03-05,3.29
2007-03-06,3.31
2007-03-07,3.5
2007-03-08,3.55
2007-03-09,3.56
2007-03-12,3.28
2007-03-13,3.49
2007-03-14,3.69
2007-03-15,3.69
2007-03-16,3.68
2007-03-19,3.94
2007-03-20,3.96
2007-03-21,4
2007-03-22,3.93
2007-03-23,3.97
2007-03-26,3.94
2007-03-27,3.94
2007-03-28,3.93
2007-03-29,3.98
2007-03-30,4
2007-04-02,4.13
2007-04-03,4.24
2007-04-04,4.21
2007-04-05,4.04
2007-04-09,4.24
2007-04-10,4.08
2007-04-11,4.23
2007-04-12,4.08
2007-04-13,4.05
2007-04-16,4.21
2007-04-17,4.22
2007-04-18,4.45
2007-04-19,4.5
2007-04-20,4.79
2007-04-23,5.35
2007-04-24,5.13
2007-04-25,5.32
2007-04-26,5.02
2007-04-27,5.23
2007-04-30,5.32
2007-05-01,5.19
2007-05-02,5.21
2007-05-03,5.3
2007-05-04,5.25
2007-05-07,5.14
2007-05-08,5.31
2007-05-09,5.14
2007-05-10,5.14
2007-05-11,5.2
2007-05-14,5.03
2007-05-15,4.96
2007-05-16,4.95
2007-05-17,5.03
2007-05-18,4.97
2007-05-21,5.05
2007-05-22,5.19
2007-05-23,5.14
2007-05-24,5.14
2007-05-25,5.08
2007-05-29,5.11
2007-05-30,5.15
2007-05-31,4.9
2007-06-01,4.99
2007-06-04,4.96
2007-06-05,4.73
2007-06-06,4.75
2007-06-07,4.7
2007-06-08,4.5
2007-06-11,4.4
2007-06-12,4.32
2007-06-13,4.24
2007-06-14,4.16
2007-06-15,4.05
2007-06-18,3.97
2007-06-19,3.99
2007-06-20,4.12
2007-06-21,4.15
2007-06-22,4
2007-06-25,4.02
2007-06-26,3.96
2007-06-27,4
2007-06-28,3.94
2007-06-29,4.05
2007-07-02,3.97
2007-07-03,3.95
2007-07-05,3.89
2007-07-06,3.94
2007-07-09,3.97
2007-07-10,4.04
2007-07-11,4.09
2007-07-12,4.07
2007-07-13,4.02
2007-07-16,4.04
2007-07-17,4.02
2007-07-18,3.93
2007-07-19,3.9
2007-07-20,3.79
2007-07-23,3.81
2007-07-24,3.81
2007-07-25,3.81
2007-07-26,3.57
2007-07-27,3.3
2007-07-30,3.24
2007-07-31,3.19
2007-08-01,3.24
2007-08-02,3.21
2007-08-03,3.18
2007-08-06,2.73
2007-08-07,2.66
2007-08-08,3.14
2007-08-09,3.21
2007-08-10,3.05
2007-08-13,3.19
2007-08-14,3.06
2007-08-15,3.14
2007-08-16,3.19
2007-08-17,3.17
2007-08-20,3.15
2007-08-21,2.94
2007-08-22,2.76
2007-08-23,2.93
2007-08-24,3.06
2007-08-27,2.9
2007-08-28,2.9
2007-08-29,2.85
2007-08-30,3.04
2007-08-31,3.02
2007-09-04,2.82
2007-09-05,2.99
2007-09-06,3.25
2007-09-07,3.15
2007-09-10,3.19
2007-09-11,2.87
2007-09-12,3
2007-09-13,2.99
2007-09-14,2.99
2007-09-17,2.89
2007-09-18,2.88
2007-09-19,2.84
2007-09-20,2.84
2007-09-21,2.61
2007-09-24,2.64
2007-09-25,2.63
2007-09-26,2.64
2007-09-27,2.72
2007-09-28,2.7
2007-10-01,2.62
2007-10-02,2.74
2007-10-03,2.7
2007-10-04,2.59
2007-10-05,2.63
2007-10-08,2.69
2007-10-09,2.68
2007-10-10,2.69
2007-10-11,2.5
2007-10-12,2.51
2007-10-15,2.53
2007-10-16,2.56
2007-10-17,2.57
2007-10-18,2.62
2007-10-19,2.45
2007-10-22,2.42
2007-10-23,2.44
2007-10-24,2.44
2007-10-25,2.43
2007-10-26,2.41
2007-10-29,2.3
2007-10-30,2.19
2007-10-31,2.16
2007-11-01,2.24
2007-11-02,2.23
2007-11-05,2.2
2007-11-06,2.27
2007-11-07,2.3
2007-11-08,2.29
2007-11-09,2.29
2007-11-12,2.19
2007-11-13,1.96
2007-11-14,2.19
2007-11-15,2.15
2007-11-16,2.23
2007-11-19,2.12
2007-11-20,2.02
2007-11-21,1.72
2007-11-23,1.72
2007-11-26,1.72
2007-11-27,1.67
2007-11-28,1.75
2007-11-29,1.74
2007-11-30,1.75
2007-12-03,1.79
2007-12-04,1.91
2007-12-05,1.8
2007-12-06,1.81
2007-12-07,1.69
2007-12-10,1.79
2007-12-11,1.5
2007-12-12,1.5
2007-12-13,1.53
2007-12-14,1.56
2007-12-17,1.53
2007-12-18,1.45
2007-12-19,1.43
2007-12-20,1.26
2007-12-21,1.39
2007-12-24,1.42
2007-12-26,1.39
2007-12-27,1.48
2007-12-28,1.44
2007-12-31,1.4
2008-01-02,1.57
2008-01-03,1.51
2008-01-04,1.57
2008-01-07,1.51
2008-01-08,1.45
2008-01-09,1.64
2008-01-10,1.72
2008-01-11,1.45
2008-01-14,1.5
2008-01-15,1.5
2008-01-16,1.48
2008-01-17,1.53
2008-01-18,1.49
2008-01-22,1.5
2008-01-23,1.48
2008-01-24,1.54
2008-01-25,1.55
2008-01-28,1.56
2008-01-29,1.64
2008-01-30,1.63
2008-01-31,1.59
2008-02-01,1.67
2008-02-04,1.6
2008-02-05,1.67
2008-02-06,1.65
2008-02-07,1.65
2008-02-08,1.62
2008-02-11,1.6
2008-02-12,1.6
2008-02-13,1.53
2008-02-14,1.47
2008-02-15,1.48
2008-02-19,1.58
2008-02-20,1.56
2008-02-21,1.55
2008-02-22,1.52
2008-02-25,1.55
2008-02-26,1.54
2008-02-27,1.58
2008-02-28,1.59
2008-02-29,1.55
2008-03-03,1.47
2008-03-04,1.52
2008-03-05,1.52
2008-03-06,1.52
2008-03-07,1.48
2008-03-10,1.49
2008-03-11,1.48
2008-03-12,1.59
2008-03-13,1.49
2008-03-14,1.51
2008-03-17,1.54
2008-03-18,1.47
2008-03-19,1.41
2008-03-20,1.41
2008-03-24,1.45
2008-03-25,1.45
2008-03-26,1.43
2008-03-27,1.44
2008-03-28,1.44
2008-03-31,1.53
2008-04-01,1.56
2008-04-02,1.59
2008-04-03,1.59
2008-04-04,1.57
2008-04-07,1.5
2008-04-08,1.5
2008-04-09,1.58
2008-04-10,1.54
2008-04-11,1.55
2008-04-14,1.65
2008-04-15,1.72
2008-04-16,1.72
2008-04-17,1.72
2008-04-18,2.07
2008-04-21,2.07
2008-04-22,2.01
2008-04-23,2.02
2008-04-24,2.02
2008-04-25,2.03
2008-04-28,2.06
2008-04-29,2.1
2008-04-30,2.38
2008-05-01,2.41
2008-05-02,2.25
2008-05-05,2.3
2008-05-06,2.05
2008-05-07,2.05
2008-05-08,2.05
2008-05-09,2.2
2008-05-12,2.12
2008-05-13,1.94
2008-05-14,1.95
2008-05-15,1.84
2008-05-16,1.9
2008-05-19,1.7
2008-05-20,1.66
2008-05-21,1.7
2008-05-22,1.74
2008-05-23,1.54
2008-05-27,1.55
2008-05-28,1.5
2008-05-29,1.45
2008-05-30,1.43
2008-06-02,1.4
2008-06-03,1.45
2008-06-04,1.44
2008-06-05,1.45
2008-06-06,1.42
2008-06-09,1.41
2008-06-10,1.37
2008-06-11,1.47
2008-06-12,1.48
2008-06-13,1.45
2008-06-16,1.49
2008-06-17,1.55
2008-06-18,1.54
2008-06-19,1.76
2008-06-20,1.67
2008-06-23,1.64
2008-06-24,1.6
2008-06-25,1.6
2008-06-26,1.6
2008-06-27,1.73
2008-06-30,1.61
2008-07-01,1.6
2008-07-02,1.65
2008-07-03,1.65
2008-07-07,1.71
2008-07-08,1.66
2008-07-09,1.7
2008-07-10,1.67
2008-07-11,1.65
2008-07-14,1.6
2008-07-15,1.6
2008-07-16,1.6
2008-07-17,1.65
2008-07-18,1.55
2008-07-21,1.52
2008-07-22,1.26
2008-07-23,1.4
2008-07-24,1.39
2008-07-25,1.48
2008-07-28,1.48
2008-07-29,1.46
2008-07-30,1.5
2008-07-31,1.5
2008-08-01,1.5
2008-08-04,1.5
2008-08-05,1.5
2008-08-06,1.33
2008-08-07,1.57
2008-08-08,1.41
2008-08-11,1.62
2008-08-12,1.4
2008-08-13,1.52
2008-08-14,1.65
2008-08-15,1.43
2008-08-18,1.47
2008-08-19,1.47
2008-08-20,1.47
2008-08-21,1.47
2008-08-22,1.47
2008-08-25,1.63
2008-08-26,1.45
2008-08-27,1.39
2008-08-28,1.52
2008-08-29,1.52
2008-09-02,1.55
2008-09-03,1.55
2008-09-04,1.55
2008-09-05,1.55
2008-09-08,1.55
2008-09-09,1.55
2008-09-10,1.53
2008-09-11,1.53
2008-09-12,1.53
2008-09-15,1.53
2008-09-16,1.39
2008-09-17,1.4
2008-09-18,1.29
2008-09-19,1.35
2008-09-22,1.23
2008-09-23,1.35
2008-09-24,1.4
2008-09-25,1.4
2008-09-26,1.2
2008-09-29,1.1
2008-09-30,1.14
2008-10-01,1.35
2008-10-02,1.34
2008-10-03,1.34
2008-10-06,1.2
2008-10-07,1
2008-10-08,1
2008-10-09,1.07
2008-10-10,1.05
2008-10-13,1.05
2008-10-14,1.25
2008-10-15,1.26
2008-10-16,1.03
2008-10-17,1.07
2008-10-20,0.93
2008-10-21,1.16
2008-10-22,1
2008-10-23,0.92
2008-10-24,0.95
2008-10-27,0.95
2008-10-28,0.95
2008-10-29,0.95
2008-10-30,0.95
2008-10-31,1.1
2008-11-03,1.1
2008-11-04,1.2
2008-11-05,1.3
2008-11-06,1.07
2008-11-07,1.05
2008-11-10,1
2008-11-11,1
2008-11-12,0.79
2008-11-13,0.71
2008-11-14,0.71
2008-11-17,0.9
2008-11-18,0.99
2008-11-19,0.76
2008-11-20,0.85
2008-11-21,1.2
2008-11-24,1.2
2008-11-25,0.75
2008-11-26,0.65
2008-11-28,0.62
2008-12-01,0.88
2008-12-02,1.15
2008-12-03,0.88
2008-12-04,0.88
2008-12-05,1.1
2008-12-08,0.88
2008-12-09,0.86
2008-12-10,0.86
2008-12-11,0.85
2008-12-12,0.79
2008-12-15,0.78
2008-12-16,0.98
2008-12-17,0.84
2008-12-18,0.84
2008-12-19,0.81
2008-12-22,0.82
2008-12-23,0.8
2008-12-24,0.8
2008-12-26,0.74
2008-12-29,0.65
2008-12-30,0.87
2008-12-31,0.74
2009-01-02,0.79
2009-01-05,0.79
2009-01-06,0.65
2009-01-07,0.66
2009-01-08,0.66
2009-01-09,0.85
2009-01-12,0.85
2009-01-13,0.75
2009-01-14,0.8
2009-01-15,0.8
2009-01-16,0.8
2009-01-20,0.75
2009-01-21,0.75
2009-01-22,0.75
2009-01-23,0.75
2009-01-26,0.75
2009-01-27,0.9
2009-01-28,0.92
2009-01-29,0.71
2009-01-30,0.96
2009-02-02,0.96
2009-02-03,0.71
2009-02-04,0.71
2009-02-05,0.96
2009-02-06,0.96
2009-02-09,0.96
2009-02-10,0.94
2009-02-11,0.9
2009-02-12,0.9
2009-02-13,0.89
2009-02-17,0.8
2009-02-18,0.9
2009-02-19,0.87
2009-02-20,0.7
2009-02-23,0.65
2009-02-24,0.61
2009-02-25,0.64
2009-02-26,0.64
2009-02-27,0.64
2009-03-02,0.64
2009-03-03,0.61
2009-03-04,0.66
2009-03-05,0.6
2009-03-06,0.51
2009-03-09,0.51
2009-03-10,0.55
2009-03-11,0.55
2009-03-12,0.55
2009-03-13,0.54
2009-03-16,0.54
2009-03-17,0.5
2009-03-18,0.46
2009-03-19,0.61
2009-03-20,0.61
2009-03-23,0.61
2009-03-24,0.89
2009-03-25,0.68
2009-03-26,0.68
2009-03-27,0.76
2009-03-30,0.76
2009-03-31,0.72
2009-04-01,0.46
2009-04-02,0.51
2009-04-03,0.45
2009-04-06,0.55
2009-04-07,0.55
2009-04-08,0.6
2009-04-09,0.6
2009-04-13,0.6
2009-04-14,0.68
2009-04-15,0.65
2009-04-16,0.6
2009-04-17,0.65
2009-04-20,0.72
2009-04-21,0.6
2009-04-22,0.6
2009-04-23,0.71
2009-04-24,0.71
2009-04-27,0.71
2009-04-28,0.66
2009-04-29,0.61
2009-04-30,0.61
2009-05-01,0.61
2009-05-04,0.61
2009-05-05,0.61
2009-05-06,0.64
2009-05-07,0.65
2009-05-08,0.8
2009-05-11,0.79
2009-05-12,0.68
2009-05-13,0.68
2009-05-14,0.68
2009-05-15,0.68
2009-05-18,0.68
2009-05-19,0.82
2009-05-20,0.75
2009-05-21,0.7
2009-05-22,0.76
2009-05-26,0.7
2009-05-27,0.71
2009-05-28,0.71
2009-05-29,0.71
2009-06-01,0.7
2009-06-02,0.77
2009-06-03,0.84
2009-06-04,0.76
2009-06-05,0.76
2009-06-08,0.73
2009-06-09,0.74
2009-06-10,0.74
2009-06-11,0.75
2009-06-12,0.73
2009-06-15,0.73
2009-06-16,0.82
2009-06-17,0.8
2009-06-18,0.88
2009-06-19,0.72
2009-06-22,0.72
2009-06-23,0.87
2009-06-24,0.73
2009-06-25,0.73
2009-06-26,0.73
2009-06-29,0.73
2009-06-30,0.74
2009-07-01,0.75
2009-07-02,0.8
2009-07-06,0.8
2009-07-07,0.82
2009-07-08,0.82
2009-07-09,0.82
2009-07-10,0.82
2009-07-13,0.73
2009-07-14,0.78
2009-07-15,0.83
2009-07-16,0.73
2009-07-17,0.7
2009-07-20,0.7
2009-07-21,0.82
2009-07-22,0.82
2009-07-23,0.83
2009-07-24,0.72
2009-07-27,0.72
2009-07-28,0.69
2009-07-29,0.68
2009-07-30,0.85
2009-07-31,0.85
2009-08-03,0.69
2009-08-04,0.69
2009-08-05,0.7
2009-08-06,0.88
2009-08-07,0.84
2009-08-10,0.68
2009-08-11,0.85
2009-08-12,0.75
2009-08-13,0.8
2009-08-14,0.84
2009-08-17,0.84
2009-08-18,0.82
2009-08-19,0.82
2009-08-20,0.82
2009-08-21,0.8
2009-08-24,0.8
2009-08-25,0.89
2009-08-26,0.87
2009-08-27,0.87
2009-08-28,0.83
2009-08-31,0.78
2009-09-01,0.76
2009-09-02,0.76
2009-09-03,0.71
2009-09-04,0.81
2009-09-08,0.79
2009-09-09,0.79
2009-09-10,0.79
2009-09-11,0.72
2009-09-14,0.72
2009-09-15,0.74
2009-09-16,0.74
2009-09-17,0.72
2009-09-18,0.81
2009-09-21,0.87
2009-09-22,0.93
2009-09-23,1.03
2009-09-24,1
2009-09-25,1
2009-09-28,1
2009-09-29,1.12
2009-09-30,1.05
2009-10-01,1.1
2009-10-02,1.01
2009-10-05,1.1
2009-10-06,1.15
2009-10-07,1.35
2009-10-08,1.33
2009-10-09,1.3
2009-10-12,1.36
2009-10-13,1.26
2009-10-14,1.69
2009-10-15,1.4
2009-10-16,1.44
2009-10-19,1.42
2009-10-20,1.38
2009-10-21,1.38
2009-10-22,1.52
2009-10-23,1.4
2009-10-26,1.26
