"Index","ABAX.Close"
2007-01-03,19.52
2007-01-04,19.61
2007-01-05,19.45
2007-01-08,19.45
2007-01-09,19.19
2007-01-10,19.08
2007-01-11,19.12
2007-01-12,19.34
2007-01-16,19.15
2007-01-17,19.07
2007-01-18,18.62
2007-01-19,17.97
2007-01-22,17.66
2007-01-23,17.84
2007-01-24,17.69
2007-01-25,17
2007-01-26,20.57
2007-01-29,21.8
2007-01-30,21.67
2007-01-31,21.6
2007-02-01,21.81
2007-02-02,22.14
2007-02-05,22.12
2007-02-06,22.71
2007-02-07,22.35
2007-02-08,21.89
2007-02-09,21.56
2007-02-12,21.31
2007-02-13,21.36
2007-02-14,22.82
2007-02-15,22.8
2007-02-16,23.45
2007-02-20,23.6
2007-02-21,23.61
2007-02-22,23.39
2007-02-23,23.93
2007-02-26,24.06
2007-02-27,23.36
2007-02-28,22.81
2007-03-01,22.7
2007-03-02,22.33
2007-03-05,21.5
2007-03-06,22.15
2007-03-07,22.05
2007-03-08,22.29
2007-03-09,22.37
2007-03-12,22.8
2007-03-13,22.57
2007-03-14,22.67
2007-03-15,22.84
2007-03-16,22.99
2007-03-19,23.1
2007-03-20,23.52
2007-03-21,24.47
2007-03-22,24.83
2007-03-23,24.98
2007-03-26,25.52
2007-03-27,25.06
2007-03-28,24.87
2007-03-29,24.64
2007-03-30,24.37
2007-04-02,24.66
2007-04-03,24.66
2007-04-04,24.73
2007-04-05,24.76
2007-04-09,25.02
2007-04-10,25.58
2007-04-11,25.54
2007-04-12,26.07
2007-04-13,26.41
2007-04-16,26.96
2007-04-17,26.99
2007-04-18,26.79
2007-04-19,25.5
2007-04-20,25.43
2007-04-23,24.84
2007-04-24,24.94
2007-04-25,25.25
2007-04-26,24.47
2007-04-27,23.05
2007-04-30,22.83
2007-05-01,23.26
2007-05-02,23.45
2007-05-03,22.96
2007-05-04,23.13
2007-05-07,22.98
2007-05-08,22.84
2007-05-09,22.63
2007-05-10,21.5
2007-05-11,21.91
2007-05-14,21.17
2007-05-15,21.13
2007-05-16,21.05
2007-05-17,20.61
2007-05-18,20.78
2007-05-21,21.68
2007-05-22,22.25
2007-05-23,22.29
2007-05-24,21.91
2007-05-25,22.15
2007-05-29,22.22
2007-05-30,22.6
2007-05-31,22.89
2007-06-01,23.32
2007-06-04,23.33
2007-06-05,23.62
2007-06-06,23.21
2007-06-07,22.74
2007-06-08,22.61
2007-06-11,22.74
2007-06-12,22.19
2007-06-13,22.72
2007-06-14,22.8
2007-06-15,22.75
2007-06-18,23.06
2007-06-19,22.06
2007-06-20,22
2007-06-21,21.16
2007-06-22,20.96
2007-06-25,21.14
2007-06-26,20.95
2007-06-27,21.08
2007-06-28,21.05
2007-06-29,20.86
2007-07-02,21.05
2007-07-03,21.48
2007-07-05,21.34
2007-07-06,20.93
2007-07-09,20.74
2007-07-10,20.26
2007-07-11,19.98
2007-07-12,19.94
2007-07-13,19.39
2007-07-16,19.67
2007-07-17,19.19
2007-07-18,19.08
2007-07-19,18.64
2007-07-20,18.57
2007-07-23,18.63
2007-07-24,18.87
2007-07-25,18.95
2007-07-26,18.94
2007-07-27,17.91
2007-07-30,18.38
2007-07-31,18.2
2007-08-01,18.33
2007-08-02,18.69
2007-08-03,18.14
2007-08-06,18.9
2007-08-07,19.44
2007-08-08,20.93
2007-08-09,22.19
2007-08-10,20.65
2007-08-13,20.1
2007-08-14,19.91
2007-08-15,19.27
2007-08-16,20.24
2007-08-17,20.79
2007-08-20,20.58
2007-08-21,20.79
2007-08-22,20.82
2007-08-23,20.16
2007-08-24,20.97
2007-08-27,20.56
2007-08-28,19.48
2007-08-29,19.4
2007-08-30,19.66
2007-08-31,19.44
2007-09-04,20.29
2007-09-05,19.76
2007-09-06,20
2007-09-07,19.87
2007-09-10,19.8
2007-09-11,20.41
2007-09-12,20.38
2007-09-13,20.32
2007-09-14,21.02
2007-09-17,20.9
2007-09-18,21.85
2007-09-19,21.77
2007-09-20,21.21
2007-09-21,20.79
2007-09-24,21.04
2007-09-25,21.42
2007-09-26,21.95
2007-09-27,22.19
2007-09-28,22.45
2007-10-01,22.76
2007-10-02,23.83
2007-10-03,23.56
2007-10-04,24.29
2007-10-05,25.22
2007-10-08,25.31
2007-10-09,25.64
2007-10-10,25.37
2007-10-11,25
2007-10-12,25.08
2007-10-15,25.33
2007-10-16,24.9
2007-10-17,24.8
2007-10-18,24.73
2007-10-19,23.36
2007-10-22,24.02
2007-10-23,24.67
2007-10-24,24.19
2007-10-25,29.38
2007-10-26,29.7
2007-10-29,29.27
2007-10-30,28.17
2007-10-31,29.32
2007-11-01,28.89
2007-11-02,29.5
2007-11-05,29.3
2007-11-06,31.72
2007-11-07,32.18
2007-11-08,32.25
2007-11-09,31.86
2007-11-12,31.82
2007-11-13,32.81
2007-11-14,32.99
2007-11-15,32.22
2007-11-16,33.5
2007-11-19,32.45
2007-11-20,32.48
2007-11-21,31.87
2007-11-23,32.06
2007-11-26,30.8
2007-11-27,31.99
2007-11-28,33.5
2007-11-29,33.21
2007-11-30,33.17
2007-12-03,33.75
2007-12-04,31.97
2007-12-05,33.06
2007-12-06,34.64
2007-12-07,34.71
2007-12-10,35.53
2007-12-11,35.5
2007-12-12,35.9
