"Index","ABCB.Close"
2007-01-03,27.23
2007-01-04,27.68
2007-01-05,27.12
2007-01-08,27.35
2007-01-09,27.43
2007-01-10,27.56
2007-01-11,27.62
2007-01-12,27.7
2007-01-16,27.35
2007-01-17,26.83
2007-01-18,26.04
2007-01-19,26.38
2007-01-22,26
2007-01-23,26.3
2007-01-24,26.49
2007-01-25,25.65
2007-01-26,25.5
2007-01-29,26.09
2007-01-30,25.42
2007-01-31,25.08
2007-02-01,25.67
2007-02-02,25.12
2007-02-05,23.93
2007-02-06,23.34
2007-02-07,24.08
2007-02-08,23.83
2007-02-09,23.33
2007-02-12,23.54
2007-02-13,23.67
2007-02-14,23.18
2007-02-15,22.96
2007-02-16,23.08
2007-02-20,23.3
2007-02-21,23.09
2007-02-22,24
2007-02-23,23.8
2007-02-26,23.77
2007-02-27,23.5
2007-02-28,23.82
2007-03-01,23.98
2007-03-02,23.02
2007-03-05,23.01
2007-03-06,24.49
2007-03-07,23.76
2007-03-08,23.48
2007-03-09,23.84
2007-03-12,23.79
2007-03-13,22.83
2007-03-14,23.18
2007-03-15,23.63
2007-03-16,22.74
2007-03-19,22.76
2007-03-20,23.36
2007-03-21,24.7
2007-03-22,24.84
2007-03-23,24.08
2007-03-26,24.8
2007-03-27,24.26
2007-03-28,23.54
2007-03-29,23.21
2007-03-30,23.81
2007-04-02,24.07
2007-04-03,24.03
2007-04-04,23.63
2007-04-05,24.15
2007-04-09,23.73
2007-04-10,24.5
2007-04-11,23.71
2007-04-12,24.13
2007-04-13,24.22
2007-04-16,25.03
2007-04-17,25.04
2007-04-18,24.5
2007-04-19,24.11
2007-04-20,24.38
2007-04-23,24.19
2007-04-24,24.01
2007-04-25,23.88
2007-04-26,23.15
2007-04-27,22.82
2007-04-30,22.31
2007-05-01,22.79
2007-05-02,23.48
2007-05-03,23.69
2007-05-04,23.7
2007-05-07,22.91
2007-05-08,22.16
2007-05-09,22
2007-05-10,21.29
2007-05-11,22.19
2007-05-14,21.62
2007-05-15,21.99
2007-05-16,22.2
2007-05-17,21.69
2007-05-18,22.38
2007-05-21,22.32
2007-05-22,23.04
2007-05-23,22.43
2007-05-24,22.19
2007-05-25,22.12
2007-05-29,22.93
2007-05-30,22.94
2007-05-31,22.63
2007-06-01,22.76
2007-06-04,23.11
2007-06-05,22.59
2007-06-06,22.04
2007-06-07,21.68
2007-06-08,22.04
2007-06-11,22.12
2007-06-12,21.51
2007-06-13,22.23
2007-06-14,22.5
2007-06-15,22.14
2007-06-18,22
2007-06-19,22.85
2007-06-20,21.76
2007-06-21,22.34
2007-06-22,21.98
2007-06-25,21.65
2007-06-26,22.42
2007-06-27,22.71
2007-06-28,23.03
2007-06-29,21.86
2007-07-02,22.51
2007-07-03,22.58
2007-07-05,22.24
2007-07-06,22.14
2007-07-09,21.98
2007-07-10,21.66
2007-07-11,21.72
2007-07-12,22.23
2007-07-13,22.07
2007-07-16,21.69
2007-07-17,21.66
2007-07-18,21.79
2007-07-19,21.24
