"Index","ABFS.Close"
2007-01-03,37.05
2007-01-04,41.01
2007-01-05,39.75
2007-01-08,39.54
2007-01-09,39.59
2007-01-10,38.86
2007-01-11,38.99
2007-01-12,39.93
2007-01-16,40.24
2007-01-17,39.72
2007-01-18,38.9
2007-01-19,38.92
2007-01-22,38.49
2007-01-23,38.56
2007-01-24,38.45
2007-01-25,37.05
2007-01-26,36.48
2007-01-29,37.19
2007-01-30,38.29
2007-01-31,38.22
2007-02-01,38.84
2007-02-02,39.36
2007-02-05,39.3
2007-02-06,39.78
2007-02-07,39.93
2007-02-08,39.19
2007-02-09,39.17
2007-02-12,39.05
2007-02-13,40.22
2007-02-14,41.38
2007-02-15,41.12
2007-02-16,40.56
2007-02-20,40.79
2007-02-21,41.56
2007-02-22,41.51
2007-02-23,42.41
2007-02-26,41.81
2007-02-27,39.58
2007-02-28,39.47
2007-03-01,38.9
2007-03-02,37.64
2007-03-05,37.41
2007-03-06,37.5
2007-03-07,37.74
2007-03-08,37.98
2007-03-09,38.02
2007-03-12,37.44
2007-03-13,36.38
2007-03-14,36.93
2007-03-15,36.97
2007-03-16,36.23
2007-03-19,36.12
2007-03-20,37.61
2007-03-21,37.83
2007-03-22,37.08
2007-03-23,37.13
2007-03-26,36.65
2007-03-27,35.9
2007-03-28,35.48
2007-03-29,35.15
2007-03-30,35.55
2007-04-02,35.14
2007-04-03,36.13
2007-04-04,35.89
2007-04-05,36.25
2007-04-09,36.3
2007-04-10,36.74
2007-04-11,36.62
2007-04-12,37.5
2007-04-13,37.67
2007-04-16,38.65
2007-04-17,37.6
2007-04-18,37.41
2007-04-19,38.02
2007-04-20,39
2007-04-23,38.98
2007-04-24,39.2
2007-04-25,41.52
2007-04-26,39.98
2007-04-27,39.53
2007-04-30,39.4
2007-05-01,39.35
2007-05-02,39.78
2007-05-03,39.62
2007-05-04,39.73
2007-05-07,39.58
2007-05-08,39.42
2007-05-09,39.28
2007-05-10,38.13
2007-05-11,38.64
2007-05-14,37.71
2007-05-15,38.22
2007-05-16,38.99
2007-05-17,38.77
2007-05-18,38.9
2007-05-21,39.54
2007-05-22,39.75
2007-05-23,40.11
2007-05-24,39.6
2007-05-25,39.36
2007-05-29,40.1
2007-05-30,40.26
2007-05-31,41.29
2007-06-01,41.1
2007-06-04,40.25
2007-06-05,40.79
2007-06-06,41.61
2007-06-07,39.24
2007-06-08,39.67
2007-06-11,39.49
2007-06-12,38.93
2007-06-13,39.18
2007-06-14,40.02
2007-06-15,39.86
2007-06-18,39.79
2007-06-19,39.05
2007-06-20,38.97
2007-06-21,39.25
2007-06-22,39.2
2007-06-25,40
2007-06-26,39.13
2007-06-27,40.23
2007-06-28,39.77
2007-06-29,38.97
2007-07-02,39.4
2007-07-03,39.12
2007-07-05,39.1
2007-07-06,39.5
2007-07-09,40.84
2007-07-10,39.41
2007-07-11,39.71
2007-07-12,40.23
2007-07-13,39.97
2007-07-16,40.71
2007-07-17,40.64
2007-07-18,41.51
2007-07-19,41.38
2007-07-20,40.15
2007-07-23,38.5
2007-07-24,36.61
2007-07-25,37.98
2007-07-26,37.4
2007-07-27,36.58
2007-07-30,36.6
2007-07-31,36.03
2007-08-01,36.7
2007-08-02,37.34
2007-08-03,35.32
2007-08-06,35.82
2007-08-07,35.83
2007-08-08,35.62
2007-08-09,35.05
2007-08-10,36.39
2007-08-13,35.6
2007-08-14,34.5
2007-08-15,34.52
2007-08-16,35.07
2007-08-17,35.3
2007-08-20,36.15
2007-08-21,36.27
2007-08-22,36.49
2007-08-23,35.34
2007-08-24,35.45
2007-08-27,35.97
2007-08-28,35.05
2007-08-29,35.74
2007-08-30,35.2
2007-08-31,35.9
2007-09-04,36.4
2007-09-05,35.29
2007-09-06,34.65
2007-09-07,33.98
2007-09-10,33.23
2007-09-11,33.69
2007-09-12,33.2
2007-09-13,33.44
2007-09-14,33.89
2007-09-17,33.33
2007-09-18,34.82
2007-09-19,34.28
2007-09-20,33.68
2007-09-21,33.52
2007-09-24,32.37
2007-09-25,32.43
2007-09-26,32.34
2007-09-27,32.66
2007-09-28,32.66
2007-10-01,32.9
2007-10-02,33.62
2007-10-03,32.93
2007-10-04,33.02
2007-10-05,34.79
2007-10-08,33.92
2007-10-09,34.16
2007-10-10,33.63
2007-10-11,32.96
2007-10-12,33.04
2007-10-15,32.31
2007-10-16,32.48
2007-10-17,32
2007-10-18,31.14
2007-10-19,30.25
2007-10-22,31.57
2007-10-23,31.72
2007-10-24,31.22
2007-10-25,31.26
2007-10-26,30.82
2007-10-29,28.86
2007-10-30,26.98
2007-10-31,27.45
2007-11-01,25.71
2007-11-02,25.88
2007-11-05,25.97
2007-11-06,26.02
2007-11-07,24.58
2007-11-08,24.74
2007-11-09,25.11
2007-11-12,25.29
2007-11-13,25.94
2007-11-14,25.92
2007-11-15,24.98
2007-11-16,23.51
2007-11-19,22.72
2007-11-20,22.19
2007-11-21,22.19
2007-11-23,22.4
2007-11-26,21.94
2007-11-27,22.06
2007-11-28,23.04
2007-11-29,22.51
2007-11-30,22.8
2007-12-03,22.18
2007-12-04,22.11
2007-12-05,22.62
2007-12-06,23.98
2007-12-07,25.11
2007-12-10,26.12
2007-12-11,24.09
2007-12-12,23.09
2007-12-13,23.35
2007-12-14,22.44
2007-12-17,22.31
2007-12-18,22.21
2007-12-19,21.78
2007-12-20,21.98
2007-12-21,22.53
2007-12-24,23.23
2007-12-26,22.91
2007-12-27,21.96
2007-12-28,22.17
2007-12-31,21.94
2008-01-02,20.56
2008-01-03,19.38
2008-01-04,18.6
2008-01-07,19.33
2008-01-08,18.28
2008-01-09,18.92
2008-01-10,18.96
2008-01-11,18.15
2008-01-14,19.51
2008-01-15,18.78
2008-01-16,19.74
2008-01-17,19.92
2008-01-18,20
2008-01-22,20.75
2008-01-23,24.13
2008-01-24,23.51
2008-01-25,27.45
2008-01-28,28.28
2008-01-29,28.81
2008-01-30,30
2008-01-31,30.79
2008-02-01,29.9
2008-02-04,28.51
2008-02-05,27.76
2008-02-06,27.48
2008-02-07,29.09
2008-02-08,29.57
2008-02-11,28.81
2008-02-12,28.68
2008-02-13,29.07
2008-02-14,29.59
2008-02-15,28.72
2008-02-19,28.07
2008-02-20,28.54
2008-02-21,27.6
2008-02-22,27.38
2008-02-25,28.28
2008-02-26,29.18
2008-02-27,28.35
2008-02-28,27.59
2008-02-29,26.71
2008-03-03,28.36
2008-03-04,30.1
2008-03-05,29.45
2008-03-06,28.5
2008-03-07,28.47
2008-03-10,27.87
2008-03-11,30.02
2008-03-12,29.83
2008-03-13,31.15
2008-03-14,30.15
2008-03-17,30.47
2008-03-18,31.87
2008-03-19,30.83
2008-03-20,33.46
2008-03-24,35.2
2008-03-25,33.88
2008-03-26,32.11
2008-03-27,31.45
2008-03-28,31
2008-03-31,31.86
2008-04-01,33.35
2008-04-02,33.79
2008-04-03,33.75
2008-04-04,33.64
2008-04-07,34.05
2008-04-08,34.31
2008-04-09,32.32
2008-04-10,32.84
2008-04-11,31.37
2008-04-14,31.12
2008-04-15,31.55
2008-04-16,33.61
2008-04-17,31.26
2008-04-18,32.35
2008-04-21,30.99
2008-04-22,31.44
2008-04-23,36.54
2008-04-24,37
2008-04-25,38.86
2008-04-28,39.8
2008-04-29,40.44
2008-04-30,39.48
2008-05-01,41.8
2008-05-02,40.77
2008-05-05,39.94
2008-05-06,39.85
2008-05-07,38.55
2008-05-08,38.25
2008-05-09,38.44
2008-05-12,39.58
2008-05-13,39.55
2008-05-14,40.09
2008-05-15,40.33
2008-05-16,39.8
2008-05-19,40.12
2008-05-20,39.24
2008-05-21,37.2
2008-05-22,38.52
2008-05-23,36.94
2008-05-27,36.4
2008-05-28,36.04
2008-05-29,36.78
2008-05-30,37.16
2008-06-02,35.11
2008-06-03,36.17
2008-06-04,37.28
2008-06-05,38.9
2008-06-06,37.47
2008-06-09,37.94
2008-06-10,38.09
2008-06-11,35.89
2008-06-12,34.34
2008-06-13,35.38
2008-06-16,36.23
2008-06-17,36.71
2008-06-18,37.93
2008-06-19,40.45
2008-06-20,39.11
2008-06-23,37.75
2008-06-24,36.77
2008-06-25,37.88
2008-06-26,36.31
2008-06-27,36.81
2008-06-30,36.64
2008-07-01,36.83
2008-07-02,35.85
2008-07-03,35.28
2008-07-07,34.43
2008-07-08,37.44
2008-07-09,37.4
2008-07-10,36.36
2008-07-11,35.59
2008-07-14,35.38
2008-07-15,35.9
2008-07-16,39.59
2008-07-17,42.15
2008-07-18,42.63
2008-07-21,42.41
2008-07-22,44.93
2008-07-23,35.94
2008-07-24,33.11
2008-07-25,33.72
2008-07-28,33.67
2008-07-29,36.45
2008-07-30,36.7
2008-07-31,37.14
2008-08-01,35.78
2008-08-04,34.79
2008-08-05,36.99
2008-08-06,37.22
2008-08-07,36.25
2008-08-08,39.38
2008-08-11,39.55
2008-08-12,36.86
2008-08-13,37.36
2008-08-14,38.4
2008-08-15,38.56
2008-08-18,37.61
2008-08-19,35.94
2008-08-20,34.87
2008-08-21,34.05
2008-08-22,35.25
2008-08-25,33.45
2008-08-26,31.87
2008-08-27,32.92
2008-08-28,34.05
2008-08-29,34.62
2008-09-02,35.14
2008-09-03,35.14
2008-09-04,33.63
2008-09-05,32.41
2008-09-08,32.27
2008-09-09,30.82
2008-09-10,31.29
2008-09-11,33.5
2008-09-12,33.66
2008-09-15,34.86
2008-09-16,36.91
2008-09-17,36.47
2008-09-18,39.81
2008-09-19,40.02
2008-09-22,38.46
2008-09-23,36.45
2008-09-24,35.74
2008-09-25,35.29
2008-09-26,35.07
2008-09-29,33.56
2008-09-30,33.69
2008-10-01,34
2008-10-02,29.23
2008-10-03,28.16
2008-10-06,29.71
2008-10-07,29.41
2008-10-08,29.94
2008-10-09,28.23
2008-10-10,30.64
2008-10-13,31.48
2008-10-14,29.77
2008-10-15,26.77
2008-10-16,30.36
2008-10-17,29.38
2008-10-20,30.24
2008-10-21,29.41
2008-10-22,28.11
2008-10-23,27.19
2008-10-24,25.53
2008-10-27,26.59
2008-10-28,26.98
2008-10-29,27.47
2008-10-30,27.77
2008-10-31,29.19
2008-11-03,29.03
2008-11-04,29.65
2008-11-05,26.33
2008-11-06,25.18
2008-11-07,25.05
2008-11-10,25.05
2008-11-11,25.16
2008-11-12,23.99
2008-11-13,26
2008-11-14,23.93
2008-11-17,23.83
2008-11-18,22.6
2008-11-19,20.52
2008-11-20,20.6
2008-11-21,22.58
2008-11-24,24.97
2008-11-25,25.15
2008-11-26,26.56
2008-11-28,26.55
2008-12-01,25.64
2008-12-02,26.2
2008-12-03,26.97
2008-12-04,26.06
2008-12-05,26.8
2008-12-08,28.58
2008-12-09,24.98
2008-12-10,25.28
2008-12-11,22.76
2008-12-12,23.91
2008-12-15,22.95
2008-12-16,24.69
2008-12-17,26.97
2008-12-18,25.98
2008-12-19,26.64
2008-12-22,28.26
2008-12-23,26.79
2008-12-24,28.03
2008-12-26,28.24
2008-12-29,27.67
2008-12-30,29.03
2008-12-31,30.11
2009-01-02,30.62
2009-01-05,29.66
2009-01-06,29.7
2009-01-07,28.51
2009-01-08,27.82
2009-01-09,26.39
2009-01-12,25.26
2009-01-13,25.47
2009-01-14,23.88
2009-01-15,24.32
2009-01-16,24.03
2009-01-20,22.64
2009-01-21,23.87
2009-01-22,23.48
2009-01-23,22.81
2009-01-26,22.55
2009-01-27,23.32
2009-01-28,23.89
2009-01-29,23.84
2009-01-30,23.39
2009-02-02,23.09
2009-02-03,24.73
2009-02-04,23.9
2009-02-05,25.05
2009-02-06,26.12
2009-02-09,25.33
2009-02-10,24.28
2009-02-11,23.18
2009-02-12,23.34
2009-02-13,22.86
2009-02-17,21.57
2009-02-18,20.96
2009-02-19,20.75
2009-02-20,20.31
2009-02-23,19.51
2009-02-24,20.32
2009-02-25,18.77
2009-02-26,17.82
2009-02-27,17.42
2009-03-02,16.34
2009-03-03,16.1
2009-03-04,17.46
2009-03-05,17.38
2009-03-06,17.19
2009-03-09,16.72
2009-03-10,17.64
2009-03-11,18.04
2009-03-12,18.97
2009-03-13,19.74
2009-03-16,19.83
2009-03-17,20.32
2009-03-18,20.72
2009-03-19,19.69
2009-03-20,18.6
2009-03-23,20.88
2009-03-24,20.65
2009-03-25,20.41
2009-03-26,21.76
2009-03-27,20.73
2009-03-30,19.03
2009-03-31,19.02
2009-04-01,19.17
2009-04-02,20.5
2009-04-03,20.55
2009-04-06,19.67
2009-04-07,18.27
2009-04-08,19.28
2009-04-09,21.66
2009-04-13,22.25
2009-04-14,23.33
2009-04-15,23.04
2009-04-16,24.39
2009-04-17,24.49
2009-04-20,21.93
2009-04-21,22.75
2009-04-22,21.89
2009-04-23,21.16
2009-04-24,22.03
2009-04-27,20.73
2009-04-28,21.21
2009-04-29,22.55
2009-04-30,23.08
2009-05-01,23.31
2009-05-04,25.23
2009-05-05,25.5
2009-05-06,26.38
2009-05-07,25.69
2009-05-08,25.77
2009-05-11,24.76
2009-05-12,24.37
2009-05-13,22.21
2009-05-14,22.79
2009-05-15,24.4
2009-05-18,25.73
2009-05-19,27.57
2009-05-20,27.71
2009-05-21,26.48
2009-05-22,26.57
2009-05-26,28.07
2009-05-27,27.65
2009-05-28,27.7
2009-05-29,28.11
2009-06-01,30.37
2009-06-02,30.14
2009-06-03,29.58
2009-06-04,29.53
2009-06-05,29.01
2009-06-08,28.72
2009-06-09,30.67
2009-06-10,29.64
2009-06-11,29.07
2009-06-12,28.51
2009-06-15,28.65
2009-06-16,28.94
2009-06-17,29.13
2009-06-18,30.21
2009-06-19,30.15
2009-06-22,28.2
2009-06-23,27.15
2009-06-24,27.18
2009-06-25,28.12
2009-06-26,28.19
2009-06-29,26.59
2009-06-30,26.35
2009-07-01,27.83
2009-07-02,27.12
2009-07-06,26.57
2009-07-07,27.71
2009-07-08,27.97
2009-07-09,27.14
2009-07-10,28.15
2009-07-13,28.27
2009-07-14,27.25
2009-07-15,26.28
