"Index","ACAS.Open","ACAS.High","ACAS.Low","ACAS.Close","ACAS.Volume"
2007-01-03,46.49,47,46.38,46.69,1169459
2007-01-04,46,46.51,45.85,46.39,959193
2007-01-05,46.32,46.32,45.69,45.85,727670
2007-01-08,45.93,45.98,45.39,45.83,1414599
2007-01-09,45.8,46.77,45.75,46.6,4416216
2007-01-10,46.41,46.92,46.11,46.82,1002354
2007-01-11,46.82,47.25,46.73,47.16,1267214
2007-01-12,47.21,47.24,46.67,47.01,722768
2007-01-16,47.18,47.32,47,47.12,909392
2007-01-17,47.11,47.24,46.79,46.97,666804
2007-01-18,47.15,47.25,46.84,47.04,810076
2007-01-19,47.06,47.19,46.85,47.09,663989
2007-01-22,47.34,47.4,46.96,47.17,641180
2007-01-23,47.22,47.39,46.96,47.33,566805
2007-01-24,47.41,48.05,47.35,48.05,968905
2007-01-25,48.14,48.18,47.25,47.28,770740
2007-01-26,47.59,47.77,47.18,47.7,799479
2007-01-29,47.75,47.82,47.38,47.58,793617
2007-01-30,47.85,47.86,47.52,47.76,655180
2007-01-31,47.84,48.65,47.74,48.65,1058351
2007-02-01,48.69,49.5,48.68,49.37,1181966
2007-02-02,49.4,49.92,49.36,49.63,1030754
2007-02-05,49.7,49.96,49.7,49.79,799178
2007-02-06,48.53,48.89,47.55,48.08,2428159
2007-02-07,47.44,47.52,46.01,47.29,2636469
2007-02-08,47.1,47.69,46.52,47.25,1349765
2007-02-09,47.38,47.51,43.39,45.4,3361559
2007-02-12,44.69,45.07,43.01,45.05,4006214
2007-02-13,45.1,46.23,44.94,45.99,1955781
2007-02-14,47.72,48.5,47.01,47.94,2778457
2007-02-15,47.8,48.14,47.45,47.6,1181153
2007-02-16,47.77,48.05,47.4,47.9,1399895
2007-02-20,48,48.13,47.5,47.99,1315000
2007-02-21,47.48,48,46.35,46.78,2507062
2007-02-22,46.81,47.34,46.78,47.13,900230
2007-02-23,47.05,47.14,46.64,46.97,1015393
2007-02-26,47.2,47.21,46.2,46.23,1073338
2007-02-27,46.1,46.14,44.07,44.78,2080439
2007-02-28,44.9,44.9,43.6,44.48,1978895
2007-03-01,43.96,44.41,43.34,44.17,1794081
2007-03-02,44.01,44.41,43.2,43.29,1181483
2007-03-05,41.96,42.24,39.3,40.76,4713470
2007-03-06,41.64,43.52,41.51,43.04,3179398
2007-03-07,43.37,43.8,43.01,43.05,1904516
2007-03-08,43.63,44.1,43.23,43.26,1932017
2007-03-09,43.74,44.1,43.33,43.96,1390988
2007-03-12,44.13,44.49,43.75,44.06,1109217
2007-03-13,43.75,43.81,42.3,42.41,1773903
2007-03-14,42.23,43.24,42,43.04,1612828
2007-03-15,43.31,44.37,43.31,43.97,1213347
2007-03-16,44.19,44.25,43.6,43.87,1090020
2007-03-19,44.22,44.71,43.92,44.47,996236
2007-03-20,44.55,45.09,44.47,44.71,1447871
2007-03-21,44.68,44.72,44.51,44.66,5581184
2007-03-22,44.64,44.8,44.61,44.72,2151700
2007-03-23,44.8,44.88,44.61,44.85,1484058
2007-03-26,44.98,44.98,44.28,44.79,1380919
2007-03-27,44.8,44.8,44.29,44.44,1093806
2007-03-28,44.52,44.54,43.98,44.18,1341684
2007-03-29,44.62,44.75,43.81,44.27,1540835
2007-03-30,44.27,44.47,44.02,44.31,1560592
2007-04-02,44.6,44.84,44.1,44.84,1658130
2007-04-03,44.89,45.5,44.84,45.47,2524795
2007-04-04,45.41,45.62,45.12,45.38,1687738
2007-04-05,45.5,45.73,45.21,45.61,802590
2007-04-09,45.88,45.94,45.5,45.65,1328049
2007-04-10,45.7,45.92,45.5,45.86,1375330
2007-04-11,45.77,45.95,45.34,45.63,1065766
2007-04-12,45.49,45.57,45.02,45.49,1110871
2007-04-13,45.5,45.92,45.38,45.92,793395
2007-04-16,46,46.77,46,46.73,1222148
