"Index","ACAT.Close"
2007-01-03,17.07
2007-01-04,17.23
2007-01-05,16.83
2007-01-08,16.93
2007-01-09,17.19
2007-01-10,16.93
2007-01-11,17.25
2007-01-12,16.83
2007-01-16,16.88
2007-01-17,16.78
2007-01-18,16.79
2007-01-19,16.9
2007-01-22,16.54
2007-01-23,16.65
2007-01-24,18.05
2007-01-25,18.19
2007-01-26,18.56
2007-01-29,18.71
2007-01-30,18.69
2007-01-31,18.45
2007-02-01,18.83
2007-02-02,18.86
2007-02-05,17.9
2007-02-06,17.82
2007-02-07,18.07
2007-02-08,18.12
2007-02-09,17.7
2007-02-12,17.3
2007-02-13,17.52
2007-02-14,17.87
2007-02-15,18.01
2007-02-16,18.5
2007-02-20,18.15
2007-02-21,18.77
2007-02-22,18.55
2007-02-23,18.38
2007-02-26,18.99
2007-02-27,18.65
2007-02-28,18.57
2007-03-01,18.88
2007-03-02,18.55
2007-03-05,18.66
2007-03-06,18.89
2007-03-07,18.7
2007-03-08,18.84
2007-03-09,19.23
2007-03-12,18.96
2007-03-13,18.87
2007-03-14,18.83
2007-03-15,19.11
2007-03-16,18.59
2007-03-19,19.16
2007-03-20,19.65
2007-03-21,19.97
2007-03-22,19.4
2007-03-23,19.2
2007-03-26,19.47
2007-03-27,19.39
2007-03-28,19.03
2007-03-29,19.28
2007-03-30,19.49
2007-04-02,19.55
2007-04-03,19.35
2007-04-04,18.96
2007-04-05,18.98
2007-04-09,19.14
2007-04-10,19.29
2007-04-11,18.57
2007-04-12,18.79
2007-04-13,18.64
2007-04-16,19.21
2007-04-17,18.87
2007-04-18,18.29
2007-04-19,18.2
2007-04-20,18.36
2007-04-23,18.47
2007-04-24,18.29
2007-04-25,18.21
2007-04-26,18.21
2007-04-27,18.11
2007-04-30,17.8
2007-05-01,18.1
2007-05-02,18.55
2007-05-03,18.47
2007-05-04,18.31
2007-05-07,18.5
2007-05-08,18.14
2007-05-09,18.51
2007-05-10,18.34
2007-05-11,18.36
2007-05-14,18.04
2007-05-15,18.28
2007-05-16,18.81
2007-05-17,19.23
2007-05-18,19.4
2007-05-21,19.53
2007-05-22,19.6
2007-05-23,19.23
2007-05-24,19.21
2007-05-25,19.15
2007-05-29,19.15
2007-05-30,19
2007-05-31,19.14
2007-06-01,19.28
2007-06-04,19.34
2007-06-05,19.13
2007-06-06,19.27
2007-06-07,19.18
2007-06-08,19.38
2007-06-11,19.25
2007-06-12,19.25
2007-06-13,19.26
2007-06-14,19.48
2007-06-15,19.68
2007-06-18,20.5
2007-06-19,20.54
2007-06-20,20.25
2007-06-21,19.58
2007-06-22,19.12
2007-06-25,19.65
2007-06-26,20.32
2007-06-27,20.31
2007-06-28,20.13
2007-06-29,19.8
2007-07-02,20.43
2007-07-03,20.4
2007-07-05,20.36
2007-07-06,20.49
2007-07-09,20.64
2007-07-10,20.36
2007-07-11,20.34
2007-07-12,20.09
2007-07-13,19.53
2007-07-16,19.64
2007-07-17,19.82
2007-07-18,20
2007-07-19,20.23
2007-07-20,19.61
2007-07-23,19.42
2007-07-24,18.43
2007-07-25,19.08
2007-07-26,19.1
2007-07-27,18
2007-07-30,18.25
2007-07-31,18.12
2007-08-01,18.06
2007-08-02,18.13
2007-08-03,17.78
2007-08-06,17.53
2007-08-07,17.62
2007-08-08,17.78
2007-08-09,16.85
2007-08-10,17.3
2007-08-13,17.55
2007-08-14,17.16
2007-08-15,17.24
2007-08-16,17.45
2007-08-17,17.33
2007-08-20,17.46
2007-08-21,17.88
2007-08-22,17.99
2007-08-23,18.25
2007-08-24,17.7
2007-08-27,17.41
2007-08-28,16.54
2007-08-29,16.98
2007-08-30,16.67
2007-08-31,16.91
2007-09-04,16.31
2007-09-05,16.31
2007-09-06,16.56
2007-09-07,16
2007-09-10,16
2007-09-11,16.16
2007-09-12,16.03
2007-09-13,16
2007-09-14,16.18
2007-09-17,15.83
2007-09-18,16.32
2007-09-19,16.6
2007-09-20,16.39
2007-09-21,16.45
2007-09-24,16.17
2007-09-25,15.96
2007-09-26,16.59
2007-09-27,16.7
2007-09-28,16.36
2007-10-01,16.69
2007-10-02,16.72
2007-10-03,16.93
2007-10-04,17.25
2007-10-05,17.88
2007-10-08,17.7
2007-10-09,17.79
2007-10-10,17.52
2007-10-11,17.56
2007-10-12,17.4
2007-10-15,17
2007-10-16,16.38
2007-10-17,16.1
2007-10-18,16.38
2007-10-19,15.55
2007-10-22,16.28
2007-10-23,16.59
2007-10-24,16.32
2007-10-25,15.7
2007-10-26,15.07
2007-10-29,14.79
2007-10-30,14.39
2007-10-31,14.42
2007-11-01,13.8
2007-11-02,13.75
2007-11-05,13.37
2007-11-06,13.27
2007-11-07,12.88
2007-11-08,12.97
2007-11-09,13.02
2007-11-12,13.02
2007-11-13,13.27
2007-11-14,12.81
2007-11-15,12.94
2007-11-16,12.57
2007-11-19,12.1
2007-11-20,11.87
2007-11-21,11.34
2007-11-23,12.2
2007-11-26,11.47
2007-11-27,11.16
2007-11-28,11.44
2007-11-29,10.86
2007-11-30,10.67
2007-12-03,11.02
2007-12-04,10.72
2007-12-05,11.33
2007-12-06,11.84
2007-12-07,12.21
2007-12-10,12.37
2007-12-11,12.16
2007-12-12,12.13
2007-12-13,12.02
2007-12-14,11.75
2007-12-17,11.56
2007-12-18,12.54
2007-12-19,12.57
2007-12-20,12.99
2007-12-21,12.94
2007-12-24,12.78
2007-12-26,12.7
2007-12-27,11.85
2007-12-28,12
2007-12-31,11.94
2008-01-02,12.04
2008-01-03,12.19
2008-01-04,9.21
2008-01-07,8.99
2008-01-08,8.12
2008-01-09,7.68
2008-01-10,8.28
2008-01-11,7.58
2008-01-14,7.34
2008-01-15,7.36
2008-01-16,7.73
2008-01-17,7.54
2008-01-18,7.6
2008-01-22,7.38
2008-01-23,7.85
2008-01-24,7.38
2008-01-25,7.67
2008-01-28,7.87
2008-01-29,7.87
2008-01-30,8.74
2008-01-31,9.25
2008-02-01,10.11
2008-02-04,9.47
2008-02-05,9.06
2008-02-06,9.34
2008-02-07,9.94
2008-02-08,9.95
2008-02-11,9.62
2008-02-12,9.54
2008-02-13,9.77
2008-02-14,8.83
2008-02-15,8.67
2008-02-19,8.94
2008-02-20,9.06
2008-02-21,8.76
2008-02-22,8.51
2008-02-25,8.56
2008-02-26,8.42
2008-02-27,8.24
2008-02-28,7.8
2008-02-29,7.56
2008-03-03,7.57
2008-03-04,7.54
2008-03-05,7.41
2008-03-06,7.24
2008-03-07,7
2008-03-10,6.9
2008-03-11,7.23
2008-03-12,7.25
2008-03-13,7.31
2008-03-14,7.25
2008-03-17,7.03
2008-03-18,7.32
2008-03-19,7.47
2008-03-20,7.55
2008-03-24,8
2008-03-25,8.07
2008-03-26,7.78
2008-03-27,7.34
2008-03-28,7.17
2008-03-31,7.29
2008-04-01,7.53
2008-04-02,7.48
2008-04-03,7.33
2008-04-04,7.3
2008-04-07,7.32
2008-04-08,7.37
2008-04-09,6.56
2008-04-10,6.7
2008-04-11,6.59
2008-04-14,6.61
2008-04-15,6.49
2008-04-16,6.71
2008-04-17,7.02
2008-04-18,6.69
2008-04-21,7.04
2008-04-22,6.62
2008-04-23,6.78
2008-04-24,6.98
2008-04-25,7.49
2008-04-28,7.36
2008-04-29,7.58
2008-04-30,7.58
2008-05-01,7.83
2008-05-02,7.82
2008-05-05,7.71
2008-05-06,7.65
2008-05-07,7.52
2008-05-08,7.15
2008-05-09,7.15
2008-05-12,7.28
2008-05-13,7.28
2008-05-14,7.5
2008-05-15,7.99
2008-05-16,8.14
2008-05-19,8.36
2008-05-20,8.49
2008-05-21,8.4
2008-05-22,8.24
2008-05-23,7.54
2008-05-27,7.78
2008-05-28,8.11
2008-05-29,8.41
2008-05-30,7.91
2008-06-02,7.81
2008-06-03,7.9
2008-06-04,8.14
2008-06-05,8.67
2008-06-06,8.25
2008-06-09,7.83
2008-06-10,7.82
2008-06-11,7.85
2008-06-12,7.88
2008-06-13,8.24
2008-06-16,8.5
2008-06-17,8.07
2008-06-18,8.09
2008-06-19,8
2008-06-20,8.18
2008-06-23,7.97
2008-06-24,7.96
2008-06-25,8.11
2008-06-26,8.02
2008-06-27,7.95
2008-06-30,7.85
2008-07-01,8
2008-07-02,7.82
2008-07-03,7.96
2008-07-07,7.57
2008-07-08,7.57
2008-07-09,7.44
2008-07-10,7.12
2008-07-11,6.68
2008-07-14,6.47
2008-07-15,6.4
2008-07-16,6.55
2008-07-17,7.73
2008-07-18,8.15
2008-07-21,7.82
2008-07-22,8.2
2008-07-23,8.12
2008-07-24,9.04
2008-07-25,9.13
2008-07-28,9.16
2008-07-29,9.48
2008-07-30,8.79
2008-07-31,8.9
2008-08-01,8.96
2008-08-04,9.17
2008-08-05,9.69
2008-08-06,9.76
2008-08-07,9.57
2008-08-08,10.79
2008-08-11,10.84
2008-08-12,10.3
2008-08-13,10.2
2008-08-14,10.16
2008-08-15,10.47
2008-08-18,10.23
2008-08-19,10.32
2008-08-20,10.18
2008-08-21,9.9
2008-08-22,10.18
2008-08-25,9.88
2008-08-26,10.32
2008-08-27,10.08
2008-08-28,10.14
2008-08-29,10.33
2008-09-02,10.97
2008-09-03,10.54
2008-09-04,10.52
2008-09-05,10.22
2008-09-08,10.42
2008-09-09,10.51
2008-09-10,10.51
2008-09-11,10.42
2008-09-12,10.62
2008-09-15,9.01
2008-09-16,9.1
2008-09-17,9.39
2008-09-18,10.95
2008-09-19,10.57
2008-09-22,9.69
2008-09-23,9.34
2008-09-24,9.84
2008-09-25,10.05
2008-09-26,10.26
2008-09-29,9.86
2008-09-30,9.15
2008-10-01,9.21
2008-10-02,8.5
2008-10-03,8.06
2008-10-06,7.75
2008-10-07,7.44
2008-10-08,7.36
2008-10-09,6.49
2008-10-10,6.5
2008-10-13,7.48
2008-10-14,6.92
2008-10-15,6.25
2008-10-16,6.1
2008-10-17,6.02
2008-10-20,6.35
2008-10-21,6.16
2008-10-22,6.22
2008-10-23,6.33
2008-10-24,6.27
2008-10-27,6.27
2008-10-28,6.26
2008-10-29,6.43
2008-10-30,6.94
2008-10-31,7.58
2008-11-03,8.28
2008-11-04,8.23
2008-11-05,8.07
2008-11-06,7.89
2008-11-07,7.62
2008-11-10,7.2
2008-11-11,6.79
2008-11-12,6.19
2008-11-13,6.88
2008-11-14,6.26
2008-11-17,6.44
2008-11-18,6.24
2008-11-19,5.27
2008-11-20,4.85
2008-11-21,5.2
2008-11-24,5.06
2008-11-25,4.72
2008-11-26,5.33
2008-11-28,6.05
2008-12-01,5.65
2008-12-02,5.54
2008-12-03,5.67
2008-12-04,5.85
2008-12-05,5.7
2008-12-08,5.39
2008-12-09,4.87
2008-12-10,5
2008-12-11,4.73
2008-12-12,4.92
2008-12-15,4.79
2008-12-16,5.02
2008-12-17,5.74
2008-12-18,5.43
2008-12-19,5.49
2008-12-22,5.48
2008-12-23,5.15
2008-12-24,4.93
2008-12-26,4.99
2008-12-29,4.81
2008-12-30,5.23
2008-12-31,4.79
2009-01-02,5.17
2009-01-05,5.24
2009-01-06,5.45
2009-01-07,5.45
2009-01-08,5.5
2009-01-09,5.37
2009-01-12,5.06
2009-01-13,5
2009-01-14,4.73
2009-01-15,5.1
2009-01-16,5
2009-01-20,4.94
2009-01-21,5.25
2009-01-22,4.93
2009-01-23,4.63
2009-01-26,4.8
2009-01-27,4.7
2009-01-28,4.9
2009-01-29,4.34
2009-01-30,4.29
2009-02-02,4.32
2009-02-03,4.04
2009-02-04,4.25
2009-02-05,4.08
2009-02-06,4.4
2009-02-09,4.26
