"Index","ACCL.Open","ACCL.High","ACCL.Low","ACCL.Close","ACCL.Volume"
2007-01-03,5.9,6.1,5.84,6.06,38385
2007-01-04,6.1,6.11,5.95,6.09,45659
2007-01-05,6.02,6.1,6.02,6.06,55280
2007-01-08,6.07,6.2,6,6.17,194769
2007-01-09,6.15,6.24,6.1,6.24,64612
2007-01-10,6.2,6.25,6.14,6.17,30292
2007-01-11,6.12,6.2,6.12,6.16,23874
2007-01-12,6.11,6.18,6.06,6.13,25604
2007-01-16,6.05,6.11,5.82,6.08,61095
2007-01-17,6.02,6.21,6.01,6.15,35105
2007-01-18,6.1,6.19,6,6.02,52241
2007-01-19,5.97,6.35,5.92,6.07,138276
2007-01-22,6.03,6.23,6.01,6.07,48149
2007-01-23,6.06,6.21,6.06,6.13,32816
2007-01-24,6.09,6.14,6,6,114487
2007-01-25,6,6.03,5.97,6.01,57942
2007-01-26,6.04,6.08,6,6.06,128278
2007-01-29,6.03,6.19,6.03,6.18,22711
2007-01-30,6.13,6.23,6.03,6.22,34791
2007-01-31,6.1,6.36,6.1,6.35,38880
2007-02-01,6.32,6.56,6.08,6.56,56925
2007-02-02,6.4,6.4,6.04,6.24,85025
2007-02-05,6.15,6.17,5.98,6.17,47215
2007-02-06,6.11,6.13,5.91,6.1,82442
2007-02-07,6.07,6.22,6.07,6.22,69872
2007-02-08,6.24,6.26,6.15,6.26,55553
2007-02-09,6.22,6.24,6.06,6.15,57049
2007-02-12,6.2,6.24,5.97,6.1,67416
2007-02-13,6.12,6.12,5.98,6.03,74868
2007-02-14,6.04,6.21,6.04,6.15,144639
2007-02-15,6.04,6.19,6.02,6.11,125826
2007-02-16,6.1,6.33,6.07,6.26,394635
2007-02-20,6.21,6.48,6.21,6.35,138129
2007-02-21,6.29,6.42,6.26,6.28,37581
2007-02-22,6.3,6.3,6.2,6.26,50943
2007-02-23,6.22,6.29,6.19,6.24,62524
2007-02-26,6.2,6.62,6.19,6.39,99045
2007-02-27,6.29,6.53,6.29,6.36,38833
2007-02-28,6.33,6.45,6.15,6.36,52647
2007-03-01,6.21,6.46,6.2,6.37,62541
2007-03-02,6.28,6.34,6.28,6.32,32627
2007-03-05,6.25,6.43,6.25,6.37,47277
2007-03-06,6.32,6.4,6.28,6.29,60135
2007-03-07,6.25,6.3,6.2,6.25,61346
2007-03-08,6.21,6.4,6.21,6.31,72540
2007-03-09,6.24,6.49,6.24,6.35,67833
2007-03-12,6.27,6.5,6.25,6.43,59626
2007-03-13,6.45,6.6,6.45,6.47,88208
2007-03-14,6.45,6.51,6.27,6.28,66091
2007-03-15,6.27,6.47,6.27,6.34,51780
2007-03-16,6.34,6.45,6.33,6.39,31289
2007-03-19,6.35,6.44,6.35,6.42,59317
2007-03-20,6.4,6.43,6.35,6.42,43580
2007-03-21,6.38,6.58,6.38,6.41,70316
2007-03-22,6.41,6.5,6.32,6.38,65737
2007-03-23,6.35,6.55,6.27,6.5,48509
2007-03-26,6.46,6.5,6.36,6.37,53980
2007-03-27,6.33,6.49,6.33,6.44,27494
2007-03-28,6.41,6.47,6.3,6.36,73619
2007-03-29,6.29,6.37,6.28,6.28,139779
2007-03-30,6.24,6.4,6.21,6.38,42296
2007-04-02,6.29,6.54,6.29,6.51,61864
2007-04-03,6.47,6.52,6.36,6.42,80445
2007-04-04,6.44,6.48,6.34,6.41,54897
2007-04-05,6.45,6.55,6.41,6.5,44195
2007-04-09,6.44,6.55,6.44,6.55,42098
2007-04-10,6.44,6.49,6.4,6.49,27110
2007-04-11,6.45,6.54,6.45,6.53,34936
2007-04-12,6.55,6.59,6.48,6.54,38945
2007-04-13,6.51,6.6,6.5,6.57,29128
2007-04-16,6.53,6.58,6.47,6.48,25551
2007-04-17,6.44,6.64,6.44,6.53,32492
2007-04-18,6.49,6.54,6.41,6.54,18196
2007-04-19,6.48,6.58,6.43,6.47,16484
2007-04-20,6.43,6.5,6.33,6.5,27196
2007-04-23,6.43,6.53,6.34,6.49,24086
2007-04-24,6.41,6.49,6.35,6.43,277881
2007-04-25,6.39,6.56,6.35,6.43,45723
2007-04-26,6.39,6.54,6.39,6.52,149544
2007-04-27,6.5,6.54,6.45,6.5,44933
2007-04-30,6.45,6.52,6.44,6.52,66874
2007-05-01,6.5,6.51,6.31,6.47,70867
2007-05-02,6.43,6.52,6.42,6.46,31887
2007-05-03,6.42,6.54,6.41,6.54,18576
2007-05-04,6.5,6.54,6.45,6.52,12306
2007-05-07,6.44,6.54,6.41,6.47,129683
2007-05-08,6.42,6.51,6.33,6.51,40247
2007-05-09,6.47,6.47,6.26,6.35,60261
2007-05-10,6.3,6.38,6.24,6.35,102689
2007-05-11,6.31,6.34,6.25,6.29,36347
2007-05-14,6.31,6.38,6.28,6.33,48146
2007-05-15,6.21,6.35,5.63,6.24,136881
2007-05-16,5.85,6.23,5.85,6.14,67805
2007-05-17,6.19,6.19,5.96,6.11,59032
2007-05-18,5.99,6.18,5.99,6.09,35426
2007-05-21,6.18,6.5,6.18,6.49,68899
2007-05-22,6.49,6.49,6.25,6.35,31581
2007-05-23,6.31,6.44,6.3,6.38,24562
2007-05-24,6.34,6.34,6.25,6.29,24282
2007-05-25,6.37,6.5,6.26,6.44,89558
2007-05-29,6.5,6.5,6.38,6.48,44457
2007-05-30,6.37,6.48,6.31,6.48,60895
2007-05-31,6.4,6.45,6.4,6.4,46933
2007-06-01,6.29,6.42,6.27,6.36,111247
2007-06-04,6.3,6.35,6.2,6.24,54440
2007-06-05,6.2,6.3,6.11,6.26,37147
2007-06-06,6.26,6.26,6.12,6.14,34508
2007-06-07,6.05,6.13,5.96,6,52941
2007-06-08,6.15,6.25,6.03,6.15,39018
2007-06-11,6.2,6.22,6.1,6.12,34272
2007-06-12,6.03,6.09,6,6.02,66213
2007-06-13,6,6.19,6,6.08,37102
2007-06-14,6.07,6.3,6,6.28,42136
2007-06-15,6.24,6.25,6.07,6.16,204514
2007-06-18,6.05,6.15,6.01,6.06,47164
2007-06-19,6,6.02,5.93,5.97,71551
2007-06-20,5.95,5.96,5.81,5.89,70390
2007-06-21,5.85,5.88,5.8,5.85,46729
2007-06-22,5.85,5.91,5.8,5.91,35520
2007-06-25,6.02,6.04,5.82,5.95,33452
2007-06-26,5.94,5.94,5.73,5.81,30892
2007-06-27,5.82,5.97,5.8,5.97,265101
2007-06-28,5.94,6.26,5.94,6.04,110769
2007-06-29,6.09,6.29,6.09,6.29,65836
2007-07-02,6.49,6.49,6.23,6.3,90164
2007-07-03,6.28,6.3,6.15,6.21,16619
2007-07-05,6.18,6.2,6.06,6.17,42742
2007-07-06,6.14,6.28,6.08,6.28,46629
2007-07-09,6.16,6.29,6.12,6.29,69507
2007-07-10,6.32,6.5,6.26,6.46,88215
2007-07-11,6.42,6.5,6.4,6.47,157845
2007-07-12,6.46,6.49,6.38,6.44,25140
2007-07-13,6.46,6.46,6.32,6.45,125041
2007-07-16,6.41,6.46,6.35,6.36,23079
2007-07-17,6.33,6.36,6.23,6.33,61759
2007-07-18,6.28,6.48,6.23,6.43,41213
2007-07-19,6.39,6.5,6.37,6.5,41027
2007-07-20,6.46,6.6,6.38,6.55,85964
2007-07-23,6.55,7.29,6.51,7.17,226392
2007-07-24,7.02,7.25,6.81,6.83,115851
2007-07-25,6.82,7.19,6.8,6.98,48449
2007-07-26,6.95,6.97,6.83,6.84,215776
2007-07-27,6.87,6.95,6.68,6.79,80565
2007-07-30,6.73,6.94,6.66,6.66,53994
2007-07-31,6.61,6.86,6.61,6.66,59575
2007-08-01,6.57,7.01,6.57,6.77,68809
2007-08-02,6.94,7.07,6.43,6.88,307985
2007-08-03,6.9,7.3,6.88,7.18,152541
2007-08-06,7.15,7.15,6.91,7.05,109445
2007-08-07,7.1,7.27,7.02,7.05,163631
2007-08-08,6.98,7.13,6.85,7.03,223677
2007-08-09,6.93,6.99,6.81,6.83,135102
2007-08-10,6.69,6.82,6.47,6.48,75571
2007-08-13,6.41,6.86,6.39,6.69,62325
2007-08-14,6.74,6.81,6.52,6.63,20302
2007-08-15,6.59,6.84,6.48,6.69,22351
2007-08-16,6.57,6.7,6.19,6.27,82104
2007-08-17,6.28,6.48,6.07,6.21,81506
2007-08-20,6.19,6.25,6.02,6.13,71706
2007-08-21,6.11,6.39,6.09,6.13,53149
2007-08-22,6.15,6.34,6.12,6.29,36855
2007-08-23,6.28,6.43,6.28,6.43,40629
2007-08-24,6.42,6.42,6.25,6.31,29368
2007-08-27,6.27,6.34,6.02,6.23,65737
2007-08-28,6.2,6.22,6.06,6.06,80537
2007-08-29,6.07,6.17,6.06,6.1,63046
2007-08-30,6.03,6.11,6.03,6.06,40490
2007-08-31,6.01,6.16,5.95,6.07,125215
