"Index","ACET.Close"
2007-01-03,8.51
2007-01-04,8.57
2007-01-05,8.8
2007-01-08,9
2007-01-09,8.96
2007-01-10,8.94
2007-01-11,9.1
2007-01-12,9.36
2007-01-16,9.5
2007-01-17,9.5
2007-01-18,9.46
2007-01-19,9.4
2007-01-22,9.49
2007-01-23,9.41
2007-01-24,9.31
2007-01-25,9.29
2007-01-26,9.35
2007-01-29,9.16
2007-01-30,9.3
2007-01-31,9.43
2007-02-01,9.5
2007-02-02,9.35
2007-02-05,9.32
2007-02-06,9.3
2007-02-07,9.49
2007-02-08,8.5
2007-02-09,8.29
2007-02-12,8.33
2007-02-13,8.58
2007-02-14,8.46
2007-02-15,8.57
2007-02-16,8.45
2007-02-20,8.85
2007-02-21,8.85
2007-02-22,8.9
2007-02-23,8.91
2007-02-26,8.99
2007-02-27,8.37
2007-02-28,8.35
2007-03-01,8.39
2007-03-02,8.01
2007-03-05,7.95
2007-03-06,8.03
2007-03-07,7.89
2007-03-08,8.24
2007-03-09,8.17
2007-03-12,8.05
2007-03-13,8.12
2007-03-14,7.99
2007-03-15,8.07
2007-03-16,8.12
2007-03-19,8.01
2007-03-20,7.89
2007-03-21,7.94
2007-03-22,7.82
2007-03-23,7.66
2007-03-26,7.66
2007-03-27,7.64
2007-03-28,7.85
2007-03-29,7.91
2007-03-30,7.9
2007-04-02,7.95
2007-04-03,8.12
2007-04-04,8.12
2007-04-05,8.1
2007-04-09,8.28
2007-04-10,8.13
2007-04-11,8.17
2007-04-12,8.11
2007-04-13,8.13
2007-04-16,8.21
2007-04-17,8.37
2007-04-18,8.28
2007-04-19,8.32
2007-04-20,8.36
2007-04-23,8.39
2007-04-24,8.58
2007-04-25,8.41
2007-04-26,8.35
2007-04-27,8.26
2007-04-30,8.14
2007-05-01,7.93
2007-05-02,8
2007-05-03,8.26
2007-05-04,8.23
2007-05-07,7.98
2007-05-08,8.12
2007-05-09,7.95
2007-05-10,8.2
2007-05-11,8.01
2007-05-14,8.13
2007-05-15,8.29
2007-05-16,8.27
2007-05-17,8.5
2007-05-18,8.69
2007-05-21,8.8
2007-05-22,8.8
2007-05-23,8.89
2007-05-24,8.65
2007-05-25,8.7
2007-05-29,8.77
2007-05-30,8.84
2007-05-31,8.82
2007-06-01,8.77
2007-06-04,8.67
2007-06-05,8.74
2007-06-06,8.64
2007-06-07,8.47
2007-06-08,8.53
2007-06-11,8.46
2007-06-12,8.43
2007-06-13,8.71
2007-06-14,8.77
2007-06-15,8.78
2007-06-18,8.78
2007-06-19,8.9
2007-06-20,8.92
2007-06-21,8.89
2007-06-22,8.9
2007-06-25,8.84
2007-06-26,8.85
2007-06-27,9.16
2007-06-28,9.31
2007-06-29,9.25
2007-07-02,9.41
2007-07-03,9.41
2007-07-05,9.36
2007-07-06,9.38
2007-07-09,9.41
2007-07-10,9.44
2007-07-11,9.37
2007-07-12,9.44
2007-07-13,9.37
2007-07-16,9.39
2007-07-17,9.32
2007-07-18,9.51
2007-07-19,9.57
2007-07-20,9.5
2007-07-23,9.57
2007-07-24,9.2
2007-07-25,9.13
2007-07-26,9.13
2007-07-27,9.07
2007-07-30,8.98
2007-07-31,9.12
2007-08-01,9.06
2007-08-02,9.07
2007-08-03,9.05
2007-08-06,8.86
2007-08-07,8.8
2007-08-08,8.59
2007-08-09,8.68
2007-08-10,8.79
2007-08-13,9
2007-08-14,8.83
2007-08-15,8.81
2007-08-16,8.46
2007-08-17,8.61
2007-08-20,8.84
2007-08-21,8.68
2007-08-22,8.96
2007-08-23,8.81
2007-08-24,9
2007-08-27,8.98
2007-08-28,9
2007-08-29,8.9
2007-08-30,8.63
2007-08-31,8.7
2007-09-04,8.78
2007-09-05,8.78
2007-09-06,9.14
2007-09-07,9.2
2007-09-10,9.04
2007-09-11,9.19
2007-09-12,9.13
2007-09-13,8.84
2007-09-14,8.98
2007-09-17,9.01
2007-09-18,9.02
2007-09-19,9.08
2007-09-20,8.97
2007-09-21,8.93
2007-09-24,9
2007-09-25,9
2007-09-26,9.08
2007-09-27,9.11
2007-09-28,9
2007-10-01,9.15
2007-10-02,9.18
2007-10-03,9.18
2007-10-04,9.2
2007-10-05,9.2
2007-10-08,9.31
2007-10-09,9.36
2007-10-10,9.39
2007-10-11,9.35
2007-10-12,9.38
2007-10-15,9.16
2007-10-16,9.19
2007-10-17,9.28
2007-10-18,8.96
2007-10-19,8.9
2007-10-22,8.85
2007-10-23,9.03
2007-10-24,8.89
2007-10-25,9.18
2007-10-26,8.78
2007-10-29,8.99
2007-10-30,8.96
2007-10-31,8.79
2007-11-01,8.6
2007-11-02,8.48
2007-11-05,8.19
2007-11-06,8.78
2007-11-07,8.43
2007-11-08,8.19
2007-11-09,8.05
2007-11-12,8.34
2007-11-13,8.15
2007-11-14,7.95
2007-11-15,7.7
2007-11-16,7.75
2007-11-19,7.89
2007-11-20,7.65
2007-11-21,7.75
2007-11-23,7.7
2007-11-26,7.88
2007-11-27,7.7
2007-11-28,8.04
2007-11-29,7.9
2007-11-30,7.92
2007-12-03,7.87
2007-12-04,7.91
2007-12-05,7.92
2007-12-06,8.05
2007-12-07,8
2007-12-10,8.04
2007-12-11,8.05
2007-12-12,8.05
2007-12-13,8
2007-12-14,7.82
2007-12-17,7.71
2007-12-18,7.77
2007-12-19,7.9
2007-12-20,7.91
2007-12-21,8.02
2007-12-24,8.02
2007-12-26,7.92
2007-12-27,8.02
2007-12-28,7.92
2007-12-31,8
2008-01-02,7.79
2008-01-03,7.76
2008-01-04,7.52
2008-01-07,7.27
2008-01-08,7.16
2008-01-09,7.22
2008-01-10,7.16
2008-01-11,7.35
2008-01-14,7.52
2008-01-15,7.55
2008-01-16,8.1
2008-01-17,7.6
2008-01-18,7.43
2008-01-22,7.51
