"Index","ACFC.Close"
2007-01-03,18.14
2007-01-04,18
2007-01-05,17.9
2007-01-08,17.88
2007-01-09,17.79
2007-01-10,17.71
2007-01-11,17.75
2007-01-12,17.87
2007-01-16,17.84
2007-01-17,17.74
2007-01-18,17.64
2007-01-19,17.65
2007-01-22,17.38
2007-01-23,17.46
2007-01-24,17.6
2007-01-25,17.67
2007-01-26,17.71
2007-01-29,17.49
2007-01-30,17.59
2007-01-31,17.55
2007-02-01,17.77
2007-02-02,17.94
2007-02-05,17.81
2007-02-06,17.86
2007-02-07,17.96
2007-02-08,17.91
2007-02-09,17.91
2007-02-12,17.8
2007-02-13,17.81
2007-02-14,17.85
2007-02-15,17.92
2007-02-16,17.91
2007-02-20,18.06
2007-02-21,18.05
2007-02-22,18.5
2007-02-23,18.39
2007-02-26,18.66
2007-02-27,18.65
2007-02-28,18.56
2007-03-01,18.5
2007-03-02,18.52
2007-03-05,18.52
2007-03-06,18.15
2007-03-07,18.3
2007-03-08,18.48
2007-03-09,18.52
2007-03-12,18.58
2007-03-13,18.54
2007-03-14,18.09
2007-03-15,18.05
2007-03-16,18.02
2007-03-19,18.3
2007-03-20,18.51
2007-03-21,18.85
2007-03-22,18.96
2007-03-23,18.82
2007-03-26,18.98
2007-03-27,19
2007-03-28,18.99
2007-03-29,18.97
2007-03-30,19.08
2007-04-02,19.08
2007-04-03,19.3
2007-04-04,19.37
2007-04-05,19.72
2007-04-09,19.93
2007-04-10,19.74
2007-04-11,19.63
2007-04-12,19.76
2007-04-13,19.96
2007-04-16,19.99
2007-04-17,19.85
2007-04-18,19.95
2007-04-19,19.84
2007-04-20,19.66
2007-04-23,19.41
2007-04-24,19.76
2007-04-25,19.76
2007-04-26,19.87
2007-04-27,19.88
2007-04-30,19.8
2007-05-01,19.85
2007-05-02,19.82
2007-05-03,19.49
2007-05-04,19.23
2007-05-07,19.72
2007-05-08,19.43
2007-05-09,19.13
2007-05-10,19.14
2007-05-11,19.19
2007-05-14,19.25
2007-05-15,19.25
2007-05-16,19.08
2007-05-17,19.31
2007-05-18,19.34
2007-05-21,19.24
2007-05-22,19.39
2007-05-23,19.26
2007-05-24,19.4
2007-05-25,19.3
2007-05-29,19.07
2007-05-30,18.93
2007-05-31,19.09
2007-06-01,18.87
2007-06-04,18.83
2007-06-05,19.06
2007-06-06,18.98
2007-06-07,19
2007-06-08,18.56
2007-06-11,18.44
2007-06-12,17.36
2007-06-13,16.57
2007-06-14,16.96
2007-06-15,17.04
2007-06-18,16.42
2007-06-19,16.46
2007-06-20,16.79
2007-06-21,16.56
2007-06-22,16.39
2007-06-25,16.4
2007-06-26,16.35
2007-06-27,15.91
2007-06-28,15.75
2007-06-29,15.75
2007-07-02,15.13
2007-07-03,15.25
2007-07-05,15.12
2007-07-06,15
2007-07-09,15.09
2007-07-10,14.93
2007-07-11,14.47
2007-07-12,14.47
2007-07-13,14.43
2007-07-16,14.23
2007-07-17,14.6
2007-07-18,14.47
2007-07-19,14.73
2007-07-20,14.48
2007-07-23,14.4
2007-07-24,14.32
2007-07-25,14.41
2007-07-26,14.24
2007-07-27,14.02
2007-07-30,14.13
2007-07-31,14.35
2007-08-01,13.79
2007-08-02,13.78
2007-08-03,13.23
2007-08-06,12.93
2007-08-07,12.91
2007-08-08,13.47
2007-08-09,13.59
2007-08-10,13.43
2007-08-13,12.65
2007-08-14,13.18
2007-08-15,12.65
2007-08-16,12.66
2007-08-17,12.48
2007-08-20,12.71
2007-08-21,13.11
2007-08-22,13.44
2007-08-23,13.5
2007-08-24,13.5
2007-08-27,13.5
2007-08-28,13.5
2007-08-29,13.72
2007-08-30,13.88
2007-08-31,13.98
2007-09-04,13.98
2007-09-05,14.01
2007-09-06,14.18
2007-09-07,13.95
2007-09-10,14.19
2007-09-11,14.2
2007-09-12,14.35
2007-09-13,14.35
2007-09-14,14.17
2007-09-17,14.11
2007-09-18,14.19
2007-09-19,15.46
2007-09-20,15.32
2007-09-21,15.32
2007-09-24,15.27
2007-09-25,14.83
2007-09-26,15.38
2007-09-27,15.38
2007-09-28,15.11
2007-10-01,15.38
2007-10-02,15.18
2007-10-03,15.18
2007-10-04,14.94
2007-10-05,14.5
2007-10-08,14.53
2007-10-09,14.53
2007-10-10,14.25
2007-10-11,14.19
2007-10-12,14.17
2007-10-15,14.17
2007-10-16,14.2
2007-10-17,14.12
2007-10-18,13.58
2007-10-19,13.35
2007-10-22,13.29
2007-10-23,13.49
2007-10-24,12.97
2007-10-25,13.05
2007-10-26,13.39
2007-10-29,13.51
2007-10-30,13.53
2007-10-31,13.34
2007-11-01,13.21
2007-11-02,13.28
2007-11-05,13.31
2007-11-06,13.29
2007-11-07,13.03
