"Index","ACGL.Close"
2007-01-03,22.49
2007-01-04,22.48
2007-01-05,22.26
2007-01-08,22.39
2007-01-09,22.18
2007-01-10,22.27
2007-01-11,22.18
2007-01-12,22.15
2007-01-16,22.21
2007-01-17,22.04
2007-01-18,21.79
2007-01-19,21.79
2007-01-22,21.55
2007-01-23,21.54
2007-01-24,21.76
2007-01-25,21.53
2007-01-26,21.4
2007-01-29,21.5
2007-01-30,21.52
2007-01-31,21.53
2007-02-01,21.6
2007-02-02,21.85
2007-02-05,21.82
2007-02-06,22.1
2007-02-07,22.17
2007-02-08,22.17
2007-02-09,22.01
2007-02-12,21.88
2007-02-13,22.17
2007-02-14,21.94
2007-02-15,22
2007-02-16,21.98
2007-02-20,22.02
2007-02-21,22.15
2007-02-22,22.18
2007-02-23,22.01
2007-02-26,21.75
2007-02-27,21.47
2007-02-28,21.5
2007-03-01,21.82
2007-03-02,22.05
2007-03-05,21.67
2007-03-06,21.76
2007-03-07,21.66
2007-03-08,21.86
2007-03-09,21.91
2007-03-12,22
2007-03-13,21.72
2007-03-14,21.42
2007-03-15,21.53
2007-03-16,21.42
2007-03-19,21.53
2007-03-20,21.51
2007-03-21,21.62
2007-03-22,21.72
2007-03-23,22.15
2007-03-26,22.37
2007-03-27,22.25
2007-03-28,22.19
2007-03-29,22.36
2007-03-30,22.74
2007-04-02,22.73
2007-04-03,22.89
2007-04-04,22.78
2007-04-05,22.9
2007-04-09,22.93
2007-04-10,23.01
2007-04-11,23.13
2007-04-12,23.19
2007-04-13,23.3
2007-04-16,23.4
2007-04-17,23.39
2007-04-18,23.32
2007-04-19,23.19
2007-04-20,23.23
2007-04-23,23.68
2007-04-24,23.67
2007-04-25,23.97
2007-04-26,23.6
2007-04-27,24.53
2007-04-30,24.27
2007-05-01,23.71
2007-05-02,24.14
2007-05-03,24.23
2007-05-04,24.04
2007-05-07,24.18
2007-05-08,23.92
2007-05-09,23.91
2007-05-10,23.73
2007-05-11,23.71
2007-05-14,23.6
2007-05-15,22.96
2007-05-16,23.08
2007-05-17,23.53
2007-05-18,23.95
2007-05-21,23.92
2007-05-22,24.05
2007-05-23,24.04
2007-05-24,23.52
2007-05-25,23.74
2007-05-29,23.87
2007-05-30,23.92
2007-05-31,23.96
2007-06-01,23.89
2007-06-04,24.03
2007-06-05,23.95
2007-06-06,23.87
2007-06-07,23.55
2007-06-08,23.67
2007-06-11,23.95
2007-06-12,23.83
2007-06-13,23.97
2007-06-14,23.93
2007-06-15,23.56
2007-06-18,23.56
2007-06-19,23.9
2007-06-20,23.77
2007-06-21,23.61
2007-06-22,23.58
2007-06-25,23.6
2007-06-26,23.84
2007-06-27,24.44
2007-06-28,24.37
2007-06-29,24.18
2007-07-02,24.57
2007-07-03,24.5
2007-07-05,24.56
2007-07-06,24.41
2007-07-09,24.56
2007-07-10,24.55
2007-07-11,24.72
2007-07-12,24.83
2007-07-13,24.8
2007-07-16,24.79
2007-07-17,24.69
2007-07-18,24.61
2007-07-19,24.7
2007-07-20,24.62
2007-07-23,24.42
2007-07-24,23.74
2007-07-25,24.25
2007-07-26,23.98
2007-07-27,23.09
2007-07-30,23.44
2007-07-31,23.22
2007-08-01,23.24
2007-08-02,23.56
2007-08-03,22.75
2007-08-06,23.13
2007-08-07,22.5
2007-08-08,22.23
2007-08-09,21.6
2007-08-10,22.28
2007-08-13,23.11
2007-08-14,22.68
2007-08-15,22.26
2007-08-16,22.23
2007-08-17,22.36
2007-08-20,22.28
2007-08-21,22.76
2007-08-22,23.34
2007-08-23,23.36
2007-08-24,23.53
2007-08-27,23.32
2007-08-28,22.8
2007-08-29,23.72
2007-08-30,23.45
2007-08-31,23.94
2007-09-04,23.97
2007-09-05,23.57
2007-09-06,23.51
2007-09-07,23.33
2007-09-10,23.27
2007-09-11,23.28
2007-09-12,23.3
2007-09-13,23.99
2007-09-14,24
2007-09-17,23.69
2007-09-18,24.13
2007-09-19,24.42
2007-09-20,24.06
2007-09-21,23.86
2007-09-24,23.61
2007-09-25,23.5
2007-09-26,24.33
2007-09-27,24.48
2007-09-28,24.8
2007-10-01,25.16
2007-10-02,25.34
2007-10-03,25.06
2007-10-04,25.15
2007-10-05,25.22
2007-10-08,25.44
2007-10-09,25.55
2007-10-10,25.57
2007-10-11,25.25
2007-10-12,25.09
2007-10-15,24.92
2007-10-16,24.59
2007-10-17,24.59
2007-10-18,24.54
2007-10-19,23.85
2007-10-22,24.14
2007-10-23,24.27
2007-10-24,24.15
2007-10-25,23.86
2007-10-26,24.03
2007-10-29,24.29
2007-10-30,24.32
2007-10-31,24.92
2007-11-01,24.47
2007-11-02,23.92
2007-11-05,23.35
2007-11-06,23.28
2007-11-07,22.48
2007-11-08,23.2
2007-11-09,23.02
2007-11-12,23.07
2007-11-13,23.41
2007-11-14,23.23
2007-11-15,23.19
2007-11-16,22.77
2007-11-19,22.57
2007-11-20,22.44
2007-11-21,22.47
2007-11-23,22.85
2007-11-26,22.6
2007-11-27,22.85
2007-11-28,23.58
2007-11-29,23.44
2007-11-30,23.26
2007-12-03,23.6
2007-12-04,24.18
2007-12-05,23.89
2007-12-06,24.26
2007-12-07,23.77
2007-12-10,23.95
2007-12-11,23.12
2007-12-12,23.12
2007-12-13,23.28
2007-12-14,22.83
2007-12-17,22.94
2007-12-18,22.42
2007-12-19,22.39
2007-12-20,22.5
2007-12-21,22.79
2007-12-24,23.22
2007-12-26,23.3
2007-12-27,23.29
2007-12-28,23.26
2007-12-31,23.45
2008-01-02,22.83
2008-01-03,23.29
2008-01-04,23.11
2008-01-07,23.37
2008-01-08,23.73
2008-01-09,23.73
2008-01-10,24.12
2008-01-11,23.76
2008-01-14,23.69
2008-01-15,23.43
2008-01-16,23.44
2008-01-17,22.48
2008-01-18,22.44
2008-01-22,22.58
2008-01-23,23.2
2008-01-24,23.04
2008-01-25,22.56
2008-01-28,22.75
2008-01-29,23.32
2008-01-30,22.73
2008-01-31,23.49
2008-02-01,23.46
2008-02-04,23.75
2008-02-05,23.37
2008-02-06,23.39
2008-02-07,23.43
2008-02-08,23.28
2008-02-11,22.64
2008-02-12,23.27
2008-02-13,23.69
2008-02-14,23.33
2008-02-15,23.61
2008-02-19,23.54
2008-02-20,23.64
2008-02-21,23.28
2008-02-22,23.34
2008-02-25,23.34
2008-02-26,23.69
2008-02-27,23.56
2008-02-28,23.12
2008-02-29,22.83
2008-03-03,22.49
2008-03-04,22.63
2008-03-05,22.34
2008-03-06,22.3
2008-03-07,22.71
2008-03-10,22.47
2008-03-11,22.57
2008-03-12,22.23
2008-03-13,22.32
2008-03-14,22.16
2008-03-17,21.9
2008-03-18,22.38
2008-03-19,22.01
2008-03-20,22.56
2008-03-24,22.41
2008-03-25,22.7
2008-03-26,22.61
2008-03-27,22.49
2008-03-28,22.58
2008-03-31,22.89
2008-04-01,23.6
2008-04-02,23.81
2008-04-03,23.87
2008-04-04,23.71
2008-04-07,23.94
2008-04-08,23.24
2008-04-09,23.16
2008-04-10,23.24
2008-04-11,23.05
2008-04-14,22.95
2008-04-15,23.18
2008-04-16,23.48
2008-04-17,23.5
2008-04-18,23.48
2008-04-21,23.49
2008-04-22,23.85
2008-04-23,23.73
2008-04-24,24.14
2008-04-25,24.21
2008-04-28,24.24
2008-04-29,23.53
2008-04-30,23.55
2008-05-01,23.63
2008-05-02,23.21
2008-05-05,23.25
2008-05-06,23.1
2008-05-07,22.8
2008-05-08,22.97
2008-05-09,23.1
2008-05-12,23.34
2008-05-13,23.32
2008-05-14,23.46
2008-05-15,23.64
2008-05-16,23.61
2008-05-19,23.54
2008-05-20,23.47
2008-05-21,23.36
2008-05-22,23.58
2008-05-23,23.28
2008-05-27,23.41
2008-05-28,23.24
2008-05-29,23.45
2008-05-30,23.45
2008-06-02,23.47
2008-06-03,23.46
2008-06-04,23.38
2008-06-05,23.74
2008-06-06,23.58
2008-06-09,23.71
2008-06-10,23.7
2008-06-11,23.17
2008-06-12,23.01
2008-06-13,23.04
2008-06-16,23.25
2008-06-17,23.07
2008-06-18,22.95
2008-06-19,23
2008-06-20,22.85
2008-06-23,22.49
2008-06-24,22.76
2008-06-25,22.56
2008-06-26,22.4
2008-06-27,22.09
2008-06-30,22.11
2008-07-01,22.42
2008-07-02,22.52
2008-07-03,22.37
2008-07-07,21.65
2008-07-08,22.64
2008-07-09,21.99
2008-07-10,21.8
2008-07-11,21.57
2008-07-14,21.49
2008-07-15,21.28
2008-07-16,21.76
2008-07-17,21.83
2008-07-18,21.99
2008-07-21,21.67
2008-07-22,22.52
2008-07-23,22.98
2008-07-24,22.54
2008-07-25,22.82
2008-07-28,22.57
2008-07-29,23
2008-07-30,23.05
2008-07-31,23.24
2008-08-01,23.14
2008-08-04,22.92
2008-08-05,23.25
2008-08-06,23.29
2008-08-07,22.91
2008-08-08,23.29
2008-08-11,23.15
2008-08-12,22.94
2008-08-13,22.83
2008-08-14,22.95
2008-08-15,23.3
2008-08-18,22.96
2008-08-19,22.99
2008-08-20,23.12
2008-08-21,23.02
2008-08-22,23.32
