"Index","ACPW.Close"
2007-01-03,13.2
2007-01-04,13
2007-01-05,13.05
2007-01-08,13
2007-01-09,13
2007-01-10,12
2007-01-11,12
2007-01-12,12
2007-01-16,12
2007-01-17,11.55
2007-01-18,11.2
2007-01-19,11.45
2007-01-22,12.55
2007-01-23,13.05
2007-01-24,13.65
2007-01-25,13.2
2007-01-26,13.2
2007-01-29,13.25
2007-01-30,13.55
2007-01-31,13.3
2007-02-01,13.2
2007-02-02,11.6
2007-02-05,11.5
2007-02-06,11.7
2007-02-07,11.45
2007-02-08,11.55
2007-02-09,11.15
2007-02-12,10.65
2007-02-13,10.35
2007-02-14,11.7
2007-02-15,11.75
2007-02-16,11.4
2007-02-20,11.2
2007-02-21,11.35
2007-02-22,12
2007-02-23,11.75
2007-02-26,11.75
2007-02-27,11
2007-02-28,10.4
2007-03-01,10.4
2007-03-02,10.35
2007-03-05,10.15
2007-03-06,10.3
2007-03-07,10.4
2007-03-08,9.7
2007-03-09,9.8
2007-03-12,9.9
2007-03-13,9.3
2007-03-14,9.2
2007-03-15,9.15
2007-03-16,9.3
2007-03-19,9.7
2007-03-20,9.55
2007-03-21,9.4
2007-03-22,9.2
2007-03-23,9.3
2007-03-26,9.3
2007-03-27,9.05
2007-03-28,10.25
2007-03-29,10.2
2007-03-30,9.7
2007-04-02,9.6
2007-04-03,9.5
2007-04-04,9.5
2007-04-05,9.7
2007-04-09,9.75
2007-04-10,9.5
2007-04-11,9.5
2007-04-12,9.45
2007-04-13,9.4
2007-04-16,9.4
2007-04-17,9.3
2007-04-18,9.5
2007-04-19,9.4
2007-04-20,9.6
2007-04-23,9.4
2007-04-24,8.95
2007-04-25,9.2
2007-04-26,9.1
2007-04-27,9
2007-04-30,8.85
2007-05-01,8.2
2007-05-02,8.25
2007-05-03,8.2
2007-05-04,8.25
2007-05-07,8.25
2007-05-08,8.1
2007-05-09,8.45
2007-05-10,8
2007-05-11,8.2
2007-05-14,7.8
2007-05-15,7.75
2007-05-16,7.5
2007-05-17,7.8
2007-05-18,7.7
2007-05-21,7.95
2007-05-22,8.1
2007-05-23,7.9
2007-05-24,7.95
2007-05-25,8.2
2007-05-29,8.7
2007-05-30,8.55
2007-05-31,8.5
2007-06-01,8.45
2007-06-04,8.35
2007-06-05,8.2
2007-06-06,8.42
2007-06-07,8.35
2007-06-08,8.05
2007-06-11,7.8
2007-06-12,7.75
2007-06-13,7.5
2007-06-14,7.6
2007-06-15,7.55
2007-06-18,7.45
2007-06-19,7.68
2007-06-20,8.05
2007-06-21,8.25
2007-06-22,8.5
2007-06-25,8.2
2007-06-26,8.2
2007-06-27,8.75
2007-06-28,9.25
2007-06-29,8.9
2007-07-02,9.75
2007-07-03,9.65
2007-07-05,9.55
2007-07-06,9.4
2007-07-09,9.5
2007-07-10,9.5
2007-07-11,9.7
2007-07-12,10.4
2007-07-13,10.45
2007-07-16,10.5
2007-07-17,9.8
2007-07-18,10.7
2007-07-19,9.95
2007-07-20,9.9
2007-07-23,9.75
2007-07-24,10
2007-07-25,9.6
2007-07-26,9.65
2007-07-27,9
2007-07-30,9.5
2007-07-31,9.15
2007-08-01,8.9
2007-08-02,8.75
2007-08-03,7.9
2007-08-06,8.35
2007-08-07,8.55
2007-08-08,8.15
2007-08-09,8.1
2007-08-10,7.9
2007-08-13,8.55
2007-08-14,8.15
2007-08-15,7.55
2007-08-16,7.2
2007-08-17,7.3
2007-08-20,7.3
2007-08-21,7.35
2007-08-22,7.5
2007-08-23,7.3
2007-08-24,7.3
2007-08-27,7.35
2007-08-28,7.5
2007-08-29,7.7
2007-08-30,7.3
2007-08-31,7.4
2007-09-04,7.5
2007-09-05,7.35
2007-09-06,7.35
2007-09-07,7.35
2007-09-10,6.95
2007-09-11,6.55
2007-09-12,6.8
2007-09-13,6.7
2007-09-14,7.05
2007-09-17,6.9
2007-09-18,7.15
2007-09-19,7.25
2007-09-20,8.15
2007-09-21,8.6
2007-09-24,8.7
2007-09-25,8.45
2007-09-26,7.9
2007-09-27,9.45
2007-09-28,11.05
2007-10-01,9.15
2007-10-02,9.8
2007-10-03,9.75
2007-10-04,9.4
2007-10-05,9.5
2007-10-08,9.45
2007-10-09,8.85
2007-10-10,8.6
2007-10-11,8.8
2007-10-12,8.75
2007-10-15,8.5
2007-10-16,9
2007-10-17,9
2007-10-18,9
2007-10-19,8.5
2007-10-22,8.4
2007-10-23,9
2007-10-24,8.9
2007-10-25,8.65
2007-10-26,8.75
2007-10-29,9.35
2007-10-30,9.3
2007-10-31,9.4
2007-11-01,10
