"Index","ACTG.Close"
2007-01-03,13.38
2007-01-04,13.37
2007-01-05,13.55
2007-01-08,13.14
2007-01-09,13.51
2007-01-10,13.17
2007-01-11,13.09
2007-01-12,12.99
2007-01-16,12.72
2007-01-17,12.6
2007-01-18,12.41
2007-01-19,12.72
2007-01-22,12.32
2007-01-23,13.19
2007-01-24,13.78
2007-01-25,13.52
2007-01-26,13.59
2007-01-29,13.38
2007-01-30,13.49
2007-01-31,13.56
2007-02-01,13.64
2007-02-02,13.64
2007-02-05,13.58
2007-02-06,14.63
2007-02-07,14.99
2007-02-08,14.66
2007-02-09,14.36
2007-02-12,13.99
2007-02-13,14.16
2007-02-14,13.82
2007-02-15,13.51
2007-02-16,14.24
2007-02-20,14.46
2007-02-21,14.89
2007-02-22,14.44
2007-02-23,14.3
2007-02-26,14.2
2007-02-27,13.78
2007-02-28,13.81
2007-03-01,13.99
2007-03-02,13.75
2007-03-05,14.01
2007-03-06,14.13
2007-03-07,14.18
2007-03-08,14.85
2007-03-09,14.83
2007-03-12,14.86
2007-03-13,14.37
2007-03-14,14.31
2007-03-15,14.59
2007-03-16,15.07
2007-03-19,15.51
2007-03-20,15.98
2007-03-21,16.35
2007-03-22,16.14
2007-03-23,15.9
2007-03-26,15.95
2007-03-27,15.65
2007-03-28,15.5
2007-03-29,15.77
2007-03-30,15.82
2007-04-02,15.53
2007-04-03,15.77
2007-04-04,15.75
2007-04-05,16.41
2007-04-09,16
2007-04-10,15.99
2007-04-11,15.83
2007-04-12,15.99
2007-04-13,15.62
2007-04-16,15.9
2007-04-17,15.71
2007-04-18,15.45
2007-04-19,14.65
2007-04-20,15
2007-04-23,15.15
2007-04-24,15.31
2007-04-25,15.46
2007-04-26,16.37
2007-04-27,15.82
2007-04-30,14.92
2007-05-01,14.78
2007-05-02,14.47
2007-05-03,14.57
2007-05-04,14.42
2007-05-07,13.93
2007-05-08,14.11
2007-05-09,14.52
2007-05-10,14.12
2007-05-11,14.29
2007-05-14,14.16
2007-05-15,13.51
2007-05-16,13.5
2007-05-17,13.47
2007-05-18,13.44
2007-05-21,14.01
2007-05-22,14.16
2007-05-23,13.87
2007-05-24,13.37
2007-05-25,14.02
2007-05-29,13.73
2007-05-30,13.62
2007-05-31,13.57
2007-06-01,13.79
2007-06-04,14.03
2007-06-05,13.78
2007-06-06,13.59
2007-06-07,13.19
2007-06-08,13.53
2007-06-11,13.45
2007-06-12,13.15
2007-06-13,13.51
2007-06-14,13.7
2007-06-15,14.24
2007-06-18,14.03
2007-06-19,14.51
2007-06-20,14.63
2007-06-21,14.68
2007-06-22,14.71
2007-06-25,14.64
2007-06-26,15.19
2007-06-27,15.26
2007-06-28,15.32
2007-06-29,16.16
2007-07-02,16.27
2007-07-03,16.2
2007-07-05,16.04
2007-07-06,16.26
2007-07-09,15.87
2007-07-10,15.24
2007-07-11,15.7
2007-07-12,16
2007-07-13,15.8
2007-07-16,15.74
2007-07-17,15.79
2007-07-18,15.62
2007-07-19,15.63
2007-07-20,15.67
2007-07-23,15.64
2007-07-24,15.31
2007-07-25,15.17
2007-07-26,14.68
2007-07-27,12.82
2007-07-30,12.9
2007-07-31,12.86
2007-08-01,12.65
2007-08-02,12.68
2007-08-03,12.16
