"Index","ACTS.Close"
2007-01-03,8.34
2007-01-04,8.31
2007-01-05,8.23
2007-01-08,7.97
2007-01-09,8.16
2007-01-10,8.2
2007-01-11,8.31
2007-01-12,8.36
2007-01-16,8.46
2007-01-17,8.42
2007-01-18,8.2
2007-01-19,8.26
2007-01-22,8.26
2007-01-23,8.12
2007-01-24,8.27
2007-01-25,8.13
2007-01-26,8.27
2007-01-29,8.29
2007-01-30,8.21
2007-01-31,8
2007-02-01,7.74
2007-02-02,7.39
2007-02-05,7.18
2007-02-06,7.3
2007-02-07,6.95
2007-02-08,7.33
2007-02-09,7.01
2007-02-12,7.05
2007-02-13,6.95
2007-02-14,6.87
2007-02-15,6.84
2007-02-16,7.26
2007-02-20,7.09
2007-02-21,7.43
2007-02-22,7.71
2007-02-23,7.67
2007-02-26,7.64
2007-02-27,7.46
2007-02-28,7.44
2007-03-01,7.6
2007-03-02,7.4
2007-03-05,7.37
2007-03-06,7.4
2007-03-07,7.39
2007-03-08,7.35
2007-03-09,7.26
2007-03-12,7.2
2007-03-13,7.07
2007-03-14,7
2007-03-15,7.09
2007-03-16,6.77
2007-03-19,6.73
2007-03-20,6.76
2007-03-21,6.96
2007-03-22,6.97
2007-03-23,7.17
2007-03-26,7.28
2007-03-27,7.33
2007-03-28,7.25
2007-03-29,7.25
2007-03-30,7.39
2007-04-02,7.36
2007-04-03,7.37
2007-04-04,7.29
2007-04-05,7.35
2007-04-09,7.23
2007-04-10,7.1
2007-04-11,7.13
2007-04-12,7.05
2007-04-13,7.01
2007-04-16,7.08
2007-04-17,7.26
2007-04-18,7.5
2007-04-19,7.54
2007-04-20,7.52
2007-04-23,7.5
2007-04-24,7.62
2007-04-25,7.53
2007-04-26,7.42
2007-04-27,7.15
2007-04-30,7.22
2007-05-01,7.48
2007-05-02,7.45
2007-05-03,7.32
2007-05-04,7.27
2007-05-07,6.84
2007-05-08,6.89
2007-05-09,6.96
2007-05-10,6.6
2007-05-11,5.9
2007-05-14,5.79
2007-05-15,5.85
2007-05-16,5.99
2007-05-17,6.05
2007-05-18,6.13
2007-05-21,6.16
2007-05-22,6.19
2007-05-23,6.06
2007-05-24,6
2007-05-25,6.03
2007-05-29,6.05
2007-05-30,6.13
2007-05-31,6.19
2007-06-01,6.07
2007-06-04,6.34
2007-06-05,6.3
2007-06-06,6.27
2007-06-07,6.32
2007-06-08,6.24
2007-06-11,6.21
2007-06-12,6.11
2007-06-13,6.14
2007-06-14,6.04
2007-06-15,6.05
2007-06-18,6.03
2007-06-19,6.05
2007-06-20,6.07
2007-06-21,6.2
2007-06-22,6.18
2007-06-25,6.22
2007-06-26,6.09
2007-06-27,6.04
2007-06-28,6.01
2007-06-29,6.15
2007-07-02,6.08
2007-07-03,5.96
2007-07-05,5.91
2007-07-06,5.87
2007-07-09,5.95
2007-07-10,5.95
2007-07-11,6.1
2007-07-12,6.2
2007-07-13,6.22
2007-07-16,6.02
2007-07-17,6.07
2007-07-18,5.99
2007-07-19,6
2007-07-20,5.09
2007-07-23,5.14
2007-07-24,5.2
2007-07-25,5.17
2007-07-26,5.18
2007-07-27,5.15
2007-07-30,5.19
2007-07-31,5.18
2007-08-01,5.08
2007-08-02,5
2007-08-03,4.93
2007-08-06,4.65
2007-08-07,4.54
2007-08-08,4.8
2007-08-09,4.84
2007-08-10,4.97
2007-08-13,4.81
2007-08-14,4.8
2007-08-15,4.68
2007-08-16,4.6
2007-08-17,4.67
2007-08-20,4.72
2007-08-21,4.8
2007-08-22,4.89
2007-08-23,4.81
2007-08-24,4.76
2007-08-27,4.85
2007-08-28,4.84
2007-08-29,4.87
2007-08-30,4.84
2007-08-31,4.98
2007-09-04,5.25
2007-09-05,5
2007-09-06,5.03
2007-09-07,4.94
2007-09-10,4.98
2007-09-11,5.05
2007-09-12,4.9
2007-09-13,4.85
2007-09-14,4.81
2007-09-17,4.8
2007-09-18,4.92
2007-09-19,4.98
2007-09-20,4.96
2007-09-21,4.9
2007-09-24,4.96
2007-09-25,5.02
2007-09-26,5.14
2007-09-27,6.21
2007-09-28,5.52
2007-10-01,6.05
2007-10-02,6.1
2007-10-03,5.81
2007-10-04,5.56
2007-10-05,5.49
2007-10-08,5.58
2007-10-09,5.28
2007-10-10,5.4
2007-10-11,5.29
2007-10-12,5.35
2007-10-15,5.29
2007-10-16,5.3
2007-10-17,5.21
2007-10-18,5.16
2007-10-19,5.03
2007-10-22,4.96
2007-10-23,5.02
2007-10-24,5.02
2007-10-25,4.86
2007-10-26,4.81
2007-10-29,5.09
2007-10-30,5.37
2007-10-31,5
2007-11-01,4.95
2007-11-02,5.1
2007-11-05,5.01
2007-11-06,4.95
2007-11-07,4.89
2007-11-08,4.87
2007-11-09,4.81
2007-11-12,4.77
2007-11-13,4.8
2007-11-14,4.9
2007-11-15,4.83
2007-11-16,4.73
2007-11-19,4.66
2007-11-20,4.38
2007-11-21,4.2
2007-11-23,4.27
2007-11-26,4.1
2007-11-27,4.08
2007-11-28,4.39
2007-11-29,4.5
2007-11-30,4.55
2007-12-03,4.3
2007-12-04,4.42
2007-12-05,4.44
2007-12-06,4.64
2007-12-07,4.56
2007-12-10,4.53
2007-12-11,4.45
2007-12-12,4.4
2007-12-13,4.46
2007-12-14,4.47
2007-12-17,4.25
2007-12-18,4.11
2007-12-19,4.03
2007-12-20,4
2007-12-21,4.23
2007-12-24,4.24
2007-12-26,4.15
2007-12-27,4.08
2007-12-28,4.2
2007-12-31,4.08
2008-01-02,4.32
2008-01-03,4.35
2008-01-04,4.13
2008-01-07,4.09
2008-01-08,4.03
2008-01-09,3.81
2008-01-10,4
2008-01-11,4
2008-01-14,3.72
2008-01-15,3.54
2008-01-16,3.51
2008-01-17,3.35
2008-01-18,3.39
2008-01-22,3.26
2008-01-23,3.3
2008-01-24,3.42
2008-01-25,3.44
2008-01-28,3.35
2008-01-29,3.37
2008-01-30,3.3
2008-01-31,3.3
2008-02-01,3.28
2008-02-04,3.57
2008-02-05,3.4
2008-02-06,3.42
2008-02-07,3.43
2008-02-08,3.43
2008-02-11,3.55
2008-02-12,3.57
2008-02-13,3.77
2008-02-14,3.7
2008-02-15,3.56
2008-02-19,3.56
2008-02-20,3.62
2008-02-21,3.62
2008-02-22,3.7
2008-02-25,3.72
2008-02-26,3.72
2008-02-27,3.7
2008-02-28,3.68
2008-02-29,3.6
2008-03-03,3.49
2008-03-04,3.35
2008-03-05,3.38
2008-03-06,3.27
2008-03-07,3.11
2008-03-10,3.1
2008-03-11,3.11
2008-03-12,3.12
2008-03-13,3.05
2008-03-14,3.05
2008-03-17,3
2008-03-18,2.89
2008-03-19,2.86
2008-03-20,2.82
2008-03-24,3.08
2008-03-25,3.15
2008-03-26,3
2008-03-27,2.95
2008-03-28,2.91
2008-03-31,2.97
2008-04-01,3.08
2008-04-02,3.11
2008-04-03,3.12
2008-04-04,3.12
2008-04-07,3.2
2008-04-08,3.2
2008-04-09,3.16
2008-04-10,3.2
2008-04-11,3.15
2008-04-14,3.03
2008-04-15,3.04
2008-04-16,3.07
2008-04-17,3.07
2008-04-18,3.17
2008-04-21,3.17
2008-04-22,3.13
2008-04-23,3.19
2008-04-24,3.5
2008-04-25,3.9
2008-04-28,3.69
2008-04-29,3.9
2008-04-30,3.86
2008-05-01,3.74
2008-05-02,3.79
2008-05-05,3.62
2008-05-06,3.82
2008-05-07,3.78
2008-05-08,3.75
2008-05-09,3.75
2008-05-12,3.74
2008-05-13,3.63
2008-05-14,3.63
2008-05-15,3.7
2008-05-16,3.61
2008-05-19,3.62
2008-05-20,3.49
2008-05-21,3.3
2008-05-22,3.55
2008-05-23,3.43
2008-05-27,3.52
2008-05-28,3.51
2008-05-29,3.49
2008-05-30,3.43
2008-06-02,3.4
2008-06-03,3.48
2008-06-04,3.58
2008-06-05,3.64
2008-06-06,3.53
2008-06-09,3.58
2008-06-10,3.5
2008-06-11,3.42
2008-06-12,3.43
2008-06-13,3.53
2008-06-16,3.63
2008-06-17,3.55
2008-06-18,3.43
2008-06-19,3.51
2008-06-20,3.55
2008-06-23,3.62
2008-06-24,3.55
2008-06-25,3.68
2008-06-26,3.66
2008-06-27,3.5
2008-06-30,3.45
2008-07-01,3.31
2008-07-02,3.37
2008-07-03,3.37
2008-07-07,3.4
2008-07-08,3.5
2008-07-09,3.45
2008-07-10,3.36
2008-07-11,3.4
2008-07-14,3.38
2008-07-15,3.38
2008-07-16,3.52
2008-07-17,3.54
2008-07-18,3.44
2008-07-21,3.41
2008-07-22,3.43
2008-07-23,3.37
2008-07-24,3.3
2008-07-25,3.18
2008-07-28,3.14
2008-07-29,3.13
2008-07-30,3.08
2008-07-31,3.09
2008-08-01,3.05
