"Index","ACXM.Close"
2007-01-03,25.4
2007-01-04,25.37
2007-01-05,25.35
2007-01-08,25.51
2007-01-09,25.46
2007-01-10,25.33
2007-01-11,25.54
2007-01-12,25.57
2007-01-16,25.48
2007-01-17,25.28
2007-01-18,25.18
2007-01-19,24.92
2007-01-22,24.85
2007-01-23,24.58
2007-01-24,24.68
2007-01-25,22.2
2007-01-26,22.63
2007-01-29,22.83
2007-01-30,22.67
2007-01-31,22.7
2007-02-01,22.94
2007-02-02,22.96
2007-02-05,22.9
2007-02-06,22.63
2007-02-07,22.74
2007-02-08,22.67
2007-02-09,22.42
2007-02-12,22.29
2007-02-13,22.43
2007-02-14,22.16
2007-02-15,22.2
2007-02-16,22.16
2007-02-20,22.72
2007-02-21,22.4
2007-02-22,22.18
2007-02-23,22.19
2007-02-26,21.81
2007-02-27,21.25
2007-02-28,21.36
2007-03-01,21.48
2007-03-02,21.33
2007-03-05,21
2007-03-06,21.37
2007-03-07,21.3
2007-03-08,21.41
2007-03-09,21.44
2007-03-12,21.73
2007-03-13,21.3
2007-03-14,21.31
2007-03-15,21.44
2007-03-16,21.46
2007-03-19,21.39
2007-03-20,21.66
2007-03-21,21.93
2007-03-22,22.09
2007-03-23,21.92
2007-03-26,21.65
2007-03-27,21.35
2007-03-28,21.37
2007-03-29,21.39
2007-03-30,21.39
2007-04-02,21.32
2007-04-03,21.44
2007-04-04,21.29
2007-04-05,21.26
2007-04-09,21.26
2007-04-10,21.26
2007-04-11,21.19
2007-04-12,21.32
2007-04-13,21.34
2007-04-16,21.75
2007-04-17,21.39
2007-04-18,21.4
2007-04-19,21.29
2007-04-20,21.48
2007-04-23,22.19
2007-04-24,22.7
2007-04-25,22.63
2007-04-26,22.58
2007-04-27,22.83
2007-04-30,22.6
2007-05-01,22.59
2007-05-02,23.08
2007-05-03,23.01
2007-05-04,23.5
2007-05-07,23.22
2007-05-08,24.55
2007-05-09,24.23
2007-05-10,24.76
2007-05-11,24.49
2007-05-14,23.89
2007-05-15,23.76
2007-05-16,23.67
2007-05-17,27.95
2007-05-18,27.78
2007-05-21,28.04
2007-05-22,28
2007-05-23,27.84
2007-05-24,27.71
2007-05-25,27.68
2007-05-29,27.74
2007-05-30,28.09
2007-05-31,27.8
2007-06-01,28.03
2007-06-04,27.83
2007-06-05,27.57
2007-06-06,27.56
2007-06-07,27.23
2007-06-08,27.47
2007-06-11,27.36
2007-06-12,27.22
2007-06-13,27.38
2007-06-14,27.44
2007-06-15,27.55
2007-06-18,27.09
2007-06-19,27.06
2007-06-20,27.09
2007-06-21,26.87
2007-06-22,26.48
2007-06-25,26.31
2007-06-26,26.16
2007-06-27,26.28
2007-06-28,26.4
2007-06-29,26.45
2007-07-02,26.42
2007-07-03,26.37
2007-07-05,26.36
2007-07-06,26.45
2007-07-09,26.66
