"Index","ADEP.Close"
2007-01-03,12
2007-01-04,11.56
2007-01-05,11.68
2007-01-08,11.7
2007-01-09,11.36
2007-01-10,11.31
2007-01-11,11.69
2007-01-12,11.86
2007-01-16,11.75
2007-01-17,11.48
2007-01-18,9.89
2007-01-19,9.5
2007-01-22,9.5
2007-01-23,10
2007-01-24,10.96
2007-01-25,11.2
2007-01-26,11.2
2007-01-29,11.25
2007-01-30,11.16
2007-01-31,10.97
2007-02-01,10.91
2007-02-02,10.06
2007-02-05,10
2007-02-06,10
2007-02-07,10
2007-02-08,10
2007-02-09,9.5
2007-02-12,9.55
2007-02-13,9.3
2007-02-14,7.85
2007-02-15,8.08
2007-02-16,8.1
2007-02-20,8.16
2007-02-21,8.11
2007-02-22,8.1
2007-02-23,7.98
2007-02-26,7.94
2007-02-27,7.2
2007-02-28,7.17
2007-03-01,7.04
2007-03-02,7
2007-03-05,6.64
2007-03-06,6.67
2007-03-07,6.83
2007-03-08,6.9
2007-03-09,7.42
2007-03-12,7.3
2007-03-13,7.2
2007-03-14,7.14
2007-03-15,6.91
2007-03-16,6.93
2007-03-19,6.66
2007-03-20,7.26
2007-03-21,7.4
2007-03-22,7.33
2007-03-23,7.16
2007-03-26,7.33
2007-03-27,7.29
2007-03-28,7.1
2007-03-29,7.22
2007-03-30,7.59
2007-04-02,7.45
2007-04-03,7.56
2007-04-04,7.59
2007-04-05,8.27
2007-04-09,8.38
2007-04-10,8.05
2007-04-11,8.9
2007-04-12,9.01
2007-04-13,8.69
2007-04-16,8.51
2007-04-17,8.25
2007-04-18,8.22
2007-04-19,8.45
2007-04-20,8.44
2007-04-23,8.9
2007-04-24,9.31
2007-04-25,9.16
2007-04-26,9.7
2007-04-27,9.7
2007-04-30,9.85
2007-05-01,9.09
2007-05-02,9.3
2007-05-03,8.95
2007-05-04,8.92
2007-05-07,8.73
2007-05-08,8.93
2007-05-09,8.73
2007-05-10,8.33
2007-05-11,8.27
2007-05-14,7.91
2007-05-15,8.06
2007-05-16,8.42
2007-05-17,8
2007-05-18,7.93
2007-05-21,7.85
2007-05-22,8.2
2007-05-23,8
2007-05-24,7.25
2007-05-25,7
2007-05-29,7.28
2007-05-30,7
2007-05-31,7.65
2007-06-01,7.45
2007-06-04,6.99
2007-06-05,7.08
2007-06-06,7.09
2007-06-07,7.14
2007-06-08,7.14
2007-06-11,6.96
2007-06-12,6.99
2007-06-13,6.95
2007-06-14,7.15
2007-06-15,7.02
2007-06-18,6.85
2007-06-19,7.2
2007-06-20,7.33
2007-06-21,7.43
2007-06-22,7.26
2007-06-25,7.51
2007-06-26,7.15
2007-06-27,7.1
2007-06-28,6.96
2007-06-29,6.33
2007-07-02,6.3
2007-07-03,6.3
2007-07-05,6.42
2007-07-06,6.21
2007-07-09,6.05
2007-07-10,6
2007-07-11,6.18
2007-07-12,6.05
2007-07-13,6.08
2007-07-16,6.54
2007-07-17,6.1
2007-07-18,6.3
2007-07-19,6.56
2007-07-20,6.22
2007-07-23,6.16
2007-07-24,6.1
2007-07-25,6.1
2007-07-26,6.17
2007-07-27,6.1
2007-07-30,5.83
2007-07-31,6.49
2007-08-01,6.47
2007-08-02,6.32
2007-08-03,6.33
2007-08-06,6.25
2007-08-07,6.29
2007-08-08,6.18
2007-08-09,6.11
2007-08-10,6.12
2007-08-13,6.12
2007-08-14,6
2007-08-15,5.96
2007-08-16,6
2007-08-17,5.81
2007-08-20,5.88
2007-08-21,5.95
2007-08-22,6.07
2007-08-23,6.07
2007-08-24,5.88
2007-08-27,6.02
2007-08-28,5.94
2007-08-29,5.9
2007-08-30,5.9
2007-08-31,6.11
2007-09-04,6.05
2007-09-05,6.01
2007-09-06,6
2007-09-07,6.07
2007-09-10,6.22
2007-09-11,6.07
2007-09-12,6.17
2007-09-13,6.26
2007-09-14,5.99
2007-09-17,6
2007-09-18,5.96
2007-09-19,5.85
2007-09-20,6.13
2007-09-21,6.06
2007-09-24,5.93
2007-09-25,5.76
2007-09-26,5.8
2007-09-27,5.78
2007-09-28,5.76
2007-10-01,5.72
2007-10-02,5.66
2007-10-03,5.79
2007-10-04,5.74
2007-10-05,5.65
2007-10-08,5.83
2007-10-09,6
2007-10-10,6.23
2007-10-11,6.21
2007-10-12,6.63
2007-10-15,6.65
2007-10-16,6.49
2007-10-17,6.49
2007-10-18,6.48
2007-10-19,6.4
2007-10-22,6.4
2007-10-23,6.41
2007-10-24,6.17
2007-10-25,6.01
2007-10-26,6.1
2007-10-29,6
2007-10-30,6
2007-10-31,6.08
2007-11-01,6.21
2007-11-02,6
2007-11-05,6
2007-11-06,6.03
2007-11-07,5.8
2007-11-08,5.81
2007-11-09,6.25
2007-11-12,6.69
2007-11-13,6.74
2007-11-14,6.61
2007-11-15,6.75
2007-11-16,6.9
2007-11-19,6.9
2007-11-20,6.85
2007-11-21,6.68
2007-11-23,6.7
2007-11-26,6.75
2007-11-27,6.65
2007-11-28,6.45
2007-11-29,6.71
2007-11-30,6.9
2007-12-03,6.87
2007-12-04,6.87
2007-12-05,7
2007-12-06,7
2007-12-07,7.04
2007-12-10,7.01
2007-12-11,7.01
2007-12-12,7.21
2007-12-13,7.24
2007-12-14,7.14
2007-12-17,7.06
2007-12-18,6.95
2007-12-19,6.98
2007-12-20,7.25
2007-12-21,7.43
2007-12-24,7.56
2007-12-26,8.1
2007-12-27,8
2007-12-28,7.97
2007-12-31,7.95
2008-01-02,7.89
2008-01-03,7.95
2008-01-04,8.14
2008-01-07,8.3
2008-01-08,8.05
2008-01-09,7.52
2008-01-10,7.7
2008-01-11,7.69
