"Index","ADHD.Close"
2013-05-22,7.55
2013-05-23,7.21
2013-05-24,7.25
2013-05-28,6.97
2013-05-29,6.85
2013-05-30,7.17
2013-05-31,7.2
2013-06-03,6.88
2013-06-04,6.84
2013-06-05,7.13
2013-06-06,7
2013-06-07,7.22
2013-06-10,7.03
2013-06-11,7
2013-06-12,6.85
2013-06-13,6.93
2013-06-14,7.1
2013-06-17,6.95
2013-06-18,7
2013-06-19,7.08
2013-06-20,7.1
2013-06-21,6.91
2013-06-24,6.64
2013-06-25,6.76
2013-06-26,6.77
2013-06-27,6.77
2013-06-28,6.85
2013-07-01,6.93
2013-07-02,6.95
2013-07-03,6.92
2013-07-05,6.84
2013-07-08,7.9
2013-07-09,8.33
2013-07-10,9.06
2013-07-11,9.6
2013-07-12,10.69
2013-07-15,10.25
2013-07-16,10.01
2013-07-17,10
2013-07-18,9.89
2013-07-19,9.97
2013-07-22,10.01
2013-07-23,10.01
2013-07-24,10.2
2013-07-25,10.2
2013-07-26,10.15
2013-07-29,9.99
2013-07-30,10.04
2013-07-31,10.35
2013-08-01,12
2013-08-02,14
2013-08-05,14.61
2013-08-06,13.15
2013-08-07,12.99
2013-08-08,14.34
2013-08-09,14.42
2013-08-12,14.48
2013-08-13,14.27
2013-08-14,14.26
2013-08-15,13.96
2013-08-16,13.77
2013-08-19,13.76
2013-08-20,13.33
2013-08-21,13.81
2013-08-22,13.22
2013-08-23,13.5
2013-08-26,13.49
2013-08-27,12.89
2013-08-28,13.01
2013-08-29,13.11
2013-08-30,12.89
2013-09-03,12.51
2013-09-04,12.47
2013-09-05,13.39
2013-09-06,13.76
2013-09-09,14.59
2013-09-10,14.96
2013-09-11,16.19
2013-09-12,16.21
2013-09-13,16.25
2013-09-16,16.01
2013-09-17,15.68
2013-09-18,15.65
2013-09-19,15.68
2013-09-20,15.92
2013-09-23,15.68
2013-09-24,15.08
2013-09-25,15.89
2013-09-26,16.9
2013-09-27,18.71
2013-09-30,18.04
2013-10-01,18.11
2013-10-02,20.48
2013-10-03,23.26
2013-10-04,24.68
2013-10-07,25.51
2013-10-08,22.77
2013-10-09,20.68
2013-10-10,22.25
2013-10-11,22.16
2013-10-14,21.47
2013-10-15,20.05
2013-10-16,18.97
2013-10-17,19.29
2013-10-18,19.29
2013-10-21,18.12
2013-10-22,16.29
2013-10-23,15.68
2013-10-24,17.1
2013-10-25,17.01
2013-10-28,17.12
2013-10-29,16.62
2013-10-30,16.59
2013-10-31,16.34
2013-11-01,16.04
2013-11-04,17.2
2013-11-05,17.65
2013-11-06,17.18
2013-11-07,16.3
2013-11-08,16.48
2013-11-11,16.39
2013-11-12,16.25
2013-11-13,16.02
2013-11-14,16.47
2013-11-15,16.29
2013-11-18,16.1
2013-11-19,15.51
2013-11-20,15.81
2013-11-21,15.89
2013-11-22,16.12
2013-11-25,17
2013-11-26,16.91
2013-11-27,17.16
2013-11-29,17.48
2013-12-02,17.05
2013-12-03,17.06
2013-12-04,16.98
2013-12-05,16.43
2013-12-06,16.5
2013-12-09,16.86
2013-12-10,17.94
2013-12-11,17.85
2013-12-12,17.12
2013-12-13,17.14
2013-12-16,18.04
2013-12-17,17.9
2013-12-18,18.43
2013-12-19,18.17
2013-12-20,18.49
2013-12-23,18.34
2013-12-24,18.03
2013-12-26,17.59
2013-12-27,17.51
2013-12-30,17.34
2013-12-31,18
2014-01-02,17.86
2014-01-03,18.12
2014-01-06,18.05
2014-01-07,19.19
2014-01-08,19.73
2014-01-09,19.9
2014-01-10,20.12
2014-01-13,20.84
2014-01-14,21.36
2014-01-15,20.9
2014-01-16,21
2014-01-17,21.2
2014-01-21,23.1
2014-01-22,23
2014-01-23,22.45
2014-01-24,21.12
2014-01-27,20.32
2014-01-28,20.91
2014-01-29,21.32
2014-01-30,21.89
2014-01-31,21.9
2014-02-03,20.64
2014-02-04,20.38
2014-02-05,20.01
2014-02-06,19.95
2014-02-07,21.19
2014-02-10,21.2
2014-02-11,21.74
2014-02-12,22.23
2014-02-13,22.79
2014-02-14,21.68
2014-02-18,20.55
2014-02-19,20.63
2014-02-20,21.63
2014-02-21,22.05
2014-02-24,22.45
2014-02-25,24.36
2014-02-26,25.02
2014-02-27,24.8
2014-02-28,23.81
2014-03-03,23
2014-03-04,22.41
2014-03-05,22.05
2014-03-06,23.61
2014-03-07,22.52
2014-03-10,22.62
2014-03-11,22.14
2014-03-12,22.19
2014-03-13,20.22
2014-03-14,20.21
2014-03-17,20.1
2014-03-18,20.79
2014-03-19,21.31
2014-03-20,22.12
2014-03-21,20.6
2014-03-24,19.66
2014-03-25,19.71
2014-03-26,19.04
2014-03-27,19.23
2014-03-28,18.53
2014-03-31,18.15
2014-04-01,18.49
2014-04-02,18.18
2014-04-03,17.49
2014-04-04,17.24
2014-04-07,16.91
2014-04-08,16.22
