"Index","ADPT.Close"
2014-06-25,25.75
2014-06-26,25.56
2014-06-27,25.3
2014-06-30,25.37
2014-07-01,25.1
2014-07-02,25.21
2014-07-03,25.33
2014-07-07,26
2014-07-08,25.92
2014-07-09,25.75
2014-07-10,25.33
2014-07-11,26.08
2014-07-14,27.15
2014-07-15,26.77
2014-07-16,26.56
2014-07-17,26.15
2014-07-18,26.15
2014-07-21,24.39
2014-07-22,24.46
2014-07-23,24.04
2014-07-24,24.26
2014-07-25,24.03
2014-07-28,24.2
2014-07-29,24.31
2014-07-30,24.25
2014-07-31,25.74
2014-08-01,26.88
2014-08-04,26.64
2014-08-05,25.64
2014-08-06,25.29
2014-08-07,24.62
2014-08-08,25.79
2014-08-11,25.88
2014-08-12,25.72
2014-08-13,25.92
2014-08-14,25.14
2014-08-15,24.4
2014-08-18,24.83
2014-08-19,26.93
2014-08-20,27.87
2014-08-21,27.51
2014-08-22,27.5
2014-08-25,28.05
2014-08-26,27.74
2014-08-27,28.19
2014-08-28,28.87
2014-08-29,28.29
2014-09-02,28
2014-09-03,27.98
2014-09-04,26.83
2014-09-05,25.73
2014-09-08,26.83
2014-09-09,25.93
2014-09-10,26.08
2014-09-11,27.85
2014-09-12,28.01
2014-09-15,27.95
2014-09-16,27.02
2014-09-17,27.08
2014-09-18,27.06
2014-09-19,24.74
2014-09-22,25.15
2014-09-23,25.46
2014-09-24,25.66
2014-09-25,25.57
2014-09-26,26.26
2014-09-29,26.04
2014-09-30,24.9
2014-10-01,25.01
2014-10-02,27.4
2014-10-03,27.1
2014-10-06,26.04
2014-10-07,26.22
2014-10-08,26.15
2014-10-09,25.34
2014-10-10,25.08
2014-10-13,25.32
2014-10-14,25.07
2014-10-15,25.2
2014-10-16,26.51
2014-10-17,26.03
2014-10-20,26.15
2014-10-21,26.35
2014-10-22,26.72
2014-10-23,26.75
2014-10-24,27.46
2014-10-27,27.03
2014-10-28,27.67
2014-10-29,32.23
2014-10-30,32.77
2014-10-31,33.18
2014-11-03,34.73
2014-11-04,34.31
2014-11-05,34.45
2014-11-06,33.65
2014-11-07,32.85
2014-11-10,33.41
2014-11-11,32.85
2014-11-12,33.46
2014-11-13,31.48
2014-11-14,32.18
2014-11-17,31.24
2014-11-18,31.06
2014-11-19,30.72
2014-11-20,30.53
2014-11-21,31.03
2014-11-24,31.9
2014-11-25,32.01
2014-11-26,31.16
2014-11-28,30.44
2014-12-01,30.81
2014-12-02,32.1
2014-12-03,32.01
2014-12-04,32.25
2014-12-05,33.22
2014-12-08,32.02
2014-12-09,32.97
2014-12-10,33.71
2014-12-11,35.14
2014-12-12,36.5
2014-12-15,37.51
2014-12-16,37
2014-12-17,37.44
2014-12-18,38.41
2014-12-19,37.35
2014-12-22,36.68
2014-12-23,36.91
2014-12-24,36.79
2014-12-26,37.02
2014-12-29,37.5
2014-12-30,37.87
2014-12-31,37.4
2015-01-02,37.99
2015-01-05,37.31
2015-01-06,36.39
2015-01-07,36.69
2015-01-08,36.66
2015-01-09,36.02
2015-01-12,36.67
2015-01-13,36.57
