"Index","ADTN.Close"
2007-01-03,23.4
2007-01-04,24.17
2007-01-05,23.32
2007-01-08,23.46
2007-01-09,23.77
2007-01-10,23.78
2007-01-11,23.42
2007-01-12,23.72
2007-01-16,23.34
2007-01-17,22.68
2007-01-18,22.11
2007-01-19,22.4
2007-01-22,22.35
2007-01-23,22.98
2007-01-24,22.98
2007-01-25,22.47
2007-01-26,22.95
2007-01-29,22.86
2007-01-30,22.48
2007-01-31,22.16
2007-02-01,22.23
2007-02-02,22.34
2007-02-05,22.47
2007-02-06,22.2
2007-02-07,22.8
2007-02-08,22.69
2007-02-09,22.6
2007-02-12,22.93
2007-02-13,23.25
2007-02-14,23.85
2007-02-15,23.82
2007-02-16,23.82
2007-02-20,24.21
2007-02-21,24
2007-02-22,24.02
2007-02-23,23.94
2007-02-26,23.88
2007-02-27,22.8
2007-02-28,23.03
2007-03-01,22.78
2007-03-02,22.2
2007-03-05,22.15
2007-03-06,22.66
2007-03-07,22.81
2007-03-08,22.87
2007-03-09,22.88
2007-03-12,23.83
2007-03-13,23.45
2007-03-14,23.76
2007-03-15,24.06
2007-03-16,23.55
2007-03-19,23.62
2007-03-20,23.77
2007-03-21,23.49
2007-03-22,23.5
2007-03-23,25.28
2007-03-26,24.68
2007-03-27,24.3
2007-03-28,24.32
2007-03-29,24.16
2007-03-30,24.35
2007-04-02,24.25
2007-04-03,24.41
2007-04-04,24.96
2007-04-05,24.99
2007-04-09,24.87
2007-04-10,24.64
2007-04-11,24.77
2007-04-12,24.62
2007-04-13,25.25
2007-04-16,24.99
2007-04-17,26.53
2007-04-18,26.42
2007-04-19,26.52
2007-04-20,26.53
2007-04-23,26.42
2007-04-24,26.46
2007-04-25,26.79
2007-04-26,26.65
2007-04-27,26.26
2007-04-30,25.45
2007-05-01,25.66
2007-05-02,26.06
2007-05-03,25.92
2007-05-04,25.61
2007-05-07,25.47
2007-05-08,25.83
2007-05-09,26.08
2007-05-10,25.63
2007-05-11,26.06
2007-05-14,25.98
2007-05-15,25.78
2007-05-16,26.14
2007-05-17,25.82
2007-05-18,26.41
2007-05-21,26.41
2007-05-22,26.32
2007-05-23,26.3
2007-05-24,25.77
2007-05-25,25.95
2007-05-29,26.08
2007-05-30,26.36
2007-05-31,27.06
2007-06-01,26.97
2007-06-04,27.09
2007-06-05,26.85
2007-06-06,26.3
2007-06-07,25.99
2007-06-08,26.1
2007-06-11,26.05
2007-06-12,25.82
2007-06-13,26.08
2007-06-14,26.07
2007-06-15,26.41
2007-06-18,26.47
2007-06-19,26.15
2007-06-20,24.97
2007-06-21,25.41
2007-06-22,24.84
2007-06-25,24.67
2007-06-26,24.54
2007-06-27,25.05
2007-06-28,25.84
2007-06-29,25.97
2007-07-02,26.06
2007-07-03,26.09
2007-07-05,26.23
2007-07-06,26.03
2007-07-09,25.81
2007-07-10,25.51
2007-07-11,25.59
2007-07-12,25.85
2007-07-13,27.17
2007-07-16,26.74
2007-07-17,27.61
2007-07-18,27.84
2007-07-19,28.26
2007-07-20,27.76
2007-07-23,28.08
2007-07-24,27.5
2007-07-25,27.63
2007-07-26,26.77
2007-07-27,26.22
2007-07-30,26.49
2007-07-31,26.09
2007-08-01,26.13
2007-08-02,26.5
2007-08-03,25.61
2007-08-06,24.87
2007-08-07,24.73
2007-08-08,24.92
2007-08-09,24.75
2007-08-10,25.17
2007-08-13,25.45
2007-08-14,25.08
2007-08-15,24.85
2007-08-16,25.14
2007-08-17,26.03
2007-08-20,26.35
2007-08-21,26.69
2007-08-22,26.8
2007-08-23,26.66
2007-08-24,26.9
2007-08-27,26.61
2007-08-28,25.77
2007-08-29,26.37
2007-08-30,26.38
2007-08-31,26.73
2007-09-04,26.42
2007-09-05,26.01
2007-09-06,25.65
2007-09-07,24.89
2007-09-10,24.98
2007-09-11,25.49
2007-09-12,25.44
2007-09-13,25.16
2007-09-14,25.31
2007-09-17,24.88
2007-09-18,25.44
2007-09-19,25.97
2007-09-20,26.41
2007-09-21,26.41
2007-09-24,22.84
2007-09-25,22.34
2007-09-26,22.3
2007-09-27,23
2007-09-28,23.03
2007-10-01,23.43
2007-10-02,22.82
2007-10-03,22.72
2007-10-04,22.9
2007-10-05,23.22
2007-10-08,23.37
2007-10-09,23.19
2007-10-10,23.68
2007-10-11,23.03
2007-10-12,22.58
2007-10-15,22.36
2007-10-16,24.04
2007-10-17,23.36
2007-10-18,23.75
2007-10-19,23.02
2007-10-22,23.69
2007-10-23,23.7
2007-10-24,22.99
2007-10-25,22.68
2007-10-26,23.86
2007-10-29,24.19
2007-10-30,24
2007-10-31,24.07
2007-11-01,22.56
2007-11-02,23.02
2007-11-05,22.73
2007-11-06,22.77
2007-11-07,22.71
2007-11-08,22.85
2007-11-09,22.7
2007-11-12,22.97
2007-11-13,23.24
2007-11-14,22.92
2007-11-15,22.55
2007-11-16,22.52
2007-11-19,22.08
2007-11-20,21.92
2007-11-21,21.39
2007-11-23,22
2007-11-26,21.22
2007-11-27,21.93
