"Index","AEIS.Close"
2007-01-03,18.75
2007-01-04,18.89
2007-01-05,18.63
2007-01-08,18.88
2007-01-09,18.66
2007-01-10,18.93
2007-01-11,18.89
2007-01-12,18.95
2007-01-16,18.58
2007-01-17,18.68
2007-01-18,16.89
2007-01-19,16.87
2007-01-22,16.88
2007-01-23,17.13
2007-01-24,17.15
2007-01-25,16.69
2007-01-26,16.96
2007-01-29,16.94
2007-01-30,17.14
2007-01-31,17.33
2007-02-01,17.77
2007-02-02,17.81
2007-02-05,17.5
2007-02-06,17.56
2007-02-07,20.41
2007-02-08,19.27
2007-02-09,19.12
2007-02-12,19.13
2007-02-13,19.46
2007-02-14,19.96
2007-02-15,20.26
2007-02-16,20.08
2007-02-20,20.07
2007-02-21,20.19
2007-02-22,20.51
2007-02-23,20.43
2007-02-26,21.07
2007-02-27,19.83
2007-02-28,20.14
2007-03-01,20
2007-03-02,19.05
2007-03-05,18.74
2007-03-06,19.76
2007-03-07,20.01
2007-03-08,20.7
2007-03-09,21.29
2007-03-12,21.1
2007-03-13,20.36
2007-03-14,20.48
2007-03-15,20.69
2007-03-16,20.8
2007-03-19,21.1
2007-03-20,21.14
2007-03-21,21.46
2007-03-22,21.3
2007-03-23,21.31
2007-03-26,21.19
2007-03-27,21.31
2007-03-28,21.13
2007-03-29,20.81
2007-03-30,21.04
2007-04-02,21.3
2007-04-03,21.88
2007-04-04,21.77
2007-04-05,22.29
2007-04-09,22.56
2007-04-10,22.65
2007-04-11,22.16
2007-04-12,23.27
2007-04-13,23.52
2007-04-16,23.66
2007-04-17,23.27
2007-04-18,23.32
2007-04-19,22.97
2007-04-20,23.25
2007-04-23,23.54
2007-04-24,22.86
2007-04-25,21.5
2007-04-26,25.03
2007-04-27,24.21
2007-04-30,24.5
2007-05-01,24.9
2007-05-02,24.88
2007-05-03,25.39
2007-05-04,25.68
2007-05-07,25.47
2007-05-08,25.25
2007-05-09,24.55
2007-05-10,23.71
2007-05-11,24.5
2007-05-14,24.38
2007-05-15,24.18
2007-05-16,23.62
2007-05-17,23.56
2007-05-18,23.72
2007-05-21,23.98
2007-05-22,24.57
2007-05-23,24.42
2007-05-24,22.81
2007-05-25,23.17
2007-05-29,23.57
2007-05-30,22.95
2007-05-31,24.54
2007-06-01,25.14
2007-06-04,25.13
2007-06-05,24.98
2007-06-06,24.61
2007-06-07,23.76
2007-06-08,24.23
2007-06-11,24
2007-06-12,23.1
2007-06-13,23.5
2007-06-14,23.73
2007-06-15,24.14
2007-06-18,23.44
2007-06-19,22.89
2007-06-20,22.37
2007-06-21,23.13
2007-06-22,22.25
2007-06-25,21.94
2007-06-26,21.87
2007-06-27,22.23
2007-06-28,21.93
2007-06-29,22.66
2007-07-02,22.43
2007-07-03,22.26
2007-07-05,22.47
2007-07-06,22.31
2007-07-09,22.89
2007-07-10,22.51
2007-07-11,22.64
2007-07-12,22.99
2007-07-13,22.47
2007-07-16,22.44
2007-07-17,24.12
2007-07-18,23.51
2007-07-19,24.03
2007-07-20,23.6
2007-07-23,23.25
2007-07-24,22.47
2007-07-25,23.14
2007-07-26,19.27
2007-07-27,17.93
2007-07-30,17.97
2007-07-31,17.71
2007-08-01,17.88
2007-08-02,17.38
2007-08-03,16.34
2007-08-06,16
2007-08-07,15.45
2007-08-08,14.12
2007-08-09,13.93
2007-08-10,16.86
2007-08-13,17.5
2007-08-14,17.06
2007-08-15,16.53
2007-08-16,16.24
2007-08-17,16.78
2007-08-20,16.7
2007-08-21,16.83
2007-08-22,17.31
2007-08-23,17.72
2007-08-24,17.78
2007-08-27,17.36
2007-08-28,15.9
2007-08-29,16.21
2007-08-30,15.97
2007-08-31,16.23
2007-09-04,16.26
2007-09-05,16.72
2007-09-06,16.52
2007-09-07,16.06
2007-09-10,15.53
2007-09-11,15.3
2007-09-12,15.1
2007-09-13,14.98
2007-09-14,15.34
2007-09-17,14.59
2007-09-18,15.32
2007-09-19,15.16
2007-09-20,14.96
2007-09-21,15.32
2007-09-24,15.22
2007-09-25,15.61
2007-09-26,15.58
2007-09-27,15.79
2007-09-28,15.1
2007-10-01,17.03
2007-10-02,17.31
2007-10-03,16.9
2007-10-04,16.68
2007-10-05,17.16
2007-10-08,16.86
2007-10-09,16.57
2007-10-10,16.03
2007-10-11,15.44
2007-10-12,16.11
2007-10-15,15.89
2007-10-16,15.35
2007-10-17,15.49
2007-10-18,15.7
2007-10-19,15.13
2007-10-22,16.08
2007-10-23,16.3
2007-10-24,15.83
2007-10-25,15.11
2007-10-26,14.93
2007-10-29,15.09
2007-10-30,15.56
2007-10-31,16
2007-11-01,15.53
2007-11-02,16.41
2007-11-05,16.67
2007-11-06,16.58
2007-11-07,15.3
2007-11-08,15.45
2007-11-09,15.65
2007-11-12,15.78
2007-11-13,15.74
2007-11-14,15.98
2007-11-15,14.73
2007-11-16,14.78
2007-11-19,14.33
2007-11-20,14.5
2007-11-21,14.2
2007-11-23,14.66
2007-11-26,14.01
2007-11-27,13.73
2007-11-28,14.92
2007-11-29,14.3
2007-11-30,14.51
2007-12-03,13.91
2007-12-04,13.49
2007-12-05,14.05
2007-12-06,13.91
2007-12-07,13.99
2007-12-10,14.2
2007-12-11,13.85
2007-12-12,14.03
2007-12-13,13.94
2007-12-14,13.61
2007-12-17,12.93
2007-12-18,12.65
2007-12-19,12.81
2007-12-20,12.56
2007-12-21,13
2007-12-24,13.4
2007-12-26,13
2007-12-27,12.92
2007-12-28,13.04
2007-12-31,13.08
2008-01-02,12.76
2008-01-03,12.25
2008-01-04,11.13
2008-01-07,10.96
2008-01-08,10.55
2008-01-09,10.63
2008-01-10,11.23
2008-01-11,10.82
2008-01-14,11.35
2008-01-15,10.64
2008-01-16,10.99
2008-01-17,10.93
2008-01-18,11.09
2008-01-22,11.03
2008-01-23,9.98
2008-01-24,9.88
2008-01-25,10.32
2008-01-28,10.54
2008-01-29,10.73
2008-01-30,10.81
2008-01-31,10.81
2008-02-01,12.25
2008-02-04,11.57
2008-02-05,11.11
2008-02-06,11.07
2008-02-07,11.28
2008-02-08,11.68
2008-02-11,11.39
2008-02-12,11.79
2008-02-13,12.31
2008-02-14,12.3
2008-02-15,12.19
2008-02-19,12.42
2008-02-20,12.88
2008-02-21,13.03
2008-02-22,13
2008-02-25,13.54
2008-02-26,13.47
2008-02-27,13.2
2008-02-28,12.82
2008-02-29,12.82
2008-03-03,12.58
2008-03-04,12.94
2008-03-05,13.02
2008-03-06,12.36
2008-03-07,12.68
2008-03-10,12.44
2008-03-11,13.19
2008-03-12,13.38
2008-03-13,13.65
2008-03-14,13.43
2008-03-17,13.29
2008-03-18,13.2
2008-03-19,12.76
2008-03-20,13.1
2008-03-24,13.81
2008-03-25,13.61
2008-03-26,13.59
2008-03-27,13.03
2008-03-28,13
2008-03-31,13.26
2008-04-01,13.68
2008-04-02,14.06
2008-04-03,14.16
2008-04-04,13.89
2008-04-07,13.79
2008-04-08,13.67
2008-04-09,13.45
2008-04-10,13.78
2008-04-11,13.09
2008-04-14,13.24
2008-04-15,13.59
2008-04-16,14.09
2008-04-17,13.82
2008-04-18,13.77
2008-04-21,14.11
2008-04-22,13.7
2008-04-23,13.47
2008-04-24,14.43
2008-04-25,14.93
2008-04-28,14.38
2008-04-29,14.32
2008-04-30,14
2008-05-01,14.5
2008-05-02,14.16
2008-05-05,14.44
2008-05-06,14.65
2008-05-07,14.43
2008-05-08,14.26
2008-05-09,15.23
2008-05-12,15.22
2008-05-13,15.51
2008-05-14,16.06
2008-05-15,16.1
2008-05-16,15.93
2008-05-19,15.87
2008-05-20,15.56
2008-05-21,15.27
2008-05-22,15.46
2008-05-23,14.97
2008-05-27,15.38
2008-05-28,15.16
2008-05-29,15.27
2008-05-30,15.84
2008-06-02,15.29
2008-06-03,15
2008-06-04,15.05
2008-06-05,14.73
2008-06-06,14.14
2008-06-09,13.97
2008-06-10,13.67
2008-06-11,13.21
2008-06-12,13.37
2008-06-13,14.16
2008-06-16,14.45
2008-06-17,14.11
2008-06-18,14.11
2008-06-19,14.11
2008-06-20,13.89
2008-06-23,13.73
2008-06-24,14.56
2008-06-25,14.64
2008-06-26,13.85
2008-06-27,13.99
2008-06-30,13.7
2008-07-01,14.19
2008-07-02,13.85
2008-07-03,13.96
2008-07-07,14.19
2008-07-08,14.55
2008-07-09,13.9
2008-07-10,14.39
2008-07-11,12.93
2008-07-14,12.63
2008-07-15,13.02
2008-07-16,13.66
2008-07-17,13.69
2008-07-18,13.48
2008-07-21,13.61
2008-07-22,13.69
2008-07-23,14.14
2008-07-24,14.2
2008-07-25,13.79
2008-07-28,13.58
2008-07-29,14.02
2008-07-30,14.15
2008-07-31,13.82
2008-08-01,14
2008-08-04,13.61
2008-08-05,15.03
2008-08-06,14.86
2008-08-07,14.68
2008-08-08,15.22
2008-08-11,16
2008-08-12,15.72
2008-08-13,16.82
2008-08-14,15.92
2008-08-15,16.55
2008-08-18,16.3
2008-08-19,16.23
2008-08-20,16.04
2008-08-21,15.79
2008-08-22,16.32
2008-08-25,16.07
2008-08-26,16.01
2008-08-27,16.23
2008-08-28,16.59
2008-08-29,16.13
2008-09-02,16.59
2008-09-03,16.33
2008-09-04,15.1
2008-09-05,14.71
2008-09-08,14.76
2008-09-09,14.06
2008-09-10,14.42
2008-09-11,14.69
2008-09-12,14.27
2008-09-15,13.63
2008-09-16,14
2008-09-17,13.12
2008-09-18,13.68
2008-09-19,15.35
2008-09-22,14.55
2008-09-23,14.55
2008-09-24,14.49
2008-09-25,14.92
2008-09-26,14.89
2008-09-29,13.42
2008-09-30,13.68
2008-10-01,13.42
2008-10-02,12.68
2008-10-03,12.41
2008-10-06,11.63
2008-10-07,10.68
2008-10-08,10.58
2008-10-09,10.02
2008-10-10,10
2008-10-13,10.91
2008-10-14,10.49
2008-10-15,9.54
2008-10-16,10.62
2008-10-17,10.18
2008-10-20,10.4
2008-10-21,9.94
2008-10-22,8.97
2008-10-23,8.98
2008-10-24,8.47
2008-10-27,8.1
2008-10-28,8.97
2008-10-29,9.66
2008-10-30,9.8
2008-10-31,10.67
2008-11-03,10.91
2008-11-04,11.11
2008-11-05,10.37
2008-11-06,9.67
2008-11-07,9.76
2008-11-10,9.45
2008-11-11,8.93
2008-11-12,8.04
2008-11-13,8.41
2008-11-14,7.16
2008-11-17,6.74
2008-11-18,6.72
2008-11-19,6.37
2008-11-20,5.94
2008-11-21,6.63
2008-11-24,6.96
2008-11-25,6.77
2008-11-26,7.92
2008-11-28,7.78
2008-12-01,6.98
2008-12-02,7.25
2008-12-03,7.59
2008-12-04,7.88
2008-12-05,8.55
2008-12-08,9.29
2008-12-09,9.48
2008-12-10,9.62
2008-12-11,9.14
2008-12-12,10.14
2008-12-15,9.46
2008-12-16,10.08
2008-12-17,9.98
2008-12-18,9.86
2008-12-19,9.92
2008-12-22,9.67
2008-12-23,9.62
2008-12-24,9.68
2008-12-26,9.59
2008-12-29,9.55
2008-12-30,10.1
2008-12-31,9.95
2009-01-02,9.97
2009-01-05,10.01
2009-01-06,10.42
2009-01-07,10.19
2009-01-08,10.11
2009-01-09,9.51
2009-01-12,9.02
2009-01-13,8.96
2009-01-14,8.73
2009-01-15,8.9
2009-01-16,9.13
2009-01-20,8.2
2009-01-21,8.66
2009-01-22,8.39
2009-01-23,8.55
2009-01-26,8.68
2009-01-27,9.28
2009-01-28,9.75
2009-01-29,9.19
2009-01-30,8.98
2009-02-02,9.04
2009-02-03,8.83
2009-02-04,8.96
2009-02-05,8.79
2009-02-06,9.05
2009-02-09,9.07
2009-02-10,8.57
2009-02-11,8.47
2009-02-12,8.51
2009-02-13,8.64
2009-02-17,7.85
2009-02-18,7.83
2009-02-19,7.69
2009-02-20,7.69
2009-02-23,7.15
2009-02-24,6.65
2009-02-25,6.49
2009-02-26,6.71
2009-02-27,6.76
2009-03-02,5.85
2009-03-03,5.55
2009-03-04,5.99
2009-03-05,5.6
2009-03-06,5.66
2009-03-09,5.49
2009-03-10,5.76
2009-03-11,5.94
2009-03-12,6.51
2009-03-13,6.44
2009-03-16,6.2
2009-03-17,6.72
2009-03-18,7.24
2009-03-19,7.14
2009-03-20,6.91
2009-03-23,7.77
2009-03-24,7.35
2009-03-25,7.58
2009-03-26,8.18
2009-03-27,7.58
2009-03-30,7.33
2009-03-31,7.53
2009-04-01,7.97
2009-04-02,8.64
2009-04-03,8.71
2009-04-06,8.42
2009-04-07,7.73
2009-04-08,8.07
2009-04-09,8.86
2009-04-13,8.61
2009-04-14,8.3
2009-04-15,8.16
2009-04-16,8.62
2009-04-17,9.02
2009-04-20,8.52
2009-04-21,8.96
2009-04-22,9.26
2009-04-23,8.49
2009-04-24,7.95
2009-04-27,8.03
2009-04-28,8.08
2009-04-29,8.3
2009-04-30,8.43
2009-05-01,8.21
2009-05-04,9.04
2009-05-05,8.59
2009-05-06,8.97
2009-05-07,8.63
2009-05-08,8.7
2009-05-11,8.39
2009-05-12,8.25
2009-05-13,7.87
2009-05-14,8.22
2009-05-15,8.22
2009-05-18,8.36
2009-05-19,8.51
2009-05-20,8.35
2009-05-21,8.2
2009-05-22,8.18
2009-05-26,9.25
2009-05-27,9.21
2009-05-28,9.3
2009-05-29,9.45
2009-06-01,10.23
2009-06-02,10.07
2009-06-03,9.95
2009-06-04,10.3
2009-06-05,10.35
2009-06-08,9.95
2009-06-09,10.04
2009-06-10,10.26
2009-06-11,10.21
2009-06-12,10.22
2009-06-15,9.94
2009-06-16,9.52
2009-06-17,9.51
2009-06-18,9.29
2009-06-19,9.12
2009-06-22,8.5
2009-06-23,8.63
2009-06-24,8.64
2009-06-25,8.92
2009-06-26,8.96
2009-06-29,9
2009-06-30,8.99
2009-07-01,9.72
2009-07-02,9.34
2009-07-06,9.45
2009-07-07,10.05
2009-07-08,10.04
2009-07-09,10.14
2009-07-10,10.25
2009-07-13,10.34
2009-07-14,10.85
2009-07-15,11.26
2009-07-16,11.51
2009-07-17,11.39
2009-07-20,11.24
2009-07-21,11.21
2009-07-22,11.79
2009-07-23,11.85
2009-07-24,11.44
2009-07-27,11.61
2009-07-28,12.11
2009-07-29,11.96
2009-07-30,11.99
2009-07-31,12.03
2009-08-03,11.8
2009-08-04,11.74
2009-08-05,11.3
2009-08-06,10.88
2009-08-07,10.87
2009-08-10,10.68
2009-08-11,10.42
2009-08-12,10.69
2009-08-13,10.71
2009-08-14,10.48
2009-08-17,10.09
2009-08-18,10.35
2009-08-19,10.71
2009-08-20,10.55
2009-08-21,10.56
2009-08-24,10.89
2009-08-25,11.08
2009-08-26,11.08
2009-08-27,10.92
2009-08-28,10.93
2009-08-31,10.46
2009-09-01,10.48
2009-09-02,10.39
2009-09-03,10.49
2009-09-04,11.51
2009-09-08,11.49
2009-09-09,11.89
2009-09-10,12.07
2009-09-11,11.88
2009-09-14,12.28
2009-09-15,12.58
2009-09-16,12.79
