"Index","AEZS.Close"
2007-01-03,23.7
2007-01-04,23.4
2007-01-05,23.22
2007-01-08,23.4
2007-01-09,24.18
2007-01-10,24.96
2007-01-11,24.66
2007-01-12,24.9
2007-01-16,25.98
2007-01-17,26.16
2007-01-18,26.04
2007-01-19,25.44
2007-01-22,24.42
2007-01-23,23.94
2007-01-24,24.48
2007-01-25,24.12
2007-01-26,24.12
2007-01-29,24.36
2007-01-30,24.36
2007-01-31,24.36
2007-02-01,24.42
2007-02-02,24.45
2007-02-05,24.24
2007-02-06,24
2007-02-07,24.3
2007-02-08,24.18
2007-02-09,23.82
2007-02-12,23.52
2007-02-13,23.7
2007-02-14,23.22
2007-02-15,22.98
2007-02-16,22.08
2007-02-20,23.22
2007-02-21,22.5
2007-02-22,21.6
2007-02-23,22.02
2007-02-26,21.66
2007-02-27,19.86
2007-02-28,20.04
2007-03-01,19.8
2007-03-02,19.26
2007-03-05,17.58
2007-03-06,18.24
2007-03-07,18.9
2007-03-08,19.68
2007-03-09,19.32
2007-03-12,19.44
2007-03-13,18.72
2007-03-14,18.48
2007-03-15,18.66
2007-03-16,18.84
2007-03-19,18.96
2007-03-20,20.64
2007-03-21,19.68
2007-03-22,21.24
2007-03-23,21.54
2007-03-26,22.38
2007-03-27,22.68
2007-03-28,23.52
2007-03-29,23.22
2007-03-30,22.74
2007-04-02,23.7
2007-04-03,24.3
2007-04-04,23.7
2007-04-05,24.06
2007-04-09,24.48
2007-04-10,24.3
2007-04-11,23.82
2007-04-12,23.88
2007-04-13,24.36
2007-04-16,24.18
2007-04-17,24.06
2007-04-18,24.3
2007-04-19,24.12
2007-04-20,24.06
2007-04-23,23.64
2007-04-24,23.22
2007-04-25,23.04
2007-04-26,23.34
2007-04-27,23.16
2007-04-30,21.78
2007-05-01,21.72
2007-05-02,22.8
2007-05-03,23.7
2007-05-04,23.76
2007-05-07,23.94
2007-05-08,22.92
2007-05-09,21.24
2007-05-10,21.6
2007-05-11,21.24
2007-05-14,21.3
2007-05-15,21.4
2007-05-16,21.42
2007-05-17,21.6
2007-05-18,22.08
2007-05-21,23.22
2007-05-22,22.2
2007-05-23,22.14
2007-05-24,22.14
2007-05-25,22.26
2007-05-29,22.5
2007-05-30,22.44
2007-05-31,22.2
2007-06-01,22.08
2007-06-04,22.14
2007-06-05,21.48
2007-06-06,21.3
2007-06-07,20.64
2007-06-08,20.28
2007-06-11,20.46
2007-06-12,19.62
2007-06-13,20.22
2007-06-14,20.22
2007-06-15,20.64
2007-06-18,20.52
2007-06-19,20.4
2007-06-20,19.86
2007-06-21,20.04
2007-06-22,20.4
2007-06-25,20.46
2007-06-26,19.86
2007-06-27,20.09
2007-06-28,20.22
2007-06-29,20.76
2007-07-02,20.94
2007-07-03,21
2007-07-05,20.82
2007-07-06,20.88
2007-07-09,20.23
2007-07-10,20.22
2007-07-11,19.92
2007-07-12,19.74
2007-07-13,19.44
2007-07-16,19.44
2007-07-17,19.98
2007-07-18,19.38
2007-07-19,19.44
2007-07-20,18.96
2007-07-23,19.26
2007-07-24,18.24
2007-07-25,18.9
2007-07-26,18.3
2007-07-27,17.58
2007-07-30,17.64
2007-07-31,17.34
2007-08-01,17.04
2007-08-02,18.24
2007-08-03,16.92
2007-08-06,16.08
2007-08-07,16.68
2007-08-08,17.46
2007-08-09,16.56
2007-08-10,15.66
2007-08-13,14.82
2007-08-14,14.7
2007-08-15,14.04
2007-08-16,13.98
2007-08-17,15.06
2007-08-20,17.1
2007-08-21,17.16
2007-08-22,17.16
2007-08-23,17.16
2007-08-24,17.1
2007-08-27,18
2007-08-28,17.58
2007-08-29,17.64
2007-08-30,17.28
2007-08-31,17.46
2007-09-04,17.52
2007-09-05,16.68
2007-09-06,16.62
2007-09-07,16.2
2007-09-10,15.42
2007-09-11,15.42
2007-09-12,14.82
2007-09-13,14.94
2007-09-14,14.76
2007-09-17,14.64
2007-09-18,14.76
2007-09-19,14.76
2007-09-20,15.42
2007-09-21,15.84
2007-09-24,15.3
2007-09-25,15.24
2007-09-26,15.18
2007-09-27,15.84
2007-09-28,15.72
2007-10-01,15.12
2007-10-02,13.92
2007-10-03,14.16
2007-10-04,14.52
2007-10-05,14.34
2007-10-08,13.97
2007-10-09,14.16
2007-10-10,13.5
2007-10-11,12.36
2007-10-12,11.22
2007-10-15,11.76
2007-10-16,11.22
2007-10-17,11.4
2007-10-18,11.04
2007-10-19,11.82
2007-10-22,11.4
2007-10-23,11.34
2007-10-24,11.82
2007-10-25,11.7
2007-10-26,11.34
2007-10-29,11.7
2007-10-30,11.46
2007-10-31,11.58
2007-11-01,11.31
2007-11-02,11.22
2007-11-05,11.7
2007-11-06,11.7
2007-11-07,10.92
2007-11-08,11.4
2007-11-09,11.4
2007-11-12,11.1
2007-11-13,10.98
2007-11-14,11.16
2007-11-15,11.04
2007-11-16,10.92
2007-11-19,10.08
2007-11-20,10.3
2007-11-21,9.48
2007-11-23,9.72
