"Index","AFCE.Close"
2007-01-03,17.32
2007-01-04,17.58
2007-01-05,17.35
2007-01-08,17.38
2007-01-09,17.5
2007-01-10,17.44
2007-01-11,17.46
2007-01-12,17.44
2007-01-16,17.53
2007-01-17,17.19
2007-01-18,17.39
2007-01-19,17.38
2007-01-22,17.32
2007-01-23,17.34
2007-01-24,17.41
2007-01-25,16.87
2007-01-26,17.01
2007-01-29,16.9
2007-01-30,17.29
2007-01-31,16.76
2007-02-01,16.51
2007-02-02,16.7
2007-02-05,16.52
2007-02-06,16.6
2007-02-07,16.86
2007-02-08,16.91
2007-02-09,16.54
2007-02-12,16.76
2007-02-13,17.6
2007-02-14,17.76
2007-02-15,17.95
2007-02-16,17.95
2007-02-20,17.99
2007-02-21,18.59
2007-02-22,18.41
2007-02-23,18.54
2007-02-26,18.07
2007-02-27,17.15
2007-02-28,17.19
2007-03-01,17.14
2007-03-02,16
2007-03-05,16.39
2007-03-06,16.18
2007-03-07,16.42
2007-03-08,16.27
2007-03-09,16.05
2007-03-12,16.44
2007-03-13,16.07
2007-03-14,16.09
2007-03-15,16.44
2007-03-16,16.59
2007-03-19,17.25
2007-03-20,18.01
2007-03-21,18.47
2007-03-22,18.54
2007-03-23,18.98
2007-03-26,18.95
2007-03-27,19.05
2007-03-28,19.04
2007-03-29,19.06
2007-03-30,20.05
2007-04-02,19.78
2007-04-03,20.13
2007-04-04,19.99
2007-04-05,19.88
2007-04-09,19.8
2007-04-10,19.99
2007-04-11,19.66
2007-04-12,19.77
2007-04-13,19.83
2007-04-16,19.97
2007-04-17,19.97
2007-04-18,19.75
2007-04-19,19.75
2007-04-20,19.82
2007-04-23,19.67
2007-04-24,19.64
2007-04-25,19.76
2007-04-26,19.78
2007-04-27,19.64
2007-04-30,19.01
2007-05-01,19.75
2007-05-02,19.74
2007-05-03,19.84
2007-05-04,19.97
2007-05-07,20.91
2007-05-08,20.94
2007-05-09,20.67
2007-05-10,20.06
2007-05-11,20.3
2007-05-14,20.24
2007-05-15,19.92
2007-05-16,20.45
2007-05-17,19.69
2007-05-18,20.11
2007-05-21,20.07
2007-05-22,19.9
2007-05-23,19.65
2007-05-24,19.78
2007-05-25,18.79
2007-05-29,19.31
2007-05-30,19.23
2007-05-31,19.47
2007-06-01,18.22
2007-06-04,18.01
2007-06-05,18.19
2007-06-06,18.24
2007-06-07,17.79
2007-06-08,17.52
2007-06-11,17.45
2007-06-12,17.46
2007-06-13,17.49
2007-06-14,18.06
2007-06-15,17.72
2007-06-18,18.04
2007-06-19,18.1
2007-06-20,17.79
2007-06-21,17.81
2007-06-22,17.39
2007-06-25,17.21
2007-06-26,17.55
2007-06-27,17.34
2007-06-28,17.77
2007-06-29,17.29
2007-07-02,17.66
2007-07-03,17.88
2007-07-05,18.03
2007-07-06,17.9
2007-07-09,17.83
2007-07-10,17.24
2007-07-11,17.41
2007-07-12,17.96
2007-07-13,17.76
2007-07-16,17.51
2007-07-17,17.53
2007-07-18,17.41
2007-07-19,17.4
2007-07-20,16.67
2007-07-23,17
2007-07-24,15.85
2007-07-25,16.44
2007-07-26,16.31
2007-07-27,15.81
2007-07-30,15.95
2007-07-31,15.67
2007-08-01,16.14
2007-08-02,16.65
2007-08-03,15.83
