"Index","AFFM.Close"
2007-01-03,16.55
2007-01-04,16.49
2007-01-05,16.18
2007-01-08,16.54
2007-01-09,16.49
2007-01-10,16.33
2007-01-11,16.44
2007-01-12,16.65
2007-01-16,16.71
2007-01-17,16.41
2007-01-18,16.3
2007-01-19,16.71
2007-01-22,16.31
2007-01-23,16.39
2007-01-24,16.37
2007-01-25,16.87
2007-01-26,16.47
2007-01-29,16.75
2007-01-30,17.13
2007-01-31,17.35
2007-02-01,17.55
2007-02-02,17.62
2007-02-05,17.26
2007-02-06,17.29
2007-02-07,17.09
2007-02-08,16.98
2007-02-09,16.69
2007-02-12,16.58
2007-02-13,16.56
2007-02-14,16.43
2007-02-15,16.37
2007-02-16,16.48
2007-02-20,16.39
2007-02-21,16.47
2007-02-22,16.57
2007-02-23,16.38
2007-02-26,16.3
2007-02-27,15.93
2007-02-28,16.15
2007-03-01,16.09
2007-03-02,15.96
2007-03-05,15.89
2007-03-06,16.39
2007-03-07,16.85
2007-03-08,16.95
2007-03-09,17.52
2007-03-12,17.58
2007-03-13,17.25
2007-03-14,17.45
2007-03-15,18.1
2007-03-16,17.78
2007-03-19,17.77
2007-03-20,17.31
2007-03-21,18.23
2007-03-22,18.12
2007-03-23,18.38
2007-03-26,17.99
2007-03-27,17.96
2007-03-28,17.44
2007-03-29,17.28
2007-03-30,17.3
2007-04-02,17.47
2007-04-03,17.91
2007-04-04,17.42
2007-04-05,17.02
2007-04-09,17.4
2007-04-10,17.33
2007-04-11,16.99
2007-04-12,17.14
2007-04-13,17.38
2007-04-16,17.09
2007-04-17,16.65
2007-04-18,16.98
2007-04-19,16.99
2007-04-20,16.63
2007-04-23,17.19
2007-04-24,16.48
2007-04-25,16.59
2007-04-26,16.44
2007-04-27,16.28
2007-04-30,16.23
2007-05-01,16.27
2007-05-02,16.55
2007-05-03,16.51
2007-05-04,16.36
2007-05-07,16.39
2007-05-08,16.35
2007-05-09,16.46
2007-05-10,16.18
2007-05-11,15.86
2007-05-14,15.68
2007-05-15,15.31
2007-05-16,15.6
2007-05-17,14.85
2007-05-18,14.41
2007-05-21,15
2007-05-22,15.52
2007-05-23,15.39
2007-05-24,15.35
2007-05-25,15.07
2007-05-29,15
2007-05-30,15.18
2007-05-31,15.45
2007-06-01,15.38
2007-06-04,15.32
2007-06-05,15.06
2007-06-06,15.21
2007-06-07,15.2
2007-06-08,15.5
2007-06-11,15.29
2007-06-12,15.01
2007-06-13,14.91
2007-06-14,14.63
2007-06-15,15.02
2007-06-18,15.04
2007-06-19,14.85
2007-06-20,15.04
2007-06-21,15.46
2007-06-22,15.35
2007-06-25,15.33
2007-06-26,15.64
2007-06-27,15.34
2007-06-28,15.43
2007-06-29,15.25
2007-07-02,15.35
2007-07-03,15.91
2007-07-05,15.25
2007-07-06,15.63
2007-07-09,15.53
2007-07-10,15.34
2007-07-11,15.08
2007-07-12,15.15
2007-07-13,15.17
2007-07-16,14.95
2007-07-17,14.78
2007-07-18,14.83
2007-07-19,15.18
2007-07-20,14.5
2007-07-23,14.41
2007-07-24,14.04
2007-07-25,14.34
2007-07-26,14.08
2007-07-27,14.09
2007-07-30,13.85
2007-07-31,14.01
2007-08-01,13.65
2007-08-02,13.78
2007-08-03,13.56
2007-08-06,13.67
2007-08-07,13.83
2007-08-08,14.22
2007-08-09,13.37
2007-08-10,13.49
2007-08-13,13.49
2007-08-14,13.17
2007-08-15,13.11
2007-08-16,13.24
2007-08-17,13.13
2007-08-20,13.14
2007-08-21,13.28
2007-08-22,13.35
2007-08-23,13.35
2007-08-24,12.89
2007-08-27,12.7
2007-08-28,12.8
2007-08-29,13.11
2007-08-30,12.77
2007-08-31,12.74
2007-09-04,12.77
2007-09-05,12.85
2007-09-06,12.78
2007-09-07,12.2
2007-09-10,12.1
2007-09-11,12.09
2007-09-12,11.92
2007-09-13,12.38
2007-09-14,12.01
2007-09-17,11.53
2007-09-18,12
2007-09-19,11.9
2007-09-20,12.1
2007-09-21,12.01
2007-09-24,11.8
2007-09-25,11.47
2007-09-26,11.45
2007-09-27,11.53
2007-09-28,11.49
2007-10-01,11.41
2007-10-02,11.75
2007-10-03,11.72
2007-10-04,11.74
2007-10-05,11.77
2007-10-08,11.67
2007-10-09,11.62
2007-10-10,11.29
2007-10-11,11.48
2007-10-12,11.48
2007-10-15,11.22
2007-10-16,11.31
2007-10-17,11.3
2007-10-18,11.11
2007-10-19,10.97
2007-10-22,10.9
2007-10-23,11.07
2007-10-24,10.9
2007-10-25,10.55
2007-10-26,10.34
2007-10-29,10.46
2007-10-30,10.33
2007-10-31,10.88
2007-11-01,10.82
2007-11-02,10.92
2007-11-05,10.84
2007-11-06,10.98
2007-11-07,10.89
2007-11-08,10.78
2007-11-09,10.83
2007-11-12,11.01
2007-11-13,11.58
2007-11-14,11.62
2007-11-15,11.46
2007-11-16,11.31
2007-11-19,10.9
2007-11-20,10.3
2007-11-21,10.24
2007-11-23,10.13
2007-11-26,10.13
2007-11-27,10.45
2007-11-28,10.8
2007-11-29,10.41
2007-11-30,11.07
2007-12-03,10.67
2007-12-04,10.28
2007-12-05,10.5
2007-12-06,10.79
2007-12-07,10.7
2007-12-10,10.25
2007-12-11,10.02
2007-12-12,10.21
2007-12-13,10.11
