"Index","AFFX.Close"
2007-01-03,22.29
2007-01-04,22.26
2007-01-05,21.72
2007-01-08,24.68
2007-01-09,24.48
2007-01-10,24.18
2007-01-11,24.93
2007-01-12,25.27
2007-01-16,25.41
2007-01-17,25.1
2007-01-18,24.55
2007-01-19,24.79
2007-01-22,24.65
2007-01-23,24.7
2007-01-24,24.5
2007-01-25,23.42
2007-01-26,23.88
2007-01-29,24.54
2007-01-30,24.89
2007-01-31,24.95
2007-02-01,25.87
2007-02-02,25.64
2007-02-05,25.7
2007-02-06,25.97
2007-02-07,26.67
2007-02-08,27.81
2007-02-09,27.83
2007-02-12,27.33
2007-02-13,27.21
2007-02-14,27.4
2007-02-15,28.14
2007-02-16,27.93
2007-02-20,28.23
2007-02-21,28.28
2007-02-22,27.79
2007-02-23,27.4
2007-02-26,27.4
2007-02-27,25.94
2007-02-28,25.73
2007-03-01,25.64
2007-03-02,26.87
2007-03-05,25.76
2007-03-06,26.67
2007-03-07,26.21
2007-03-08,25.33
2007-03-09,25.63
2007-03-12,25.63
2007-03-13,26.62
2007-03-14,28.19
2007-03-15,28.5
2007-03-16,28.31
2007-03-19,28.54
2007-03-20,28.89
2007-03-21,29.83
2007-03-22,29.69
2007-03-23,29.72
2007-03-26,29.29
2007-03-27,29.59
2007-03-28,28.97
2007-03-29,29.3
2007-03-30,30.07
2007-04-02,30.31
2007-04-03,30.42
2007-04-04,30.75
2007-04-05,31.06
2007-04-09,31.19
2007-04-10,31.17
2007-04-11,30.56
2007-04-12,31.29
2007-04-13,31.52
2007-04-16,31.37
2007-04-17,31.6
2007-04-18,31.01
2007-04-19,30.83
2007-04-20,31.51
2007-04-23,31.17
2007-04-24,31.34
2007-04-25,31.47
2007-04-26,27.88
2007-04-27,26.7
2007-04-30,26.27
2007-05-01,25.9
2007-05-02,26.18
2007-05-03,26.53
2007-05-04,26.42
2007-05-07,26.16
2007-05-08,26.12
2007-05-09,25.87
2007-05-10,24.78
