"Index","AGEN.Close"
2007-01-03,11.52
2007-01-04,11.64
2007-01-05,11.7
2007-01-08,11.76
2007-01-09,12
2007-01-10,12.18
2007-01-11,12.3
2007-01-12,12.54
2007-01-16,12.3
2007-01-17,12.36
2007-01-18,12.36
2007-01-19,12.36
2007-01-22,11.88
2007-01-23,12
2007-01-24,11.94
2007-01-25,11.94
2007-01-26,11.58
2007-01-29,11.7
2007-01-30,11.7
2007-01-31,11.64
2007-02-01,11.64
2007-02-02,11.94
2007-02-05,11.76
2007-02-06,11.58
2007-02-07,11.16
2007-02-08,11.58
2007-02-09,11.52
2007-02-12,11.52
2007-02-13,12.06
2007-02-14,12.54
2007-02-15,12.12
2007-02-16,12.3
2007-02-20,11.94
2007-02-21,11.94
2007-02-22,11.88
2007-02-23,11.46
2007-02-26,11.82
2007-02-27,11.1
2007-02-28,10.98
2007-03-01,10.68
2007-03-02,10.32
2007-03-05,9.42
2007-03-06,10.5
2007-03-07,10.56
2007-03-08,10.44
2007-03-09,10.56
2007-03-12,11.88
2007-03-13,11.52
2007-03-14,11.94
2007-03-15,12
2007-03-16,12
2007-03-19,11.88
2007-03-20,11.76
2007-03-21,11.82
2007-03-22,12
2007-03-23,12
2007-03-26,11.88
2007-03-27,11.76
2007-03-28,11.88
2007-03-29,11.88
2007-03-30,13.38
2007-04-02,14.52
2007-04-03,14.4
2007-04-04,15.78
2007-04-05,18.12
2007-04-09,25.86
2007-04-10,21.42
2007-04-11,19.68
2007-04-12,20.4
2007-04-13,22.02
2007-04-16,26.58
2007-04-17,23.76
2007-04-18,22.98
2007-04-19,21.9
2007-04-20,20.7
2007-04-23,21.24
2007-04-24,21.66
2007-04-25,21.12
2007-04-26,20.28
2007-04-27,19.56
2007-04-30,19.02
2007-05-01,18.12
2007-05-02,18.45
2007-05-03,18.06
2007-05-04,18.06
2007-05-07,18.18
2007-05-08,17.22
2007-05-09,15.18
2007-05-10,15.72
2007-05-11,14.64
2007-05-14,13.56
2007-05-15,14.1
2007-05-16,14.28
2007-05-17,14.76
2007-05-18,15.24
2007-05-21,19.56
2007-05-22,17.76
2007-05-23,17.1
2007-05-24,17.4
2007-05-25,16.08
2007-05-29,17.64
2007-05-30,16.68
2007-05-31,16.86
2007-06-01,16.92
2007-06-04,16.44
2007-06-05,18.9
2007-06-06,19.8
2007-06-07,18.12
2007-06-08,18.84
2007-06-11,18.42
2007-06-12,18.42
2007-06-13,19.44
2007-06-14,19.02
2007-06-15,18.36
2007-06-18,18.36
2007-06-19,17.7
2007-06-20,18.24
2007-06-21,17.82
2007-06-22,17.28
2007-06-25,17.4
2007-06-26,17.64
2007-06-27,17.88
2007-06-28,17.28
2007-06-29,17.16
2007-07-02,17.46
2007-07-03,17.82
2007-07-05,17.76
2007-07-06,17.94
2007-07-09,17.7
2007-07-10,17.58
2007-07-11,17.34
2007-07-12,17.16
2007-07-13,17.1
2007-07-16,16.92
2007-07-17,16.8
2007-07-18,17.4
2007-07-19,18.12
2007-07-20,18
2007-07-23,18
2007-07-24,18.54
2007-07-25,18.42
2007-07-26,17.7
2007-07-27,17.82
2007-07-30,17.28
2007-07-31,17.88
2007-08-01,17.46
2007-08-02,17.64
2007-08-03,17.58
2007-08-06,15.66
2007-08-07,14.7
2007-08-08,15.36
2007-08-09,15.78
2007-08-10,15.6
2007-08-13,16.2
2007-08-14,16.2
2007-08-15,15.66
