"Index","AGII.Close"
2007-01-03,316.36
2007-01-04,313
2007-01-05,306.55
2007-01-08,299.91
2007-01-09,299.91
2007-01-10,298.18
2007-01-11,302.45
2007-01-12,304.55
2007-01-16,306.82
2007-01-17,306.09
2007-01-18,306.55
2007-01-19,309.55
2007-01-22,304.18
2007-01-23,305.91
2007-01-24,309.55
2007-01-25,300.64
2007-01-26,304.55
2007-01-29,306
2007-01-30,305.91
2007-01-31,304.91
2007-02-01,305.55
2007-02-02,305.64
2007-02-05,321.55
2007-02-06,324.27
2007-02-07,328
2007-02-08,339.09
2007-02-09,333.18
2007-02-12,334.64
2007-02-13,337
2007-02-14,335.91
2007-02-15,336.27
2007-02-16,335.73
2007-02-20,339.18
2007-02-21,339.36
2007-02-22,339.55
2007-02-23,336.45
2007-02-26,336.64
2007-02-27,318.91
2007-02-28,320.09
2007-03-01,318.27
2007-03-02,313.27
2007-03-05,307.27
2007-03-06,314.91
2007-03-07,311
2007-03-08,310.82
2007-03-09,310.64
2007-03-12,309.64
2007-03-13,306.91
2007-03-14,310.45
2007-03-15,308.64
2007-03-16,306.82
2007-03-19,304.82
2007-03-20,306.45
2007-03-21,308.73
2007-03-22,308.27
2007-03-23,307.27
2007-03-26,299.91
2007-03-27,297.73
2007-03-28,288.64
2007-03-29,294.09
2007-03-30,294.18
2007-04-02,302.27
2007-04-03,308.55
2007-04-04,305.91
2007-04-05,305.36
2007-04-09,309.36
2007-04-10,310.09
2007-04-11,309
2007-04-12,309
2007-04-13,307.82
2007-04-16,308.55
2007-04-17,307.73
2007-04-18,306.91
2007-04-19,303.36
2007-04-20,304.73
2007-04-23,304.55
2007-04-24,307.09
2007-04-25,309.82
2007-04-26,313.73
2007-04-27,313.36
2007-04-30,305.55
2007-05-01,307.45
2007-05-02,309.36
2007-05-03,310.91
2007-05-04,320.55
2007-05-07,317.27
2007-05-08,317.64
2007-05-09,317.27
2007-05-10,307.55
2007-05-11,304.18
2007-05-14,301.09
2007-05-15,299.09
2007-05-16,302
2007-05-17,303.27
2007-05-18,307.36
2007-05-21,308.2
2007-05-22,307.82
2007-05-23,301.45
2007-05-24,297.64
2007-05-25,300.73
2007-05-29,302.82
2007-05-30,305.45
2007-05-31,301.18
2007-06-01,298.91
2007-06-04,298.73
2007-06-05,294.64
2007-06-06,295.82
2007-06-07,291.27
2007-06-08,292.27
2007-06-11,286.36
2007-06-12,280.36
2007-06-13,276.64
2007-06-14,287
2007-06-15,288.45
2007-06-18,290.36
2007-06-19,294.64
2007-06-20,294.45
2007-06-21,295.18
2007-06-22,282.36
2007-06-25,281
2007-06-26,282.27
2007-06-27,282.91
2007-06-28,287.91
2007-06-29,283.73
