"Index","AGYS.Close"
2007-01-03,20.45
2007-01-04,19.49
2007-01-05,18.73
2007-01-08,18.83
2007-01-09,19.02
2007-01-10,19.39
2007-01-11,19.9
2007-01-12,19.68
2007-01-16,19.46
2007-01-17,18.87
2007-01-18,18.77
2007-01-19,18.67
2007-01-22,18.26
2007-01-23,18.39
2007-01-24,18.76
2007-01-25,18.59
2007-01-26,18.83
2007-01-29,18.56
2007-01-30,18.84
2007-01-31,18.95
2007-02-01,19.12
2007-02-02,19.08
2007-02-05,19.09
2007-02-06,19.65
2007-02-07,20
2007-02-08,20.41
2007-02-09,20.6
2007-02-12,20.51
2007-02-13,21.21
2007-02-14,20.99
2007-02-15,21.04
2007-02-16,21.35
2007-02-20,22.55
2007-02-21,22.36
2007-02-22,22.19
2007-02-23,22.21
2007-02-26,22.22
2007-02-27,21.48
2007-02-28,21
2007-03-01,21.01
2007-03-02,20.91
2007-03-05,20.4
2007-03-06,20.75
2007-03-07,21.26
2007-03-08,21.86
2007-03-09,21.89
2007-03-12,22.43
2007-03-13,21.17
2007-03-14,21.52
2007-03-15,22.08
2007-03-16,22.04
2007-03-19,23
2007-03-20,22.67
2007-03-21,22.2
2007-03-22,22.41
2007-03-23,22.7
2007-03-26,22.99
2007-03-27,22.4
2007-03-28,21.82
2007-03-29,21.93
2007-03-30,22.47
2007-04-02,22.05
2007-04-03,22.51
2007-04-04,21.29
2007-04-05,21.32
2007-04-09,21.15
2007-04-10,21.42
2007-04-11,21.26
2007-04-12,21.21
2007-04-13,21.87
2007-04-16,22.45
2007-04-17,22.45
2007-04-18,21.28
2007-04-19,21.63
2007-04-20,21.74
2007-04-23,22.38
2007-04-24,22.15
2007-04-25,22.14
2007-04-26,23.45
2007-04-27,22.56
2007-04-30,21.03
2007-05-01,21.11
2007-05-02,22.04
2007-05-03,21.89
2007-05-04,21.93
2007-05-07,21.5
2007-05-08,21.92
2007-05-09,22.54
2007-05-10,21.76
2007-05-11,22.24
2007-05-14,21.48
2007-05-15,21.43
2007-05-16,21.56
2007-05-17,21.11
2007-05-18,21.3
2007-05-21,22.21
2007-05-22,22.09
2007-05-23,21.89
2007-05-24,21.31
2007-05-25,22.61
2007-05-29,22.45
2007-05-30,21.7
2007-05-31,21.72
2007-06-01,22.16
2007-06-04,22.19
2007-06-05,22.22
2007-06-06,22.65
2007-06-07,22.16
2007-06-08,22.79
2007-06-11,22.41
2007-06-12,22.26
2007-06-13,22.61
2007-06-14,22.44
2007-06-15,23.01
2007-06-18,22.99
2007-06-19,22.96
2007-06-20,22.63
2007-06-21,23
2007-06-22,22.49
2007-06-25,22.37
2007-06-26,22.16
2007-06-27,22.62
2007-06-28,22.55
2007-06-29,22.5
2007-07-02,23.46
2007-07-03,22.75
2007-07-05,22.99
2007-07-06,22.59
2007-07-09,22.9
2007-07-10,22.84
2007-07-11,22.5
2007-07-12,22.7
2007-07-13,22.44
2007-07-16,22.03
2007-07-17,21.76
2007-07-18,21.39
2007-07-19,21.32
2007-07-20,21.25
2007-07-23,20.89
2007-07-24,20.04
2007-07-25,20.34
2007-07-26,20
2007-07-27,19.68
2007-07-30,19.53
2007-07-31,19.21
2007-08-01,19.26
2007-08-02,17.97
2007-08-03,16.55
2007-08-06,16.57
2007-08-07,15.84
2007-08-08,15.43
2007-08-09,14.5
2007-08-10,15.08
2007-08-13,16.19
2007-08-14,15.81
2007-08-15,15.66
2007-08-16,15.7
2007-08-17,15.68
2007-08-20,15.63
2007-08-21,17.68
2007-08-22,17.56
2007-08-23,17.44
2007-08-24,17.28
2007-08-27,17.03
2007-08-28,16.85
2007-08-29,17.01
2007-08-30,16.95
2007-08-31,17.06
2007-09-04,17.55
2007-09-05,17.25
2007-09-06,17.3
2007-09-07,17.2
2007-09-10,16.99
2007-09-11,17.48
2007-09-12,17.42
2007-09-13,17.9
2007-09-14,18.23
2007-09-17,18.05
2007-09-18,18.18
2007-09-19,18.18
2007-09-20,18.5
