"Index","AHPI.Close"
2007-01-03,5.32
2007-01-04,5.4
2007-01-05,5.29
2007-01-08,5.24
2007-01-09,5.21
2007-01-10,5.11
2007-01-11,5.1
2007-01-12,5.07
2007-01-16,5.22
2007-01-17,5.23
2007-01-18,5.13
2007-01-19,5.14
2007-01-22,5.05
2007-01-23,5.18
2007-01-24,5.1
2007-01-25,5.12
2007-01-26,5.12
2007-01-29,5.12
2007-01-30,5.08
2007-01-31,5.1
2007-02-01,5.08
2007-02-02,5.1
2007-02-05,5.08
2007-02-06,5.06
2007-02-07,5.11
2007-02-08,5.1
2007-02-09,5.31
2007-02-12,5.1
2007-02-13,5.13
2007-02-14,5.22
2007-02-15,5.25
2007-02-16,5.25
2007-02-20,5.3
2007-02-21,5.3
2007-02-22,5.35
2007-02-23,5.49
2007-02-26,5.36
2007-02-27,5.39
2007-02-28,5.98
2007-03-01,5.99
2007-03-02,6.18
2007-03-05,6
2007-03-06,5.92
2007-03-07,5.95
2007-03-08,6.02
2007-03-09,6.17
2007-03-12,6.18
2007-03-13,6.14
2007-03-14,6.14
2007-03-15,5.98
2007-03-16,6
2007-03-19,6.16
2007-03-20,6.15
2007-03-21,6.14
2007-03-22,6.19
2007-03-23,6.05
2007-03-26,6.01
2007-03-27,5.91
2007-03-28,6.15
2007-03-29,6.02
2007-03-30,6.01
2007-04-02,6.05
2007-04-03,6.05
2007-04-04,6.15
2007-04-05,6.25
2007-04-09,6.3
2007-04-10,6.2
2007-04-11,6.2
2007-04-12,6.2
2007-04-13,6.2
2007-04-16,6.25
2007-04-17,6.25
2007-04-18,6.2
2007-04-19,6.37
2007-04-20,6.36
2007-04-23,6.41
2007-04-24,6.38
2007-04-25,6.45
2007-04-26,6.44
2007-04-27,6.44
2007-04-30,6.61
2007-05-01,6.7
2007-05-02,6.85
2007-05-03,6.95
2007-05-04,6.7
2007-05-07,6.7
2007-05-08,6.52
2007-05-09,6.5
2007-05-10,6.4
2007-05-11,6.43
2007-05-14,6.34
2007-05-15,6.28
2007-05-16,6.37
2007-05-17,6.32
2007-05-18,6.32
2007-05-21,6.16
2007-05-22,6.21
2007-05-23,6.48
2007-05-24,6.2
2007-05-25,6.31
2007-05-29,6.3
2007-05-30,6.32
2007-05-31,6.35
2007-06-01,6.35
2007-06-04,6.65
2007-06-05,6.42
2007-06-06,6.51
2007-06-07,6.39
2007-06-08,6.36
2007-06-11,6.57
2007-06-12,6.35
2007-06-13,6.58
2007-06-14,6.4
2007-06-15,6.5
2007-06-18,6.42
2007-06-19,6.51
2007-06-20,6.45
2007-06-21,6.56
2007-06-22,6.56
2007-06-25,6.4
2007-06-26,6.4
2007-06-27,6.35
2007-06-28,6.37
2007-06-29,6.64
2007-07-02,6.74
2007-07-03,6.55
2007-07-05,6.47
2007-07-06,6.31
2007-07-09,6.35
2007-07-10,6.35
2007-07-11,6.4
2007-07-12,6.35
2007-07-13,6.3
2007-07-16,6.29
2007-07-17,6.29
2007-07-18,6.32
2007-07-19,6.3
2007-07-20,6.3
2007-07-23,6.31
2007-07-24,6.31
2007-07-25,6.48
2007-07-26,6.61
2007-07-27,6.32
2007-07-30,6.35
2007-07-31,6.35
2007-08-01,6.3
2007-08-02,6.3
2007-08-03,6.1
2007-08-06,5.99
2007-08-07,5.93
2007-08-08,5.95
2007-08-09,5.95
2007-08-10,5.75
2007-08-13,5.76
2007-08-14,5.76
2007-08-15,5.76
2007-08-16,5.05
2007-08-17,5.05
2007-08-20,5.08
2007-08-21,5.45
2007-08-22,5.7
2007-08-23,6
2007-08-24,6.1
2007-08-27,6
2007-08-28,6.09
2007-08-29,6
2007-08-30,6.06
2007-08-31,6.13
2007-09-04,6.11
2007-09-05,6.11
2007-09-06,6.2
2007-09-07,6.12
2007-09-10,6
2007-09-11,6
2007-09-12,6.16
2007-09-13,6.25
2007-09-14,6.17
2007-09-17,6.25
2007-09-18,6.47
2007-09-19,6.3
2007-09-20,6.3
2007-09-21,6.4
2007-09-24,6.35
2007-09-25,6.35
2007-09-26,6.4
2007-09-27,6.4
2007-09-28,6.76
2007-10-01,6.76
2007-10-02,6.61
2007-10-03,6.57
2007-10-04,6.72
2007-10-05,6.6
2007-10-08,6.57
2007-10-09,6.51
2007-10-10,6.66
2007-10-11,6.75
2007-10-12,6.65
2007-10-15,6.65
2007-10-16,6.65
2007-10-17,6.65
2007-10-18,6.65
2007-10-19,6.65
2007-10-22,6.65
2007-10-23,6.65
2007-10-24,6.7
2007-10-25,6.65
2007-10-26,6.65
2007-10-29,6.65
2007-10-30,6.65
2007-10-31,6.65
2007-11-01,6.65
2007-11-02,6.65
2007-11-05,6.75
2007-11-06,6.65
2007-11-07,6.57
2007-11-08,6.73
2007-11-09,6.36
2007-11-12,6.35
2007-11-13,6.35
2007-11-14,6.35
2007-11-15,6.35
2007-11-16,6.35
2007-11-19,6.35
2007-11-20,6.54
2007-11-21,6.36
2007-11-23,6.36
2007-11-26,6.35
2007-11-27,6.15
2007-11-28,6.15
2007-11-29,6.3
2007-11-30,6.25
2007-12-03,6.25
2007-12-04,5.95
2007-12-05,5.85
2007-12-06,6.1
2007-12-07,6.73
2007-12-10,7.25
2007-12-11,7
2007-12-12,6.9
2007-12-13,7
2007-12-14,6.86
2007-12-17,6.98
2007-12-18,6.85
2007-12-19,6.86
2007-12-20,6.87
2007-12-21,6.88
2007-12-24,6.85
2007-12-26,6.85
2007-12-27,6.99
2007-12-28,7.01
2007-12-31,7.25
2008-01-02,6.52
2008-01-03,7.08
2008-01-04,7.01
2008-01-07,6.86
2008-01-08,6.84
2008-01-09,7.1
2008-01-10,7.25
2008-01-11,7.2
2008-01-14,7.25
2008-01-15,7
2008-01-16,7
2008-01-17,7.02
2008-01-18,6.83
2008-01-22,7.02
2008-01-23,7.24
2008-01-24,7.23
2008-01-25,7
2008-01-28,7.23
2008-01-29,7.23
2008-01-30,6.8
2008-01-31,7.22
2008-02-01,7.24
2008-02-04,7
2008-02-05,7
2008-02-06,6.5
2008-02-07,6.54
2008-02-08,6.76
2008-02-11,6.1
2008-02-12,6.1
2008-02-13,6
2008-02-14,6
2008-02-15,6.04
2008-02-19,6
2008-02-20,6
2008-02-21,6
2008-02-22,6
2008-02-25,6
2008-02-26,6
2008-02-27,6
2008-02-28,6.03
2008-02-29,7.07
2008-03-03,6.95
2008-03-04,6.95
2008-03-05,6.11
2008-03-06,6.32
2008-03-07,6.32
2008-03-10,6.89
2008-03-11,6.02
2008-03-12,6.59
2008-03-13,6.6
2008-03-14,6.6
2008-03-17,6.4
2008-03-18,6.4
2008-03-19,6.15
2008-03-20,6.3
2008-03-24,6.3
2008-03-25,6
2008-03-26,6
2008-03-27,6
2008-03-28,6
2008-03-31,6.18
2008-04-01,6.15
2008-04-02,6
2008-04-03,6.2
2008-04-04,6
2008-04-07,6
2008-04-08,6.17
2008-04-09,6.06
2008-04-10,6.19
2008-04-11,6.2
2008-04-14,6.19
2008-04-15,6.2
2008-04-16,6.19
2008-04-17,6.3
2008-04-18,6.3
2008-04-21,6.29
2008-04-22,6
2008-04-23,6
2008-04-24,6
2008-04-25,6
2008-04-28,6
2008-04-29,6
