"Index","AINV.Close"
2007-01-03,22.71
2007-01-04,22.58
2007-01-05,22.04
2007-01-08,22.23
2007-01-09,22.37
2007-01-10,22.43
2007-01-11,22.44
2007-01-12,22.04
2007-01-16,22.24
2007-01-17,22.08
2007-01-18,21.92
2007-01-19,22.08
2007-01-22,22.08
2007-01-23,22.15
2007-01-24,22.23
2007-01-25,22.09
2007-01-26,22.15
2007-01-29,22.12
2007-01-30,22.13
2007-01-31,22.2
2007-02-01,22.32
2007-02-02,22.42
2007-02-05,22.45
2007-02-06,22.73
2007-02-07,22.75
2007-02-08,23.03
2007-02-09,22.99
2007-02-12,22.97
2007-02-13,23.37
2007-02-14,23.51
2007-02-15,23.41
2007-02-16,23.79
2007-02-20,24.12
2007-02-21,23.48
2007-02-22,23.42
2007-02-23,23.07
2007-02-26,22.83
2007-02-27,22.02
2007-02-28,22.68
2007-03-01,22.26
2007-03-02,21.87
2007-03-05,20.3
2007-03-06,21.22
2007-03-07,21.42
2007-03-08,21.7
2007-03-09,21.7
2007-03-12,21.76
2007-03-13,20.72
2007-03-14,21.17
2007-03-15,21.7
2007-03-16,21.43
2007-03-19,21.7
2007-03-20,21.58
2007-03-21,21.45
2007-03-22,21.19
2007-03-23,21.35
2007-03-26,21.49
2007-03-27,21.41
2007-03-28,21.03
2007-03-29,21.26
2007-03-30,21.4
2007-04-02,21.6
2007-04-03,21.93
2007-04-04,22.21
2007-04-05,22.25
2007-04-09,22.09
2007-04-10,22.14
2007-04-11,21.78
2007-04-12,21.4
2007-04-13,21.37
2007-04-16,21.88
2007-04-17,21.89
2007-04-18,22.01
2007-04-19,21.71
2007-04-20,21.63
2007-04-23,21.7
2007-04-24,21.65
2007-04-25,22.08
2007-04-26,22.1
2007-04-27,22.16
2007-04-30,21.97
2007-05-01,21.95
2007-05-02,21.93
2007-05-03,22.08
2007-05-04,22.42
2007-05-07,22.31
2007-05-08,22.37
2007-05-09,22.64
2007-05-10,22.23
2007-05-11,22.54
2007-05-14,22.55
2007-05-15,22.28
2007-05-16,22.21
2007-05-17,22.1
2007-05-18,22.21
2007-05-21,22.29
