"Index","AIRM.Close"
2007-01-03,9.69
2007-01-04,9.7
2007-01-05,9.66
2007-01-08,9.66
2007-01-09,9.47
2007-01-10,9.46
2007-01-11,9.5
2007-01-12,9.37
2007-01-16,9.37
2007-01-17,9.48
2007-01-18,9.17
2007-01-19,9.16
2007-01-22,8.95
2007-01-23,9.02
2007-01-24,9.09
2007-01-25,9.03
2007-01-26,9.16
2007-01-29,9.25
2007-01-30,9.13
2007-01-31,9.02
2007-02-01,9.07
2007-02-02,9.02
2007-02-05,9.01
2007-02-06,9.03
2007-02-07,9.02
2007-02-08,9.04
2007-02-09,8.99
2007-02-12,8.75
2007-02-13,8.71
2007-02-14,8.86
2007-02-15,8.64
2007-02-16,8.58
2007-02-20,8.64
2007-02-21,8.6
2007-02-22,8.68
2007-02-23,8.64
2007-02-26,8.5
2007-02-27,8.15
2007-02-28,8.33
2007-03-01,8.33
2007-03-02,8.18
2007-03-05,7.85
2007-03-06,7.81
2007-03-07,7.71
2007-03-08,7.54
2007-03-09,8.09
2007-03-12,8.34
2007-03-13,8.2
2007-03-14,8.31
2007-03-15,8.27
2007-03-16,8.16
2007-03-19,8.1
2007-03-20,8.02
2007-03-21,8.18
2007-03-22,8.26
2007-03-23,8.21
2007-03-26,8.09
2007-03-27,7.89
2007-03-28,7.78
2007-03-29,7.91
2007-03-30,8.01
2007-04-02,8.21
2007-04-03,8.49
2007-04-04,8.62
2007-04-05,8.73
2007-04-09,8.81
2007-04-10,8.71
2007-04-11,8.65
2007-04-12,8.68
2007-04-13,8.97
2007-04-16,8.93
2007-04-17,9.12
2007-04-18,8.85
2007-04-19,8.89
2007-04-20,9.16
2007-04-23,9.08
2007-04-24,9.08
2007-04-25,9.12
2007-04-26,9.29
2007-04-27,9.22
2007-04-30,9.17
2007-05-01,9.15
2007-05-02,9.29
2007-05-03,9.2
2007-05-04,9.4
2007-05-07,9.31
2007-05-08,9.38
2007-05-09,9.53
2007-05-10,10.96
2007-05-11,11.18
2007-05-14,10.85
2007-05-15,10.86
2007-05-16,11.15
2007-05-17,11.17
2007-05-18,11.16
2007-05-21,11.26
2007-05-22,11.45
2007-05-23,11.6
2007-05-24,11.61
2007-05-25,11.55
2007-05-29,11.64
2007-05-30,11.59
2007-05-31,11.77
2007-06-01,12.36
2007-06-04,12.33
2007-06-05,12.28
2007-06-06,12.53
2007-06-07,12.18
2007-06-08,12.17
2007-06-11,12.08
2007-06-12,11.76
2007-06-13,11.88
2007-06-14,12.13
2007-06-15,12.27
2007-06-18,12.2
2007-06-19,12.1
2007-06-20,11.95
2007-06-21,11.83
2007-06-22,11.7
2007-06-25,11.89
2007-06-26,11.89
2007-06-27,12.18
2007-06-28,12.26
2007-06-29,12.22
2007-07-02,12.32
2007-07-03,12.56
2007-07-05,12.41
2007-07-06,12.51
2007-07-09,12.75
2007-07-10,12.4
2007-07-11,12.3
2007-07-12,12.68
2007-07-13,12.72
2007-07-16,12.82
2007-07-17,12.93
2007-07-18,12.95
2007-07-19,13.01
2007-07-20,12.76
2007-07-23,12.64
2007-07-24,12.69
2007-07-25,12.71
2007-07-26,12.74
2007-07-27,12.77
2007-07-30,12.72
2007-07-31,12.7
2007-08-01,14.04
2007-08-02,14.03
2007-08-03,13.95
2007-08-06,14.08
2007-08-07,14.37
2007-08-08,14.21
2007-08-09,14.21
2007-08-10,14.28
2007-08-13,14.41
2007-08-14,14.08
2007-08-15,13.51
2007-08-16,13.45
2007-08-17,13.62
2007-08-20,13.69
2007-08-21,13.61
2007-08-22,13.69
2007-08-23,13.37
2007-08-24,13.7
2007-08-27,13.57
2007-08-28,13.23
2007-08-29,13.74
2007-08-30,13.42
2007-08-31,13.21
2007-09-04,13.33
2007-09-05,14.01
2007-09-06,14.42
2007-09-07,14.29
2007-09-10,14.45
2007-09-11,14.38
2007-09-12,14.41
2007-09-13,14.9
2007-09-14,14.75
2007-09-17,15.12
2007-09-18,15.6
2007-09-19,15.63
2007-09-20,15.59
2007-09-21,15.56
2007-09-24,16.23
2007-09-25,15.7
2007-09-26,15.87
2007-09-27,15.83
2007-09-28,15.4
2007-10-01,15.86
2007-10-02,16.79
2007-10-03,16.5
2007-10-04,17.07
2007-10-05,17.2
2007-10-08,17.33
2007-10-09,17.55
2007-10-10,17.38
2007-10-11,17.19
2007-10-12,17.18
2007-10-15,16.95
2007-10-16,17.01
2007-10-17,17.18
2007-10-18,18.03
2007-10-19,17.3
2007-10-22,17.42
2007-10-23,17.66
2007-10-24,17.77
2007-10-25,17.62
2007-10-26,17.4
2007-10-29,17.66
2007-10-30,17.76
2007-10-31,17.99
2007-11-01,17.65
2007-11-02,17.9
2007-11-05,17.87
2007-11-06,17.99
2007-11-07,17.65
2007-11-08,18.44
2007-11-09,18.67
2007-11-12,18.76
2007-11-13,19.16
2007-11-14,19.14
2007-11-15,18.72
2007-11-16,18.95
2007-11-19,18.66
2007-11-20,18.67
2007-11-21,17.92
2007-11-23,18.12
2007-11-26,16.85
2007-11-27,16.45
2007-11-28,16.99
2007-11-29,17.26
2007-11-30,17.55
2007-12-03,17.52
2007-12-04,17.47
2007-12-05,17.47
2007-12-06,17.58
2007-12-07,17.7
2007-12-10,17.19
2007-12-11,17.11
2007-12-12,16.75
2007-12-13,16.43
2007-12-14,14.97
2007-12-17,14.94
2007-12-18,15.3
2007-12-19,15.26
2007-12-20,15.79
2007-12-21,16.5
2007-12-24,16.32
2007-12-26,16.92
2007-12-27,16.58
2007-12-28,16.82
2007-12-31,16.56
2008-01-02,16.37
2008-01-03,16.3
2008-01-04,16.26
2008-01-07,15.85
2008-01-08,16.07
2008-01-09,16.47
2008-01-10,16.48
2008-01-11,16.08
2008-01-14,15.77
2008-01-15,14.91
2008-01-16,15.19
2008-01-17,14.96
2008-01-18,14.87
2008-01-22,14.52
2008-01-23,14.29
2008-01-24,14.63
2008-01-25,14.93
2008-01-28,14.99
2008-01-29,14.76
2008-01-30,14.6
2008-01-31,15.29
2008-02-01,15.8
2008-02-04,15.44
2008-02-05,15.1
2008-02-06,14.75
2008-02-07,15.19
2008-02-08,15.37
2008-02-11,14.99
2008-02-12,14.83
2008-02-13,15.65
2008-02-14,14.92
2008-02-15,14.65
2008-02-19,14.32
2008-02-20,13.92
2008-02-21,14.3
2008-02-22,13.45
2008-02-25,13.35
2008-02-26,13.7
2008-02-27,13.58
2008-02-28,13.15
2008-02-29,13.71
2008-03-03,13.36
2008-03-04,13.99
2008-03-05,13.92
2008-03-06,13.65
2008-03-07,13.62
2008-03-10,12.99
2008-03-11,12.84
2008-03-12,13.2
2008-03-13,15.37
2008-03-14,14.77
2008-03-17,14.3
2008-03-18,15.59
2008-03-19,15.51
2008-03-20,15.65
2008-03-24,15.94
2008-03-25,16.16
2008-03-26,16.22
2008-03-27,16.26
2008-03-28,16.3
2008-03-31,16.12
2008-04-01,17.01
2008-04-02,16.64
2008-04-03,16.15
2008-04-04,15.99
2008-04-07,16
2008-04-08,16.2
2008-04-09,16.14
2008-04-10,15.98
2008-04-11,15.61
2008-04-14,15.66
2008-04-15,15.83
2008-04-16,16.24
2008-04-17,15
2008-04-18,14.91
2008-04-21,14.56
2008-04-22,13.64
2008-04-23,13.81
2008-04-24,13.62
2008-04-25,13.51
2008-04-28,13.42
2008-04-29,13.39
2008-04-30,13.37
2008-05-01,13.68
2008-05-02,13.25
2008-05-05,12.91
2008-05-06,12.73
2008-05-07,12.82
2008-05-08,12.9
2008-05-09,12.71
2008-05-12,12.3
2008-05-13,12.03
2008-05-14,12.13
2008-05-15,12.12
2008-05-16,11.77
2008-05-19,12.05
2008-05-20,12.21
2008-05-21,12.33
2008-05-22,12.54
2008-05-23,12.42
2008-05-27,12.45
2008-05-28,12.45
2008-05-29,12.59
2008-05-30,12.85
2008-06-02,12.29
2008-06-03,12.13
2008-06-04,12.05
2008-06-05,12.1
2008-06-06,11.82
2008-06-09,11.95
2008-06-10,12.02
2008-06-11,11.9
2008-06-12,11.66
2008-06-13,11.17
2008-06-16,10.88
2008-06-17,10.52
2008-06-18,10.06
2008-06-19,10.33
2008-06-20,9.99
2008-06-23,9.84
2008-06-24,9.66
2008-06-25,9.48
2008-06-26,8.97
2008-06-27,8.78
2008-06-30,8.33
2008-07-01,8.25
2008-07-02,7.97
2008-07-03,8.16
2008-07-07,7.56
2008-07-08,8.03
2008-07-09,8.18
2008-07-10,9.17
2008-07-11,8.94
2008-07-14,8.84
2008-07-15,8.91
2008-07-16,9.17
2008-07-17,9.57
2008-07-18,9.88
2008-07-21,9.96
2008-07-22,10.4
2008-07-23,10.23
2008-07-24,8.88
2008-07-25,9.05
2008-07-28,9.02
2008-07-29,9.36
2008-07-30,9.12
2008-07-31,9.56
2008-08-01,9.7
2008-08-04,9.61
2008-08-05,9.8
2008-08-06,9.85
2008-08-07,9.52
2008-08-08,9.42
2008-08-11,10.05
2008-08-12,10.58
2008-08-13,10.7
2008-08-14,11.3
2008-08-15,10.89
2008-08-18,10.4
2008-08-19,10.34
2008-08-20,10.29
2008-08-21,10.13
2008-08-22,10.32
2008-08-25,9.74
2008-08-26,9.7
2008-08-27,9.73
2008-08-28,9.78
2008-08-29,9.62
2008-09-02,9.75
2008-09-03,9.77
2008-09-04,9.5
2008-09-05,9.5
2008-09-08,9.74
2008-09-09,9.52
2008-09-10,9.01
2008-09-11,9.3
2008-09-12,9.37
2008-09-15,9.65
2008-09-16,10.37
2008-09-17,10.04
2008-09-18,10.76
2008-09-19,10.69
2008-09-22,10.35
2008-09-23,10.38
2008-09-24,9.66
2008-09-25,10.01
2008-09-26,10.29
2008-09-29,9.83
2008-09-30,9.44
2008-10-01,9.54
2008-10-02,9.11
2008-10-03,9.15
2008-10-06,8.71
2008-10-07,8.66
2008-10-08,8.46
2008-10-09,7.88
2008-10-10,7.81
2008-10-13,8.59
2008-10-14,8.37
2008-10-15,7.6
2008-10-16,7.79
2008-10-17,7.62
2008-10-20,7.82
2008-10-21,7.49
2008-10-22,7.06
2008-10-23,5.51
2008-10-24,5.36
2008-10-27,5.23
2008-10-28,5.36
2008-10-29,5.24
2008-10-30,5.43
2008-10-31,5.59
2008-11-03,5.76
2008-11-04,6.13
2008-11-05,6.02
2008-11-06,5.78
2008-11-07,6.07
2008-11-10,6.38
2008-11-11,6.25
2008-11-12,5.86
2008-11-13,6.07
2008-11-14,6.02
2008-11-17,5.79
2008-11-18,5.8
2008-11-19,5.47
2008-11-20,5.2
2008-11-21,5.06
2008-11-24,5.01
2008-11-25,5.28
2008-11-26,5.21
2008-11-28,5.28
2008-12-01,4.88
2008-12-02,5.14
2008-12-03,5.41
2008-12-04,5.41
2008-12-05,5.6
2008-12-08,5.67
2008-12-09,5.42
2008-12-10,5.43
2008-12-11,5.29
2008-12-12,5.09
2008-12-15,5
2008-12-16,5.16
2008-12-17,5.62
2008-12-18,5.79
2008-12-19,5.8
2008-12-22,5.49
2008-12-23,5.32
2008-12-24,5.46
2008-12-26,5.63
2008-12-29,5.13
2008-12-30,5.1
2008-12-31,5.33
2009-01-02,5.66
2009-01-05,5.67
2009-01-06,5.81
2009-01-07,5.97
2009-01-08,5.94
2009-01-09,6.03
2009-01-12,6.15
2009-01-13,6.17
2009-01-14,6
2009-01-15,6.23
2009-01-16,6.41
2009-01-20,6.04
2009-01-21,6.36
2009-01-22,6.37
2009-01-23,6.3
2009-01-26,6.49
2009-01-27,6.67
2009-01-28,6.89
2009-01-29,6.66
2009-01-30,6.5
2009-02-02,6.85
2009-02-03,6.45
2009-02-04,6.42
2009-02-05,6.47
2009-02-06,6.74
2009-02-09,6.64
2009-02-10,6.61
2009-02-11,6.47
2009-02-12,6.39
2009-02-13,6.33
2009-02-17,6.12
2009-02-18,6.19
2009-02-19,6.31
2009-02-20,6.06
2009-02-23,5.76
2009-02-24,5.74
2009-02-25,5.44
2009-02-26,5.57
2009-02-27,5.56
2009-03-02,4.86
2009-03-03,4.81
2009-03-04,5.07
2009-03-05,4.66
2009-03-06,4.67
2009-03-09,4.62
2009-03-10,5.36
2009-03-11,4.5
2009-03-12,5.79
2009-03-13,5.9
2009-03-16,5.53
2009-03-17,5.59
2009-03-18,5.7
2009-03-19,5.69
2009-03-20,5.67
2009-03-23,6.03
2009-03-24,5.8
2009-03-25,5.89
2009-03-26,6
2009-03-27,5.85
2009-03-30,5.66
2009-03-31,5.64
2009-04-01,5.67
2009-04-02,6.11
2009-04-03,6.12
2009-04-06,5.99
2009-04-07,6.01
2009-04-08,6.17
2009-04-09,6.27
2009-04-13,6.37
2009-04-14,6.14
2009-04-15,6.33
2009-04-16,6.4
2009-04-17,6.58
2009-04-20,6.42
2009-04-21,6.73
2009-04-22,6.75
2009-04-23,7.57
2009-04-24,7.69
2009-04-27,8.1
2009-04-28,8.53
2009-04-29,8.84
2009-04-30,8.85
2009-05-01,8.69
2009-05-04,8.83
2009-05-05,9.03
2009-05-06,9.05
2009-05-07,8.71
2009-05-08,9.48
2009-05-11,9.41
2009-05-12,9.07
2009-05-13,8.97
2009-05-14,8.97
2009-05-15,9.71
2009-05-18,9.51
2009-05-19,9.42
2009-05-20,9.33
2009-05-21,8.61
2009-05-22,8.68
2009-05-26,9.09
2009-05-27,8.94
2009-05-28,8.97
2009-05-29,8.8
2009-06-01,9.33
2009-06-02,9.5
2009-06-03,9.22
2009-06-04,9.51
2009-06-05,9.87
2009-06-08,9.83
2009-06-09,9.73
2009-06-10,9.59
2009-06-11,9.55
2009-06-12,9.5
2009-06-15,8.88
2009-06-16,8.99
2009-06-17,9.14
2009-06-18,9.4
2009-06-19,9.28
2009-06-22,9.06
2009-06-23,9
2009-06-24,9.02
2009-06-25,9.18
2009-06-26,9.22
2009-06-29,9.2
2009-06-30,9.12
2009-07-01,9.45
2009-07-02,9.13
2009-07-06,8.89
2009-07-07,8.78
2009-07-08,8.78
2009-07-09,8.63
2009-07-10,8.59
2009-07-13,8.83
2009-07-14,9.03
2009-07-15,9.35
2009-07-16,9.3
2009-07-17,9.3
2009-07-20,9.35
2009-07-21,9.43
2009-07-22,9.43
2009-07-23,9.57
2009-07-24,9.64
2009-07-27,9.7
2009-07-28,9.84
2009-07-29,9.73
2009-07-30,9.68
2009-07-31,9.8
2009-08-03,9.75
2009-08-04,9.68
2009-08-05,9.64
2009-08-06,9.5
2009-08-07,10.53
2009-08-10,10.49
2009-08-11,10.19
2009-08-12,10.24
2009-08-13,10.36
2009-08-14,10.14
2009-08-17,10.48
2009-08-18,10.74
2009-08-19,11.16
2009-08-20,11.55
2009-08-21,11.63
2009-08-24,11.43
2009-08-25,11.52
2009-08-26,11.42
2009-08-27,11.59
2009-08-28,11.55
2009-08-31,11.38
2009-09-01,11.53
2009-09-02,11.42
2009-09-03,11.21
2009-09-04,11.44
2009-09-08,11.43
2009-09-09,11.59
2009-09-10,11.59
2009-09-11,11.45
2009-09-14,11.5
2009-09-15,11.33
2009-09-16,11.27
2009-09-17,11.43
2009-09-18,11.54
2009-09-21,11.84
2009-09-22,11.78
2009-09-23,11.67
2009-09-24,11.21
2009-09-25,10.96
2009-09-28,11.14
2009-09-29,11.03
2009-09-30,10.86
2009-10-01,10.63
2009-10-02,10.71
2009-10-05,10.76
2009-10-06,11
2009-10-07,10.84
2009-10-08,10.96
2009-10-09,10.98
2009-10-12,10.98
2009-10-13,11.01
2009-10-14,11.11
2009-10-15,11.01
2009-10-16,10.92
2009-10-19,10.97
2009-10-20,10.94
2009-10-21,10.89
2009-10-22,11.04
2009-10-23,10.94
2009-10-26,11.08
2009-10-27,11
2009-10-28,10.71
2009-10-29,10.66
2009-10-30,10.18
2009-11-02,9.92
2009-11-03,9.5
2009-11-04,10.01
2009-11-05,10.9
2009-11-06,11.52
2009-11-09,11.37
2009-11-10,11.52
2009-11-11,11.66
2009-11-12,11.34
2009-11-13,11.48
2009-11-16,11.7
2009-11-17,11.75
2009-11-18,11.67
2009-11-19,11.37
2009-11-20,11.28
2009-11-23,11.68
2009-11-24,11.85
2009-11-25,11.74
2009-11-27,11.53
2009-11-30,11.49
2009-12-01,11.62
2009-12-02,11.7
2009-12-03,11.43
2009-12-04,11.81
2009-12-07,11.67
2009-12-08,11.29
2009-12-09,11.26
2009-12-10,11.28
2009-12-11,11.12
2009-12-14,11.28
2009-12-15,11.13
2009-12-16,11.11
2009-12-17,11.05
2009-12-18,10.95
2009-12-21,10.99
2009-12-22,11.11
2009-12-23,11.4
2009-12-24,11.37
2009-12-28,11.38
2009-12-29,11.34
2009-12-30,11.4
2009-12-31,11.21
2010-01-04,11.74
2010-01-05,11.71
2010-01-06,11.65
2010-01-07,11.38
2010-01-08,11.36
2010-01-11,11.33
2010-01-12,10.77
2010-01-13,10.87
2010-01-14,10.9
2010-01-15,11.18
2010-01-19,11.61
2010-01-20,11.38
2010-01-21,11.24
2010-01-22,11.32
2010-01-25,11.26
2010-01-26,10.33
2010-01-27,10.39
2010-01-28,10.13
2010-01-29,10.19
2010-02-01,9.99
2010-02-02,9.74
2010-02-03,9.63
2010-02-04,9.29
2010-02-05,9.05
2010-02-08,8.81
2010-02-09,9.09
2010-02-10,9.21
2010-02-11,9.31
2010-02-12,9.41
2010-02-16,9.56
2010-02-17,9.56
2010-02-18,9.71
2010-02-19,9.55
2010-02-22,9.43
2010-02-23,9.43
2010-02-24,9.36
2010-02-25,9.04
2010-02-26,8.87
2010-03-01,8.73
2010-03-02,8.88
2010-03-03,9.13
2010-03-04,9.21
2010-03-05,9.21
2010-03-08,9.24
2010-03-09,9.33
2010-03-10,9.23
2010-03-11,9.25
2010-03-12,10.49
2010-03-15,10.39
2010-03-16,10.75
2010-03-17,10.64
2010-03-18,10.72
2010-03-19,10.88
2010-03-22,11.3
2010-03-23,11.69
2010-03-24,11.44
2010-03-25,11.24
2010-03-26,11.21
2010-03-29,11.3
2010-03-30,11.29
2010-03-31,11.33
2010-04-05,11.41
2010-04-06,11.39
2010-04-07,11.28
2010-04-08,11.29
2010-04-09,11.25
2010-04-12,11.36
2010-04-13,11.39
2010-04-14,11.56
2010-04-15,11.53
2010-04-16,11.53
2010-04-19,11.53
2010-04-20,11.83
2010-04-21,11.84
2010-04-22,11.86
2010-04-23,12.01
2010-04-26,11.06
2010-04-27,11.01
2010-04-28,11.71
2010-04-29,11.75
2010-04-30,11.03
2010-05-03,11.46
2010-05-04,10.63
2010-05-05,11.09
2010-05-06,10.66
2010-05-07,10.25
2010-05-10,10.8
2010-05-11,11.04
2010-05-12,11.4
2010-05-13,11.61
2010-05-14,11.51
2010-05-17,12.02
2010-05-18,11.73
2010-05-19,11.67
2010-05-20,11.46
2010-05-21,11.44
2010-05-24,11.33
2010-05-25,10.76
2010-05-26,10.88
2010-05-27,11.18
2010-05-28,10.98
2010-06-01,10.5
2010-06-02,10.86
2010-06-03,10.89
2010-06-04,10.66
2010-06-07,10.58
2010-06-08,10.52
2010-06-09,10.44
2010-06-10,10.77
2010-06-11,10.82
2010-06-14,11.07
2010-06-15,11.12
2010-06-16,10.87
2010-06-17,10.97
2010-06-18,10.98
2010-06-21,10.84
2010-06-22,10.67
2010-06-23,10.57
2010-06-24,10.4
2010-06-25,10.36
2010-06-28,10.57
2010-06-29,10.18
2010-06-30,9.92
2010-07-01,9.89
2010-07-02,9.53
2010-07-06,9.21
2010-07-07,9.72
2010-07-08,10.25
2010-07-09,10.42
2010-07-12,10.31
2010-07-13,10.68
2010-07-14,10.21
2010-07-15,10.79
2010-07-16,10.4
2010-07-19,10.59
2010-07-20,10.67
2010-07-21,10.31
2010-07-22,10.65
2010-07-23,10.96
2010-07-26,11.29
2010-07-27,11.15
2010-07-28,10.85
2010-07-29,10.73
2010-07-30,10.58
2010-08-02,10.5
2010-08-03,10.57
2010-08-04,11.13
2010-08-05,10.75
2010-08-06,11.09
2010-08-09,11.36
2010-08-10,10.98
2010-08-11,10.5
2010-08-12,10.69
2010-08-13,10.44
2010-08-16,10.56
2010-08-17,10.78
2010-08-18,10.96
2010-08-19,10.91
2010-08-20,10.97
2010-08-23,11.17
2010-08-24,11.37
2010-08-25,11.71
2010-08-26,11.78
2010-08-27,12.27
2010-08-30,12.11
2010-08-31,12.16
2010-09-01,12.97
2010-09-02,13.34
2010-09-03,13.66
2010-09-07,13.68
2010-09-08,13.57
2010-09-09,13.59
2010-09-10,13.5
2010-09-13,13.41
2010-09-14,13.36
2010-09-15,13.43
2010-09-16,13.15
2010-09-17,13.03
2010-09-20,13.15
2010-09-21,13.05
2010-09-22,13.01
2010-09-23,12.69
2010-09-24,13.18
2010-09-27,13.19
2010-09-28,13.16
2010-09-29,13.91
2010-09-30,13.86
2010-10-01,13.84
2010-10-04,13.85
2010-10-05,14.21
2010-10-06,14.26
2010-10-07,14.34
2010-10-08,14.28
2010-10-11,14.22
2010-10-12,14.18
2010-10-13,14.11
2010-10-14,14.17
2010-10-15,14.31
2010-10-18,14.71
2010-10-19,14.14
2010-10-20,14.11
2010-10-21,13.8
2010-10-22,13.9
2010-10-25,13.93
