"Index","AIRT.Close"
2007-01-03,8.83
2007-01-04,8.89
2007-01-05,8.9
2007-01-08,8.8
2007-01-09,8.81
2007-01-10,8.82
2007-01-11,8.87
2007-01-12,8.85
2007-01-16,9.04
2007-01-17,9.02
2007-01-18,9.04
2007-01-19,8.85
2007-01-22,8.91
2007-01-23,8.95
2007-01-24,8.9
2007-01-25,8.8
2007-01-26,8.81
2007-01-29,8.8
2007-01-30,8.71
2007-01-31,8.89
2007-02-01,8.94
2007-02-02,9
2007-02-05,8.98
2007-02-06,8.94
2007-02-07,9.3
2007-02-08,7.95
2007-02-09,7.94
2007-02-12,7.74
2007-02-13,7.81
2007-02-14,7.71
2007-02-15,7.83
2007-02-16,7.83
2007-02-20,7.77
2007-02-21,7.93
2007-02-22,7.89
2007-02-23,7.79
2007-02-26,8
2007-02-27,7.87
2007-02-28,7.81
2007-03-01,7.76
2007-03-02,7.75
2007-03-05,7.7
2007-03-06,7.74
2007-03-07,7.65
2007-03-08,7.75
2007-03-09,7.73
2007-03-12,7.77
2007-03-13,7.53
2007-03-14,7.8
2007-03-15,7.89
2007-03-16,7.9
2007-03-19,7.98
2007-03-20,7.92
2007-03-21,7.92
2007-03-22,7.9
2007-03-23,7.94
2007-03-26,7.97
2007-03-27,7.96
2007-03-28,7.88
2007-03-29,7.93
2007-03-30,7.99
2007-04-02,8
2007-04-03,8.06
2007-04-04,8.08
2007-04-05,8.04
2007-04-09,8.08
2007-04-10,8.09
2007-04-11,8.06
2007-04-12,8.1
2007-04-13,8.09
2007-04-16,8.02
2007-04-17,8.09
2007-04-18,8.09
2007-04-19,8
2007-04-20,8.02
2007-04-23,8.05
2007-04-24,8.06
2007-04-25,7.98
2007-04-26,7.93
2007-04-27,8
2007-04-30,8.08
2007-05-01,8.03
2007-05-02,8.03
2007-05-03,8.07
2007-05-04,8.05
2007-05-07,7.96
2007-05-08,8
2007-05-09,7.99
2007-05-10,7.83
2007-05-11,7.95
2007-05-14,7.82
2007-05-15,7.88
2007-05-16,7.83
2007-05-17,7.82
2007-05-18,7.84
2007-05-21,7.93
2007-05-22,7.91
2007-05-23,8.2
2007-05-24,8.22
2007-05-25,8.32
2007-05-29,8.45
2007-05-30,8.78
2007-05-31,8.79
2007-06-01,8.71
2007-06-04,8.52
2007-06-05,8.31
2007-06-06,8.28
2007-06-07,8.36
2007-06-08,8.42
2007-06-11,8.43
2007-06-12,8.42
2007-06-13,8.21
2007-06-14,10.54
2007-06-15,10.49
2007-06-18,10.45
2007-06-19,11.15
2007-06-20,10.85
2007-06-21,10.66
2007-06-22,10.31
2007-06-25,9.86
2007-06-26,9.74
2007-06-27,9.63
2007-06-28,10.02
2007-06-29,10.01
2007-07-02,9.84
2007-07-03,9.65
2007-07-05,9.83
2007-07-06,10.12
2007-07-09,10.08
2007-07-10,9.95
2007-07-11,10.01
2007-07-12,9.86
2007-07-13,10.28
2007-07-16,10.24
2007-07-17,10.27
2007-07-18,10.3
2007-07-19,10.42
2007-07-20,10.48
2007-07-23,10.4
2007-07-24,10.28
2007-07-25,10.43
2007-07-26,10.05
2007-07-27,9.96
2007-07-30,9.76
2007-07-31,9.71
2007-08-01,9.97
2007-08-02,9.86
2007-08-03,9.56
2007-08-06,9.5
2007-08-07,9.6
2007-08-08,9.53
2007-08-09,9.6
2007-08-10,8.33
2007-08-13,8.35
2007-08-14,7.95
2007-08-15,8.23
2007-08-16,8.12
2007-08-17,8.15
2007-08-20,8.5
2007-08-21,8.48
2007-08-22,8.64
2007-08-23,8.78
2007-08-24,8.92
2007-08-27,9.11
2007-08-28,9.06
2007-08-29,9.3
2007-08-30,9.16
2007-08-31,9.37
2007-09-04,9.35
2007-09-05,9.22
2007-09-06,9.26
2007-09-07,9.36
2007-09-10,8.97
2007-09-11,9.05
2007-09-12,9.23
2007-09-13,9.2
2007-09-14,9.08
2007-09-17,9.15
2007-09-18,9.25
2007-09-19,9.42
2007-09-20,9.59
2007-09-21,9.34
2007-09-24,9.54
2007-09-25,9.72
2007-09-26,9.72
2007-09-27,10.02
2007-09-28,10.25
2007-10-01,10.18
2007-10-02,10.02
2007-10-03,9.7
2007-10-04,9.5
2007-10-05,9.6
2007-10-08,10.06
2007-10-09,10.1
2007-10-10,10.06
2007-10-11,9.97
2007-10-12,9.94
2007-10-15,9.86
2007-10-16,10.05
2007-10-17,10.04
2007-10-18,10
2007-10-19,9.85
2007-10-22,9.86
2007-10-23,9.9
2007-10-24,9.74
2007-10-25,9.8
2007-10-26,9.9
2007-10-29,9.84
2007-10-30,9.84
2007-10-31,9.78
2007-11-01,9.84
2007-11-02,9.83
2007-11-05,9.85
2007-11-06,9.97
2007-11-07,9.86
2007-11-08,9.84
2007-11-09,9.42
2007-11-12,9.7
2007-11-13,9.72
2007-11-14,9.62
2007-11-15,9.3
2007-11-16,9.21
2007-11-19,9.15
2007-11-20,9.1
2007-11-21,8.98
2007-11-23,9.32
2007-11-26,9
2007-11-27,9.13
2007-11-28,8.97
2007-11-29,9.05
2007-11-30,9.08
2007-12-03,9.26
2007-12-04,9.11
2007-12-05,8.94
2007-12-06,9.46
2007-12-07,9.17
2007-12-10,9.45
2007-12-11,9.28
2007-12-12,9.4
2007-12-13,9.35
2007-12-14,9.18
2007-12-17,9.25
2007-12-18,9.33
2007-12-19,9.15
2007-12-20,9.1
2007-12-21,8.95
2007-12-24,8.83
2007-12-26,8.98
2007-12-27,8.94
2007-12-28,8.88
2007-12-31,9.05
2008-01-02,8.92
2008-01-03,9.1
2008-01-04,8.95
2008-01-07,8.83
2008-01-08,8.84
2008-01-09,8.66
2008-01-10,8.7
2008-01-11,8.9
2008-01-14,8.95
2008-01-15,8.85
2008-01-16,8.95
2008-01-17,8.82
2008-01-18,8.84
2008-01-22,8.6
2008-01-23,8.88
2008-01-24,9.03
2008-01-25,9.25
2008-01-28,9.19
2008-01-29,9.32
2008-01-30,9.45
2008-01-31,9.59
2008-02-01,10.41
2008-02-04,11.14
2008-02-05,10.83
2008-02-06,11.14
2008-02-07,11.2
2008-02-08,11.3
2008-02-11,11.54
2008-02-12,11.69
2008-02-13,11.94
2008-02-14,11.98
2008-02-15,11.9
2008-02-19,11.92
2008-02-20,12.34
2008-02-21,12.03
2008-02-22,11.64
2008-02-25,11.61
2008-02-26,11.63
2008-02-27,11.48
2008-02-28,11.58
2008-02-29,11.47
2008-03-03,11.75
2008-03-04,11.75
2008-03-05,11.55
2008-03-06,11.29
2008-03-07,10.93
2008-03-10,10.06
2008-03-11,9.98
2008-03-12,9.92
2008-03-13,9.56
2008-03-14,9.54
2008-03-17,8.97
2008-03-18,8.86
2008-03-19,8.96
2008-03-20,8.83
2008-03-24,9.25
2008-03-25,9.51
