"Index","AIXG.Close"
2007-01-03,4.89
2007-01-04,4.84
2007-01-05,4.82
2007-01-08,4.72
2007-01-09,4.64
2007-01-10,4.56
2007-01-11,4.62
2007-01-12,4.55
2007-01-16,4.86
2007-01-17,4.99
2007-01-18,4.91
2007-01-19,5
2007-01-22,4.99
2007-01-23,4.91
2007-01-24,5.14
2007-01-25,4.99
2007-01-26,5
2007-01-29,5.09
2007-01-30,5.13
2007-01-31,5.26
2007-02-01,5.34
2007-02-02,5.16
2007-02-05,5.25
2007-02-06,5.23
2007-02-07,5.35
2007-02-08,5.21
2007-02-09,5.22
2007-02-12,5.04
2007-02-13,5.09
2007-02-14,5.31
2007-02-15,5.29
2007-02-16,5.21
2007-02-20,5.37
2007-02-21,5.38
2007-02-22,5.89
2007-02-23,6.49
2007-02-26,7.18
2007-02-27,6.27
2007-02-28,6.84
2007-03-01,6.52
2007-03-02,6.21
2007-03-05,5.93
2007-03-06,6.68
2007-03-07,6.5
2007-03-08,6.66
2007-03-09,6.7
2007-03-12,6.7
2007-03-13,6.56
2007-03-14,6.4
2007-03-15,6.8
2007-03-16,6.64
2007-03-19,6.71
2007-03-20,6.74
2007-03-21,6.93
2007-03-22,7.05
2007-03-23,7.08
2007-03-26,7.01
2007-03-27,7.17
2007-03-28,6.89
2007-03-29,7.02
2007-03-30,7.11
2007-04-02,7
2007-04-03,7.01
2007-04-04,7.03
2007-04-05,7.25
2007-04-09,7.18
2007-04-10,7.92
2007-04-11,8.24
2007-04-12,8.3
2007-04-13,8.87
2007-04-16,9.29
2007-04-17,9.19
2007-04-18,8.83
2007-04-19,8.25
2007-04-20,8.85
2007-04-23,8.37
2007-04-24,8.38
2007-04-25,8.7
2007-04-26,8.5
2007-04-27,8.38
2007-04-30,8.4
2007-05-01,8.29
2007-05-02,8.23
2007-05-03,8
2007-05-04,7.96
2007-05-07,8.16
2007-05-08,8.38
2007-05-09,8.07
2007-05-10,7.7
2007-05-11,7.84
2007-05-14,7.94
2007-05-15,7.78
2007-05-16,7.46
2007-05-17,7.49
2007-05-18,7.62
2007-05-21,7.75
2007-05-22,7.72
2007-05-23,8.11
2007-05-24,7.9
2007-05-25,7.94
2007-05-29,7.96
2007-05-30,7.87
2007-05-31,7.89
2007-06-01,7.77
2007-06-04,7.87
2007-06-05,8.37
2007-06-06,8
2007-06-07,7.8
2007-06-08,8.06
2007-06-11,8.28
2007-06-12,8.17
2007-06-13,8.38
2007-06-14,8.55
2007-06-15,8.46
2007-06-18,8.49
2007-06-19,8.54
2007-06-20,8.48
2007-06-21,8.49
2007-06-22,8.51
2007-06-25,8.34
2007-06-26,8.23
2007-06-27,8.17
2007-06-28,8.47
2007-06-29,8.7
2007-07-02,8.94
2007-07-03,8.85
2007-07-05,9.34
2007-07-06,9.33
2007-07-09,9.51
2007-07-10,9.53
2007-07-11,9.39
2007-07-12,9.66
2007-07-13,9.83
2007-07-16,9.78
2007-07-17,9.6
2007-07-18,9.44
2007-07-19,9.73
2007-07-20,9.39
2007-07-23,9.68
2007-07-24,9.52
2007-07-25,9.16
2007-07-26,9.2
2007-07-27,8.46
2007-07-30,8.6
2007-07-31,8.82
2007-08-01,8.83
2007-08-02,7.23
2007-08-03,7.85
2007-08-06,7.9
2007-08-07,7.8
2007-08-08,8.17
2007-08-09,7.92
2007-08-10,7.53
2007-08-13,7.6
2007-08-14,7.59
2007-08-15,7.42
2007-08-16,7.26
2007-08-17,7.17
2007-08-20,7.24
2007-08-21,7.21
2007-08-22,7.86
2007-08-23,7.79
2007-08-24,8.01
2007-08-27,7.97
2007-08-28,7.66
2007-08-29,8.17
2007-08-30,8.16
2007-08-31,8.3
2007-09-04,8.4
2007-09-05,8.3
2007-09-06,8.32
2007-09-07,8.23
2007-09-10,7.99
2007-09-11,8.04
2007-09-12,8.33
2007-09-13,8.31
2007-09-14,8.25
2007-09-17,8.25
2007-09-18,8.66
2007-09-19,8.8
2007-09-20,9
2007-09-21,9.3
2007-09-24,9.36
2007-09-25,9.33
2007-09-26,9.13
2007-09-27,9.83
2007-09-28,9.69
2007-10-01,9.81
2007-10-02,9.98
2007-10-03,9.98
2007-10-04,9.81
2007-10-05,9.85
2007-10-08,9.93
2007-10-09,10.55
2007-10-10,10.6
2007-10-11,10.8
2007-10-12,11.04
2007-10-15,11.27
2007-10-16,11.12
2007-10-17,11.55
2007-10-18,11.31
2007-10-19,11.1
2007-10-22,11
2007-10-23,11.91
2007-10-24,11.26
2007-10-25,11.55
2007-10-26,11.53
2007-10-29,11.67
2007-10-30,11.34
2007-10-31,11.79
2007-11-01,11.6
2007-11-02,11.56
2007-11-05,11.9
2007-11-06,14.49
2007-11-07,13.75
2007-11-08,12.92
2007-11-09,13.27
2007-11-12,13.41
2007-11-13,13.3
2007-11-14,13.19
2007-11-15,12.29
2007-11-16,11.91
2007-11-19,10.65
2007-11-20,11.35
2007-11-21,10.54
2007-11-23,11.34
2007-11-26,11.22
2007-11-27,11.81
2007-11-28,12.48
2007-11-29,11.95
2007-11-30,12.64
2007-12-03,12.71
2007-12-04,12.88
2007-12-05,13.66
2007-12-06,13.83
2007-12-07,13.27
2007-12-10,13.35
2007-12-11,12.92
2007-12-12,13.16
2007-12-13,12.83
2007-12-14,12.74
2007-12-17,12.26
2007-12-18,12.64
2007-12-19,13.16
2007-12-20,13.45
2007-12-21,14.02
2007-12-24,14.1
2007-12-26,14.15
2007-12-27,14.1
2007-12-28,14.44
2007-12-31,14
2008-01-02,14.45
2008-01-03,15.18
2008-01-04,15.09
2008-01-07,13.83
2008-01-08,13.21
2008-01-09,12.59
2008-01-10,12.61
2008-01-11,12.52
2008-01-14,13.05
2008-01-15,12.07
2008-01-16,11.05
2008-01-17,11.43
2008-01-18,11.42
2008-01-22,10.86
2008-01-23,10.7
2008-01-24,11.68
2008-01-25,11.75
2008-01-28,11.69
2008-01-29,12.15
2008-01-30,11.97
2008-01-31,12.38
2008-02-01,12.75
2008-02-04,13.15
2008-02-05,12.28
2008-02-06,12.39
2008-02-07,12
2008-02-08,12.14
2008-02-11,12.34
2008-02-12,12.69
2008-02-13,13.02
2008-02-14,12.6
2008-02-15,12.27
2008-02-19,12.67
2008-02-20,12.71
2008-02-21,12.81
2008-02-22,13.08
2008-02-25,13.58
2008-02-26,13.87
2008-02-27,13.66
2008-02-28,13.68
2008-02-29,13.24
2008-03-03,13.22
2008-03-04,12.79
2008-03-05,12.79
2008-03-06,12.78
2008-03-07,11.93
2008-03-10,12.16
2008-03-11,12.3
2008-03-12,11.93
2008-03-13,13.22
2008-03-14,12.79
2008-03-17,12.66
2008-03-18,13.53
2008-03-19,12.64
2008-03-20,12.66
2008-03-24,13.06
2008-03-25,13.33
2008-03-26,13.43
2008-03-27,13.19
2008-03-28,13.78
2008-03-31,13.7
2008-04-01,13.96
2008-04-02,14.35
2008-04-03,14.11
2008-04-04,14.15
2008-04-07,14.03
2008-04-08,13.82
2008-04-09,13.89
2008-04-10,13.84
2008-04-11,13.31
2008-04-14,13.44
2008-04-15,13.51
2008-04-16,14.23
2008-04-17,14.09
2008-04-18,14.17
2008-04-21,14.22
2008-04-22,14.28
