"Index","ALCO.Close"
2007-01-03,51.4
2007-01-04,51.33
2007-01-05,50.2
2007-01-08,48.76
2007-01-09,48.16
2007-01-10,48.09
2007-01-11,47.56
2007-01-12,47.54
2007-01-16,47.59
2007-01-17,48.38
2007-01-18,49.57
2007-01-19,50.72
2007-01-22,50.27
2007-01-23,50.26
2007-01-24,51.48
2007-01-25,51.43
2007-01-26,52.06
2007-01-29,52.37
2007-01-30,52.36
2007-01-31,52.33
2007-02-01,52.18
2007-02-02,52.73
2007-02-05,50.35
2007-02-06,50.56
2007-02-07,50.33
2007-02-08,50.44
2007-02-09,49.62
2007-02-12,49.84
2007-02-13,50.09
2007-02-14,48.57
2007-02-15,48.81
2007-02-16,48.8
2007-02-20,49.75
2007-02-21,49.57
2007-02-22,50.42
2007-02-23,49.17
2007-02-26,48.93
2007-02-27,47.5
2007-02-28,47.56
2007-03-01,48.13
2007-03-02,46.44
2007-03-05,46.86
2007-03-06,47.68
2007-03-07,47.13
2007-03-08,47.35
2007-03-09,47.1
2007-03-12,47.93
2007-03-13,48.61
2007-03-14,49.33
2007-03-15,50.04
2007-03-16,49.93
2007-03-19,52.55
2007-03-20,53.31
2007-03-21,55.5
2007-03-22,55.78
2007-03-23,58.83
2007-03-26,59.98
2007-03-27,56.55
2007-03-28,57.39
2007-03-29,56.6
2007-03-30,57.33
2007-04-02,57.35
2007-04-03,57.31
2007-04-04,57.28
2007-04-05,55.64
2007-04-09,57.33
2007-04-10,58.58
2007-04-11,58.75
2007-04-12,58.97
2007-04-13,60.2
2007-04-16,60
2007-04-17,59.56
2007-04-18,59.8
2007-04-19,59.25
2007-04-20,60.05
2007-04-23,61.34
2007-04-24,60.94
2007-04-25,60.12
2007-04-26,59.5
2007-04-27,60.02
2007-04-30,58.51
2007-05-01,58.5
2007-05-02,60.05
2007-05-03,59.73
2007-05-04,59.81
2007-05-07,59.9
2007-05-08,58.99
2007-05-09,59.94
2007-05-10,58.34
2007-05-11,58.6
2007-05-14,59.02
2007-05-15,58.72
2007-05-16,59.92
2007-05-17,59.53
2007-05-18,59.37
2007-05-21,60.05
2007-05-22,60.05
2007-05-23,60.05
2007-05-24,58.07
2007-05-25,58.15
2007-05-29,58.6
2007-05-30,59.24
2007-05-31,59.94
2007-06-01,60.15
2007-06-04,59.88
2007-06-05,58.65
2007-06-06,58.98
2007-06-07,57.81
2007-06-08,59.23
2007-06-11,60
2007-06-12,59.26
2007-06-13,59.98
2007-06-14,60.11
2007-06-15,60.6
2007-06-18,60.5
2007-06-19,60.3
2007-06-20,59.58
2007-06-21,60.4
2007-06-22,60.67
2007-06-25,60.79
2007-06-26,61.13
2007-06-27,61.58
2007-06-28,61.6
2007-06-29,60.99
2007-07-02,64.11
2007-07-03,63.96
2007-07-05,63.85
2007-07-06,64.85
2007-07-09,63.22
2007-07-10,60.29
2007-07-11,59.58
2007-07-12,59.36
2007-07-13,58.62
2007-07-16,57.64
2007-07-17,58.52
2007-07-18,56.93
2007-07-19,56.33
2007-07-20,55.05
2007-07-23,55.27
2007-07-24,53.53
2007-07-25,53.15
2007-07-26,49.98
2007-07-27,47.2
2007-07-30,47.01
2007-07-31,48.03
2007-08-01,48.22
2007-08-02,50.5
2007-08-03,47.11
2007-08-06,48.62
2007-08-07,49.3
2007-08-08,52.42
2007-08-09,52.51
2007-08-10,47.99
2007-08-13,48.58
2007-08-14,49.72
2007-08-15,49.29
2007-08-16,51.04
2007-08-17,51.03
2007-08-20,51.22
2007-08-21,51.59
2007-08-22,51.15
2007-08-23,50.86
2007-08-24,50.8
2007-08-27,49.83
2007-08-28,47.6
2007-08-29,48.3
2007-08-30,49.54
2007-08-31,51.15
