"Index","ALKS.Close"
2007-01-03,13.09
2007-01-04,13.58
2007-01-05,13.58
2007-01-08,13.8
2007-01-09,13.92
2007-01-10,14.16
2007-01-11,14.17
2007-01-12,15.37
2007-01-16,15.04
2007-01-17,14.96
2007-01-18,14.85
2007-01-19,15
2007-01-22,14.59
2007-01-23,14.66
2007-01-24,14.58
2007-01-25,14.99
2007-01-26,15.19
2007-01-29,15.04
2007-01-30,15
2007-01-31,14.92
2007-02-01,14.93
2007-02-02,14.81
2007-02-05,15
2007-02-06,14.85
2007-02-07,15
2007-02-08,17.01
2007-02-09,16.84
2007-02-12,16.47
2007-02-13,16.89
2007-02-14,17.01
2007-02-15,17.07
2007-02-16,17.62
2007-02-20,17.66
2007-02-21,17.82
2007-02-22,17.83
2007-02-23,17.42
2007-02-26,17.45
2007-02-27,16.74
2007-02-28,16.4
2007-03-01,16.18
2007-03-02,15.38
2007-03-05,15.31
2007-03-06,15.81
2007-03-07,15.75
2007-03-08,15.63
2007-03-09,15.68
2007-03-12,15.77
2007-03-13,15.21
2007-03-14,15.06
2007-03-15,15.29
2007-03-16,15.05
2007-03-19,15.38
2007-03-20,15.5
2007-03-21,15.75
2007-03-22,15.64
2007-03-23,15.58
2007-03-26,15.39
2007-03-27,15.35
2007-03-28,15.5
2007-03-29,15.27
2007-03-30,15.44
2007-04-02,15.35
2007-04-03,15.68
2007-04-04,15.61
2007-04-05,15.8
2007-04-09,15.7
2007-04-10,15.56
2007-04-11,15.45
2007-04-12,15.41
2007-04-13,15.47
2007-04-16,16.66
2007-04-17,16.8
2007-04-18,16.69
2007-04-19,16.48
2007-04-20,16.96
2007-04-23,17.17
2007-04-24,16.75
2007-04-25,16.96
2007-04-26,16.95
2007-04-27,16.79
2007-04-30,16.43
2007-05-01,16.57
2007-05-02,16.95
2007-05-03,17.06
2007-05-04,17.06
2007-05-07,16.8
2007-05-08,16.73
2007-05-09,16.62
2007-05-10,16.24
2007-05-11,16.55
2007-05-14,16.45
2007-05-15,16.53
2007-05-16,16.76
2007-05-17,16.81
2007-05-18,17.08
2007-05-21,17.49
2007-05-22,17.69
2007-05-23,17.47
2007-05-24,16.96
2007-05-25,17.02
2007-05-29,17.1
2007-05-30,16.28
2007-05-31,16.06
2007-06-01,15.98
2007-06-04,15.79
2007-06-05,15.7
2007-06-06,15.41
2007-06-07,15.21
2007-06-08,14.97
2007-06-11,14.97
2007-06-12,14.43
2007-06-13,14.61
2007-06-14,15.06
2007-06-15,15.24
2007-06-18,15.1
2007-06-19,15.07
2007-06-20,15.12
2007-06-21,15.28
2007-06-22,14.78
2007-06-25,14.71
2007-06-26,14.63
2007-06-27,14.89
2007-06-28,14.83
2007-06-29,14.6
2007-07-02,14.9
2007-07-03,14.79
2007-07-05,14.75
2007-07-06,14.91
2007-07-09,14.84
2007-07-10,14.59
2007-07-11,14.39
2007-07-12,14.8
2007-07-13,14.99
2007-07-16,14.76
