"Index","ALSK.Close"
2007-01-03,15.26
2007-01-04,15.43
2007-01-05,15.24
2007-01-08,15.26
2007-01-09,15.43
2007-01-10,15.61
2007-01-11,15.59
2007-01-12,15.99
2007-01-16,16.03
2007-01-17,15.59
2007-01-18,15.36
2007-01-19,15.6
2007-01-22,15.3
2007-01-23,15.49
2007-01-24,15.75
2007-01-25,15.48
2007-01-26,15.77
2007-01-29,15.77
2007-01-30,15.9
2007-01-31,16.16
2007-02-01,16.5
2007-02-02,16.49
2007-02-05,16.34
2007-02-06,16.45
2007-02-07,16.51
2007-02-08,16.66
2007-02-09,16.49
2007-02-12,16.38
2007-02-13,16.62
2007-02-14,16.54
2007-02-15,16.85
2007-02-16,16.69
2007-02-20,16.7
2007-02-21,16.71
2007-02-22,16.8
2007-02-23,15.2
2007-02-26,14.89
2007-02-27,14.31
2007-02-28,14.63
2007-03-01,14.32
2007-03-02,14.06
2007-03-05,13.5
2007-03-06,13.65
2007-03-07,13.63
2007-03-08,14.14
2007-03-09,14.13
2007-03-12,13.86
2007-03-13,14.46
2007-03-14,14.7
2007-03-15,14.8
2007-03-16,14.88
2007-03-19,14.77
2007-03-20,15
2007-03-21,15.42
2007-03-22,15.28
2007-03-23,15.2
2007-03-26,15.24
2007-03-27,15.02
2007-03-28,14.48
2007-03-29,14.6
2007-03-30,14.75
2007-04-02,14.89
2007-04-03,15.14
2007-04-04,14.9
2007-04-05,14.81
2007-04-09,14.85
2007-04-10,15.19
2007-04-11,15
2007-04-12,14.94
2007-04-13,15.05
2007-04-16,15.23
2007-04-17,15.31
2007-04-18,15.18
2007-04-19,15.23
2007-04-20,15.25
2007-04-23,15.25
2007-04-24,15.34
2007-04-25,15.26
2007-04-26,15.28
2007-04-27,16.52
2007-04-30,15.9
2007-05-01,15.83
2007-05-02,16.68
2007-05-03,16.29
2007-05-04,16.01
2007-05-07,16.05
2007-05-08,15.84
2007-05-09,15.84
2007-05-10,15.61
2007-05-11,16.1
2007-05-14,15.89
2007-05-15,15.55
2007-05-16,15.63
2007-05-17,15.76
2007-05-18,15.7
2007-05-21,15.9
2007-05-22,16.23
2007-05-23,16.44
2007-05-24,15.79
2007-05-25,16.04
2007-05-29,15.95
2007-05-30,15.98
2007-05-31,15.78
2007-06-01,16.09
2007-06-04,15.97
2007-06-05,15.95
2007-06-06,15.92
2007-06-07,15.59
2007-06-08,15.75
2007-06-11,15.73
2007-06-12,15.6
2007-06-13,15.72
2007-06-14,15.68
2007-06-15,15.78
2007-06-18,15.62
2007-06-19,15.42
2007-06-20,15.84
2007-06-21,15.76
2007-06-22,15.67
2007-06-25,15.69
2007-06-26,15.84
2007-06-27,15.84
2007-06-28,15.85
2007-06-29,15.84
2007-07-02,15.77
2007-07-03,15.6
2007-07-05,15.89
2007-07-06,15.75
2007-07-09,15.61
2007-07-10,15.02
2007-07-11,15.1
2007-07-12,15.22
2007-07-13,14.96
2007-07-16,14.62
2007-07-17,14.69
2007-07-18,14.59
2007-07-19,14.61
2007-07-20,14.61
2007-07-23,14.56
2007-07-24,14.45
2007-07-25,14.81
2007-07-26,14.31
2007-07-27,14.89
2007-07-30,15.02
2007-07-31,14.37
2007-08-01,14.08
2007-08-02,14.67
2007-08-03,14.23
2007-08-06,14.13
2007-08-07,13.69
2007-08-08,13.69
2007-08-09,12.91
2007-08-10,13.6
2007-08-13,13.85
2007-08-14,13.6
2007-08-15,13.7
2007-08-16,14.17
2007-08-17,14.35
2007-08-20,13.81
2007-08-21,13.98
2007-08-22,14.02
2007-08-23,14.07
2007-08-24,14.5
2007-08-27,14.03
2007-08-28,13.44
2007-08-29,13.72
2007-08-30,13.49
2007-08-31,13.66
2007-09-04,13.63
2007-09-05,13.61
2007-09-06,13.43
2007-09-07,13.28
2007-09-10,13.33
2007-09-11,13.27
2007-09-12,13.39
2007-09-13,13.46
2007-09-14,13.62
2007-09-17,13.57
2007-09-18,14.04
2007-09-19,14.42
2007-09-20,14.18
2007-09-21,15
