"Index","ALTI.Close"
2007-01-03,2.62
2007-01-04,2.62
2007-01-05,2.6
2007-01-08,2.5
2007-01-09,2.69
2007-01-10,2.58
2007-01-11,2.62
2007-01-12,2.63
2007-01-16,2.7
2007-01-17,2.79
2007-01-18,2.7
2007-01-19,2.69
2007-01-22,2.71
2007-01-23,2.72
2007-01-24,2.69
2007-01-25,2.61
2007-01-26,2.66
2007-01-29,2.6
2007-01-30,2.77
2007-01-31,2.78
2007-02-01,2.78
2007-02-02,2.78
2007-02-05,2.87
2007-02-06,2.98
2007-02-07,3.06
2007-02-08,3.16
2007-02-09,2.94
2007-02-12,3.02
2007-02-13,3.01
2007-02-14,2.96
2007-02-15,3.02
2007-02-16,3.09
2007-02-20,3.26
2007-02-21,3.25
2007-02-22,3.19
2007-02-23,3.29
2007-02-26,3.45
2007-02-27,3.22
2007-02-28,3.42
2007-03-01,3.35
2007-03-02,3.5
2007-03-05,3.76
2007-03-06,3.56
2007-03-07,3.63
2007-03-08,3.45
2007-03-09,3.35
2007-03-12,3.24
2007-03-13,3.2
2007-03-14,3.25
2007-03-15,3.33
2007-03-16,3.3
2007-03-19,3.28
2007-03-20,3.36
2007-03-21,3.32
2007-03-22,3.28
2007-03-23,3.24
2007-03-26,3.27
2007-03-27,3.3
2007-03-28,3.16
2007-03-29,3.1
2007-03-30,3.09
2007-04-02,3.03
2007-04-03,3
2007-04-04,2.99
2007-04-05,3.18
2007-04-09,3.2
2007-04-10,3.17
2007-04-11,3.18
2007-04-12,3.22
2007-04-13,3.31
2007-04-16,3.4
2007-04-17,3.28
2007-04-18,3.25
2007-04-19,3.21
2007-04-20,3.22
2007-04-23,3.14
2007-04-24,3.09
2007-04-25,3.19
2007-04-26,3.17
2007-04-27,3.19
2007-04-30,3.14
2007-05-01,3.04
2007-05-02,3.01
2007-05-03,3
2007-05-04,3.08
2007-05-07,3.03
2007-05-08,3.07
2007-05-09,3.04
2007-05-10,3.18
2007-05-11,3.27
2007-05-14,3.26
2007-05-15,3.18
2007-05-16,3.13
2007-05-17,3.14
2007-05-18,3.11
2007-05-21,3.13
2007-05-22,3.19
2007-05-23,3.19
2007-05-24,3.09
2007-05-25,3.11
2007-05-29,3.12
2007-05-30,3.2
2007-05-31,3.16
2007-06-01,3.19
2007-06-04,3.23
2007-06-05,3.2
2007-06-06,3.11
2007-06-07,3.13
2007-06-08,3.12
2007-06-11,3.08
2007-06-12,3.05
2007-06-13,3.1
2007-06-14,3.11
2007-06-15,3.17
2007-06-18,3.12
2007-06-19,3.12
2007-06-20,3.13
2007-06-21,3.34
2007-06-22,3.4
2007-06-25,3.68
2007-06-26,3.72
2007-06-27,3.7
2007-06-28,3.62
2007-06-29,3.54
2007-07-02,3.48
2007-07-03,3.38
2007-07-05,3.65
2007-07-06,3.65
2007-07-09,3.57
2007-07-10,3.54
2007-07-11,3.73
2007-07-12,3.71
2007-07-13,3.7
2007-07-16,3.72
2007-07-17,3.68
2007-07-18,3.68
2007-07-19,3.64
2007-07-20,3.77
2007-07-23,4.01
2007-07-24,3.82
2007-07-25,3.79
2007-07-26,3.64
2007-07-27,3.5
2007-07-30,3.53
2007-07-31,3.58
2007-08-01,3.51
2007-08-02,3.43
2007-08-03,3.57
2007-08-06,3.6
2007-08-07,3.68
2007-08-08,3.65
2007-08-09,3.36
2007-08-10,3.34
2007-08-13,3.17
2007-08-14,3.16
2007-08-15,3.03
2007-08-16,2.93
2007-08-17,2.97
2007-08-20,3.03
2007-08-21,3.24
2007-08-22,3.36
2007-08-23,3.33
2007-08-24,3.27
2007-08-27,3.28
2007-08-28,3.21
2007-08-29,3.15
2007-08-30,3.2
2007-08-31,3.2
2007-09-04,3.2
2007-09-05,3.2
2007-09-06,3.15
2007-09-07,3.08
