"Index","ALTR.Close"
2007-01-03,19.61
2007-01-04,20.07
2007-01-05,19.96
2007-01-08,19.82
2007-01-09,19.86
2007-01-10,20.25
2007-01-11,20.53
2007-01-12,20.42
2007-01-16,20.44
2007-01-17,20.18
2007-01-18,19.6
2007-01-19,19.83
2007-01-22,19.67
2007-01-23,19.65
2007-01-24,20.19
2007-01-25,20.12
2007-01-26,20.18
2007-01-29,20.05
2007-01-30,19.91
2007-01-31,20.05
2007-02-01,20.22
2007-02-02,20.38
2007-02-05,20.38
2007-02-06,20.21
2007-02-07,20.81
2007-02-08,20.77
2007-02-09,20.76
2007-02-12,20.52
2007-02-13,20.62
2007-02-14,20.89
2007-02-15,21.08
2007-02-16,21.1
2007-02-20,21.2
2007-02-21,21.11
2007-02-22,21.87
2007-02-23,22.05
2007-02-26,21.74
2007-02-27,21.25
2007-02-28,21.11
2007-03-01,21.01
2007-03-02,20.26
2007-03-05,19.87
2007-03-06,20.04
2007-03-07,20.21
2007-03-08,20.47
2007-03-09,20.7
2007-03-12,21.18
2007-03-13,20.9
2007-03-14,21.03
2007-03-15,20.95
2007-03-16,20.82
2007-03-19,20.64
2007-03-20,21.01
2007-03-21,21.72
2007-03-22,21.44
2007-03-23,21.45
2007-03-26,21.09
2007-03-27,20.94
2007-03-28,20.05
2007-03-29,20.1
2007-03-30,19.99
2007-04-02,19.98
2007-04-03,20.2
2007-04-04,20.12
2007-04-05,20.45
2007-04-09,20.21
2007-04-10,20.37
2007-04-11,19.96
2007-04-12,20.17
2007-04-13,20.17
2007-04-16,20.09
2007-04-17,20.14
2007-04-18,20.73
2007-04-19,21.07
2007-04-20,21.11
2007-04-23,21.32
2007-04-24,22.96
2007-04-25,23.11
2007-04-26,23.09
2007-04-27,22.82
2007-04-30,22.54
2007-05-01,22.81
2007-05-02,23.42
2007-05-03,23.47
2007-05-04,23.49
2007-05-07,23.37
2007-05-08,23.52
2007-05-09,24.04
2007-05-10,23.23
2007-05-11,23.54
2007-05-14,23.26
2007-05-15,22.93
2007-05-16,23.14
2007-05-17,22.82
2007-05-18,22.85
2007-05-21,22.93
2007-05-22,23.1
2007-05-23,22.9
2007-05-24,22.45
2007-05-25,22.31
2007-05-29,22.47
2007-05-30,22.56
2007-05-31,22.81
2007-06-01,22.73
2007-06-04,22.8
2007-06-05,22.93
2007-06-06,22.61
2007-06-07,22.14
2007-06-08,22.46
2007-06-11,22.37
2007-06-12,22.11
2007-06-13,22.49
2007-06-14,22.64
2007-06-15,22.96
2007-06-18,22.88
2007-06-19,22.39
2007-06-20,22.53
2007-06-21,23.11
2007-06-22,22.5
2007-06-25,22.05
2007-06-26,21.89
2007-06-27,22.42
2007-06-28,22.16
2007-06-29,22.13
2007-07-02,22.7
2007-07-03,22.65
2007-07-05,23.21
2007-07-06,23.52
2007-07-09,23.92
2007-07-10,23.31
2007-07-11,23.61
2007-07-12,24.19
2007-07-13,24.37
2007-07-16,24.3
2007-07-17,24.89
2007-07-18,24.7
2007-07-19,24.97
2007-07-20,24.73
2007-07-23,24.92
2007-07-24,24.5
2007-07-25,24.27
2007-07-26,23.73
2007-07-27,23.11
2007-07-30,23.49
2007-07-31,23.2
2007-08-01,23.47
2007-08-02,23.55
2007-08-03,22.9
2007-08-06,23.45
2007-08-07,23.95
2007-08-08,25.06
2007-08-09,25.45
2007-08-10,25.04
2007-08-13,24.19
2007-08-14,23.74
2007-08-15,23.31
2007-08-16,22.88
2007-08-17,22.97
2007-08-20,22.93
2007-08-21,23.06
2007-08-22,23.55
2007-08-23,23.37
2007-08-24,23.6
2007-08-27,23.18
2007-08-28,22.69
2007-08-29,23.46
2007-08-30,23.49
2007-08-31,23.81
2007-09-04,24.32
2007-09-05,24.53
2007-09-06,24.47
2007-09-07,23.69
2007-09-10,23.65
2007-09-11,24.02
2007-09-12,23.73
2007-09-13,23.92
2007-09-14,23.75
2007-09-17,23.5
2007-09-18,24.39
2007-09-19,24.78
2007-09-20,25.05
2007-09-21,25.14
2007-09-24,24.67
2007-09-25,25.05
2007-09-26,24.27
2007-09-27,24.36
2007-09-28,24.08
2007-10-01,24.34
2007-10-02,24.34
2007-10-03,24.41
2007-10-04,24.47
2007-10-05,24.86
2007-10-08,24.73
2007-10-09,24.46
2007-10-10,24.24
2007-10-11,23.57
2007-10-12,23.78
2007-10-15,23.6
2007-10-16,23.45
2007-10-17,23.41
2007-10-18,23.66
2007-10-19,23.11
2007-10-22,23.31
2007-10-23,23.32
2007-10-24,19.66
2007-10-25,18.86
2007-10-26,18.81
2007-10-29,19.02
2007-10-30,19.48
2007-10-31,19.62
2007-11-01,19.28
2007-11-02,19.37
2007-11-05,19.16
2007-11-06,19.41
2007-11-07,19.25
2007-11-08,19.05
2007-11-09,18.92
2007-11-12,18.88
2007-11-13,19.22
2007-11-14,18.84
2007-11-15,18.95
2007-11-16,18.9
2007-11-19,18.68
2007-11-20,18.43
2007-11-21,18.27
2007-11-23,18.7
2007-11-26,18.2
2007-11-27,18.81
2007-11-28,19.23
2007-11-29,19.09
2007-11-30,18.78
2007-12-03,18.87
2007-12-04,18.79
2007-12-05,19
2007-12-06,19.2
2007-12-07,19.19
2007-12-10,19.22
2007-12-11,18.92
2007-12-12,19.28
2007-12-13,19.3
2007-12-14,19.2
2007-12-17,19.05
2007-12-18,19.14
2007-12-19,19.27
2007-12-20,19.29
2007-12-21,19.4
2007-12-24,19.63
2007-12-26,19.68
2007-12-27,19.39
2007-12-28,19.31
2007-12-31,19.32
2008-01-02,18.53
2008-01-03,18.75
2008-01-04,18.07
2008-01-07,18.25
2008-01-08,17.72
2008-01-09,17.73
2008-01-10,17.61
2008-01-11,17.14
2008-01-14,17.58
2008-01-15,16.78
2008-01-16,17.36
2008-01-17,17.03
2008-01-18,17.59
2008-01-22,17.19
2008-01-23,18.24
2008-01-24,18.45
2008-01-25,18.02
2008-01-28,18.72
2008-01-29,18.35
2008-01-30,17.99
2008-01-31,16.89
2008-02-01,19.42
2008-02-04,18.83
2008-02-05,18.09
2008-02-06,17.51
2008-02-07,17.19
2008-02-08,17.47
2008-02-11,17.94
2008-02-12,17.62
2008-02-13,18.1
2008-02-14,17.38
2008-02-15,17.18
2008-02-19,17.06
2008-02-20,17.31
2008-02-21,17.19
2008-02-22,17.15
2008-02-25,17.38
2008-02-26,17.74
