"Index","AMBC.Close"
2013-05-01,20
2013-05-02,20.2
2013-05-03,20.4
2013-05-06,21.44
2013-05-07,22.38
2013-05-08,24.45
2013-05-09,24.25
2013-05-10,23.89
2013-05-13,23.04
2013-05-14,22.84
2013-05-15,22.75
2013-05-16,23.67
2013-05-17,26.03
2013-05-20,27.16
2013-05-21,26.77
2013-05-22,25.93
2013-05-23,25.34
2013-05-24,24.75
2013-05-28,25.04
2013-05-29,24.94
2013-05-30,25.25
2013-05-31,25.2
2013-06-03,25.58
2013-06-04,25.57
2013-06-05,25.45
2013-06-06,25.69
2013-06-07,25.75
2013-06-10,26.07
2013-06-11,25.49
2013-06-12,24.96
2013-06-13,25.1
2013-06-14,24.44
2013-06-17,24.84
2013-06-18,24.84
2013-06-19,24.95
2013-06-20,24.39
2013-06-21,23.63
2013-06-24,22.62
2013-06-25,22.86
2013-06-26,22.7
2013-06-27,23.4
2013-06-28,23.83
2013-07-01,23.88
2013-07-02,23.24
2013-07-03,22.91
2013-07-05,22.4
2013-07-08,23.54
2013-07-09,23.26
2013-07-10,23.09
2013-07-11,23.31
2013-07-12,23.89
2013-07-15,23.99
2013-07-16,24.6
2013-07-17,24.96
2013-07-18,25.33
2013-07-19,24.98
2013-07-22,24.98
2013-07-23,24.9
2013-07-24,24.97
2013-07-25,24.99
2013-07-26,25.02
2013-07-29,24.49
2013-07-30,24.38
2013-07-31,25.04
2013-08-01,25.43
2013-08-02,24.85
2013-08-05,24.93
2013-08-06,24.65
2013-08-07,25.15
2013-08-08,25
2013-08-09,24.72
2013-08-12,24.24
2013-08-13,24.2
2013-08-14,24.54
2013-08-15,23.86
2013-08-16,23.61
2013-08-19,23.41
2013-08-20,23.4
2013-08-21,23.06
2013-08-22,23.41
2013-08-23,22.99
2013-08-26,23.14
2013-08-27,22.83
2013-08-28,22.82
2013-08-29,22.47
2013-08-30,22.16
2013-09-03,22.36
2013-09-04,21.9
2013-09-05,21.39
2013-09-06,21.54
2013-09-09,20.89
2013-09-10,19.82
2013-09-11,18.82
2013-09-12,19.37
2013-09-13,20.02
2013-09-16,20.01
2013-09-17,20.04
2013-09-18,20.08
2013-09-19,19.71
2013-09-20,19.81
2013-09-23,19.56
2013-09-24,19.56
2013-09-25,19.59
2013-09-26,19.49
2013-09-27,18.94
2013-09-30,18.14
2013-10-01,17.54
2013-10-02,17.76
2013-10-03,17.18
2013-10-04,17.48
2013-10-07,17.56
2013-10-08,16.72
2013-10-09,15.54
2013-10-10,16.72
2013-10-11,17.91
2013-10-14,17.72
2013-10-15,17.5
2013-10-16,18.36
2013-10-17,18.21
2013-10-18,18.8
2013-10-21,18.38
2013-10-22,19.21
2013-10-23,19.43
2013-10-24,20.6
2013-10-25,20.67
2013-10-28,20.75
2013-10-29,20.75
2013-10-30,20.51
2013-10-31,20.19
2013-11-01,20.8
2013-11-04,20.81
2013-11-05,20.58
2013-11-06,20.45
2013-11-07,19.97
2013-11-08,20.75
2013-11-11,20.87
2013-11-12,20.65
2013-11-13,21
2013-11-14,21.64
2013-11-15,22.53
2013-11-18,22.25
2013-11-19,23.22
2013-11-20,22.85
2013-11-21,23.12
2013-11-22,23.21
2013-11-25,23.49
2013-11-26,23.42
2013-11-27,23.58
2013-11-29,23.65
2013-12-02,23.65
2013-12-03,23.1
2013-12-04,23.88
2013-12-05,23.17
2013-12-06,23.42
2013-12-09,23.18
2013-12-10,22.52
2013-12-11,21.84
2013-12-12,21.39
2013-12-13,20.44
2013-12-16,20.61
2013-12-17,20.83
2013-12-18,20.68
2013-12-19,20.89
2013-12-20,20.63
2013-12-23,23.15
2013-12-24,23.98
2013-12-26,24.91
2013-12-27,24.69
2013-12-30,24.18
2013-12-31,24.56
2014-01-02,24.35
2014-01-03,24.2
2014-01-06,23.97
2014-01-07,23.76
2014-01-08,23.96
2014-01-09,23.77
2014-01-10,23.86
2014-01-13,23.44
2014-01-14,23.87
2014-01-15,23.26
2014-01-16,24.05
2014-01-17,24.26
2014-01-21,24.71
2014-01-22,24.71
2014-01-23,24.37
2014-01-24,24.01
2014-01-27,24.05
2014-01-28,24.22
2014-01-29,23.72
2014-01-30,23.59
2014-01-31,23.44
2014-02-03,22.63
2014-02-04,22.39
2014-02-05,23.35
2014-02-06,22.99
2014-02-07,23.01
2014-02-10,23.42
2014-02-11,24.04
2014-02-12,24.75
2014-02-13,25.18
2014-02-14,25.52
2014-02-18,25.96
2014-02-19,26.06
2014-02-20,26.01
2014-02-21,26.29
2014-02-24,27.38
2014-02-25,28.48
2014-02-26,31.12
2014-02-27,32.84
2014-02-28,34.56
2014-03-03,33.1
2014-03-04,34.49
2014-03-05,34.68
2014-03-06,34.48
2014-03-07,34.47
2014-03-10,33.99
2014-03-11,31.38
2014-03-12,32.25
2014-03-13,31.94
2014-03-14,31.94
2014-03-17,32.24
2014-03-18,32.75
2014-03-19,32.82
2014-03-20,32.35
2014-03-21,32.49
2014-03-24,32.86
2014-03-25,32.74
2014-03-26,31.83
2014-03-27,31.02
2014-03-28,30.2
2014-03-31,31.03
2014-04-01,31
2014-04-02,30.78
2014-04-03,30.75
2014-04-04,30.47
2014-04-07,29.35
2014-04-08,29.09
2014-04-09,30.23
2014-04-10,28.81
2014-04-11,28.25
2014-04-14,28.08
2014-04-15,28.46
2014-04-16,28.76
2014-04-17,28.82
2014-04-21,28.49
2014-04-22,31.97
2014-04-23,30.59
2014-04-24,30.58
2014-04-25,29.91
2014-04-28,29.15
2014-04-29,29.78
2014-04-30,30.18
2014-05-01,29.97
2014-05-02,29.95
2014-05-05,29.79
2014-05-06,29.41
2014-05-07,29.61
2014-05-08,29.54
2014-05-09,29.78
2014-05-12,29.91
2014-05-13,29.93
2014-05-14,29.86
2014-05-15,29.27
2014-05-16,29.52
2014-05-19,29.08
