"Index","AMCC.Close"
2007-01-03,14.6
2007-01-04,14.64
2007-01-05,14.24
2007-01-08,14.6
2007-01-09,14.52
2007-01-10,14.4
2007-01-11,13.96
2007-01-12,14.28
2007-01-16,13.96
2007-01-17,14.04
2007-01-18,13.32
2007-01-19,13.32
2007-01-22,13.24
2007-01-23,13.24
2007-01-24,13.28
2007-01-25,13.16
2007-01-26,13.2
2007-01-29,13.12
2007-01-30,13.4
2007-01-31,13.76
2007-02-01,13.36
2007-02-02,13.96
2007-02-05,14
2007-02-06,13.72
2007-02-07,14.28
2007-02-08,14.72
2007-02-09,14.12
2007-02-12,13.8
2007-02-13,13.76
2007-02-14,14
2007-02-15,13.92
2007-02-16,14.32
2007-02-20,14.64
2007-02-21,14.36
2007-02-22,14.64
2007-02-23,15.04
2007-02-26,15.44
2007-02-27,15.2
2007-02-28,15.52
2007-03-01,15.04
2007-03-02,14.52
2007-03-05,14.12
2007-03-06,14.68
2007-03-07,14.36
2007-03-08,13.96
2007-03-09,14
2007-03-12,14.04
2007-03-13,13.44
2007-03-14,13.64
2007-03-15,13.76
2007-03-16,13.28
2007-03-19,13.44
2007-03-20,13.72
2007-03-21,14
2007-03-22,13.96
2007-03-23,13.92
2007-03-26,13.72
2007-03-27,13.92
2007-03-28,14.16
2007-03-29,14.32
2007-03-30,14.6
2007-04-02,14.2
2007-04-03,14.16
2007-04-04,13.72
2007-04-05,14
2007-04-09,13.96
2007-04-10,14.04
2007-04-11,14.16
2007-04-12,14
2007-04-13,14.12
2007-04-16,14
2007-04-17,14.12
2007-04-18,14.28
2007-04-19,14.32
2007-04-20,14.12
2007-04-23,10.92
2007-04-24,11.16
2007-04-25,11.8
2007-04-26,11.76
2007-04-27,12.04
2007-04-30,11.24
2007-05-01,11.72
2007-05-02,12.08
2007-05-03,12.16
2007-05-04,12.56
2007-05-07,12.44
2007-05-08,12.52
2007-05-09,12.6
2007-05-10,12.32
2007-05-11,12.56
2007-05-14,12.4
2007-05-15,11.84
2007-05-16,11.88
2007-05-17,11.92
2007-05-18,11.96
2007-05-21,11.84
2007-05-22,12.04
2007-05-23,12
2007-05-24,11.6
2007-05-25,11.56
2007-05-29,11.36
2007-05-30,11.2
2007-05-31,11.24
2007-06-01,11.44
2007-06-04,11.48
2007-06-05,11.48
2007-06-06,11.12
2007-06-07,10.84
2007-06-08,11
2007-06-11,10.88
2007-06-12,11.12
2007-06-13,10.96
2007-06-14,10.72
2007-06-15,10.84
2007-06-18,10.8
2007-06-19,10.64
2007-06-20,10.8
2007-06-21,10.72
