"Index","AMED.Close"
2007-01-03,33.32
2007-01-04,32.58
2007-01-05,32.28
2007-01-08,32.5
2007-01-09,32.1
2007-01-10,32.1
2007-01-11,32.95
2007-01-12,32.88
2007-01-16,32.57
2007-01-17,32.41
2007-01-18,31.39
2007-01-19,31.39
2007-01-22,30.54
2007-01-23,31.13
2007-01-24,30.61
2007-01-25,30.31
2007-01-26,30.34
2007-01-29,30.94
2007-01-30,31.17
2007-01-31,32.32
2007-02-01,33
2007-02-02,33.18
2007-02-05,32.68
2007-02-06,32.72
2007-02-07,33.11
2007-02-08,33.2
2007-02-09,32.95
2007-02-12,32.62
2007-02-13,33.31
2007-02-14,33.57
2007-02-15,34.16
2007-02-16,34.8
2007-02-20,32.47
2007-02-21,32.11
2007-02-22,32.3
2007-02-23,32.58
2007-02-26,33.08
2007-02-27,32.1
2007-02-28,31.98
2007-03-01,31.72
2007-03-02,31.78
2007-03-05,31.84
2007-03-06,32.34
2007-03-07,31.85
2007-03-08,31.67
2007-03-09,31.76
2007-03-12,31.74
2007-03-13,31.46
2007-03-14,31.18
2007-03-15,31.78
2007-03-16,31.91
2007-03-19,32.16
2007-03-20,32.12
2007-03-21,32.72
2007-03-22,32.53
2007-03-23,32.93
2007-03-26,32.7
2007-03-27,32.44
2007-03-28,32.53
2007-03-29,32.59
2007-03-30,32.43
2007-04-02,32.37
2007-04-03,32.3
2007-04-04,32.23
2007-04-05,33.28
2007-04-09,33.99
2007-04-10,33.77
2007-04-11,33.26
2007-04-12,33.1
2007-04-13,32.54
2007-04-16,32.66
2007-04-17,32.36
2007-04-18,32.03
2007-04-19,32.07
2007-04-20,32.29
2007-04-23,31.81
2007-04-24,31.74
2007-04-25,32.11
2007-04-26,31.87
2007-04-27,30.44
2007-04-30,31.35
2007-05-01,33.86
2007-05-02,34.84
2007-05-03,35.18
2007-05-04,35.5
2007-05-07,35.73
2007-05-08,36
2007-05-09,35.52
2007-05-10,35.27
2007-05-11,35.42
2007-05-14,35.9
2007-05-15,36.15
2007-05-16,36.93
2007-05-17,36.55
2007-05-18,36.88
2007-05-21,36.83
2007-05-22,38
2007-05-23,37.4
2007-05-24,36.94
2007-05-25,37.08
2007-05-29,37.03
2007-05-30,37.2
2007-05-31,37.3
2007-06-01,37.75
2007-06-04,38.42
2007-06-05,37.77
2007-06-06,37.12
2007-06-07,36.6
2007-06-08,36.95
2007-06-11,36.68
2007-06-12,36.36
2007-06-13,36.25
2007-06-14,35.59
2007-06-15,36.08
2007-06-18,35.71
2007-06-19,36.03
2007-06-20,35.44
2007-06-21,35.47
2007-06-22,35.3
2007-06-25,35.65
2007-06-26,36.13
2007-06-27,36.52
2007-06-28,36.98
2007-06-29,36.33
2007-07-02,36.86
2007-07-03,37.37
2007-07-05,37.99
2007-07-06,37.9
2007-07-09,38.02
2007-07-10,36.15
2007-07-11,36.77
2007-07-12,36.88
2007-07-13,37.21
2007-07-16,37.27
2007-07-17,37.64
2007-07-18,38.65
2007-07-19,39.04
2007-07-20,38.35
2007-07-23,38.01
2007-07-24,36.61
2007-07-25,37.18
2007-07-26,36.2
2007-07-27,35.6
2007-07-30,36.65
2007-07-31,37.85
2007-08-01,37.93
2007-08-02,38.16
2007-08-03,38.21
2007-08-06,38.75
2007-08-07,39.34
2007-08-08,38.56
2007-08-09,39.49
2007-08-10,38.99
2007-08-13,38.87
2007-08-14,38.8
2007-08-15,38.85
2007-08-16,39.25
2007-08-17,39.8
2007-08-20,40.03
2007-08-21,39.36
2007-08-22,39.58
2007-08-23,37.5
2007-08-24,38.2
2007-08-27,38.06
2007-08-28,37.25
2007-08-29,37.88
2007-08-30,37.97
2007-08-31,37.78
2007-09-04,37.65
2007-09-05,38.02
2007-09-06,38.02
2007-09-07,38.13
2007-09-10,37.82
2007-09-11,38.13
2007-09-12,38.27
2007-09-13,37.85
2007-09-14,37.41
2007-09-17,38.1
2007-09-18,38.59
2007-09-19,39.17
2007-09-20,39.11
2007-09-21,39.03
2007-09-24,39.14
2007-09-25,39.08
2007-09-26,38.87
2007-09-27,38.97
2007-09-28,38.42
2007-10-01,39.1
2007-10-02,38.87
2007-10-03,38.97
2007-10-04,39.05
2007-10-05,39.17
2007-10-08,39.36
2007-10-09,40.13
2007-10-10,39.5
2007-10-11,38.5
2007-10-12,38.52
2007-10-15,37.91
2007-10-16,37.64
2007-10-17,37.2
2007-10-18,36.93
2007-10-19,36.75
2007-10-22,37.79
2007-10-23,37.38
2007-10-24,37.09
2007-10-25,37
2007-10-26,36.95
2007-10-29,36.65
2007-10-30,43.4
2007-10-31,42.45
2007-11-01,42.45
2007-11-02,42.75
2007-11-05,41.85
2007-11-06,42.53
2007-11-07,41.54
2007-11-08,41.88
2007-11-09,41.4
2007-11-12,42.36
2007-11-13,43.87
2007-11-14,44.29
2007-11-15,43.34
2007-11-16,43.43
2007-11-19,42.83
2007-11-20,42.63
2007-11-21,41.88
2007-11-23,42.74
2007-11-26,41.95
2007-11-27,42
2007-11-28,42.4
2007-11-29,42.29
2007-11-30,42.66
2007-12-03,44.2
2007-12-04,43.39
2007-12-05,44.2
2007-12-06,46
2007-12-07,43.33
2007-12-10,43.84
2007-12-11,44.06
2007-12-12,44.15
2007-12-13,44.95
2007-12-14,44.41
2007-12-17,42.16
2007-12-18,45.33
2007-12-19,46.32
2007-12-20,48.43
2007-12-21,48.55
2007-12-24,48.55
2007-12-26,49.19
2007-12-27,48.74
2007-12-28,48.88
2007-12-31,48.52
2008-01-02,48.35
2008-01-03,48.9
2008-01-04,46.54
2008-01-07,48.15
2008-01-08,45.73
2008-01-09,47.25
