"Index","AMIC.Close"
2007-01-03,10.76
2007-01-04,10.87
2007-01-05,10.76
2007-01-08,10.82
2007-01-09,10.8
2007-01-10,10.62
2007-01-11,10.64
2007-01-12,10.53
2007-01-16,10.59
2007-01-17,10.4
2007-01-18,10.3
2007-01-19,10.39
2007-01-22,10.5
2007-01-23,10.32
2007-01-24,10.29
2007-01-25,10.26
2007-01-26,10.23
2007-01-29,10.17
2007-01-30,10.49
2007-01-31,10.51
2007-02-01,10.47
2007-02-02,10.43
2007-02-05,10.43
2007-02-06,10.12
2007-02-07,10.24
2007-02-08,10.18
2007-02-09,10.19
2007-02-12,10.23
2007-02-13,10.2
2007-02-14,10.22
2007-02-15,10.44
2007-02-16,10.71
2007-02-20,10.51
2007-02-21,10.53
2007-02-22,10.56
2007-02-23,10.62
2007-02-26,10.65
2007-02-27,10.34
2007-02-28,10.8
2007-03-01,10.7
2007-03-02,10.56
2007-03-05,10.4
2007-03-06,10.61
2007-03-07,10.69
2007-03-08,10.62
2007-03-09,10.91
2007-03-12,10.97
2007-03-13,10.91
2007-03-14,10.99
2007-03-15,10.82
2007-03-16,10.9
2007-03-19,10.5
2007-03-20,10.64
2007-03-21,10.68
2007-03-22,10.68
2007-03-23,10.48
2007-03-26,10.55
2007-03-27,10.59
2007-03-28,10.58
2007-03-29,10.63
2007-03-30,10.41
2007-04-02,10.43
2007-04-03,10.43
2007-04-04,10.43
2007-04-05,10.45
2007-04-09,10.25
2007-04-10,10.4
2007-04-11,10.45
2007-04-12,10.49
2007-04-13,10.41
2007-04-16,10.49
2007-04-17,10.14
2007-04-18,10.19
2007-04-19,10.12
2007-04-20,10.03
2007-04-23,10.15
2007-04-24,10.06
2007-04-25,10.06
2007-04-26,10.25
2007-04-27,10.33
2007-04-30,10.36
2007-05-01,10.3
2007-05-02,10.26
2007-05-03,10.3
2007-05-04,10.38
2007-05-07,10.46
2007-05-08,10.44
2007-05-09,10.5
2007-05-10,10.13
2007-05-11,10.13
2007-05-14,10.2
2007-05-15,10.21
2007-05-16,10.25
2007-05-17,10.21
2007-05-18,10.25
2007-05-21,10.44
2007-05-22,10.52
2007-05-23,10.48
2007-05-24,10.52
2007-05-25,10.45
2007-05-29,10.81
2007-05-30,10.89
2007-05-31,10.83
2007-06-01,10.75
2007-06-04,10.77
2007-06-05,10.87
2007-06-06,10.8
2007-06-07,10.89
2007-06-08,10.87
2007-06-11,10.76
2007-06-12,10.79
2007-06-13,10.75
2007-06-14,10.78
2007-06-15,10.65
2007-06-18,10.61
2007-06-19,10.78
2007-06-20,10.99
2007-06-21,11
2007-06-22,10.99
2007-06-25,10.99
2007-06-26,10.91
2007-06-27,10.95
2007-06-28,10.82
2007-06-29,11.03
2007-07-02,11.07
2007-07-03,11.07
2007-07-05,11.03
2007-07-06,11.08
2007-07-09,11.17
2007-07-10,11.17
2007-07-11,11.13
2007-07-12,11.14
2007-07-13,11.33
2007-07-16,11.28
2007-07-17,11.16
2007-07-18,11.26
2007-07-19,11.09
2007-07-20,11.18
2007-07-23,11.18
2007-07-24,11.18
2007-07-25,11.21
2007-07-26,11
2007-07-27,11.06
2007-07-30,10.9
2007-07-31,10.99
2007-08-01,11
2007-08-02,10.88
2007-08-03,10.92
2007-08-06,10.96
2007-08-07,10.93
2007-08-08,10.92
2007-08-09,10.82
2007-08-10,10.62
2007-08-13,10.35
2007-08-14,10.54
2007-08-15,10.52
2007-08-16,10.5
2007-08-17,10.4
2007-08-20,10.25
2007-08-21,10.3
2007-08-22,10.43
2007-08-23,10.55
2007-08-24,10.62
2007-08-27,10.6
2007-08-28,10.6
2007-08-29,10.5
2007-08-30,10.5
2007-08-31,10.5
2007-09-04,10.54
2007-09-05,10.54
2007-09-06,10.5
2007-09-07,10.54
2007-09-10,10.61
2007-09-11,10.55
2007-09-12,10.68
2007-09-13,10.63
2007-09-14,10.63
2007-09-17,10.56
2007-09-18,10.5
2007-09-19,10.53
2007-09-20,10.47
2007-09-21,10.64
2007-09-24,10.28
2007-09-25,10.33
2007-09-26,10.26
2007-09-27,10.31
2007-09-28,10.19
2007-10-01,10.12
2007-10-02,10.16
2007-10-03,10.35
2007-10-04,10.28
2007-10-05,10.35
2007-10-08,10.34
2007-10-09,10.26
2007-10-10,10.34
2007-10-11,10.34
2007-10-12,10.31
2007-10-15,10.28
2007-10-16,10.09
2007-10-17,10.16
2007-10-18,10.16
2007-10-19,10.05
2007-10-22,10.08
2007-10-23,10.08
2007-10-24,10.06
2007-10-25,10.06
2007-10-26,10.07
2007-10-29,10.11
2007-10-30,10.11
2007-10-31,10.14
2007-11-01,10.14
