"Index","AMKR.Close"
2007-01-03,9.89
2007-01-04,9.98
2007-01-05,9.81
2007-01-08,10.22
2007-01-09,10.42
2007-01-10,10.6
2007-01-11,11.3
2007-01-12,11.28
2007-01-16,11.19
2007-01-17,10.79
2007-01-18,10.34
2007-01-19,10.29
2007-01-22,10.27
2007-01-23,10.21
2007-01-24,10.54
2007-01-25,10.44
2007-01-26,10.56
2007-01-29,10.53
2007-01-30,10.58
2007-01-31,10.53
2007-02-01,10.83
2007-02-02,11.05
2007-02-05,11.44
2007-02-06,11.33
2007-02-07,11.96
2007-02-08,11.23
2007-02-09,11.17
2007-02-12,11
2007-02-13,11.36
2007-02-14,11.76
2007-02-15,11.84
2007-02-16,11.82
2007-02-20,12
2007-02-21,11.99
2007-02-22,12.07
2007-02-23,12.05
2007-02-26,12.03
2007-02-27,11.08
2007-02-28,11.53
2007-03-01,11.8
2007-03-02,11.32
2007-03-05,11.12
2007-03-06,11.77
2007-03-07,11.63
2007-03-08,11.97
2007-03-09,12
2007-03-12,12.02
2007-03-13,11.55
2007-03-14,11.71
2007-03-15,11.85
2007-03-16,11.73
2007-03-19,11.9
2007-03-20,12.07
2007-03-21,12.62
2007-03-22,12.71
2007-03-23,12.85
2007-03-26,12.98
2007-03-27,12.67
2007-03-28,12.5
2007-03-29,12.17
2007-03-30,12.48
2007-04-02,12.82
2007-04-03,13.55
2007-04-04,13.75
2007-04-05,14.08
2007-04-09,13.95
2007-04-10,13.91
2007-04-11,14.03
2007-04-12,13.94
2007-04-13,13.85
2007-04-16,14.12
2007-04-17,13.61
2007-04-18,13.64
2007-04-19,13.77
2007-04-20,13.82
2007-04-23,14.09
2007-04-24,14.17
2007-04-25,14.55
2007-04-26,14.62
2007-04-27,14.62
2007-04-30,13.99
2007-05-01,13.99
2007-05-02,13.73
2007-05-03,13.75
2007-05-04,13.68
2007-05-07,13.61
2007-05-08,13.82
2007-05-09,14.16
2007-05-10,13.8
2007-05-11,14.2
2007-05-14,13.88
2007-05-15,13.81
2007-05-16,13.91
2007-05-17,13.9
2007-05-18,13.96
2007-05-21,14.11
2007-05-22,14.29
2007-05-23,14.18
2007-05-24,13.98
2007-05-25,14.08
2007-05-29,14.33
2007-05-30,14.26
2007-05-31,14.22
2007-06-01,14.47
2007-06-04,14.32
2007-06-05,14.35
2007-06-06,14.26
2007-06-07,13.86
2007-06-08,14.07
2007-06-11,14.05
2007-06-12,14.07
2007-06-13,14.35
2007-06-14,14.86
2007-06-15,14.98
2007-06-18,14.97
2007-06-19,14.81
2007-06-20,14.34
2007-06-21,14.84
2007-06-22,14.67
2007-06-25,14.89
2007-06-26,14.77
2007-06-27,15.44
2007-06-28,15.75
2007-06-29,15.75
2007-07-02,16.15
2007-07-03,16.18
2007-07-05,15.91
2007-07-06,15.97
2007-07-09,16.06
2007-07-10,15.54
2007-07-11,15.37
2007-07-12,15.9
2007-07-13,15.54
2007-07-16,15.33
2007-07-17,15.56
2007-07-18,15.29
2007-07-19,15
2007-07-20,14.73
2007-07-23,14.8
2007-07-24,14.49
2007-07-25,14.4
2007-07-26,13.05
2007-07-27,12.97
2007-07-30,13.35
2007-07-31,12.36
2007-08-01,11.22
2007-08-02,11.09
2007-08-03,10.44
2007-08-06,10.97
2007-08-07,10.74
2007-08-08,10.26
2007-08-09,9.8
2007-08-10,11.03
2007-08-13,11.27
2007-08-14,10.9
