"Index","AMM.Close"
2008-06-25,9.98
2008-06-26,9.75
2008-06-27,9.76
2008-06-30,9.67
2008-07-01,9.67
2008-07-02,9.7
2008-07-03,9.7
2008-07-07,9.7
2008-07-08,9.7
2008-07-09,9.7
2008-07-10,9.7
2008-07-11,9.7
2008-07-14,9.7
2008-07-15,9.7
2008-07-16,9.7
2008-07-17,9.7
2008-07-18,9.7
2008-07-21,9.7
2008-07-22,9.7
2008-07-23,9.7
2008-07-24,9.7
2008-07-25,9.7
2008-07-28,9.7
2008-07-29,9.7
2008-07-30,9.7
2008-07-31,9.7
2008-08-01,9.72
2008-08-04,9.82
2008-08-05,9.89
2008-08-06,9.9
2008-08-07,9.9
2008-08-08,9.9
2008-08-11,9.9
2008-08-12,9.9
2008-08-13,9.9
2008-08-14,9.9
2008-08-15,9.9
2008-08-18,9.9
2008-08-19,9.9
2008-08-20,9.9
2008-08-21,9.9
2008-08-22,9.9
2008-08-25,9.9
2008-08-26,9.5
2008-08-27,9.57
2008-08-28,9.57
2008-08-29,9.57
2008-09-02,9.57
2008-09-03,9.57
2008-09-04,9.57
2008-09-05,9.59
2008-09-08,9.59
2008-09-09,9.59
2008-09-10,9.59
2008-09-11,9.59
2008-09-12,9.59
2008-09-15,9.59
2008-09-16,9.11
2008-09-17,9.11
2008-09-18,8.83
2008-09-19,9.05
2008-09-22,9.05
2008-09-23,9.05
2008-09-24,9.05
2008-09-25,9.05
2008-09-26,9.05
2008-09-29,8.95
2008-09-30,8.95
2008-10-01,9.01
2008-10-02,9.01
2008-10-03,9.01
2008-10-06,8.97
2008-10-07,8.97
2008-10-08,8.97
2008-10-09,8.97
2008-10-10,8.97
2008-10-13,9.25
2008-10-14,9.25
2008-10-15,9.25
2008-10-16,9.25
2008-10-17,9.05
2008-10-20,9.05
2008-10-21,8.95
2008-10-22,8.95
2008-10-23,9.01
2008-10-24,9.01
2008-10-27,9.01
2008-10-28,8.97
2008-10-29,8.97
2008-10-30,8.97
2008-10-31,8.97
2008-11-03,8.97
2008-11-04,9.25
2008-11-05,9.25
2008-11-06,9.25
2008-11-07,9.25
2008-11-10,8.9
2008-11-11,8.9
2008-11-12,8.95
2008-11-13,8.92
2008-11-14,8.92
2008-11-17,8.87
2008-11-18,8.84
2008-11-19,8.84
2008-11-20,8.84
2008-11-21,8.8
2008-11-24,8.9
2008-11-25,8.9
2008-11-26,9
2008-11-28,9
2008-12-01,9
2008-12-02,9.1
2008-12-03,9.1
2008-12-04,9.3
2008-12-05,9.2
2008-12-08,9.45
2008-12-09,9.55
2008-12-10,9.55
2008-12-11,9.55
2008-12-12,9.55
2008-12-15,9.55
2008-12-16,9.55
2008-12-17,9.55
2008-12-18,9.64
2008-12-19,9.44
2008-12-22,9.4
2008-12-23,9.4
2008-12-24,9.55
2008-12-26,9.5
2008-12-29,9.45
2008-12-30,9.45
2008-12-31,9.45
2009-01-02,9.45
2009-01-05,9.45
2009-01-06,9.45
2009-01-07,9.45
2009-01-08,9.45
2009-01-09,9.45
2009-01-12,9.45
2009-01-13,9.45
2009-01-14,9.4
2009-01-15,9.38
2009-01-16,9.4
2009-01-20,9.34
2009-01-21,9.37
2009-01-22,9.39
2009-01-23,9.24
2009-01-26,9.17
2009-01-27,9.17
2009-01-28,9.22
2009-01-29,9.48
2009-01-30,9.48
2009-02-02,9.43
2009-02-03,9.42
2009-02-04,9.46
2009-02-05,9.46
2009-02-06,9.46
2009-02-09,9.5
2009-02-10,9.5
2009-02-11,9.5
2009-02-12,9.5
2009-02-13,9.5
2009-02-17,9.5
2009-02-18,9.38
2009-02-19,9.4
2009-02-20,9.24
2009-02-23,9.11
2009-02-24,9.11
2009-02-25,9.12
2009-02-26,9.14
2009-02-27,9.1
2009-03-02,9.1
2009-03-03,9.1
2009-03-04,9.1
2009-03-05,9.04
2009-03-06,9.03
2009-03-09,9.03
2009-03-10,9.03
2009-03-11,9.03
2009-03-12,9.03
2009-03-13,9.03
2009-03-16,9.03
2009-03-17,9.03
2009-03-18,9.03
2009-03-19,9.03
2009-03-20,9.03
2009-03-23,9.03
2009-03-24,9.2
2009-03-25,9.17
2009-03-26,9.17
2009-03-27,9.17
2009-03-30,9.17
2009-03-31,9.17
2009-04-01,9.17
2009-04-02,9.17
2009-04-03,9.17
2009-04-06,9.17
2009-04-07,9.07
2009-04-08,9.07
2009-04-09,9.07
2009-04-13,9.07
2009-04-14,9.07
2009-04-15,9.21
2009-04-16,9.21
2009-04-17,9.21
2009-04-20,9.21
2009-04-21,9.21
2009-04-22,9.21
2009-04-23,9.21
2009-04-24,8.95
2009-04-27,8.95
2009-04-28,8.95
2009-04-29,8.95
2009-04-30,8.95
2009-05-01,8.95
2009-05-04,8.95
2009-05-05,9.1
2009-05-06,9.05
2009-05-07,9.05
2009-05-08,9.05
2009-05-11,9.05
2009-05-12,9.3
2009-05-13,9.3
2009-05-14,9.3
2009-05-15,9.3
2009-05-18,9.3
2009-05-19,9.11
2009-05-20,9.11
2009-05-21,9.11
2009-05-22,9.11
2009-05-26,9.11
2009-05-27,9.09
2009-05-28,9.09
2009-05-29,9.09
2009-06-01,9.16
2009-06-02,9.16
2009-06-03,9.1
2009-06-04,9.1
2009-06-05,9.1
2009-06-08,9.1
2009-06-09,9.1
2009-06-10,9.1
2009-06-11,9.1
2009-06-12,9.1
2009-06-15,9.1
2009-06-16,9.1
2009-06-17,9.1
2009-06-18,9.1
2009-06-19,9.1
2009-06-22,9.1
2009-06-23,9.1
2009-06-24,9.1
2009-06-25,9.1
2009-06-26,9.07
2009-06-29,9.07
2009-06-30,9.07
2009-07-01,9.07
2009-07-02,8.9
2009-07-06,8.9
2009-07-07,8.96
2009-07-08,8.96
2009-07-09,9.1
2009-07-10,9.1
2009-07-13,9.1
2009-07-14,9.1
2009-07-15,9.1
2009-07-16,9.1
2009-07-17,9.1
2009-07-20,9.1
2009-07-21,9.1
2009-07-22,9.1
2009-07-23,9.1
2009-07-24,9.12
2009-07-27,9.12
2009-07-28,9.12
2009-07-29,9.12
2009-07-30,9.12
2009-07-31,9.12
2009-08-03,9.12
2009-08-04,9.12
2009-08-05,9.12
2009-08-06,9.12
2009-08-07,9.12
2009-08-10,9.12
2009-08-12,9.12
2009-08-13,9.63
2009-08-14,9.63
2009-08-17,9.63
2009-08-18,9.63
2009-08-19,9.33
2009-08-20,9.33
2009-08-21,9.33
2009-08-24,9.33
2009-08-25,9.47
2009-08-26,9.47
2009-08-27,9.44
2009-08-28,9.44
2009-08-31,9.44
2009-09-01,9.44
2009-09-02,9.44
2009-09-03,9.44
2009-09-04,9.44
2009-09-08,9.44
2009-09-09,9.44
2009-09-10,9.44
2009-09-11,9.44
2009-09-14,9.44
2009-09-15,9.44
2009-09-16,9.44
2009-09-17,9.44
2009-09-18,9.44
2009-09-21,9.44
2009-09-22,9.44
2009-09-23,9.44
2009-09-24,9.56
2009-09-25,9.56
2009-09-28,9.56
2009-09-29,9.56
2009-09-30,9.56
2009-10-01,9.52
2009-10-02,9.52
2009-10-05,9.52
2009-10-06,9.24
2009-10-07,9.24
2009-10-08,9.24
2009-10-09,9.43
2009-10-12,9.43
2009-10-13,9.4
2009-10-14,9.4
2009-10-15,9.4
2009-10-16,9.4
2009-10-19,9.4
2009-10-20,9.4
2009-10-21,9.4
2009-10-22,9.35
2009-10-23,9.35
2009-10-26,9.35
2009-10-27,9.24
2009-10-28,9.24
2009-10-29,9.14
2009-10-30,9.14
2009-11-02,9.14
2009-11-03,9.14
2009-11-04,9.06
2009-11-05,9.06
2009-11-06,9.02
2009-11-09,9.3
2009-11-10,9.3
2009-11-11,9.15
2009-11-12,9.15
2009-11-13,9.26
2009-11-16,9.26
2009-11-17,9.26
2009-11-18,9.44
2009-11-19,9.44
2009-11-20,9.44
2009-11-23,9.44
2009-11-24,9.44
2009-11-25,9.44
2009-11-27,9.44
2009-11-30,9.44
2009-12-01,9.44
2009-12-02,9.44
2009-12-03,9.44
2009-12-04,9.65
2009-12-07,9.65
2009-12-08,9.42
2009-12-09,9.42
2009-12-10,9.42
2009-12-11,9.5
2009-12-14,9.5
2009-12-15,9.5
2009-12-16,9.5
2009-12-17,9.5
2009-12-18,9.5
2009-12-21,9.5
2009-12-22,9.36
2009-12-23,9.36
2009-12-24,9.36
2009-12-28,9.35
2009-12-29,9.35
2009-12-30,9.35
2009-12-31,9.35
2010-01-04,9.41
2010-01-05,9.41
2010-01-06,9.41
2010-01-07,9.41
2010-01-08,9.5
2010-01-11,9.5
2010-01-12,9.5
2010-01-13,9.5
2010-01-14,9.5
2010-01-15,9.5
2010-01-19,9.5
2010-01-20,9.5
2010-01-21,9.5
2010-01-22,9.5
2010-01-25,9.5
2010-01-26,9.5
2010-01-27,9.5
2010-01-28,9.5
2010-01-29,9.16
2010-02-01,9.16
2010-02-02,9.29
2010-02-03,9.29
2010-02-04,9.29
2010-02-05,9.29
2010-02-08,9.29
2010-02-09,9.24
2010-02-10,9.24
2010-02-11,9.24
2010-02-12,9.24
2010-02-16,9.31
2010-02-17,9.25
2010-02-18,9.25
2010-02-19,9.21
2010-02-22,9.21
2010-02-23,9.21
2010-02-24,9.36
2010-02-25,9.36
2010-02-26,9.36
2010-03-01,9.29
2010-03-02,9.29
2010-03-03,9.29
2010-03-04,9.29
2010-03-05,9.29
2010-03-08,9.29
2010-03-09,9.49
2010-03-10,9.31
2010-03-11,9.35
2010-03-12,9.35
2010-03-15,9.34
2010-03-16,9.39
2010-03-17,9.39
2010-03-18,9.47
2010-03-19,9.47
2010-03-22,9.41
2010-03-23,9.42
2010-03-24,9.4
2010-03-25,9.48
2010-03-26,9.45
2010-03-29,9.5
2010-03-30,9.5
2010-03-31,9.5
2010-04-01,9.5
2010-04-05,9.44
2010-04-06,9.52
2010-04-07,9.52
2010-04-08,9.52
2010-04-09,9.52
2010-04-12,9.55
2010-04-13,9.73
2010-04-14,9.56
2010-04-15,9.71
2010-04-16,9.71
2010-04-19,9.66
2010-04-20,9.72
2010-04-21,9.73
2010-04-22,9.73
2010-04-23,9.68
2010-04-26,9.69
2010-04-27,9.69
2010-04-28,9.69
2010-04-29,9.63
2010-04-30,9.63
2010-05-03,9.63
2010-05-04,9.67
2010-05-05,9.67
2010-05-06,9.67
