"Index","AMNB.Close"
2007-01-03,23.5
2007-01-04,23.68
2007-01-05,23.65
2007-01-08,23.48
2007-01-09,23.4
2007-01-10,23.35
2007-01-11,23.47
2007-01-12,23.55
2007-01-16,23.48
2007-01-17,23.32
2007-01-18,23.03
2007-01-19,23.25
2007-01-22,23
2007-01-23,22.5
2007-01-24,22.4
2007-01-25,22.4
2007-01-26,22.05
2007-01-29,22.2
2007-01-30,22.5
2007-01-31,22.6
2007-02-01,22.58
2007-02-02,22.55
2007-02-05,22.6
2007-02-06,22.59
2007-02-07,22.6
2007-02-08,22.59
2007-02-09,22.44
2007-02-12,22.51
2007-02-13,22.5
2007-02-14,22.5
2007-02-15,22.65
2007-02-16,22.65
2007-02-20,22.53
2007-02-21,22.47
2007-02-22,22.41
2007-02-23,22.42
2007-02-26,22.4
2007-02-27,22.31
2007-02-28,22.46
2007-03-01,22.46
2007-03-02,22.3
2007-03-05,22.2
2007-03-06,22.02
2007-03-07,22.25
2007-03-08,22.41
2007-03-09,22.4
2007-03-12,22.39
2007-03-13,22.36
2007-03-14,22.36
2007-03-15,22.44
2007-03-16,22.44
2007-03-19,22.45
2007-03-20,22.4
2007-03-21,22.35
2007-03-22,22.51
2007-03-23,22.44
2007-03-26,22.61
2007-03-27,22.7
2007-03-28,22.8
2007-03-29,22.7
2007-03-30,22.88
2007-04-02,22.62
2007-04-03,22.64
2007-04-04,22.54
2007-04-05,22.99
2007-04-09,22.52
2007-04-10,22.35
2007-04-11,22.18
2007-04-12,22.26
2007-04-13,22.27
2007-04-16,22.32
2007-04-17,22.45
2007-04-18,22.39
2007-04-19,22.4
2007-04-20,22.35
2007-04-23,22.5
2007-04-24,22.5
2007-04-25,22.4
2007-04-26,22.31
2007-04-27,22.25
2007-04-30,22.55
2007-05-01,22.24
2007-05-02,22.15
2007-05-03,22.16
2007-05-04,22.2
2007-05-07,22.25
2007-05-08,22.25
2007-05-09,22.3
2007-05-10,22.25
2007-05-11,22.35
2007-05-14,22.25
2007-05-15,22.4
2007-05-16,22.44
2007-05-17,22.44
2007-05-18,22.43
2007-05-21,22.47
2007-05-22,22.55
2007-05-23,22.55
2007-05-24,22.6
2007-05-25,22.6
2007-05-29,22.65
2007-05-30,22.75
2007-05-31,22.9
2007-06-01,22.92
2007-06-04,22.81
2007-06-05,23.08
2007-06-06,22.8
2007-06-07,22.41
2007-06-08,22.61
2007-06-11,22.42
2007-06-12,22.27
2007-06-13,22.4
2007-06-14,22.29
2007-06-15,22.29
2007-06-18,22.27
2007-06-19,22.38
2007-06-20,22.25
2007-06-21,22.3
2007-06-22,22.25
2007-06-25,22.3
2007-06-26,22.46
2007-06-27,22.45
2007-06-28,22.5
2007-06-29,22.5
2007-07-02,22.5
2007-07-03,22.5
2007-07-05,22.52
2007-07-06,22.51
2007-07-09,22.96
2007-07-10,22.27
2007-07-11,22.22
2007-07-12,22.65
2007-07-13,22.5
2007-07-16,22.38
2007-07-17,22.45
2007-07-18,22.45
2007-07-19,22.25
2007-07-20,22.23
2007-07-23,22.35
2007-07-24,22.04
2007-07-25,22
2007-07-26,21.88
2007-07-27,21.98
2007-07-30,22.17
2007-07-31,21.46
2007-08-01,20.54
2007-08-02,20.61
2007-08-03,20.82
2007-08-06,21.04
2007-08-07,21.21
2007-08-08,21.13
2007-08-09,20.77
2007-08-10,21.15
2007-08-13,20.7
2007-08-14,20.5
2007-08-15,20.75
2007-08-16,20.81
2007-08-17,20.75
2007-08-20,21.03
2007-08-21,21.15
2007-08-22,21.13
2007-08-23,21.01
2007-08-24,21.39
2007-08-27,21.31
2007-08-28,21.29
2007-08-29,21.49
2007-08-30,21.92
2007-08-31,21.86
2007-09-04,21.72
2007-09-05,21.42
2007-09-06,21.57
2007-09-07,21.13
2007-09-10,21.06
2007-09-11,21.02
2007-09-12,21.19
2007-09-13,20.75
2007-09-14,20.53
2007-09-17,20.52
2007-09-18,20.88
2007-09-19,21.1
2007-09-20,21.02
2007-09-21,21
2007-09-24,21.1
2007-09-25,21.1
2007-09-26,21.99
2007-09-27,22.18
2007-09-28,22.22
2007-10-01,22.03
