"Index","AMOT.Close"
2007-01-03,6.68
2007-01-04,6.48
2007-01-05,6.47
2007-01-08,6.58
2007-01-09,6.85
2007-01-10,6.9
2007-01-11,6.96
2007-01-12,6.8
2007-01-16,6.71
2007-01-17,6.95
2007-01-18,6.77
2007-01-19,6.81
2007-01-22,6.9
2007-01-23,6.56
2007-01-24,6.39
2007-01-25,6.58
2007-01-26,6.95
2007-01-29,7.15
2007-01-30,7.1
2007-01-31,7.15
2007-02-01,6.99
2007-02-02,6.7
2007-02-05,6.84
2007-02-06,6.78
2007-02-07,6.99
2007-02-08,6.6
2007-02-09,6.21
2007-02-12,6.06
2007-02-13,6.21
2007-02-14,6.72
2007-02-15,6.5
2007-02-16,6.69
2007-02-20,7.02
2007-02-21,7.1
2007-02-22,6.9
2007-02-23,7.15
2007-02-26,6.7
2007-02-27,5.92
2007-02-28,6
2007-03-01,5.91
2007-03-02,5.83
2007-03-05,5.62
2007-03-06,5.88
2007-03-07,5.99
2007-03-08,5.99
2007-03-09,5.9
2007-03-12,5.83
2007-03-13,5.7
2007-03-14,5.7
2007-03-15,5.85
2007-03-16,5.94
2007-03-19,6.1
2007-03-20,6.13
2007-03-21,6.22
2007-03-22,6.14
2007-03-23,6.46
2007-03-26,6.31
2007-03-27,6.17
2007-03-28,6.12
2007-03-29,6.27
2007-03-30,6.38
2007-04-02,6.16
2007-04-03,6.29
2007-04-04,6.28
2007-04-05,6.44
2007-04-09,6.39
2007-04-10,6.4
2007-04-11,6.34
2007-04-12,6.36
2007-04-13,6.25
2007-04-16,6.24
2007-04-17,6.31
2007-04-18,6.28
2007-04-19,6.11
2007-04-20,6.25
2007-04-23,5.87
2007-04-24,6.24
2007-04-25,6.3
2007-04-26,6.28
2007-04-27,6.13
2007-04-30,6.05
2007-05-01,5.94
2007-05-02,6.14
2007-05-03,6.3
2007-05-04,6.32
2007-05-07,6.3
2007-05-08,6.25
2007-05-09,6.4
2007-05-10,6.38
2007-05-11,6.29
2007-05-14,6.2
2007-05-15,6.15
2007-05-16,6.1
2007-05-17,6.29
2007-05-18,6.14
2007-05-21,6.22
2007-05-22,6.03
2007-05-23,6.03
2007-05-24,6.05
2007-05-25,6.03
2007-05-29,6.1
2007-05-30,6
2007-05-31,6.02
2007-06-01,6.09
2007-06-04,6.12
2007-06-05,6.15
2007-06-06,6.24
2007-06-07,6.25
2007-06-08,6.33
2007-06-11,6.43
2007-06-12,6.43
2007-06-13,6.42
2007-06-14,6.6
2007-06-15,6.6
2007-06-18,6.51
2007-06-19,6.5
2007-06-20,6.58
2007-06-21,6.88
2007-06-22,6.94
2007-06-25,7.14
