"Index","AMOV.Close"
2007-01-03,23
2007-01-04,23.05
2007-01-05,22.32
2007-01-08,22.36
2007-01-09,21.54
2007-01-10,21.87
2007-01-11,22.1
2007-01-12,22.05
2007-01-16,22.12
2007-01-17,22.08
2007-01-18,21.42
2007-01-19,21.76
2007-01-22,21.54
2007-01-23,22.03
2007-01-24,22.75
2007-01-25,22.05
2007-01-26,21.72
2007-01-29,21.48
2007-01-30,21.55
2007-01-31,22.2
2007-02-01,22.39
2007-02-02,22.45
2007-02-05,23
2007-02-06,22.81
2007-02-07,22.98
2007-02-08,23.9
2007-02-09,23.42
2007-02-12,23.32
2007-02-13,23.86
2007-02-14,24.18
2007-02-15,24.02
2007-02-16,24
2007-02-20,23.74
2007-02-21,23.85
2007-02-22,23.5
2007-02-23,23.51
2007-02-26,23.22
2007-02-27,21.68
2007-02-28,21.9
2007-03-01,21.64
2007-03-02,21.5
2007-03-05,21.05
2007-03-06,21.55
2007-03-07,21.2
2007-03-08,21.82
2007-03-09,22.09
2007-03-12,22.68
2007-03-13,21.82
2007-03-14,22.13
2007-03-15,22.32
2007-03-16,22.06
2007-03-19,22.9
2007-03-20,22.81
2007-03-21,23.86
2007-03-22,23.58
2007-03-23,23.58
2007-03-26,23.4
2007-03-27,23.18
2007-03-28,23.25
2007-03-29,23.81
2007-03-30,23.86
2007-04-02,25.12
2007-04-03,25.22
2007-04-04,25.02
2007-04-05,24.89
2007-04-09,25.22
2007-04-10,24.94
2007-04-11,24.87
2007-04-12,25.1
2007-04-13,25.33
2007-04-16,25.3
2007-04-17,25.58
2007-04-18,25.34
2007-04-19,25.51
2007-04-20,26
2007-04-23,25.65
2007-04-24,25.99
2007-04-25,26.08
2007-04-26,27.08
2007-04-27,27.34
2007-04-30,26.22
2007-05-01,25.98
2007-05-02,26.62
2007-05-03,27.24
2007-05-04,27.41
2007-05-07,27.7
2007-05-08,27.35
2007-05-09,27.88
2007-05-10,26.88
2007-05-11,27.44
2007-05-14,27.4
2007-05-15,27.44
2007-05-16,28.5
2007-05-17,28.7
2007-05-18,29.39
2007-05-21,29.4
2007-05-22,29.41
2007-05-23,29.63
2007-05-24,28.64
2007-05-25,29.42
2007-05-29,29.28
2007-05-30,30.54
2007-05-31,30.19
2007-06-01,31.28
2007-06-04,31.08
2007-06-05,31.21
2007-06-06,30.32
2007-06-07,29.66
2007-06-08,30.42
2007-06-11,30.66
2007-06-12,30.12
2007-06-13,30.6
2007-06-14,31.02
2007-06-15,31.95
2007-06-18,32.08
2007-06-19,32.16
2007-06-20,31.5
2007-06-21,31.7
2007-06-22,31.5
2007-06-25,30.84
2007-06-26,30.06
2007-06-27,30.75
2007-06-28,31
2007-06-29,30.88
2007-07-02,31.24
2007-07-03,32.18
2007-07-05,32.95
2007-07-06,33.03
2007-07-09,31.87
2007-07-10,31.44
2007-07-11,32.08
2007-07-12,32.44
2007-07-13,32.54
2007-07-16,32.5
2007-07-17,32.22
2007-07-18,31.98
2007-07-19,32.46
2007-07-20,31.52
2007-07-23,32.76
2007-07-24,31.45
2007-07-25,30.62
2007-07-26,28.87
2007-07-27,29.22
2007-07-30,30.25
2007-07-31,29.85
2007-08-01,29.24
2007-08-02,29.84
2007-08-03,28.76
2007-08-06,28.96
2007-08-07,29.75
2007-08-08,30.26
2007-08-09,29.19
2007-08-10,28.52
2007-08-13,28.9
2007-08-14,27.96
2007-08-15,26.84
2007-08-16,26.55
2007-08-17,28.82
2007-08-20,28.55
2007-08-21,28.28
2007-08-22,29.02
2007-08-23,29.7
2007-08-24,30.12
2007-08-27,30.14
2007-08-28,28.66
2007-08-29,29.52
2007-08-30,29.49
2007-08-31,30.12
2007-09-04,30.72
2007-09-05,30.55
2007-09-06,30.46
2007-09-07,29.54
2007-09-10,29.56
2007-09-11,30.06
2007-09-12,29.86
2007-09-13,30.58
2007-09-14,30.46
2007-09-17,30.25
2007-09-18,31.41
2007-09-19,31.66
2007-09-20,31.55
2007-09-21,31.9
2007-09-24,31.89
2007-09-25,31.66
2007-09-26,31.88
2007-09-27,32.32
2007-09-28,31.83
2007-10-01,32.69
2007-10-02,33.14
2007-10-03,32.11
2007-10-04,31.64
2007-10-05,32.76
2007-10-08,32.88
2007-10-09,32.72
2007-10-10,32.82
2007-10-11,33.1
2007-10-12,33.63
2007-10-15,32.94
2007-10-16,33.05
2007-10-17,34.08
2007-10-18,34.47
2007-10-19,32.76
2007-10-22,32.94
2007-10-23,33.34
2007-10-24,32.96
2007-10-25,32.02
2007-10-26,32.64
2007-10-29,33.25
2007-10-30,32.55
2007-10-31,32.46
2007-11-01,30.56
2007-11-02,31.15
2007-11-05,30.85
2007-11-06,31.39
2007-11-07,30.28
2007-11-08,29.62
2007-11-09,29.44
2007-11-12,28
2007-11-13,29.94
2007-11-14,30
2007-11-15,29.38
2007-11-16,30
2007-11-19,28.78
2007-11-20,29.3
2007-11-21,29.11
2007-11-23,29.06
2007-11-26,28.05
2007-11-27,27.86
2007-11-28,29.6
2007-11-29,29.95
2007-11-30,30.57
2007-12-03,31.42
2007-12-04,31.52
2007-12-05,32.36
2007-12-06,32.54
2007-12-07,32.4
2007-12-10,31.94
2007-12-11,30.73
2007-12-12,31.46
2007-12-13,31.14
2007-12-14,30.84
2007-12-17,29.73
2007-12-18,30
2007-12-19,29.67
2007-12-20,29.38
2007-12-21,30.16
2007-12-24,30.62
2007-12-26,30.52
2007-12-27,30.1
2007-12-28,30.4
2007-12-31,30.62
2008-01-02,29.63
2008-01-03,29.72
2008-01-04,29.26
2008-01-07,28.94
2008-01-08,29.36
2008-01-09,29.5
2008-01-10,30.12
2008-01-11,29.12
2008-01-14,29.1
2008-01-15,28.54
2008-01-16,27.4
2008-01-17,26.32
2008-01-18,26.16
2008-01-22,27.24
2008-01-23,28.12
2008-01-24,28.26
2008-01-25,27.51
2008-01-28,28.36
2008-01-29,29.76
2008-01-30,29.71
2008-01-31,29.94
2008-02-01,30.94
2008-02-04,30.38
2008-02-05,28.8
2008-02-06,29.25
2008-02-07,28.86
2008-02-08,29.12
2008-02-11,29.92
2008-02-12,30.25
2008-02-13,31.12
2008-02-14,30.51
2008-02-15,30.13
2008-02-19,30
2008-02-20,30.48
2008-02-21,30.38
2008-02-22,30.7
2008-02-25,31.62
2008-02-26,32
2008-02-27,31.96
2008-02-28,31.5
2008-02-29,31.3
2008-03-03,30.3
2008-03-04,30.18
2008-03-05,29.63
2008-03-06,28.84
2008-03-07,28.96
2008-03-10,27.91
2008-03-11,29.5
2008-03-12,29.36
2008-03-13,29.77
2008-03-14,29.39
2008-03-17,29.1
2008-03-18,30.88
2008-03-19,29.4
2008-03-20,29.92
2008-03-24,30.74
2008-03-25,31.08
2008-03-26,30.75
2008-03-27,30.82
2008-03-28,30.68
2008-03-31,31.82
2008-04-01,32.76
2008-04-02,32.6
2008-04-03,33.2
2008-04-04,32.62
2008-04-07,32.5
2008-04-08,32.35
2008-04-09,31.38
2008-04-10,31.88
2008-04-11,31.26
2008-04-14,31.12
2008-04-15,32
2008-04-16,32.86
2008-04-17,32.92
2008-04-18,32.8
2008-04-21,33.07
2008-04-22,32.5
2008-04-23,32.65
2008-04-24,32.26
2008-04-25,28.19
2008-04-28,28.76
2008-04-29,28.55
2008-04-30,29.06
2008-05-01,27.9
2008-05-02,28.82
2008-05-05,29.09
2008-05-06,29.37
2008-05-07,28.85
2008-05-08,28.5
2008-05-09,28.56
2008-05-12,28.42
2008-05-13,28.45
2008-05-14,29.23
2008-05-15,29.1
2008-05-16,28.42
2008-05-19,28.55
2008-05-20,28.3
2008-05-21,27.88
2008-05-22,28.55
2008-05-23,28.46
2008-05-27,28.69
2008-05-28,29.08
2008-05-29,29.38
2008-05-30,29.75
2008-06-02,29.17
2008-06-03,28.57
2008-06-04,28.45
2008-06-05,28.49
2008-06-06,27.5
2008-06-09,27.82
2008-06-10,27.62
2008-06-11,27.48
2008-06-12,28.4
2008-06-13,28.2
2008-06-16,28.14
2008-06-17,27.46
2008-06-18,26.94
2008-06-19,26.69
2008-06-20,26.18
2008-06-23,26.35
2008-06-24,26.08
2008-06-25,27.05
2008-06-26,26.2
2008-06-27,26.12
2008-06-30,26.22
2008-07-01,26.02
2008-07-02,25.6
2008-07-03,25.7
2008-07-07,25.42
2008-07-08,25.4
2008-07-09,25
2008-07-10,25
2008-07-11,25.11
2008-07-14,24.96
2008-07-15,25.19
2008-07-16,25.93
2008-07-17,26.5
2008-07-18,26.58
2008-07-21,26.02
2008-07-22,24.5
2008-07-23,24.24
2008-07-24,23.6
2008-07-25,23.84
2008-07-28,23.78
2008-07-29,24.82
2008-07-30,25.24
2008-07-31,25.3
2008-08-01,24.85
2008-08-04,24.66
2008-08-05,25.48
2008-08-06,25.77
2008-08-07,25.32
2008-08-08,25
2008-08-11,24.5
2008-08-12,24.07
2008-08-13,24.58
2008-08-14,25.41
2008-08-15,25.57
2008-08-18,24.95
2008-08-19,25.2
2008-08-20,25.5
2008-08-21,25.54
2008-08-22,26.02
2008-08-25,25.43
2008-08-26,25.09
2008-08-27,25.63
2008-08-28,25.78
2008-08-29,25.69
2008-09-02,25.62
2008-09-03,25.02
2008-09-04,24.88
2008-09-05,24.8
2008-09-08,24.79
2008-09-09,23.6
2008-09-10,23.12
2008-09-11,23.34
2008-09-12,23.65
2008-09-15,22.19
2008-09-16,23.06
2008-09-17,21.53
2008-09-18,23.9
2008-09-19,24.42
2008-09-22,22.92
2008-09-23,22.22
2008-09-24,22.57
2008-09-25,23.8
2008-09-26,23.86
2008-09-29,22.42
2008-09-30,23.08
2008-10-01,23.25
2008-10-02,21.3
2008-10-03,19.95
2008-10-06,18.68
2008-10-07,17.8
2008-10-08,17.75
2008-10-09,15.96
2008-10-10,13.02
2008-10-13,18.97
2008-10-14,18.12
2008-10-15,16.79
2008-10-16,16.47
2008-10-17,16.88
2008-10-20,17.9
2008-10-21,16.58
2008-10-22,13.85
2008-10-23,13.32
2008-10-24,12.2
2008-10-27,12.02
2008-10-28,13.88
2008-10-29,13.88
2008-10-30,15.55
2008-10-31,15.25
2008-11-03,15.75
2008-11-04,16.82
2008-11-05,15.88
2008-11-06,15.36
2008-11-07,15.74
2008-11-10,15.88
2008-11-11,15.49
2008-11-12,14.62
2008-11-13,16.02
2008-11-14,15.46
2008-11-17,15.5
2008-11-18,15.18
2008-11-19,14.65
2008-11-20,13.91
2008-11-21,14.1
2008-11-24,15.2
2008-11-25,14.74
2008-11-26,15.22
2008-11-28,14.98
2008-12-01,14.25
2008-12-02,14.62
2008-12-03,14.25
2008-12-04,14
2008-12-05,13.93
2008-12-08,15.6
2008-12-09,15.46
2008-12-10,16.42
2008-12-11,16.66
2008-12-12,15.98
2008-12-15,16.28
2008-12-16,16.82
2008-12-17,16.8
2008-12-18,16.9
2008-12-19,16.35
2008-12-22,16.14
2008-12-23,15.69
2008-12-24,15.87
2008-12-26,15.87
2008-12-29,15.31
2008-12-30,14.98
2008-12-31,15.4
2009-01-02,15.9
2009-01-05,17
2009-01-06,17.42
2009-01-07,16.38
2009-01-08,16.36
2009-01-09,16.06
2009-01-12,15.62
2009-01-13,15.53
2009-01-14,14.51
2009-01-15,14.58
2009-01-16,14.32
2009-01-20,13.7
2009-01-21,14
2009-01-22,13.7
2009-01-23,13.74
2009-01-26,13.88
2009-01-27,14
2009-01-28,14.62
2009-01-29,14.22
2009-01-30,14.14
2009-02-02,14.18
2009-02-03,14.27
2009-02-04,14.37
2009-02-05,14.61
2009-02-06,15.46
2009-02-09,15.61
2009-02-10,14.82
2009-02-11,15
2009-02-12,14.62
2009-02-13,14.7
2009-02-17,14.18
2009-02-18,13.89
2009-02-19,13.92
2009-02-20,13.52
2009-02-23,12.6
2009-02-24,12.88
2009-02-25,12.76
2009-02-26,12.8
2009-02-27,12.64
2009-03-02,11.72
2009-03-03,12.06
2009-03-04,12.64
2009-03-05,12.26
2009-03-06,11.98
2009-03-09,11.84
2009-03-10,12.56
2009-03-11,13.12
2009-03-12,14
2009-03-13,14.24
2009-03-16,14.06
2009-03-17,14.44
2009-03-18,14.78
2009-03-19,14.34
2009-03-20,14.14
2009-03-23,15.18
2009-03-24,14.76
2009-03-25,14.75
2009-03-26,14.43
2009-03-27,13.99
2009-03-30,13.21
2009-03-31,13.65
2009-04-01,13.94
2009-04-02,14.96
2009-04-03,15.22
2009-04-06,14.78
2009-04-07,14.6
2009-04-08,14.58
2009-04-09,15.74
2009-04-13,16.02
2009-04-14,15.5
2009-04-15,15.45
2009-04-16,15.89
2009-04-17,15.78
2009-04-20,14.68
2009-04-21,15.3
2009-04-22,15.2
2009-04-23,15.54
2009-04-24,16.46
2009-04-27,15.38
2009-04-28,15.1
2009-04-29,16.86
2009-04-30,16.38
2009-05-01,17.22
2009-05-04,17.74
2009-05-05,18.26
2009-05-06,18.32
2009-05-07,17.9
2009-05-08,18.54
2009-05-11,18.64
2009-05-12,18.25
2009-05-13,17.69
2009-05-14,17.92
2009-05-15,17.64
2009-05-18,18.98
2009-05-19,19.16
2009-05-20,18.98
2009-05-21,18.52
2009-05-22,18.83
2009-05-26,19.07
2009-05-27,19.25
2009-05-28,19.34
2009-05-29,19.12
2009-06-01,19.32
2009-06-02,18.96
2009-06-03,18.32
2009-06-04,18.52
2009-06-05,18.67
2009-06-08,18.52
2009-06-09,18.33
2009-06-10,18.53
2009-06-11,18.85
2009-06-12,18.95
2009-06-15,18.66
2009-06-16,18.5
2009-06-17,18.2
2009-06-18,18.44
2009-06-19,18.4
2009-06-22,17.88
2009-06-23,17.56
2009-06-24,18.1
2009-06-25,18.96
2009-06-26,19.28
2009-06-29,19.48
2009-06-30,19.24
2009-07-01,19.73
2009-07-02,19.19
2009-07-06,19.22
2009-07-07,18.62
2009-07-08,18.81
2009-07-09,19.1
2009-07-10,19.16
2009-07-13,19
2009-07-14,19.18
2009-07-15,19.9
2009-07-16,20.49
2009-07-17,20.51
2009-07-20,20.98
2009-07-21,20.38
2009-07-22,21.86
2009-07-23,21.9
2009-07-24,21.88
2009-07-27,21.58
2009-07-28,21.59
2009-07-29,21.05
2009-07-30,21.17
2009-07-31,21.47
2009-08-03,22.49
2009-08-04,22.75
2009-08-05,22.92
2009-08-06,22.15
2009-08-07,22.27
2009-08-10,22.43
2009-08-11,22.18
2009-08-12,22.48
2009-08-13,22.82
2009-08-14,22.68
2009-08-17,22.4
2009-08-18,22.45
2009-08-19,22.68
2009-08-20,23.16
2009-08-21,23.5
2009-08-24,23.34
2009-08-25,23.83
2009-08-26,23.46
2009-08-27,23.27
2009-08-28,23.26
2009-08-31,22.59
2009-09-01,21.84
2009-09-02,21.88
2009-09-03,22
2009-09-04,22.28
2009-09-08,23.09
2009-09-09,22.87
2009-09-10,22.93
2009-09-11,22.9
2009-09-14,23
2009-09-15,23.26
2009-09-16,23.5
2009-09-17,23.56
2009-09-18,22.6
2009-09-21,22.43
2009-09-22,22.3
2009-09-23,21.54
2009-09-24,20.98
2009-09-25,21.16
2009-09-28,21.59
2009-09-29,21.91
2009-09-30,22.02
2009-10-01,21.12
2009-10-02,21.26
2009-10-05,21.8
2009-10-06,22.6
2009-10-07,23.07
2009-10-08,23.52
2009-10-09,23.36
2009-10-12,23.82
2009-10-13,23.86
2009-10-14,24.32
2009-10-15,24.18
2009-10-16,23.96
2009-10-19,24
2009-10-20,23.89
2009-10-21,24.02
2009-10-22,23.8
2009-10-23,23.2
2009-10-26,22.94
2009-10-27,22.32
2009-10-28,22.12
2009-10-29,22.83
2009-10-30,21.94
