"Index","AMPL.Close"
2007-01-03,4.79
2007-01-04,4.79
2007-01-05,4.74
2007-01-08,4.73
2007-01-09,4.7
2007-01-10,4.75
2007-01-11,4.7
2007-01-12,4.72
2007-01-16,4.69
2007-01-17,4.69
2007-01-18,4.66
2007-01-19,4.64
2007-01-22,4.62
2007-01-23,4.6
2007-01-24,4.61
2007-01-25,4.6
2007-01-26,4.71
2007-01-29,4.63
2007-01-30,4.68
2007-01-31,4.57
2007-02-01,4.59
2007-02-02,4.54
2007-02-05,4.59
2007-02-06,4.59
2007-02-07,4.62
2007-02-08,4.57
2007-02-09,4.67
2007-02-12,4.84
2007-02-13,4.9
2007-02-14,4.9
2007-02-15,4.91
2007-02-16,4.94
2007-02-20,4.9
2007-02-21,4.8
2007-02-22,4.8
2007-02-23,4.75
2007-02-26,4.63
2007-02-27,4.52
2007-02-28,4.65
2007-03-01,4.55
2007-03-02,4.5
2007-03-05,4.48
2007-03-06,4.51
2007-03-07,4.49
2007-03-08,4.5
2007-03-09,4.5
2007-03-12,4.6
2007-03-13,4.54
2007-03-14,4.53
2007-03-15,4.58
2007-03-16,4.44
2007-03-19,4.49
2007-03-20,4.53
2007-03-21,4.52
2007-03-22,4.45
2007-03-23,4.49
2007-03-26,4.51
2007-03-27,4.45
2007-03-28,4.44
2007-03-29,4.4
2007-03-30,4.41
2007-04-02,4.33
2007-04-03,4.39
2007-04-04,4.37
2007-04-05,4.44
2007-04-09,4.39
2007-04-10,4.44
2007-04-11,4.39
2007-04-12,4.4
2007-04-13,4.44
2007-04-16,4.44
2007-04-17,4.4
2007-04-18,4.44
2007-04-19,4.42
2007-04-20,4.42
2007-04-23,4.47
2007-04-24,4.55
2007-04-25,4.7
2007-04-26,4.7
2007-04-27,4.73
2007-04-30,4.75
2007-05-01,4.77
2007-05-02,4.79
2007-05-03,4.78
2007-05-04,4.8
2007-05-07,4.77
2007-05-08,4.87
2007-05-09,5.01
2007-05-10,5.1
2007-05-11,5.02
2007-05-14,5.13
2007-05-15,5.38
2007-05-16,5.53
2007-05-17,5.31
2007-05-18,5.48
2007-05-21,5.38
2007-05-22,5.34
2007-05-23,5.35
2007-05-24,5.29
2007-05-25,5.29
2007-05-29,5.33
2007-05-30,5.41
2007-05-31,5.38
2007-06-01,5.36
2007-06-04,5.59
2007-06-05,5.7
2007-06-06,5.73
2007-06-07,5.63
2007-06-08,5.73
2007-06-11,5.62
2007-06-12,5.5
2007-06-13,5.61
2007-06-14,5.67
2007-06-15,5.65
2007-06-18,5.72
2007-06-19,5.83
2007-06-20,5.96
2007-06-21,5.9
2007-06-22,5.71
2007-06-25,5.88
2007-06-26,5.95
2007-06-27,6.43
2007-06-28,6.07
2007-06-29,5.95
2007-07-02,6.02
2007-07-03,5.98
2007-07-05,5.82
2007-07-06,5.81
2007-07-09,5.93
2007-07-10,5.84
2007-07-11,5.85
2007-07-12,5.99
2007-07-13,6.03
2007-07-16,5.84
2007-07-17,5.72
2007-07-18,5.73
2007-07-19,5.83
2007-07-20,5.65
2007-07-23,5.51
2007-07-24,5.42
2007-07-25,5.34
2007-07-26,5.09
2007-07-27,4.99
2007-07-30,5.22
2007-07-31,5.15
2007-08-01,5.32
2007-08-02,5.11
2007-08-03,5.03
2007-08-06,5.11
2007-08-07,5.16
2007-08-08,5.55
2007-08-09,5.22
2007-08-10,5.47
2007-08-13,5.64
2007-08-14,5.31
2007-08-15,5.47
2007-08-16,5.28
2007-08-17,5.56
2007-08-20,5.51
2007-08-21,5.52
2007-08-22,5.55
2007-08-23,5.39
2007-08-24,5.49
2007-08-27,5.47
2007-08-28,5.54
2007-08-29,5.49
2007-08-30,5.45
2007-08-31,5.35
2007-09-04,5.35
2007-09-05,5.25
2007-09-06,5.36
2007-09-07,5.12
2007-09-10,5.23
2007-09-11,5.24
2007-09-12,5.14
2007-09-13,5.19
2007-09-14,5.25
2007-09-17,5.16
2007-09-18,5.23
2007-09-19,5.54
2007-09-20,5.51
2007-09-21,5.44
2007-09-24,5.43
2007-09-25,5.66
2007-09-26,5.77
2007-09-27,5.56
2007-09-28,5.62
2007-10-01,5.8
2007-10-02,5.95
2007-10-03,5.89
2007-10-04,5.87
2007-10-05,5.98
2007-10-08,6.15
2007-10-09,6.19
2007-10-10,6.31
2007-10-11,6.29
2007-10-12,6.55
2007-10-15,6.45
2007-10-16,6.27
2007-10-17,6.22
2007-10-18,6.41
2007-10-19,6.29
2007-10-22,6.4
2007-10-23,6.39
2007-10-24,6.57
2007-10-25,6.59
2007-10-26,6.7
2007-10-29,6.88
2007-10-30,6.79
2007-10-31,6.88
2007-11-01,6.66
2007-11-02,6.68
2007-11-05,6.61
2007-11-06,6.71
2007-11-07,6.57
2007-11-08,6.62
2007-11-09,6.78
2007-11-12,6.48
2007-11-13,6.89
2007-11-14,7
2007-11-15,6.93
2007-11-16,6.84
2007-11-19,6.84
2007-11-20,6.85
2007-11-21,6.72
2007-11-23,6.82
2007-11-26,6.84
2007-11-27,6.83
2007-11-28,7
2007-11-29,7.06
2007-11-30,6.51
2007-12-03,6.67
2007-12-04,6.77
2007-12-05,6.9
2007-12-06,7.02
2007-12-07,7.14
2007-12-10,7.12
2007-12-11,7.02
2007-12-12,7.2
2007-12-13,7.07
2007-12-14,6.99
2007-12-17,6.8
2007-12-18,7.07
2007-12-19,7.1
2007-12-20,7
2007-12-21,7.13
2007-12-24,7.35
2007-12-26,7.78
2007-12-27,7.5
2007-12-28,7.32
2007-12-31,7.39
2008-01-02,7.38
2008-01-03,7.22
2008-01-04,7.06
2008-01-07,7.46
2008-01-08,7.23
2008-01-09,7.24
2008-01-10,7.45
2008-01-11,7.08
2008-01-14,7.49
2008-01-15,7.43
2008-01-16,7.37
2008-01-17,7.02
2008-01-18,6.98
2008-01-22,7.15
2008-01-23,7.12
2008-01-24,6.8
2008-01-25,6.83
2008-01-28,7.16
2008-01-29,7.05
2008-01-30,7.2
2008-01-31,7.39
2008-02-01,7.37
2008-02-04,7.29
2008-02-05,6.95
2008-02-06,6.94
2008-02-07,7.01
2008-02-08,6.98
2008-02-11,6.84
2008-02-12,6.89
2008-02-13,7.15
2008-02-14,6.85
2008-02-15,6.86
2008-02-19,6.51
2008-02-20,6.66
2008-02-21,6.37
2008-02-22,6.47
2008-02-25,6.63
2008-02-26,6.55
2008-02-27,6.62
2008-02-28,6.61
2008-02-29,6.45
2008-03-03,6.34
2008-03-04,6.25
2008-03-05,6.43
