"Index","AMRB.Close"
2007-01-03,21.68
2007-01-04,21.52
2007-01-05,21.75
2007-01-08,21.77
2007-01-09,21.8
2007-01-10,21.64
2007-01-11,22
2007-01-12,21.72
2007-01-16,21.77
2007-01-17,21.76
2007-01-18,22.22
2007-01-19,22.22
2007-01-22,22.09
2007-01-23,22.31
2007-01-24,22.32
2007-01-25,22.49
2007-01-26,23.32
2007-01-29,23.54
2007-01-30,23.13
2007-01-31,22.98
2007-02-01,23.37
2007-02-02,22.79
2007-02-05,22.71
2007-02-06,22.71
2007-02-07,22.68
2007-02-08,22.76
2007-02-09,23.04
2007-02-12,22.99
2007-02-13,23.13
2007-02-14,23.34
2007-02-15,23.35
2007-02-16,23.48
2007-02-20,23.31
2007-02-21,23.4
2007-02-22,23.19
2007-02-23,23.36
2007-02-26,23.24
2007-02-27,23.34
2007-02-28,23.36
2007-03-01,23.36
2007-03-02,22.56
2007-03-05,22.79
2007-03-06,22.67
2007-03-07,22.76
2007-03-08,22.68
2007-03-09,23.13
2007-03-12,22.82
2007-03-13,22.78
2007-03-14,22.49
2007-03-15,22.12
2007-03-16,22.01
2007-03-19,21.97
2007-03-20,22.02
2007-03-21,21.86
2007-03-22,21.87
2007-03-23,21.38
2007-03-26,22.1
2007-03-27,21.95
2007-03-28,21.98
2007-03-29,22
2007-03-30,21.81
2007-04-02,22.1
2007-04-03,22.18
2007-04-04,22.21
2007-04-05,22.2
2007-04-09,22
2007-04-10,22.16
2007-04-11,21.95
2007-04-12,21.9
2007-04-13,22.03
2007-04-16,21.91
2007-04-17,21.9
2007-04-18,21.81
2007-04-19,21.85
2007-04-20,21.91
2007-04-23,21.56
2007-04-24,21.57
2007-04-25,21.35
2007-04-26,21.49
2007-04-27,21.49
2007-04-30,21.56
2007-05-01,21.5
2007-05-02,21.63
2007-05-03,21.81
2007-05-04,21.95
2007-05-07,21.76
2007-05-08,21.63
2007-05-09,21.52
2007-05-10,21.68
2007-05-11,21.54
2007-05-14,21.59
2007-05-15,21.41
2007-05-16,21.42
2007-05-17,21.5
2007-05-18,21.5
