"Index","AMRI.Close"
2007-01-03,10.5
2007-01-04,10.19
2007-01-05,9.99
2007-01-08,9.9
2007-01-09,10.12
2007-01-10,10.03
2007-01-11,10.48
2007-01-12,10.61
2007-01-16,10.59
2007-01-17,10.25
2007-01-18,10.22
2007-01-19,10.44
2007-01-22,10
2007-01-23,10.03
2007-01-24,10.27
2007-01-25,9.99
2007-01-26,10.05
2007-01-29,10.18
2007-01-30,10.25
2007-01-31,10.18
2007-02-01,10.44
2007-02-02,10.32
2007-02-05,10
2007-02-06,9.91
2007-02-07,9.94
2007-02-08,10.05
2007-02-09,10.1
2007-02-12,10.71
2007-02-13,10.41
2007-02-14,10.25
2007-02-15,10.13
2007-02-16,10.14
2007-02-20,10.1
2007-02-21,10.09
2007-02-22,10.07
2007-02-23,10.17
2007-02-26,10.12
2007-02-27,9.82
2007-02-28,9.46
2007-03-01,9.54
2007-03-02,9.51
2007-03-05,9.06
2007-03-06,9.79
2007-03-07,9.42
2007-03-08,9.37
2007-03-09,9.39
2007-03-12,9.53
2007-03-13,9.45
2007-03-14,9.78
2007-03-15,9.65
2007-03-16,9.39
2007-03-19,9.68
2007-03-20,9.78
2007-03-21,9.99
2007-03-22,10.18
2007-03-23,10.1
2007-03-26,10.09
2007-03-27,10.01
2007-03-28,9.73
2007-03-29,9.61
2007-03-30,9.85
2007-04-02,10.01
2007-04-03,10.12
2007-04-04,9.85
2007-04-05,9.61
2007-04-09,9.56
2007-04-10,9.69
2007-04-11,9.97
2007-04-12,9.99
2007-04-13,9.97
2007-04-16,10.12
2007-04-17,10.23
2007-04-18,9.86
2007-04-19,10.01
2007-04-20,10.17
2007-04-23,10.22
2007-04-24,10.01
2007-04-25,9.88
2007-04-26,9.68
2007-04-27,9.65
2007-04-30,9.61
2007-05-01,9.51
2007-05-02,9.61
2007-05-03,10.61
2007-05-04,11.02
2007-05-07,11.23
2007-05-08,12.29
2007-05-09,12.58
2007-05-10,12.55
2007-05-11,13.54
2007-05-14,13.27
2007-05-15,13.31
2007-05-16,13.54
2007-05-17,13.59
2007-05-18,13.77
2007-05-21,13.99
2007-05-22,14.15
2007-05-23,14.21
2007-05-24,14.09
2007-05-25,14.09
2007-05-29,14.22
2007-05-30,14.18
2007-05-31,14.23
2007-06-01,14.3
2007-06-04,14.58
2007-06-05,14.33
2007-06-06,14.49
2007-06-07,13.79
2007-06-08,13.89
2007-06-11,13.92
2007-06-12,13.75
2007-06-13,13.71
2007-06-14,14.26
2007-06-15,14.97
2007-06-18,15.06
2007-06-19,15.17
2007-06-20,14.81
2007-06-21,15.1
2007-06-22,14.7
2007-06-25,14.2
2007-06-26,14.75
2007-06-27,15.32
2007-06-28,15.13
2007-06-29,14.85
2007-07-02,15.01
2007-07-03,14.82
2007-07-05,14.94
2007-07-06,14.83
2007-07-09,15.53
2007-07-10,15.31
2007-07-11,16.42
2007-07-12,16.85
2007-07-13,16.48
2007-07-16,16.73
2007-07-17,16.77
2007-07-18,16.63
2007-07-19,16.71
2007-07-20,16.42
2007-07-23,16.89
2007-07-24,16.37
2007-07-25,16.46
2007-07-26,15.6
2007-07-27,14.92
2007-07-30,15.28
2007-07-31,14.71
2007-08-01,14.7
2007-08-02,14.85
2007-08-03,13.59
2007-08-06,13.45
2007-08-07,12.8
2007-08-08,12.42
2007-08-09,11.57
2007-08-10,13.83
2007-08-13,14.85
2007-08-14,14.1
2007-08-15,14
2007-08-16,14.49
2007-08-17,13.8
2007-08-20,13.88
2007-08-21,13.96
2007-08-22,14.45
2007-08-23,14.11
2007-08-24,14.27
2007-08-27,14.11
2007-08-28,13.67
2007-08-29,14.2
2007-08-30,14.22
2007-08-31,14.62
2007-09-04,15.46
2007-09-05,14.88
2007-09-06,15.31
2007-09-07,14.85
2007-09-10,14.61
2007-09-11,15.1
2007-09-12,15.16
2007-09-13,15.38
2007-09-14,15.91
2007-09-17,15.46
2007-09-18,16.86
2007-09-19,16.98
2007-09-20,16.54
2007-09-21,16.11
2007-09-24,15.73
2007-09-25,15.9
2007-09-26,16.04
2007-09-27,15.68
2007-09-28,15.1
2007-10-01,15.73
2007-10-02,16.41
2007-10-03,16.78
2007-10-04,16.53
2007-10-05,17.21
2007-10-08,16.61
2007-10-09,16.82
2007-10-10,17.3
2007-10-11,16.75
2007-10-12,17.12
2007-10-15,16.32
2007-10-16,16.34
2007-10-17,16.25
2007-10-18,15.89
2007-10-19,15.35
2007-10-22,16.08
2007-10-23,16.27
2007-10-24,16.23
2007-10-25,16.63
2007-10-26,18.2
2007-10-29,17.35
2007-10-30,17.54
2007-10-31,18.09
2007-11-01,16.91
2007-11-02,16.98
2007-11-05,17.41
2007-11-06,12.31
2007-11-07,12.01
2007-11-08,12.31
2007-11-09,11.98
2007-11-12,12.95
2007-11-13,13.03
2007-11-14,12.78
2007-11-15,12.65
2007-11-16,12.47
2007-11-19,12
2007-11-20,12.75
2007-11-21,12.39
2007-11-23,12.54
2007-11-26,12.18
2007-11-27,12.4
2007-11-28,12.7
2007-11-29,12.9
2007-11-30,13.21
2007-12-03,12.53
2007-12-04,12.35
2007-12-05,13.05
2007-12-06,14.33
2007-12-07,14.5
2007-12-10,14.59
2007-12-11,14.69
2007-12-12,14.77
2007-12-13,15.35
2007-12-14,14.67
2007-12-17,14.39
2007-12-18,15.05
2007-12-19,15.01
2007-12-20,15.9
2007-12-21,15.79
2007-12-24,16.49
2007-12-26,15.82
2007-12-27,15.14
2007-12-28,14.71
2007-12-31,14.38
2008-01-02,13.48
2008-01-03,13.32
2008-01-04,12.76
2008-01-07,13.12
2008-01-08,13.01
2008-01-09,13.64
2008-01-10,13.41
2008-01-11,13
2008-01-14,12.91
2008-01-15,12.89
2008-01-16,13.92
2008-01-17,13.68
2008-01-18,13.07
2008-01-22,13.02
2008-01-23,14.4
2008-01-24,13.21
2008-01-25,13.1
2008-01-28,13.63
2008-01-29,12.18
2008-01-30,11.69
2008-01-31,10.76
2008-02-01,11.07
2008-02-04,10.89
2008-02-05,10.75
2008-02-06,10.76
2008-02-07,10.18
2008-02-08,10.01
2008-02-11,9.41
2008-02-12,10.26
2008-02-13,11.06
2008-02-14,10.77
2008-02-15,10.53
2008-02-19,10.61
2008-02-20,10.92
2008-02-21,10.29
2008-02-22,10.3
2008-02-25,10.88
2008-02-26,11.24
2008-02-27,11.15
2008-02-28,10.89
2008-02-29,11.13
2008-03-03,11.12
2008-03-04,10.79
2008-03-05,10.86
2008-03-06,10.69
2008-03-07,11.13
2008-03-10,10.53
2008-03-11,11.37
2008-03-12,10.88
2008-03-13,11.34
2008-03-14,11.45
2008-03-17,11.18
2008-03-18,11.36
2008-03-19,11.38
2008-03-20,11.47
2008-03-24,12.4
2008-03-25,12.12
2008-03-26,12.29
2008-03-27,12.08
2008-03-28,12.29
2008-03-31,12.14
2008-04-01,12.42
2008-04-02,12.55
2008-04-03,12.22
2008-04-04,12.34
2008-04-07,12.08
2008-04-08,11.93
2008-04-09,11.62
2008-04-10,12.1
2008-04-11,11.53
2008-04-14,11.53
2008-04-15,11.83
2008-04-16,11.74
2008-04-17,11.34
2008-04-18,11.76
2008-04-21,11.62
2008-04-22,11.23
2008-04-23,11.86
2008-04-24,11.99
2008-04-25,11.91
2008-04-28,11.82
2008-04-29,11.79
2008-04-30,11.62
2008-05-01,11.68
2008-05-02,11.47
2008-05-05,13.21
2008-05-06,13.45
2008-05-07,12.93
2008-05-08,13.68
2008-05-09,13.48
2008-05-12,13.48
2008-05-13,13.28
2008-05-14,14.03
2008-05-15,14.4
2008-05-16,13.98
2008-05-19,14.18
2008-05-20,13.68
2008-05-21,13.43
2008-05-22,13.85
2008-05-23,13.6
2008-05-27,13.56
2008-05-28,13.25
2008-05-29,13.86
2008-05-30,13.98
2008-06-02,13.48
2008-06-03,13.79
2008-06-04,14.14
2008-06-05,14.5
2008-06-06,14.03
2008-06-09,13.86
2008-06-10,13.84
2008-06-11,13.49
2008-06-12,13.91
2008-06-13,14.5
2008-06-16,14.44
2008-06-17,14.32
2008-06-18,14.26
2008-06-19,14.43
2008-06-20,14.18
2008-06-23,13.4
2008-06-24,13.52
2008-06-25,14.12
2008-06-26,13.53
2008-06-27,13.48
2008-06-30,13.27
2008-07-01,13.29
2008-07-02,12.87
2008-07-03,12.54
2008-07-07,12.66
2008-07-08,13.6
2008-07-09,13.49
2008-07-10,14.47
2008-07-11,14.89
2008-07-14,14.56
2008-07-15,14.74
2008-07-16,15.04
2008-07-17,14.43
2008-07-18,14.07
2008-07-21,14.92
2008-07-22,15.3
2008-07-23,14.95
2008-07-24,15.68
2008-07-25,15.65
2008-07-28,14.99
2008-07-29,14.95
2008-07-30,15.47
2008-07-31,15.3
2008-08-01,15.2
2008-08-04,14.38
2008-08-05,15.11
2008-08-06,17.77
2008-08-07,15.9
2008-08-08,16.81
2008-08-11,16.6
2008-08-12,16.98
2008-08-13,17.46
2008-08-14,17.46
2008-08-15,17.57
2008-08-18,17.92
2008-08-19,17.81
2008-08-20,17.42
2008-08-21,16.89
2008-08-22,17.32
2008-08-25,17.26
2008-08-26,17.58
2008-08-27,17.23
2008-08-28,17.54
2008-08-29,17.43
2008-09-02,17.86
2008-09-03,18.99
2008-09-04,18.18
2008-09-05,17.69
2008-09-08,18.07
2008-09-09,17.45
2008-09-10,18.39
2008-09-11,18.57
2008-09-12,18
2008-09-15,16.95
2008-09-16,18.9
2008-09-17,17.72
2008-09-18,18.12
2008-09-19,18.86
2008-09-22,18.36
2008-09-23,18.43
2008-09-24,18.06
2008-09-25,18.04
2008-09-26,18.97
2008-09-29,18.97
2008-09-30,18.09
2008-10-01,16.24
2008-10-02,15.42
2008-10-03,14.76
2008-10-06,13.51
2008-10-07,13
2008-10-08,12.08
2008-10-09,11.09
2008-10-10,11.71
2008-10-13,14.1
2008-10-14,14.57
2008-10-15,13.25
2008-10-16,14.17
2008-10-17,13.78
2008-10-20,14.49
2008-10-21,13.85
2008-10-22,13.19
2008-10-23,12.46
2008-10-24,11.91
2008-10-27,11.18
2008-10-28,11.53
2008-10-29,11.9
2008-10-30,12.05
2008-10-31,12.65
2008-11-03,13.4
2008-11-04,13.48
2008-11-05,12.29
2008-11-06,11.75
2008-11-07,12.03
2008-11-10,11.01
2008-11-11,10.52
2008-11-12,9.66
2008-11-13,10.94
2008-11-14,9.58
2008-11-17,9.63
2008-11-18,9.56
2008-11-19,9.21
2008-11-20,9.1
2008-11-21,9.04
2008-11-24,9.45
2008-11-25,8.83
2008-11-26,9.46
2008-11-28,9.49
2008-12-01,8.68
2008-12-02,9.57
2008-12-03,10.18
2008-12-04,10.25
2008-12-05,9.72
2008-12-08,10.04
2008-12-09,9.59
2008-12-10,9.9
2008-12-11,9.37
2008-12-12,9.6
2008-12-15,8.98
2008-12-16,9.89
2008-12-17,9.91
2008-12-18,10.19
2008-12-19,10.41
2008-12-22,9.95
2008-12-23,9.34
2008-12-24,9.34
2008-12-26,9.62
2008-12-29,9.46
2008-12-30,9.87
2008-12-31,9.74
2009-01-02,9.79
2009-01-05,9.4
2009-01-06,9.43
2009-01-07,9.26
2009-01-08,9.49
2009-01-09,8.81
2009-01-12,8.74
2009-01-13,8.96
2009-01-14,8.55
2009-01-15,9.07
2009-01-16,9.4
2009-01-20,8.84
2009-01-21,9.41
2009-01-22,8.82
2009-01-23,8.45
2009-01-26,8.55
2009-01-27,8.63
2009-01-28,8.63
2009-01-29,8.25
2009-01-30,8.57
2009-02-02,8.79
2009-02-03,8.85
2009-02-04,8.9
2009-02-05,9
2009-02-06,9.64
2009-02-09,10.59
2009-02-10,10.73
2009-02-11,10.9
2009-02-12,10.42
2009-02-13,10.06
2009-02-17,9.85
2009-02-18,9.95
2009-02-19,10.15
2009-02-20,9.75
2009-02-23,9.67
2009-02-24,9.85
