"Index","AMRN.Open","AMRN.High","AMRN.Low","AMRN.Close","AMRN.Volume"
2007-01-03,22.6,22.6,21.4,21.8,17778
2007-01-04,21.5,22,21.2,21.8,11567
2007-01-05,22,22.8,21.5,22.7,22581
2007-01-08,22.5,22.8,21.3,22,23824
2007-01-09,22.5,23,21.7,21.8,8828
2007-01-10,22.5,22.6,21.2,21.8,9497
2007-01-11,22.4,22.5,20.3,20.3,25288
2007-01-12,20.5,21.6,20.5,21,22917
2007-01-16,21.2,21.2,20,20,13560
2007-01-17,20.5,20.5,19.7,19.8,13568
2007-01-18,20.4,20.5,19.8,20,5065
2007-01-19,20,20.1,19.9,19.9,8572
2007-01-22,20.1,20.1,19.1,19.8,6071
2007-01-23,20.9,21,19.9,20,11764
2007-01-24,20,20.4,19.6,19.9,16585
2007-01-25,19.8,19.9,18.9,19,14165
2007-01-26,19.5,19.9,19.4,19.5,14764
2007-01-29,19.7,19.9,18.7,19.4,18372
2007-01-30,19.6,19.6,19,19.3,2329
2007-01-31,19.5,19.7,17.7,19.3,48606
2007-02-01,19.1,20,18.8,19,48484
2007-02-02,18.8,18.9,18,18.3,21695
2007-02-05,18.3,18.5,18,18.2,11501
2007-02-06,18.9,18.9,17.4,18.5,36015
2007-02-07,19.8,19.8,17.5,17.9,33006
2007-02-08,18.5,18.5,17.6,18.2,17683
2007-02-09,18.9,18.9,18.3,18.7,16031
2007-02-12,20,20,17.8,17.8,52038
2007-02-13,18.1,18.1,17.9,18,22313
2007-02-14,18,20,18,18.1,51778
2007-02-15,18.3,19.1,18.1,18.6,31728
2007-02-16,19.1,19.1,18.2,18.3,20659
2007-02-20,18.6,19,18.3,18.7,17271
2007-02-21,18.8,19,18.1,18.4,35160
2007-02-22,18.4,18.6,17.8,18,29002
2007-02-23,18.5,19,17.9,18,24228
2007-02-26,18.1,18.5,17.7,17.9,14727
2007-02-27,18.5,18.5,17.3,17.4,35559
2007-02-28,18.4,18.4,17.4,17.7,34998
2007-03-01,18,18.2,17.2,17.4,53095
2007-03-02,17.9,18,17.3,17.7,18357
2007-03-05,17.9,18.1,17.5,17.9,21796
2007-03-06,18.1,18.1,17.62,17.8,38645
2007-03-07,18,18.6,18,18.2,39967
2007-03-08,18.6,19.5,18.3,19.1,63678
2007-03-09,19.1,22.3,19.1,21.7,107885
2007-03-12,22.4,28.7,22.2,24.9,269294
2007-03-13,25.3,26.6,24.9,26.2,97854
2007-03-14,26.3,26.3,24,24.9,112098
2007-03-15,25.4,27,25.1,25.5,60226
2007-03-16,27.3,27.3,25,25.7,59651
2007-03-19,26,26,23.7,24,38520
2007-03-20,24,25,23.2,23.5,52925
2007-03-21,24.2,24.4,23.7,24.3,30478
2007-03-22,24.1,24.3,22.5,23,40812
2007-03-23,23,23,22,22.4,50972
2007-03-26,22.5,22.9,21.2,21.5,24081
2007-03-27,22.2,22.2,21.3,21.7,29069
2007-03-28,22.3,22.3,21,21,15849
2007-03-29,21.1,21.8,20.9,21.1,28991
2007-03-30,22,23,21.5,23,40146
2007-04-02,23,25,22.3,24,35884
2007-04-03,24,24.8,23.1,24.8,55092
2007-04-04,24.8,25.2,24,24.4,49032
2007-04-05,25,25.5,24.2,24.9,29074
2007-04-09,25.1,27.2,24.9,26,38970
2007-04-10,26.6,30.8,26.2,30,199268
2007-04-11,30.3,33.9,29.5,31.4,232073
2007-04-12,31.8,32.9,29.3,29.6,83750
2007-04-13,29.6,32.5,29,30.7,181698
2007-04-16,30.5,32.5,30.4,31.3,95735
2007-04-17,32.4,32.5,30.1,30.2,67796
2007-04-18,30.8,32,29.9,30.9,64138
2007-04-19,32.5,43.2,31.6,37.4,391086
2007-04-20,39.2,41.7,36.1,37.2,202860
2007-04-23,39.6,40,36.9,37.8,142195
2007-04-24,6.95,8.59,6.8,8.3,6380298
2007-04-25,8.7,8.7,7.3,7.7,2341694
2007-04-26,7.7,7.8,6.9,6.95,1260376
2007-04-27,7,8,6.9,7.4,861319
2007-04-30,7.4,7.7,7,7.05,612558
2007-05-01,7,7.1,6.4,6.8,649285
2007-05-02,6.8,7.1,6.7,6.9,226426
2007-05-03,6.9,6.9,6.3,6.5,482329
2007-05-04,6.6,6.8,6.4,6.5,217334
2007-05-07,6.5,6.5,6.1,6.2,297236
2007-05-08,6.2,6.3,6.1,6.2,182077
2007-05-09,6.1,6.6,6.1,6.6,210239
2007-05-10,6.4,6.6,6.1,6.4,219761
2007-05-11,6.2,6.5,5.3,6.18,422175
2007-05-14,6.1,6.2,6.05,6.12,280179
2007-05-15,6.1,6.2,6,6.01,329786
2007-05-16,6.2,6.2,6,6.1,121443
2007-05-17,6.1,6.1,5.7,5.84,169226
2007-05-18,5.9,5.9,5.5,5.54,195894
2007-05-21,5.5,6.2,5.4,6.1,373458
2007-05-22,6.2,7,6.1,6.57,384261
2007-05-23,6.7,6.8,6.4,6.6,113829
2007-05-24,6.7,6.7,6.4,6.6,99027
2007-05-25,6.5,6.6,5.9,6,162348
2007-05-29,6,6.4,6,6.1,40343
2007-05-30,6.3,6.4,6.12,6.2,74085
2007-05-31,6.4,6.4,6,6.01,88078
2007-06-01,6,6.2,6,6,101210
2007-06-04,6.1,6.27,5.9,5.98,108775
2007-06-05,6.4,6.4,5.9,5.9,136121
2007-06-06,6,6.27,5.9,5.91,175143
2007-06-07,6,6.03,5.9,5.92,225350
2007-06-08,5.95,6,5.7,5.9,84321
2007-06-11,5.9,6.16,5.72,6.1,89717
2007-06-12,6.1,6.1,5.8,6,40568
2007-06-13,6,6,5.7,5.8,31834
2007-06-14,5.8,6,5.7,5.7,52339
2007-06-15,5.7,5.96,5.7,5.78,26607
2007-06-18,5.86,5.9,5.7,5.8,32905
2007-06-19,5.7,5.75,5.7,5.71,49292
2007-06-20,5.72,5.8,5.2,5.49,142562
2007-06-21,5.7,5.7,5.3,5.4,90457
2007-06-22,5.3,5.6,5.3,5.49,90573
2007-06-25,5.5,5.5,5.2,5.2,64670
2007-06-26,5.2,5.4,5.1,5.4,34945
2007-06-27,5.3,5.8,5.2,5.79,61593
2007-06-28,5.7,6.19,5.55,5.8,58685
2007-06-29,5.8,6,5.6,5.9,31458
2007-07-02,5.61,6,5.61,5.71,54105
2007-07-03,5.71,5.8,5.6,5.7,13805
2007-07-05,5.6,5.8,5.53,5.7,33828
2007-07-06,5.79,5.79,5.51,5.79,33101
2007-07-09,5.7,6,5.51,5.55,58214
2007-07-10,5.51,5.75,5.5,5.5,31514
2007-07-11,5.5,5.52,5.2,5.3,71558
2007-07-12,5.3,5.45,5.1,5.1,85988
2007-07-13,5.1,5.4,5.1,5.35,27939
2007-07-16,5.4,5.4,5.2,5.3,57254
2007-07-17,5.3,5.35,5.21,5.3,26965
2007-07-18,5.3,5.3,5.2,5.3,53720
2007-07-19,5.3,5.35,5.23,5.25,21831
2007-07-20,5.3,5.3,5.2,5.3,25035
2007-07-23,5.3,5.4,5.1,5.37,21832
2007-07-24,5.31,5.36,5.2,5.27,36861
2007-07-25,5.15,5.3,5,5.08,55793
2007-07-26,5.01,5.1,4.7,4.8,88202
2007-07-27,4.75,4.89,4.2,4.69,78400
2007-07-30,4.6,4.8,4.6,4.7,32288
2007-07-31,4.79,4.81,4.31,4.8,60102
2007-08-01,4.8,4.91,4.4,4.4,56853
2007-08-02,4.9,4.9,4.2,4.4,53176
2007-08-03,4.2,4.45,3.9,3.9,79732
2007-08-06,3.9,4.1,3.7,3.9,75933
