"Index","AMSC.Close"
2007-01-03,9.73
2007-01-04,9.91
2007-01-05,9.64
2007-01-08,9.63
2007-01-09,9.7
2007-01-10,9.58
2007-01-11,9.25
2007-01-12,9.45
2007-01-16,9.6
2007-01-17,9.47
2007-01-18,9.3
2007-01-19,9.49
2007-01-22,9.45
2007-01-23,9.78
2007-01-24,9.96
2007-01-25,9.72
2007-01-26,9.88
2007-01-29,9.85
2007-01-30,10.29
2007-01-31,10.07
2007-02-01,9.96
2007-02-02,10.17
2007-02-05,9.95
2007-02-06,10.44
2007-02-07,10.42
2007-02-08,10.48
2007-02-09,10.32
2007-02-12,10.22
2007-02-13,10.18
2007-02-14,10.43
2007-02-15,10.49
2007-02-16,10.88
2007-02-20,11.61
2007-02-21,11.46
2007-02-22,11.95
2007-02-23,11.61
2007-02-26,12.75
2007-02-27,11.55
2007-02-28,13.44
2007-03-01,14.06
2007-03-02,14.33
2007-03-05,12.69
2007-03-06,13.07
2007-03-07,13.12
2007-03-08,13.24
2007-03-09,13.2
2007-03-12,13.4
2007-03-13,13.8
2007-03-14,13.5
2007-03-15,13.5
2007-03-16,14.04
2007-03-19,14.38
2007-03-20,14.11
2007-03-21,14.4
2007-03-22,14.37
2007-03-23,15.01
2007-03-26,14.94
2007-03-27,14.61
2007-03-28,13.97
2007-03-29,13.21
2007-03-30,13.47
2007-04-02,13.47
2007-04-03,13.46
2007-04-04,13.36
2007-04-05,13.4
2007-04-09,13.23
2007-04-10,14.06
2007-04-11,14
2007-04-12,14.47
2007-04-13,14.3
2007-04-16,14.94
2007-04-17,14.63
2007-04-18,14.15
2007-04-19,14.35
2007-04-20,14.9
2007-04-23,14.64
2007-04-24,14.84
2007-04-25,14.9
2007-04-26,14.77
2007-04-27,14.96
2007-04-30,14.44
2007-05-01,14.22
2007-05-02,14.43
2007-05-03,14.55
2007-05-04,14.77
2007-05-07,14.46
2007-05-08,14.31
2007-05-09,14.63
2007-05-10,14.38
2007-05-11,14.9
2007-05-14,14.76
2007-05-15,14.55
2007-05-16,14.78
2007-05-17,14.76
2007-05-18,15
2007-05-21,17.76
2007-05-22,17.04
2007-05-23,16.31
2007-05-24,15.95
2007-05-25,17.13
2007-05-29,17.42
2007-05-30,17.13
2007-05-31,17.34
2007-06-01,17.04
2007-06-04,16.97
2007-06-05,17
2007-06-06,16.51
2007-06-07,16.19
2007-06-08,16.77
2007-06-11,16.94
2007-06-12,17.17
2007-06-13,17.73
2007-06-14,18.55
2007-06-15,18.01
2007-06-18,19.39
2007-06-19,19.42
2007-06-20,18.11
2007-06-21,18.62
2007-06-22,19.24
2007-06-25,18.9
2007-06-26,18.88
2007-06-27,19.54
2007-06-28,19.25
2007-06-29,19.31
2007-07-02,20.08
2007-07-03,20.73
2007-07-05,21.49
2007-07-06,22.26
2007-07-09,21.87
2007-07-10,21.37
2007-07-11,21.85
2007-07-12,22.32
2007-07-13,22.44
2007-07-16,23.11
2007-07-17,23.13
2007-07-18,22.51
2007-07-19,22.34
2007-07-20,21.28
2007-07-23,19.58
2007-07-24,20.68
2007-07-25,20.58
2007-07-26,19.52
2007-07-27,20
2007-07-30,21
2007-07-31,19.09
2007-08-01,19.06
2007-08-02,19.25
2007-08-03,18.72
2007-08-06,20.07
2007-08-07,21.68
2007-08-08,25.44
2007-08-09,26.77
2007-08-10,22.49
2007-08-13,21.35
2007-08-14,20.76
2007-08-15,20.46
2007-08-16,20.06
2007-08-17,21.29
2007-08-20,19.99
2007-08-21,19.97
2007-08-22,20.17
2007-08-23,19.64
2007-08-24,19.68
2007-08-27,19.04
2007-08-28,17.53
2007-08-29,18.18
2007-08-30,18.22
2007-08-31,18.02
2007-09-04,19.51
2007-09-05,18.76
2007-09-06,19.78
2007-09-07,19.15
2007-09-10,18.97
2007-09-11,19.8
2007-09-12,19.56
2007-09-13,18.26
2007-09-14,17.92
2007-09-17,17.8
2007-09-18,19.05
2007-09-19,18.46
2007-09-20,18.01
2007-09-21,18.27
2007-09-24,17.94
2007-09-25,17.84
2007-09-26,19.28
2007-09-27,20.12
2007-09-28,20.48
2007-10-01,20.64
2007-10-02,21.26
2007-10-03,22.7
2007-10-04,22.81
2007-10-05,24.29
2007-10-08,23.89
2007-10-09,25.48
2007-10-10,25.6
2007-10-11,25.2
2007-10-12,25.77
2007-10-15,24.77
2007-10-16,24.19
2007-10-17,24.9
2007-10-18,25.85
2007-10-19,25.81
2007-10-22,26.67
2007-10-23,26.84
2007-10-24,26.87
2007-10-25,27.16
2007-10-26,28.25
2007-10-29,27.92
2007-10-30,27.67
2007-10-31,27.15
2007-11-01,25.17
2007-11-02,26.13
2007-11-05,26.57
2007-11-06,28.77
2007-11-07,28.44
2007-11-08,28.73
2007-11-09,26.09
2007-11-12,24.06
2007-11-13,25.51
2007-11-14,25.49
2007-11-15,25.26
2007-11-16,25.89
2007-11-19,23.51
2007-11-20,22.45
2007-11-21,20.62
2007-11-23,21.6
2007-11-26,21.39
2007-11-27,21.66
2007-11-28,23.38
2007-11-29,24.63
2007-11-30,24.14
2007-12-03,24.31
2007-12-04,23.93
2007-12-05,25.61
2007-12-06,27.08
2007-12-07,27.07
2007-12-10,26.93
2007-12-11,25.55
2007-12-12,26.37
2007-12-13,26.04
2007-12-14,26.72
2007-12-17,23.81
2007-12-18,25.7
2007-12-19,27.12
2007-12-20,27.85
2007-12-21,30.05
2007-12-24,30.59
2007-12-26,32.04
2007-12-27,30.52
2007-12-28,28.98
2007-12-31,27.34
2008-01-02,27.53
2008-01-03,28.48
2008-01-04,26.2
2008-01-07,25.59
2008-01-08,24.9
2008-01-09,25.17
2008-01-10,24.04
2008-01-11,23.13
2008-01-14,23.84
2008-01-15,22.56
2008-01-16,21.43
2008-01-17,18.95
2008-01-18,18.31
2008-01-22,18.6
2008-01-23,19.26
2008-01-24,18.44
2008-01-25,19.1
2008-01-28,18.63
2008-01-29,19.31
2008-01-30,19.46
2008-01-31,20.25
2008-02-01,21.58
2008-02-04,22.86
2008-02-05,20.98
2008-02-06,19.64
2008-02-07,19.68
2008-02-08,19.43
2008-02-11,20.16
2008-02-12,20.64
2008-02-13,22.22
2008-02-14,21.33
2008-02-15,20.3
2008-02-19,20.1
2008-02-20,20.27
2008-02-21,19.49
2008-02-22,19.23
2008-02-25,20.03
2008-02-26,20.75
2008-02-27,21.95
2008-02-28,22.89
2008-02-29,22.59
2008-03-03,22.49
2008-03-04,22.99
2008-03-05,24.43
2008-03-06,22.88
2008-03-07,21.83
2008-03-10,21.18
2008-03-11,22.85
2008-03-12,23.58
2008-03-13,23.98
2008-03-14,23.98
2008-03-17,23.99
2008-03-18,24.74
2008-03-19,23.52
2008-03-20,23.3
2008-03-24,24.71
2008-03-25,24.97
2008-03-26,23.97
2008-03-27,24.41
2008-03-28,23.54
2008-03-31,23.19
2008-04-01,23.97
2008-04-02,25
2008-04-03,25.2
2008-04-04,25.53
2008-04-07,25.41
2008-04-08,25.59
2008-04-09,25.28
2008-04-10,25.35
2008-04-11,24.38
2008-04-14,24.87
2008-04-15,25.27
2008-04-16,26.33
2008-04-17,26.11
2008-04-18,26.96
2008-04-21,26.94
2008-04-22,26.81
2008-04-23,26.02
2008-04-24,25.82
2008-04-25,26.32
2008-04-28,26.39
2008-04-29,25.5
2008-04-30,25.28
2008-05-01,26.09
2008-05-02,26.1
2008-05-05,25.57
2008-05-06,26.28
2008-05-07,24.67
2008-05-08,32.77
2008-05-09,29.86
2008-05-12,28.94
2008-05-13,27.76
2008-05-14,29.41
2008-05-15,29.46
2008-05-16,30.83
2008-05-19,30.33
2008-05-20,30.16
2008-05-21,29.85
2008-05-22,30.01
2008-05-23,30.91
2008-05-27,31.54
2008-05-28,34.66
2008-05-29,35.07
2008-05-30,35.28
2008-06-02,34.45
2008-06-03,34.61
2008-06-04,34.71
2008-06-05,36.19
2008-06-06,35.96
2008-06-09,36.08
2008-06-10,43.11
2008-06-11,43.92
2008-06-12,41.09
2008-06-13,41.65
2008-06-16,42.53
2008-06-17,43.06
2008-06-18,42.66
2008-06-19,44.02
2008-06-20,42.55
2008-06-23,43.9
2008-06-24,41.91
2008-06-25,40.46
2008-06-26,37.99
2008-06-27,35.03
2008-06-30,35.85
2008-07-01,35.38
2008-07-02,33.65
2008-07-03,31.98
2008-07-07,31.68
2008-07-08,31.31
2008-07-09,31.23
2008-07-10,32.4
2008-07-11,32.24
2008-07-14,32.15
2008-07-15,31.57
2008-07-16,32.7
2008-07-17,33.2
2008-07-18,35.9
2008-07-21,38.01
2008-07-22,38.44
2008-07-23,34.56
2008-07-24,35.06
2008-07-25,35.25
2008-07-28,36.14
2008-07-29,37.13
2008-07-30,38.19
2008-07-31,39.49
2008-08-01,37.87
2008-08-04,36.07
2008-08-05,30.93
2008-08-06,28.69
2008-08-07,28.2
2008-08-08,26
2008-08-11,26.48
2008-08-12,26.81
2008-08-13,25.78
2008-08-14,26.14
2008-08-15,25.96
2008-08-18,24.72
2008-08-19,24
2008-08-20,25.11
2008-08-21,25.26
2008-08-22,25.49
2008-08-25,23.95
2008-08-26,24.09
2008-08-27,25.11
2008-08-28,25.12
2008-08-29,24.57
2008-09-02,24.3
2008-09-03,23.74
2008-09-04,22.6
2008-09-05,21.83
2008-09-08,21.74
2008-09-09,19.54
2008-09-10,18.96
2008-09-11,18.93
2008-09-12,18.75
2008-09-15,17.03
2008-09-16,17.11
2008-09-17,17.46
2008-09-18,21.1
2008-09-19,23.76
2008-09-22,22.05
2008-09-23,22.19
2008-09-24,21.42
2008-09-25,22.39
2008-09-26,22.11
2008-09-29,24.69
2008-09-30,23.57
2008-10-01,21.97
2008-10-02,19.4
2008-10-03,18.51
2008-10-06,14.99
2008-10-07,13.22
2008-10-08,14.2
2008-10-09,12.93
2008-10-10,13.01
2008-10-13,16.23
2008-10-14,14.99
2008-10-15,13.02
2008-10-16,14.96
2008-10-17,15.2
2008-10-20,16.16
2008-10-21,15.1
2008-10-22,13.2
2008-10-23,11.66
2008-10-24,11.12
2008-10-27,9.9
2008-10-28,10.36
2008-10-29,11.02
2008-10-30,12.43
2008-10-31,12.51
2008-11-03,13.24
2008-11-04,15.43
2008-11-05,14.25
2008-11-06,12.83
2008-11-07,13.77
2008-11-10,13.61
2008-11-11,12.75
2008-11-12,10.98
2008-11-13,12.05
2008-11-14,10.92
2008-11-17,10.28
2008-11-18,10.2
2008-11-19,9.08
2008-11-20,8.55
2008-11-21,9.67
2008-11-24,11.72
2008-11-25,11.57
2008-11-26,13.91
2008-11-28,13.09
2008-12-01,11.02
2008-12-02,12.5
2008-12-03,13.27
2008-12-04,12.73
