"Index","AMSF.Close"
2007-01-03,15.68
2007-01-04,15.47
2007-01-05,15.48
2007-01-08,15.5
2007-01-09,15.96
2007-01-10,16.1
2007-01-11,16.57
2007-01-12,16.54
2007-01-16,16.7
2007-01-17,16.61
2007-01-18,16.53
2007-01-19,16.12
2007-01-22,16.07
2007-01-23,16.3
2007-01-24,16.4
2007-01-25,16.2
2007-01-26,16.07
2007-01-29,16.4
2007-01-30,16.32
2007-01-31,16.53
2007-02-01,17.3
2007-02-02,17.1
2007-02-05,16.39
2007-02-06,16.96
2007-02-07,16.69
2007-02-08,16.4
2007-02-09,16
2007-02-12,16
2007-02-13,16.13
2007-02-14,16.84
2007-02-15,16.82
2007-02-16,17.26
2007-02-20,16.5
2007-02-21,17.08
2007-02-22,17.25
2007-02-23,17.02
2007-02-26,16.72
2007-02-27,16.3
2007-02-28,18.48
2007-03-01,17.56
2007-03-02,17.65
2007-03-05,17.63
2007-03-06,17
2007-03-07,17.64
2007-03-08,18.25
2007-03-09,18.1
2007-03-12,18.24
2007-03-13,17.77
2007-03-14,17.49
2007-03-15,18.1
2007-03-16,18.14
2007-03-19,18.09
2007-03-20,18.27
2007-03-21,18.46
2007-03-22,18.7
2007-03-23,18.71
2007-03-26,18.92
2007-03-27,18.88
2007-03-28,19.1
2007-03-29,19.25
2007-03-30,18.85
2007-04-02,18.3
2007-04-03,18.3
2007-04-04,17.98
2007-04-05,17.95
2007-04-09,17.94
2007-04-10,17.93
2007-04-11,18.16
2007-04-12,18.22
2007-04-13,18.05
2007-04-16,18.54
2007-04-17,18.41
2007-04-18,18.8
2007-04-19,19.05
2007-04-20,19.05
2007-04-23,19.22
2007-04-24,19.05
2007-04-25,19.09
2007-04-26,19.82
2007-04-27,19.78
2007-04-30,20.13
2007-05-01,19.88
2007-05-02,19.9
2007-05-03,19.99
2007-05-04,19.99
2007-05-07,20
2007-05-08,18
2007-05-09,19.36
2007-05-10,18.8
2007-05-11,19.16
2007-05-14,19.17
2007-05-15,19.15
2007-05-16,19.15
2007-05-17,18.96
2007-05-18,18.98
2007-05-21,18.9
2007-05-22,19.07
2007-05-23,19.63
2007-05-24,19.47
2007-05-25,19.05
2007-05-29,18.87
2007-05-30,18.49
2007-05-31,18.49
2007-06-01,18.4
2007-06-04,18.5
2007-06-05,18.45
2007-06-06,18.37
2007-06-07,18.72
2007-06-08,18.1
2007-06-11,18.01
2007-06-12,17.59
2007-06-13,17.57
2007-06-14,17.66
2007-06-15,17.68
2007-06-18,18.46
2007-06-19,18.61
2007-06-20,18.36
2007-06-21,18.2
2007-06-22,18.36
2007-06-25,18.25
2007-06-26,19.2
2007-06-27,19.36
2007-06-28,19.6
2007-06-29,19.63
2007-07-02,20.26
2007-07-03,20.75
2007-07-05,20.19
2007-07-06,20.09
2007-07-09,20.98
2007-07-10,19.78
2007-07-11,19.67
2007-07-12,20.23
2007-07-13,20.09
2007-07-16,19.38
2007-07-17,19.29
2007-07-18,18.92
2007-07-19,19.07
2007-07-20,18.76
2007-07-23,18.96
2007-07-24,18.96
2007-07-25,18.62
2007-07-26,17.88
2007-07-27,18.1
2007-07-30,17.3
2007-07-31,16.78
2007-08-01,17.03
2007-08-02,16.39
2007-08-03,15.59
2007-08-06,15.46
2007-08-07,14.33
2007-08-08,14.29
2007-08-09,13.14
2007-08-10,15.33
2007-08-13,16.24
2007-08-14,14.98
2007-08-15,14.25
2007-08-16,14.95
2007-08-17,15.33
2007-08-20,15.98
2007-08-21,17.07
2007-08-22,17.47
2007-08-23,16.82
2007-08-24,16.42
2007-08-27,15.87
2007-08-28,15.43
2007-08-29,16.55
2007-08-30,16.65
2007-08-31,16.45
2007-09-04,16.47
2007-09-05,16.08
2007-09-06,16.44
2007-09-07,16.55
2007-09-10,16.02
2007-09-11,15.94
2007-09-12,15.92
2007-09-13,16.22
2007-09-14,16
2007-09-17,16.11
2007-09-18,17.29
2007-09-19,17.68
2007-09-20,17.61
2007-09-21,18
2007-09-24,17.69
2007-09-25,16.94
2007-09-26,17.39
2007-09-27,17.49
2007-09-28,16.54
2007-10-01,17.56
2007-10-02,17.68
2007-10-03,17.23
2007-10-04,17.45
2007-10-05,17.6
2007-10-08,16.92
2007-10-09,15.86
2007-10-10,15.93
2007-10-11,15.5
2007-10-12,16.22
2007-10-15,16.96
2007-10-16,16.76
2007-10-17,16.75
2007-10-18,16.69
2007-10-19,15.97
2007-10-22,16.76
2007-10-23,17.37
2007-10-24,16.58
2007-10-25,16.2
2007-10-26,16.54
2007-10-29,16.25
2007-10-30,16.04
2007-10-31,16.17
2007-11-01,15.4
2007-11-02,15.31
2007-11-05,15.31
2007-11-06,15.38
2007-11-07,14.78
2007-11-08,15.75
2007-11-09,16.18
2007-11-12,15.87
2007-11-13,16.23
2007-11-14,16.5
2007-11-15,16.08
2007-11-16,16.2
2007-11-19,15.39
2007-11-20,15.55
2007-11-21,14.72
2007-11-23,15.88
2007-11-26,14.42
2007-11-27,14.84
2007-11-28,15.15
2007-11-29,15.62
2007-11-30,15.26
2007-12-03,15.22
2007-12-04,15.66
2007-12-05,15.5
2007-12-06,15.84
2007-12-07,15.82
2007-12-10,15.79
2007-12-11,15.11
2007-12-12,15.42
2007-12-13,14.86
2007-12-14,14.52
2007-12-17,14.5
2007-12-18,14.53
2007-12-19,14.47
2007-12-20,15.69
2007-12-21,16.35
2007-12-24,16.07
2007-12-26,16.48
2007-12-27,14.96
2007-12-28,15.74
2007-12-31,15.51
2008-01-02,15.14
2008-01-03,14.72
2008-01-04,14.47
2008-01-07,14.25
2008-01-08,14.73
2008-01-09,14.98
2008-01-10,15.16
2008-01-11,14.82
2008-01-14,14.48
2008-01-15,14.49
2008-01-16,14.74
2008-01-17,14.26
2008-01-18,13.86
2008-01-22,13.64
2008-01-23,14.25
2008-01-24,14.04
2008-01-25,13.41
2008-01-28,14.18
2008-01-29,14.22
2008-01-30,13.88
2008-01-31,13.75
2008-02-01,13.77
2008-02-04,14.11
2008-02-05,14.04
2008-02-06,14.41
2008-02-07,15.4
2008-02-08,15.15
2008-02-11,15.01
2008-02-12,14.81
2008-02-13,15.12
2008-02-14,14.76
2008-02-15,14.72
2008-02-19,14.78
2008-02-20,14.44
2008-02-21,14.43
2008-02-22,14.43
2008-02-25,14.6
2008-02-26,14.43
2008-02-27,14.7
2008-02-28,13.87
2008-02-29,13.15
2008-03-03,13.07
2008-03-04,12.99
2008-03-05,12.87
2008-03-06,12.76
2008-03-07,12.4
2008-03-10,12.42
2008-03-11,13.09
2008-03-12,13
2008-03-13,13.1
2008-03-14,13
2008-03-17,12.81
2008-03-18,13.24
2008-03-19,12.68
2008-03-20,12.71
2008-03-24,12.78
2008-03-25,12.85
2008-03-26,12.7
2008-03-27,12.71
2008-03-28,12.53
2008-03-31,12.64
2008-04-01,13.16
2008-04-02,13.54
2008-04-03,13.51
2008-04-04,13.55
2008-04-07,13.8
2008-04-08,13.79
2008-04-09,13.8
2008-04-10,13.86
2008-04-11,14
2008-04-14,13.95
2008-04-15,14
2008-04-16,14.31
2008-04-17,14.25
2008-04-18,14.38
2008-04-21,14.04
2008-04-22,13.99
2008-04-23,13.98
2008-04-24,14.39
2008-04-25,14.25
2008-04-28,14.37
2008-04-29,14.28
2008-04-30,14.26
2008-05-01,14.5
2008-05-02,15.13
2008-05-05,15.21
2008-05-06,15.71
2008-05-07,16.07
2008-05-08,15.78
2008-05-09,15.88
