"Index","AMSG.Close"
2007-01-03,23.32
2007-01-04,22.91
2007-01-05,22.15
2007-01-08,22.73
2007-01-09,22.43
2007-01-10,22.53
2007-01-11,22.55
2007-01-12,22.57
2007-01-16,22.81
2007-01-17,22.81
2007-01-18,22.34
2007-01-19,22.91
2007-01-22,22.25
2007-01-23,22.25
2007-01-24,22.05
2007-01-25,21.95
2007-01-26,22.25
2007-01-29,22.08
2007-01-30,22
2007-01-31,22
2007-02-01,21.83
2007-02-02,22.68
2007-02-05,22.15
2007-02-06,22.5
2007-02-07,22.54
2007-02-08,22.38
2007-02-09,22.4
2007-02-12,22.53
2007-02-13,22.22
2007-02-14,22.4
2007-02-15,22.84
2007-02-16,22.85
2007-02-20,22.94
2007-02-21,24.33
2007-02-22,24.95
2007-02-23,24.22
2007-02-26,24
2007-02-27,23.04
2007-02-28,23.05
2007-03-01,22.76
2007-03-02,22.06
2007-03-05,21.94
2007-03-06,22.61
2007-03-07,22.52
2007-03-08,22.81
2007-03-09,23.07
2007-03-12,23.5
2007-03-13,23.52
2007-03-14,23.75
2007-03-15,24
2007-03-16,23.81
2007-03-19,23.92
2007-03-20,23.93
2007-03-21,24.34
2007-03-22,24.35
2007-03-23,24.5
2007-03-26,24.44
2007-03-27,24.43
2007-03-28,24.32
2007-03-29,24.29
2007-03-30,24.49
2007-04-02,24.48
2007-04-03,24.7
2007-04-04,24.56
2007-04-05,24.65
2007-04-09,24.55
2007-04-10,24.91
2007-04-11,24.6
2007-04-12,24.58
2007-04-13,24.73
2007-04-16,24.95
2007-04-17,25.09
2007-04-18,25.04
2007-04-19,25.09
2007-04-20,25.24
2007-04-23,24.35
2007-04-24,25.02
2007-04-25,23.53
2007-04-26,23.76
2007-04-27,23.15
2007-04-30,22.95
2007-05-01,23.24
2007-05-02,23.29
2007-05-03,23.18
2007-05-04,23.29
2007-05-07,23.52
2007-05-08,23.8
2007-05-09,23.92
2007-05-10,23.93
2007-05-11,24.02
2007-05-14,23.69
2007-05-15,23.03
2007-05-16,23.42
2007-05-17,23.49
