"Index","AMTC.Close"
2007-01-03,5.35
2007-01-04,5.28
2007-01-05,5.5
2007-01-08,5.75
2007-01-09,5.3
2007-01-10,5.09
2007-01-11,5.35
2007-01-12,5.06
2007-01-16,5.19
2007-01-17,5.08
2007-01-18,5.06
2007-01-19,5.14
2007-01-22,5.01
2007-01-23,4.91
2007-01-24,4.92
2007-01-25,5.05
2007-01-26,4.9
2007-01-29,5.05
2007-01-30,5
2007-01-31,4.9
2007-02-01,4.9
2007-02-02,4.71
2007-02-05,4.66
2007-02-06,4.7
2007-02-07,5
2007-02-08,4.72
2007-02-09,5.4
2007-02-12,5.43
2007-02-13,5.6
2007-02-14,5.3
2007-02-15,5.6
2007-02-16,5.75
2007-02-20,5.16
2007-02-21,5.31
2007-02-22,5.16
2007-02-23,5.65
2007-02-26,5.3
2007-02-27,5.18
2007-02-28,5.16
2007-03-01,5.16
2007-03-02,4.66
2007-03-05,5.62
2007-03-06,5.02
2007-03-07,5.06
2007-03-08,5.24
2007-03-09,5.03
2007-03-12,5.12
2007-03-13,5.12
2007-03-14,4.98
2007-03-15,4.98
2007-03-16,4.98
2007-03-19,5.24
2007-03-20,5.2
2007-03-21,4.99
2007-03-22,5.02
2007-03-23,5.01
2007-03-26,4.98
2007-03-27,4.98
2007-03-28,4.98
2007-03-29,4.98
2007-03-30,4.98
2007-04-02,4.95
2007-04-03,4.98
2007-04-04,4.98
2007-04-05,5.17
2007-04-09,5.15
2007-04-10,4.91
2007-04-11,4.7
2007-04-12,4.66
2007-04-13,4.72
2007-04-16,4.81
2007-04-17,4.68
2007-04-18,4.75
2007-04-19,4.48
2007-04-20,5.28
2007-04-23,5
2007-04-24,5
2007-04-25,4.81
2007-04-26,4.61
2007-04-27,4.61
2007-04-30,4.9
2007-05-01,4.72
2007-05-02,4.83
2007-05-03,4.75
2007-05-04,4.87
2007-05-07,4.93
2007-05-08,4.79
2007-05-09,4.79
2007-05-10,5
2007-05-11,4.79
2007-05-14,4.73
2007-05-15,4.4
2007-05-16,4.31
2007-05-17,4.73
2007-05-18,4.87
2007-05-21,4.6
2007-05-22,4.71
2007-05-23,4.71
2007-05-24,4.5
2007-05-25,4.5
2007-05-29,4.5
2007-05-30,4.5
2007-05-31,4.5
2007-06-01,4.5
2007-06-04,4.8
2007-06-05,4.5
2007-06-06,4.5
2007-06-07,4.41
2007-06-08,4.54
2007-06-11,4.5
2007-06-12,4.7
2007-06-13,4.5
2007-06-14,4.5
2007-06-15,4.5
2007-06-18,4.5
2007-06-19,4.75
2007-06-20,4.59
2007-06-21,4.7
2007-06-22,5.21
2007-06-25,4.71
2007-06-26,4.71
2007-06-27,4.7
2007-06-28,4.7
2007-06-29,4.71
2007-07-02,4.71
2007-07-03,4.89
2007-07-05,4.71
2007-07-06,4.96
2007-07-09,4.78
2007-07-10,5.54
2007-07-11,5.54
2007-07-12,4.9
2007-07-13,4.9
2007-07-16,4.9
2007-07-17,5.28
2007-07-18,5.16
2007-07-19,5.16
2007-07-20,4.54
2007-07-23,4.63
2007-07-24,4.56
2007-07-25,4.53
2007-07-26,4.75
2007-07-27,4.75
2007-07-30,4.55
2007-07-31,4.6
2007-08-01,4.55
2007-08-02,4.53
2007-08-03,4.53
2007-08-06,4.55
2007-08-07,4.55
2007-08-08,4.53
2007-08-09,4.79
2007-08-10,4.53
2007-08-13,4.53
2007-08-14,4.5
2007-08-15,4.5
2007-08-16,4.5
2007-08-17,4.57
2007-08-20,4.35
2007-08-21,4.5
2007-08-22,4.7
2007-08-23,4.78
2007-08-24,4.79
2007-08-27,4.56
2007-08-28,4.5
2007-08-29,4.55
2007-08-30,4.55
2007-08-31,4.55
2007-09-04,5.06
2007-09-05,4.85
2007-09-06,4.65
2007-09-07,4.75
2007-09-10,5.21
2007-09-11,4.55
2007-09-12,4.64
2007-09-13,4.55
2007-09-14,4.55
2007-09-17,4.55
2007-09-18,4.55
2007-09-19,4.55
2007-09-20,4.55
2007-09-21,4.55
2007-09-24,4.55
2007-09-25,4.28
2007-09-26,4.97
2007-09-27,4.5
2007-09-28,4.5
2007-10-01,4.5
