"Index","AMWD.Close"
2007-01-03,40.85
2007-01-04,40.87
2007-01-05,40.62
2007-01-08,41.14
2007-01-09,40.91
2007-01-10,41.42
2007-01-11,42
2007-01-12,42.31
2007-01-16,42.69
2007-01-17,42.71
2007-01-18,41.87
2007-01-19,42.47
2007-01-22,42.28
2007-01-23,42.98
2007-01-24,43.24
2007-01-25,42.57
2007-01-26,42.57
2007-01-29,42.88
2007-01-30,43.41
2007-01-31,44.96
2007-02-01,44.95
2007-02-02,45.11
2007-02-05,44.99
2007-02-06,45.16
2007-02-07,45.12
2007-02-08,44.86
2007-02-09,44.44
2007-02-12,43.84
2007-02-13,45
2007-02-14,44.54
2007-02-15,44.95
2007-02-16,45.14
2007-02-20,43.13
2007-02-21,43.08
2007-02-22,42.93
2007-02-23,42.75
2007-02-26,41.78
2007-02-27,40.23
2007-02-28,39.74
2007-03-01,38.68
2007-03-02,37.62
2007-03-05,35.95
2007-03-06,36
2007-03-07,35.62
2007-03-08,35.28
2007-03-09,35.2
2007-03-12,35.45
2007-03-13,34.95
2007-03-14,35.78
2007-03-15,36.12
2007-03-16,35.59
2007-03-19,36.6
2007-03-20,36.94
2007-03-21,37.65
2007-03-22,37.63
2007-03-23,37.46
2007-03-26,37.45
2007-03-27,37.08
2007-03-28,36.13
2007-03-29,36.18
2007-03-30,36.76
2007-04-02,36.79
2007-04-03,36.72
2007-04-04,36.4
2007-04-05,36.75
2007-04-09,36.58
2007-04-10,36.58
2007-04-11,35.22
2007-04-12,35.1
2007-04-13,35.24
2007-04-16,35.14
2007-04-17,35.4
2007-04-18,35.01
2007-04-19,35.87
2007-04-20,36.44
2007-04-23,36.79
2007-04-24,36
2007-04-25,35.51
2007-04-26,35.92
2007-04-27,35.17
2007-04-30,34.51
2007-05-01,35.14
2007-05-02,35.11
2007-05-03,35.74
2007-05-04,35.34
2007-05-07,35.66
2007-05-08,34.68
2007-05-09,35.34
2007-05-10,34.53
2007-05-11,35.08
2007-05-14,35.32
2007-05-15,35.1
2007-05-16,35.53
2007-05-17,34.89
2007-05-18,35.5
2007-05-21,36.25
2007-05-22,37.1
2007-05-23,38
2007-05-24,36.98
2007-05-25,37.16
2007-05-29,37.7
2007-05-30,37.47
2007-05-31,37.25
2007-06-01,37.25
2007-06-04,37.92
2007-06-05,34.28
2007-06-06,34.56
2007-06-07,34.03
2007-06-08,34.11
2007-06-11,34.39
2007-06-12,34.21
2007-06-13,34.21
2007-06-14,34.7
2007-06-15,35.34
2007-06-18,34.42
2007-06-19,35.57
2007-06-20,34.3
2007-06-21,35.07
2007-06-22,34.45
2007-06-25,33.75
2007-06-26,33.95
2007-06-27,34.56
2007-06-28,34.94
2007-06-29,34.6
2007-07-02,34.55
2007-07-03,34.29
2007-07-05,34.33
2007-07-06,34.47
2007-07-09,34.47
