"Index","ANAD.Close"
2007-01-03,8.79
2007-01-04,8.98
2007-01-05,8.49
2007-01-08,8.54
2007-01-09,8.6
2007-01-10,8.58
2007-01-11,9.05
2007-01-12,9.75
2007-01-16,9.58
2007-01-17,10
2007-01-18,9.41
2007-01-19,9.59
2007-01-22,9.38
2007-01-23,9.38
2007-01-24,9.62
2007-01-25,9.44
2007-01-26,8.97
2007-01-29,8.98
2007-01-30,8.91
2007-01-31,8.94
2007-02-01,9
2007-02-02,9.07
2007-02-05,10.65
2007-02-06,11.14
2007-02-07,11.46
2007-02-08,11.81
2007-02-09,11.13
2007-02-12,11.44
2007-02-13,11.98
2007-02-14,12.1
2007-02-15,12.14
2007-02-16,12.91
2007-02-20,13.63
2007-02-21,13.17
2007-02-22,13.26
2007-02-23,13.11
2007-02-26,12.98
2007-02-27,12
2007-02-28,12.21
2007-03-01,12.06
2007-03-02,11.81
2007-03-05,11.71
2007-03-06,12.29
2007-03-07,12.44
2007-03-08,12.66
2007-03-09,12.33
2007-03-12,12.79
2007-03-13,13.09
2007-03-14,13.02
2007-03-15,12.89
2007-03-16,12.53
2007-03-19,12.5
2007-03-20,12.49
2007-03-21,13.14
2007-03-22,12.96
2007-03-23,12.81
2007-03-26,12.51
2007-03-27,12.25
2007-03-28,12.04
2007-03-29,11.81
2007-03-30,11.82
2007-04-02,11.69
2007-04-03,12.23
2007-04-04,12.11
2007-04-05,12.08
2007-04-09,12.24
2007-04-10,12.57
2007-04-11,12.67
2007-04-12,12.77
2007-04-13,12.95
2007-04-16,13.03
2007-04-17,13.05
2007-04-18,12.91
2007-04-19,12.95
2007-04-20,12.77
2007-04-23,12.86
2007-04-24,13.15
2007-04-25,11.74
2007-04-26,11.89
2007-04-27,11.42
2007-04-30,10.74
2007-05-01,10.59
2007-05-02,10.9
2007-05-03,10.63
2007-05-04,10.61
2007-05-07,10.76
2007-05-08,10.77
2007-05-09,11.67
2007-05-10,11.53
2007-05-11,11.91
2007-05-14,11.79
2007-05-15,12.36
2007-05-16,12.2
2007-05-17,12.06
2007-05-18,12.39
2007-05-21,12.48
2007-05-22,12.61
2007-05-23,12.57
2007-05-24,12.15
2007-05-25,12.37
2007-05-29,12.37
2007-05-30,12.54
2007-05-31,12.59
2007-06-01,12.61
2007-06-04,12.6
2007-06-05,12.51
2007-06-06,12.51
2007-06-07,12.42
2007-06-08,12.76
2007-06-11,12.68
2007-06-12,12.36
2007-06-13,12.56
2007-06-14,12.65
2007-06-15,12.51
2007-06-18,12.68
2007-06-19,13.5
2007-06-20,13.43
2007-06-21,13.72
2007-06-22,13.6
2007-06-25,13.37
2007-06-26,13.38
2007-06-27,13.89
2007-06-28,13.92
2007-06-29,13.79
2007-07-02,14.39
2007-07-03,14.26
2007-07-05,14.09
2007-07-06,14.16
2007-07-09,13.98
2007-07-10,13.8
2007-07-11,13.64
2007-07-12,13.45
2007-07-13,13.2
2007-07-16,12.9
2007-07-17,13.31
2007-07-18,13.13
2007-07-19,13.95
2007-07-20,13.74
2007-07-23,13.63
2007-07-24,13.19
2007-07-25,15.48
2007-07-26,15.2
2007-07-27,14.64
2007-07-30,15.27
