"Index","ANCX.Close"
2007-01-03,9.62
2007-01-04,9.69
2007-01-05,9.53
2007-01-08,9.57
2007-01-09,9.54
2007-01-10,9.65
2007-01-11,9.57
2007-01-12,9.58
2007-01-16,9.5
2007-01-17,9.55
2007-01-18,9.45
2007-01-19,9.46
2007-01-22,9.5
2007-01-23,9.28
2007-01-24,9.5
2007-01-25,9.61
2007-01-26,9.61
2007-01-29,9.69
2007-01-30,9.58
2007-01-31,9.57
2007-02-01,9.62
2007-02-02,9.57
2007-02-05,9.68
2007-02-06,9.6
2007-02-07,9.57
2007-02-08,9.55
2007-02-09,9.59
2007-02-12,9.49
2007-02-13,9.6
2007-02-14,9.51
2007-02-15,9.54
2007-02-16,9.63
2007-02-20,9.55
2007-02-21,9.6
2007-02-22,9.62
2007-02-23,9.68
2007-02-26,9.65
2007-02-27,9.52
2007-02-28,9.6
2007-03-01,9.55
2007-03-02,9.5
2007-03-05,9.48
2007-03-06,9.55
2007-03-07,9.45
2007-03-08,9.5
2007-03-09,9.63
2007-03-12,9.58
2007-03-13,9.6
2007-03-14,9.59
2007-03-15,9.58
2007-03-16,9.49
2007-03-19,9.63
2007-03-20,9.64
2007-03-21,9.61
2007-03-22,9.6
2007-03-23,9.38
2007-03-26,9.49
2007-03-27,9.54
2007-03-28,9.5
2007-03-29,9.46
2007-03-30,9.51
2007-04-02,9.51
2007-04-03,9.53
2007-04-04,9.47
2007-04-05,9.5
2007-04-09,9.55
2007-04-10,9.53
2007-04-11,9.51
2007-04-12,9.5
2007-04-13,9.49
2007-04-16,9.48
2007-04-17,9.37
2007-04-18,9.55
2007-04-19,9.4
2007-04-20,9.53
2007-04-23,9.33
2007-04-24,9.26
2007-04-25,9.1
2007-04-26,9.02
2007-04-27,9.03
2007-04-30,8.9
2007-05-01,8.95
2007-05-02,9.1
2007-05-03,9.14
2007-05-04,9.07
2007-05-07,9.13
2007-05-08,9.1
2007-05-09,9.19
2007-05-10,9.19
2007-05-11,9.13
2007-05-14,9.17
2007-05-15,9.15
2007-05-16,9.03
2007-05-17,9.12
2007-05-18,9.1
2007-05-21,9.19
2007-05-22,9.11
2007-05-23,9.14
2007-05-24,9.01
2007-05-25,9.03
2007-05-29,9.15
2007-05-30,9.14
2007-05-31,9.09
2007-06-01,9.07
2007-06-04,9.01
2007-06-05,9.01
2007-06-06,9
2007-06-07,8.9
2007-06-08,8.92
2007-06-11,9.02
2007-06-12,8.98
2007-06-13,8.99
2007-06-14,8.97
2007-06-15,8.95
2007-06-18,8.92
2007-06-19,8.91
2007-06-20,8.86
2007-06-21,8.85
2007-06-22,8.89
2007-06-25,8.85
2007-06-26,8.84
2007-06-27,8.73
2007-06-28,8.67
2007-06-29,8.85
2007-07-02,8.78
2007-07-03,8.57
2007-07-05,8.7
2007-07-06,8.86
2007-07-09,8.76
2007-07-10,8.69
2007-07-11,8.24
2007-07-12,8.34
2007-07-13,8.34
2007-07-16,8.3
2007-07-17,7.98
2007-07-18,7.97
2007-07-19,7.89
2007-07-20,7.9
2007-07-23,7.98
2007-07-24,7.97
2007-07-25,7.76
2007-07-26,7.65
2007-07-27,7.55
2007-07-30,7.5
2007-07-31,7.01
2007-08-01,7.3
2007-08-02,7.34
2007-08-03,7.42
2007-08-06,7.37
2007-08-07,7.13
2007-08-08,7.49
2007-08-09,7.49
2007-08-10,7.57
2007-08-13,7.55
2007-08-14,7.5
2007-08-15,7.27
2007-08-16,7.19
2007-08-17,7.55
2007-08-20,7.53
2007-08-21,7.68
2007-08-22,7.66
2007-08-23,7.65
2007-08-24,8.02
2007-08-27,7.97
2007-08-28,8.09
2007-08-29,8.17
2007-08-30,8.48
2007-08-31,8.43
2007-09-04,8.44
2007-09-05,8.53
2007-09-06,8.66
2007-09-07,8.54
2007-09-10,8.46
2007-09-11,8.19
2007-09-12,7.79
2007-09-13,8.25
2007-09-14,8.43
2007-09-17,8.02
2007-09-18,7.86
2007-09-19,8.1
2007-09-20,8.09
2007-09-21,7.97
2007-09-24,8.01
2007-09-25,8.45
2007-09-26,7.96
2007-09-27,7.98
2007-09-28,7.93
2007-10-01,7.83
2007-10-02,7.67
2007-10-03,7.7
2007-10-04,7.64
2007-10-05,7.66
2007-10-08,7.69
2007-10-09,7.73
2007-10-10,7.75
2007-10-11,7.7
2007-10-12,7.72
2007-10-15,7.69
2007-10-16,7.58
2007-10-17,7.35
2007-10-18,7.51
2007-10-19,7.27
2007-10-22,6.95
2007-10-23,7
2007-10-24,6.57
2007-10-25,5.98
2007-10-26,6.31
2007-10-29,6.19
2007-10-30,6.05
2007-10-31,6.02
2007-11-01,6.08
2007-11-02,6.04
2007-11-05,6
2007-11-06,5.97
2007-11-07,5.95
2007-11-08,5.87
2007-11-09,5.75
2007-11-12,5.83
2007-11-13,5.88
2007-11-14,5.83
2007-11-15,5.83
2007-11-16,5.82
2007-11-19,5.8
2007-11-20,5.68
2007-11-21,5.68
2007-11-23,5.77
2007-11-26,5.76
2007-11-27,5.66
