"Index","ANEN.Close"
2007-01-03,17.2
2007-01-04,17.39
2007-01-05,17.33
2007-01-08,17.35
2007-01-09,17.15
2007-01-10,17.12
2007-01-11,16.89
2007-01-12,16.56
2007-01-16,16.5
2007-01-17,16.68
2007-01-18,16.48
2007-01-19,16.12
2007-01-22,15.77
2007-01-23,16.2
2007-01-24,16.56
2007-01-25,16.27
2007-01-26,16.61
2007-01-29,16.55
2007-01-30,16.44
2007-01-31,16.5
2007-02-01,16.89
2007-02-02,15.98
2007-02-05,16.29
2007-02-06,16.15
2007-02-07,18.07
2007-02-08,17.69
2007-02-09,17.38
2007-02-12,17.47
2007-02-13,17.47
2007-02-14,17.46
2007-02-15,17.46
2007-02-16,17.18
2007-02-20,17.66
2007-02-21,17.61
2007-02-22,17.78
2007-02-23,17.65
2007-02-26,17.3
2007-02-27,16.42
2007-02-28,16.67
2007-03-01,16.71
2007-03-02,15.92
2007-03-05,15.46
2007-03-06,16.28
2007-03-07,16
2007-03-08,15.93
2007-03-09,16.53
2007-03-12,16.68
2007-03-13,16.3
2007-03-14,16.62
2007-03-15,16.8
2007-03-16,17.07
2007-03-19,17.36
2007-03-20,17.63
2007-03-21,17.99
2007-03-22,17.82
2007-03-23,17.91
2007-03-26,18.07
2007-03-27,18.03
2007-03-28,17.77
2007-03-29,17.85
2007-03-30,17.61
2007-04-02,17.84
2007-04-03,17.9
2007-04-04,17.51
2007-04-05,17.46
2007-04-09,17.58
2007-04-10,18.17
2007-04-11,17.84
2007-04-12,17.84
2007-04-13,18.1
2007-04-16,18.5
2007-04-17,18.41
2007-04-18,18.18
2007-04-19,18.01
2007-04-20,18.46
2007-04-23,18.37
2007-04-24,18.26
2007-04-25,18.19
2007-04-26,18.28
2007-04-27,19.5
2007-04-30,18.92
2007-05-01,18.85
2007-05-02,19.15
2007-05-03,18.71
2007-05-04,18.56
2007-05-07,18.29
2007-05-08,17.91
2007-05-09,17.87
2007-05-10,17.25
2007-05-11,17.26
2007-05-14,17.26
2007-05-15,16.8
2007-05-16,16.81
2007-05-17,16.46
2007-05-18,17.17
2007-05-21,17.38
2007-05-22,17.36
2007-05-23,17.56
2007-05-24,17.09
2007-05-25,17.24
2007-05-29,17.11
2007-05-30,17.24
2007-05-31,17.46
2007-06-01,17.51
2007-06-04,17.3
2007-06-05,17.17
2007-06-06,17.63
2007-06-07,17.54
2007-06-08,17.35
2007-06-11,17.27
2007-06-12,17.37
2007-06-13,17.29
2007-06-14,16.89
2007-06-15,16.6
2007-06-18,16.76
2007-06-19,16.76
2007-06-20,16.91
2007-06-21,16.8
2007-06-22,16.83
2007-06-25,17.27
2007-06-26,17.52
2007-06-27,18.14
2007-06-28,18.07
2007-06-29,17.61
2007-07-02,18.61
2007-07-03,17.71
2007-07-05,19.19
2007-07-06,18.75
2007-07-09,18.47
2007-07-10,18.31
2007-07-11,18.26
2007-07-12,18.85
2007-07-13,18.75
2007-07-16,18.3
2007-07-17,18.53
2007-07-18,18.5
2007-07-19,18.84
2007-07-20,18.5
2007-07-23,18.38
2007-07-24,18.03
2007-07-25,18.18
2007-07-26,17.44
2007-07-27,17.17
2007-07-30,17.63
2007-07-31,17.24
2007-08-01,17.24
2007-08-02,17.07
2007-08-03,16.42
2007-08-06,16.27
2007-08-07,16.27
2007-08-08,16.18
2007-08-09,16.46
2007-08-10,16.54
2007-08-13,17.22
2007-08-14,16.76
2007-08-15,16.4
2007-08-16,17.77
2007-08-17,17.95
2007-08-20,17.5
2007-08-21,17.38
2007-08-22,17.47
2007-08-23,17.17
2007-08-24,17.42
2007-08-27,17.46
2007-08-28,17.17
2007-08-29,14.02
2007-08-30,13.92
2007-08-31,14.09
2007-09-04,14.15
2007-09-05,13.81
2007-09-06,13.85
2007-09-07,13.75
2007-09-10,13.76
2007-09-11,13.8
2007-09-12,13.98
2007-09-13,13.76
2007-09-14,13.68
2007-09-17,13.64
2007-09-18,14.05
2007-09-19,14.82
2007-09-20,14.51
2007-09-21,14.5
2007-09-24,13.98
2007-09-25,14.03
2007-09-26,14.5
2007-09-27,14.24
2007-09-28,14.1
2007-10-01,14.45
2007-10-02,14.59
2007-10-03,14.12
2007-10-04,14.13
2007-10-05,15.02
2007-10-08,15.29
2007-10-09,15.78
2007-10-10,15.8
2007-10-11,15.44
2007-10-12,15.6
2007-10-15,15.59
2007-10-16,15.66
2007-10-17,15.55
2007-10-18,15.59
2007-10-19,15.21
2007-10-22,15.32
2007-10-23,15.47
2007-10-24,15.09
2007-10-25,14.97
2007-10-26,14.97
2007-10-29,14.94
2007-10-30,14.65
2007-10-31,15.67
2007-11-01,14.55
2007-11-02,15.5
2007-11-05,16.1
2007-11-06,16.15
2007-11-07,15.79
2007-11-08,16.06
2007-11-09,16.02
2007-11-12,16.15
2007-11-13,16.15
2007-11-14,16.2
2007-11-15,16.08
2007-11-16,16.48
2007-11-19,15.92
2007-11-20,16.1
2007-11-21,15.73
2007-11-23,16.11
2007-11-26,15.38
2007-11-27,15.74
2007-11-28,15.47
2007-11-29,16.04
2007-11-30,15.4
2007-12-03,15.63
2007-12-04,15.08
2007-12-05,15.83
2007-12-06,15.96
2007-12-07,15.83
2007-12-10,15.68
2007-12-11,15.99
2007-12-12,16.01
2007-12-13,16.31
2007-12-14,16.12
2007-12-17,16.13
2007-12-18,16.49
2007-12-19,16.48
2007-12-20,16.35
2007-12-21,17.1
2007-12-24,16.98
2007-12-26,17.23
2007-12-27,16.49
2007-12-28,16.63
2007-12-31,16.49
2008-01-02,16.25
2008-01-03,16.1
2008-01-04,15.19
2008-01-07,15.37
2008-01-08,14.54
2008-01-09,14.68
2008-01-10,15.04
2008-01-11,14.04
2008-01-14,14.97
2008-01-15,14.48
2008-01-16,14.81
2008-01-17,14.22
2008-01-18,14.25
2008-01-22,14.3
2008-01-23,14.6
2008-01-24,14.64
2008-01-25,14.24
