"Index","ANGN.Open","ANGN.High","ANGN.Low","ANGN.Close","ANGN.Volume"
2007-01-03,12.75,13.12,12.5,12.77,128357
2007-01-04,12.84,13.44,12.68,13.27,148912
2007-01-05,13.36,13.68,12.36,12.64,151739
2007-01-08,13.57,14.49,13.28,13.68,334648
2007-01-09,15.13,15.25,13.39,14,445005
2007-01-10,14.1,14.68,13.4,14.53,119574
2007-01-11,14.86,14.97,14.63,14.81,85376
2007-01-12,14.81,14.81,14.24,14.34,101099
2007-01-16,14.65,15.68,14.49,15.6,151717
2007-01-17,15.65,16.35,15.4,16.13,133811
2007-01-18,16.3,16.3,15.04,15.56,125639
2007-01-19,15.32,16.1,15.26,16.03,71781
2007-01-22,16.21,16.77,15.86,16.64,109040
2007-01-23,16.9,17.83,16.76,17.33,187340
2007-01-24,17.65,18.28,17.45,18.21,227876
2007-01-25,18.47,18.5,17.08,17.2,142210
2007-01-26,17.12,17.7,16.7,17.61,81250
2007-01-29,17.3,17.79,15.94,16.03,159251
2007-01-30,16.5,17,14.01,15.3,441884
2007-01-31,15.31,15.81,15.14,15.63,113333
2007-02-01,15.72,16.5,15.39,16.05,148828
2007-02-02,16.04,16.33,15.55,15.86,47678
2007-02-05,16.38,16.5,15.95,16.29,81910
2007-02-06,16.41,16.85,16.06,16.75,60306
2007-02-07,15.92,17.58,15.92,16.45,95079
2007-02-08,16.33,17.26,16.33,16.66,52530
2007-02-09,16.78,17.16,16.29,16.5,43150
2007-02-12,16.8,17.08,16.55,16.76,36981
2007-02-13,16.71,17.35,16.51,16.59,92387
2007-02-14,16.67,16.81,15.92,16.26,93287
2007-02-15,16.2,16.23,15.25,15.3,126313
2007-02-16,15.29,16.14,15.15,16.07,64815
2007-02-20,16.17,16.79,16.17,16.61,41013
2007-02-21,16.5,17.87,16.5,17.32,106937
2007-02-22,17.39,17.72,16.61,16.89,47293
2007-02-23,16.81,16.85,16.16,16.45,70198
2007-02-26,16.19,16.76,15.61,16.19,77265
2007-02-27,15.82,15.88,15.12,15.15,79148
2007-02-28,15.12,16.38,13.75,16.29,113456
2007-03-01,15.76,16.2,15.53,15.91,50043
2007-03-02,15.68,15.97,15.46,15.5,32293
2007-03-05,15.09,15.29,12.9,13.08,172814
2007-03-06,13.39,14.09,13.34,13.56,146216
2007-03-07,13.54,14.22,13.54,14.2,68867
2007-03-08,14.52,15.14,14.39,14.83,78156
2007-03-09,15.19,15.19,14.32,14.44,52121
2007-03-12,14.26,14.33,13.92,14.3,38717
2007-03-13,14.55,15.38,13.75,14.73,121537
2007-03-14,14.58,14.72,14,14.38,71085
2007-03-15,14.48,14.48,13.65,13.9,74507
2007-03-16,13.9,14.13,13.7,13.82,27642
2007-03-19,14.7,14.7,13.9,14,87322
2007-03-20,14.13,14.13,13.34,13.73,66557
2007-03-21,13.83,14.13,13.43,13.92,82132
2007-03-22,14,14,13.7,13.83,44751
2007-03-23,13.83,14.08,13.8,13.95,49818
2007-03-26,14.05,14.95,13.9,14.95,181170
2007-03-27,15,15.01,14.43,14.8,62714
2007-03-28,14.62,14.62,14.25,14.4,44352
2007-03-29,14.88,15.15,14.67,14.79,43151
2007-03-30,15.1,15.1,14.62,14.66,22756
2007-04-02,14.81,14.85,14.17,14.25,68123
2007-04-03,14.68,14.68,13.87,13.99,97557
2007-04-04,13.93,14.15,13.55,13.89,125405
2007-04-05,14.15,14.35,13.84,14.27,75282
2007-04-09,14.4,14.5,13.75,13.76,127484
2007-04-10,13.71,13.76,13.26,13.31,121847
2007-04-11,13.21,13.57,13.07,13.3,96535
2007-04-12,13.3,13.63,13.18,13.57,51561
2007-04-13,13.3,14.32,13.26,14.26,80026
2007-04-16,14.32,14.32,13.42,13.55,86316
2007-04-17,13.78,13.78,13.31,13.55,54227
2007-04-18,13.4,13.85,13.4,13.76,31340
2007-04-19,13.49,13.97,13.32,13.8,39704
2007-04-20,13.9,13.94,13.26,13.85,27352
2007-04-23,13.75,13.79,12.99,13.45,63705
2007-04-24,13.39,13.69,13.25,13.52,36424
2007-04-25,13.54,13.85,13.25,13.41,52131
2007-04-26,13.36,13.55,12.92,12.92,96194
