"Index","ANGO.Close"
2007-01-03,21.97
2007-01-04,25.39
2007-01-05,25.98
2007-01-08,25.05
2007-01-09,24.18
2007-01-10,24.37
2007-01-11,24.84
2007-01-12,24.64
2007-01-16,24.57
2007-01-17,24
2007-01-18,23.73
2007-01-19,23.62
2007-01-22,23.96
2007-01-23,24.6
2007-01-24,24.7
2007-01-25,25.45
2007-01-26,25.17
2007-01-29,25.73
2007-01-30,26.12
2007-01-31,26.29
2007-02-01,26.7
2007-02-02,26.53
2007-02-05,26.03
2007-02-06,26.08
2007-02-07,26
2007-02-08,26.02
2007-02-09,25.91
2007-02-12,25.75
2007-02-13,25.24
2007-02-14,24.95
2007-02-15,24.86
2007-02-16,25.02
2007-02-20,24.94
2007-02-21,24.51
2007-02-22,24.23
2007-02-23,23.95
2007-02-26,23.69
2007-02-27,23.56
2007-02-28,24
2007-03-01,24.01
2007-03-02,23.3
2007-03-05,22.4
2007-03-06,22.96
2007-03-07,23.2
2007-03-08,23.69
2007-03-09,23.49
2007-03-12,23.59
2007-03-13,22.49
2007-03-14,22.34
2007-03-15,21.58
2007-03-16,21.29
2007-03-19,21.75
2007-03-20,20.79
2007-03-21,21.54
2007-03-22,21.99
2007-03-23,22.01
2007-03-26,21.76
2007-03-27,22.6
2007-03-28,17.92
2007-03-29,16.85
2007-03-30,16.89
2007-04-02,17.01
2007-04-03,17.39
2007-04-04,17
2007-04-05,17
2007-04-09,16.58
2007-04-10,16.67
2007-04-11,16.61
2007-04-12,16.76
2007-04-13,16.78
2007-04-16,16.78
2007-04-17,16.49
2007-04-18,16.1
2007-04-19,16.01
2007-04-20,16.2
2007-04-23,17.75
2007-04-24,17.32
2007-04-25,17.13
2007-04-26,17.51
2007-04-27,17.15
2007-04-30,16.64
2007-05-01,16.53
2007-05-02,17
2007-05-03,16.88
2007-05-04,16.84
2007-05-07,16.95
2007-05-08,16.93
2007-05-09,16.67
2007-05-10,16.3
2007-05-11,16.53
2007-05-14,15.93
2007-05-15,16.21
2007-05-16,16.31
2007-05-17,16.25
2007-05-18,16.52
2007-05-21,16.48
2007-05-22,16.56
2007-05-23,16.23
2007-05-24,16
2007-05-25,16.15
2007-05-29,15.97
2007-05-30,15.72
2007-05-31,15.85
2007-06-01,16.28
2007-06-04,15.89
2007-06-05,15.98
2007-06-06,16.73
2007-06-07,16.9
2007-06-08,16.89
2007-06-11,16.98
2007-06-12,16.41
2007-06-13,16.49
2007-06-14,16.5
2007-06-15,17.37
2007-06-18,17.79
2007-06-19,17.66
2007-06-20,17.19
2007-06-21,17.04
2007-06-22,17.5
2007-06-25,17.94
2007-06-26,18.01
2007-06-27,18.33
2007-06-28,18.54
2007-06-29,18.01
2007-07-02,18.02
2007-07-03,18.68
2007-07-05,18.58
2007-07-06,18.45
2007-07-09,18.48
2007-07-10,18.09
2007-07-11,18.02
2007-07-12,18.17
2007-07-13,18.1
2007-07-16,17.99
2007-07-17,18.04
2007-07-18,17.77
2007-07-19,17.69
2007-07-20,17.48
2007-07-23,17.54
2007-07-24,16.76
2007-07-25,18.3
2007-07-26,18.13
2007-07-27,17.76
2007-07-30,18.99
2007-07-31,18.77
2007-08-01,18.9
2007-08-02,19.25
2007-08-03,18.73
2007-08-06,18.96
2007-08-07,19.31
2007-08-08,19.7
2007-08-09,20.68
2007-08-10,19.51
2007-08-13,18.43
2007-08-14,18.3
2007-08-15,18.33
2007-08-16,18.2
2007-08-17,19.53
2007-08-20,19.41
2007-08-21,19.39
2007-08-22,19.4
2007-08-23,18.98
2007-08-24,18.9
2007-08-27,19.27
2007-08-28,19.03
2007-08-29,19.39
2007-08-30,19.56
2007-08-31,19.46
2007-09-04,19.46
2007-09-05,19.56
