"Index","ANIK.Close"
2007-01-03,13.17
2007-01-04,13.33
2007-01-05,13.29
2007-01-08,13.18
2007-01-09,13.09
2007-01-10,12.89
2007-01-11,12.55
2007-01-12,12.63
2007-01-16,13.06
2007-01-17,13.18
2007-01-18,12.85
2007-01-19,13.14
2007-01-22,13.17
2007-01-23,13.09
2007-01-24,13.02
2007-01-25,12.83
2007-01-26,12.83
2007-01-29,13.06
2007-01-30,13.28
2007-01-31,13.56
2007-02-01,13.36
2007-02-02,13.35
2007-02-05,13.28
2007-02-06,13.19
2007-02-07,13.21
2007-02-08,13.09
2007-02-09,12.86
2007-02-12,13.98
2007-02-13,13.99
2007-02-14,14.14
2007-02-15,13.78
2007-02-16,13.91
2007-02-20,14.15
2007-02-21,14.24
2007-02-22,13.8
2007-02-23,14.14
2007-02-26,14.09
2007-02-27,13.36
2007-02-28,13.48
2007-03-01,12.98
2007-03-02,12.66
2007-03-05,12.41
2007-03-06,12.64
2007-03-07,12.47
2007-03-08,12.31
2007-03-09,12.54
2007-03-12,13.01
2007-03-13,12.57
2007-03-14,12.48
2007-03-15,12.54
2007-03-16,12.7
2007-03-19,12.68
2007-03-20,12.55
2007-03-21,12.73
2007-03-22,12.82
2007-03-23,12.7
2007-03-26,12.6
2007-03-27,12.68
2007-03-28,12.5
2007-03-29,12.43
2007-03-30,12.37
2007-04-02,12.53
2007-04-03,13.13
2007-04-04,13.46
2007-04-05,13.51
2007-04-09,13.38
2007-04-10,13.08
2007-04-11,13.12
2007-04-12,13.12
2007-04-13,13.9
2007-04-16,14
2007-04-17,14.1
2007-04-18,13.86
2007-04-19,13.59
2007-04-20,13.66
2007-04-23,13.45
2007-04-24,13.38
2007-04-25,13.17
2007-04-26,13.11
2007-04-27,13.83
2007-04-30,12.94
2007-05-01,13.21
2007-05-02,13.5
2007-05-03,13.55
2007-05-04,13.41
2007-05-07,13.24
2007-05-08,13.23
2007-05-09,13.13
2007-05-10,12.99
2007-05-11,12.75
2007-05-14,12.32
2007-05-15,12.41
2007-05-16,12.84
2007-05-17,13.59
2007-05-18,13.67
2007-05-21,13.35
2007-05-22,13.47
2007-05-23,13.36
2007-05-24,13.26
2007-05-25,13.17
2007-05-29,13.36
2007-05-30,13.5
2007-05-31,13.6
2007-06-01,13.97
2007-06-04,14.3
2007-06-05,15.6
2007-06-06,15.35
2007-06-07,14.65
2007-06-08,15.23
2007-06-11,15.44
2007-06-12,15.69
2007-06-13,15.41
2007-06-14,15.35
2007-06-15,15.85
2007-06-18,15.16
2007-06-19,15.6
2007-06-20,15.09
2007-06-21,14.9
2007-06-22,15.03
2007-06-25,14.91
2007-06-26,14.94
2007-06-27,15.15
2007-06-28,15
2007-06-29,15.19
2007-07-02,15.15
2007-07-03,15.08
2007-07-05,15.51
2007-07-06,15.56
2007-07-09,15.63
2007-07-10,15.45
2007-07-11,15.4
2007-07-12,15.36
2007-07-13,15.08
2007-07-16,15.13
2007-07-17,15.12
2007-07-18,16.4
2007-07-19,16.25
2007-07-20,17.11
2007-07-23,17.28
2007-07-24,16.55
2007-07-25,18.6
2007-07-26,18.77
2007-07-27,20.38
2007-07-30,19.96
2007-07-31,19.97
2007-08-01,19.64
2007-08-02,19.92
2007-08-03,19.43
2007-08-06,18.28
2007-08-07,18.32
2007-08-08,17.59
2007-08-09,16.48
2007-08-10,15.79
2007-08-13,17.54
2007-08-14,16.78
2007-08-15,16.56
2007-08-16,16.56
2007-08-17,16.89
2007-08-20,16.98
2007-08-21,17.11
2007-08-22,17.97
2007-08-23,18.15
2007-08-24,18.1
2007-08-27,17.75
2007-08-28,18.23
2007-08-29,18.43
2007-08-30,18.25
2007-08-31,18.23
2007-09-04,18.18
2007-09-05,18
2007-09-06,17.94
2007-09-07,17.91
2007-09-10,18.12
2007-09-11,18.5
2007-09-12,18.38
2007-09-13,18.46
2007-09-14,18.99
2007-09-17,18.54
2007-09-18,20.25
2007-09-19,19.9
2007-09-20,21.1
2007-09-21,21.8
2007-09-24,21.01
2007-09-25,21.05
2007-09-26,20.8
2007-09-27,20.97
2007-09-28,20.81
2007-10-01,21.21
2007-10-02,21
2007-10-03,20.89
2007-10-04,20.69
2007-10-05,20.67
2007-10-08,20.36
2007-10-09,20.84
2007-10-10,20.48
2007-10-11,20.25
2007-10-12,20.23
2007-10-15,20.27
2007-10-16,20.25
2007-10-17,20.27
2007-10-18,19.98
2007-10-19,19.5
2007-10-22,19.04
2007-10-23,18.28
2007-10-24,18.17
2007-10-25,18.19
2007-10-26,17.79
2007-10-29,18.02
2007-10-30,18.81
2007-10-31,18.8
2007-11-01,18.93
2007-11-02,18.23
2007-11-05,17.89
2007-11-06,14.86
2007-11-07,14.16
2007-11-08,14
2007-11-09,13.91
2007-11-12,13.94
2007-11-13,14.08
2007-11-14,13.82
2007-11-15,13.27
2007-11-16,13.13
2007-11-19,13.79
2007-11-20,13.44
2007-11-21,13.52
2007-11-23,13.5
2007-11-26,13.6
2007-11-27,13.3
2007-11-28,13.63
2007-11-29,13.75
2007-11-30,14.07
2007-12-03,15
2007-12-04,14.78
2007-12-05,15.07
2007-12-06,15.81
2007-12-07,17.07
2007-12-10,16.06
2007-12-11,16.72
2007-12-12,15.78
2007-12-13,16.43
2007-12-14,15.56
2007-12-17,15.92
2007-12-18,15.06
2007-12-19,16.38
2007-12-20,16.24
2007-12-21,16.02
2007-12-24,15.81
2007-12-26,15.83
2007-12-27,15.54
2007-12-28,15.51
2007-12-31,14.55
2008-01-02,15.18
2008-01-03,14.53
2008-01-04,14.19
2008-01-07,14.01
2008-01-08,13.9
2008-01-09,13.17
2008-01-10,13.5
2008-01-11,13.13
2008-01-14,12.98
2008-01-15,12.87
2008-01-16,12.39
2008-01-17,11.47
2008-01-18,11.02
2008-01-22,11.26
2008-01-23,11.32
2008-01-24,10.98
2008-01-25,10.88
2008-01-28,10.64
2008-01-29,11.18
2008-01-30,11.06
2008-01-31,10.99
2008-02-01,10.51
2008-02-04,11.13
2008-02-05,11.02
2008-02-06,11.43
2008-02-07,11.47
2008-02-08,11.39
2008-02-11,11.15
2008-02-12,11.58
2008-02-13,11.88
2008-02-14,12.63
2008-02-15,12.16
2008-02-19,12.65
2008-02-20,12.52
2008-02-21,12.42
2008-02-22,11.97
2008-02-25,12.22
2008-02-26,12.42
2008-02-27,12.28
2008-02-28,12.19
2008-02-29,12.03
2008-03-03,11.71
2008-03-04,11.51
2008-03-05,11.84
2008-03-06,10.83
2008-03-07,9.67
2008-03-10,9.18
2008-03-11,9.73
2008-03-12,9.35
2008-03-13,9.2
2008-03-14,8.61
2008-03-17,8.39
2008-03-18,8.36
2008-03-19,8.23
2008-03-20,8.1
2008-03-24,8.11
2008-03-25,8.46
2008-03-26,8.28
2008-03-27,8.39
2008-03-28,8.48
2008-03-31,8.48
2008-04-01,9.08
2008-04-02,9.79
2008-04-03,9.55
2008-04-04,9.7
2008-04-07,9.72
2008-04-08,9.54
2008-04-09,9.54
2008-04-10,9.58
2008-04-11,9.29
2008-04-14,9.22
2008-04-15,9.21
2008-04-16,8.81
2008-04-17,9.15
2008-04-18,9.14
2008-04-21,8.8
2008-04-22,8.71
2008-04-23,8.42
2008-04-24,8.65
2008-04-25,8.84
2008-04-28,8.52
2008-04-29,8.8
2008-04-30,8.59
2008-05-01,9.75
2008-05-02,9.28
2008-05-05,9.95
2008-05-06,10.1
2008-05-07,10.46
2008-05-08,10.04
2008-05-09,10.06
2008-05-12,9.85
2008-05-13,10.01
2008-05-14,9.99
2008-05-15,9.98
2008-05-16,9.88
2008-05-19,9.78
2008-05-20,9.55
2008-05-21,9.18
2008-05-22,8.69
2008-05-23,8.64
2008-05-27,8.99
2008-05-28,8.96
2008-05-29,8.77
2008-05-30,8.7
2008-06-02,8.73
2008-06-03,8.86
2008-06-04,8.93
2008-06-05,9.7
2008-06-06,9.5
2008-06-09,9.89
2008-06-10,9.17
2008-06-11,9.06
2008-06-12,9.17
2008-06-13,9.35
2008-06-16,9.32
2008-06-17,9.34
2008-06-18,8.96
2008-06-19,9.2
2008-06-20,9.29
2008-06-23,9.03
2008-06-24,9.04
2008-06-25,8.98
2008-06-26,8.95
2008-06-27,8.9
2008-06-30,8.59
2008-07-01,8.32
2008-07-02,8.12
2008-07-03,7.95
2008-07-07,8.02
2008-07-08,8.36
2008-07-09,8.35
2008-07-10,8.94
2008-07-11,9.3
2008-07-14,9.02
2008-07-15,8.74
2008-07-16,9.21
2008-07-17,9.09
2008-07-18,9.16
2008-07-21,9.35
2008-07-22,8.96
2008-07-23,9.37
2008-07-24,9
2008-07-25,8.84
2008-07-28,8.21
2008-07-29,8.35
2008-07-30,8.3
2008-07-31,8.14
2008-08-01,8.45
2008-08-04,8.13
2008-08-05,8.41
2008-08-06,8.48
2008-08-07,8.15
2008-08-08,8.13
2008-08-11,8.41
2008-08-12,8.5
2008-08-13,8.51
2008-08-14,8.51
2008-08-15,8.54
2008-08-18,8.5
2008-08-19,8.5
2008-08-20,8.42
2008-08-21,8.41
2008-08-22,8.45
2008-08-25,8.45
2008-08-26,8.55
2008-08-27,8.48
2008-08-28,8.57
2008-08-29,8.53
2008-09-02,8.69
2008-09-03,8.74
2008-09-04,8.6
2008-09-05,8.59
2008-09-08,8.69
2008-09-09,8.65
2008-09-10,8.49
2008-09-11,8.22
2008-09-12,8.3
2008-09-15,8.27
2008-09-16,7.93
2008-09-17,7.36
2008-09-18,7.1
2008-09-19,7.36
2008-09-22,8.64
2008-09-23,8.71
2008-09-24,8.63
2008-09-25,8.16
2008-09-26,7.56
2008-09-29,7.3
2008-09-30,7.22
2008-10-01,6.99
2008-10-02,7.45
2008-10-03,7.67
2008-10-06,6.29
2008-10-07,6.5
2008-10-08,6
2008-10-09,5.13
2008-10-10,5.25
2008-10-13,5.61
2008-10-14,5.62
