"Index","ANLY.Close"
2007-01-03,9.55
2007-01-04,9.6
2007-01-05,9.4
2007-01-08,9.25
2007-01-09,8.9
2007-01-10,9.25
2007-01-11,9.05
2007-01-12,9.15
2007-01-16,9.4
2007-01-17,9
2007-01-18,9.09
2007-01-19,8.85
2007-01-22,8.95
2007-01-23,8.85
2007-01-24,9.25
2007-01-25,9.05
2007-01-26,8.95
2007-01-29,9.15
2007-01-30,9.05
2007-01-31,9.3
2007-02-01,9.45
2007-02-02,9.7
2007-02-05,9.3
2007-02-06,9.8
2007-02-07,9.4
2007-02-08,9.65
2007-02-09,9.3
2007-02-12,9.3
2007-02-13,9.5
2007-02-14,9.55
2007-02-15,9.7
2007-02-16,9.4
2007-02-20,9.15
2007-02-21,9.2
2007-02-22,8.85
2007-02-23,9.05
2007-02-26,8.75
2007-02-27,8.8
2007-02-28,8.7
2007-03-01,8.9
2007-03-02,8.6
2007-03-05,8.55
2007-03-06,8.8
2007-03-07,9
2007-03-08,8.9
2007-03-09,8.9
2007-03-12,8.9
2007-03-13,9
2007-03-14,9
2007-03-15,9
2007-03-16,9.1
2007-03-19,9.15
2007-03-20,9.15
2007-03-21,9
2007-03-22,9.1
2007-03-23,9.05
2007-03-26,9.05
2007-03-27,9.1
2007-03-28,9.05
2007-03-29,9.1
2007-03-30,9.75
2007-04-02,9.55
2007-04-03,9.5
2007-04-04,9.2
2007-04-05,9.4
2007-04-09,9.25
2007-04-10,9.45
2007-04-11,9.3
2007-04-12,9.25
2007-04-13,9.35
2007-04-16,9.5
2007-04-17,9.45
2007-04-18,9.25
2007-04-19,9.35
2007-04-20,9.2
2007-04-23,9.25
2007-04-24,9.25
2007-04-25,9.1
2007-04-26,9.15
2007-04-27,9.25
2007-04-30,9.25
2007-05-01,9.1
2007-05-02,9.25
2007-05-03,9.25
2007-05-04,9.1
2007-05-07,9.1
2007-05-08,9.2
2007-05-09,9.1
2007-05-10,9.05
2007-05-11,9.15
2007-05-14,9.05
2007-05-15,9
2007-05-16,9.05
2007-05-17,9.05
2007-05-18,9
2007-05-21,9.2
2007-05-22,9.27
2007-05-23,9.05
2007-05-24,9.1
2007-05-25,9.5
2007-05-29,9.35
2007-05-30,9.4
