"Index","APFC.Close"
2007-01-03,8.15
2007-01-04,8.1
2007-01-05,8.39
2007-01-08,8.32
2007-01-09,8.04
2007-01-10,8.11
2007-01-11,8.15
2007-01-12,8.24
2007-01-16,8.54
2007-01-17,8.98
2007-01-18,9
2007-01-19,8.99
2007-01-22,9.31
2007-01-23,9.18
2007-01-24,9.16
2007-01-25,8.99
2007-01-26,9.08
2007-01-29,9.15
2007-01-30,8.99
2007-01-31,9.29
2007-02-01,9.25
2007-02-02,9.31
2007-02-05,9.44
2007-02-06,9.66
2007-02-07,9.72
2007-02-08,9.83
2007-02-09,10.06
2007-02-12,10.11
2007-02-13,10.56
2007-02-14,10.77
2007-02-15,10.32
2007-02-16,10.3
2007-02-20,10.66
2007-02-21,10.52
2007-02-22,10.38
2007-02-23,10.39
2007-02-26,10.46
2007-02-27,10.46
2007-02-28,10.4
2007-03-01,10.4
2007-03-02,10.35
2007-03-05,10.88
2007-03-06,11.86
2007-03-07,11.43
2007-03-08,11.23
2007-03-09,11.09
2007-03-12,10.96
2007-03-13,10.73
2007-03-14,10.61
2007-03-15,10.8
2007-03-16,10.35
2007-03-19,10.34
2007-03-20,10.44
2007-03-21,10.87
2007-03-22,10.59
2007-03-23,10.82
2007-03-26,10.82
2007-03-27,11.37
2007-03-28,11
2007-03-29,11.34
2007-03-30,11.6
2007-04-02,11.68
2007-04-03,11.45
2007-04-04,11.26
2007-04-05,11.5
2007-04-09,11.59
2007-04-10,11.27
2007-04-11,11.28
2007-04-12,11.93
2007-04-13,11.76
2007-04-16,11.83
2007-04-17,11.79
2007-04-18,11.69
2007-04-19,11.65
2007-04-20,11.72
2007-04-23,11.68
2007-04-24,11.65
2007-04-25,11.71
2007-04-26,11.67
2007-04-27,11.65
2007-04-30,11.9
2007-05-01,12.24
2007-05-02,11.62
2007-05-03,12.22
2007-05-04,12.63
2007-05-07,12.61
2007-05-08,12.8
2007-05-09,12.84
2007-05-10,13.5
2007-05-11,15.14
2007-05-14,15.8
2007-05-15,15.47
2007-05-16,14.74
2007-05-17,14.74
2007-05-18,14.8
2007-05-21,15.67
2007-05-22,16.95
2007-05-23,16.5
2007-05-24,15.35
2007-05-25,15.48
2007-05-29,15.23
2007-05-30,15.94
2007-05-31,16.46
2007-06-01,16.29
2007-06-04,16.55
2007-06-05,16.49
2007-06-06,16.37
2007-06-07,15.72
2007-06-08,15.9
2007-06-11,15.92
2007-06-12,15.53
2007-06-13,16.01
2007-06-14,15.97
2007-06-15,15.96
2007-06-18,15.61
2007-06-19,15.6
2007-06-20,15.49
2007-06-21,15.38
2007-06-22,14.84
2007-06-25,15
2007-06-26,14.86
2007-06-27,14.69
2007-06-28,15.2
2007-06-29,15.29
2007-07-02,15.31
2007-07-03,14.51
2007-07-05,14.98
2007-07-06,15.25
2007-07-09,15.4
2007-07-10,15.26
2007-07-11,15.11
2007-07-12,15.55
2007-07-13,15.53
2007-07-16,16.12
2007-07-17,15.85
2007-07-18,15.89
2007-07-19,16.02
2007-07-20,15.97
2007-07-23,15.81
2007-07-24,15.56
2007-07-25,15.72
2007-07-26,14.16
2007-07-27,14.3
2007-07-30,14.66
2007-07-31,15.06
2007-08-01,14.88
2007-08-02,15.04
2007-08-03,15.05
2007-08-06,14.63
2007-08-07,14.79
2007-08-08,14.7
2007-08-09,13.95
2007-08-10,13.6
