"Index","APSA.Close"
2007-01-03,12.25
2007-01-04,12.1
2007-01-05,12.14
2007-01-08,12.38
2007-01-09,12.6
2007-01-10,12.81
2007-01-11,12.8
2007-01-12,12.45
2007-01-16,12.92
2007-01-17,12.5
2007-01-18,13.1
2007-01-19,13.1
2007-01-22,13.1
2007-01-23,13.11
2007-01-24,13.11
2007-01-25,13.11
2007-01-26,13.11
2007-01-29,13.1
2007-01-30,13.2
2007-01-31,13.2
2007-02-01,13.3
2007-02-02,13.3
2007-02-05,13.4
2007-02-06,13.33
2007-02-07,13.5
2007-02-08,13.51
2007-02-09,13.51
2007-02-12,13.1
2007-02-13,13.19
2007-02-14,13.3
2007-02-15,13.3
2007-02-16,13.3
2007-02-20,14
2007-02-21,13.65
2007-02-22,13.85
2007-02-23,14.63
2007-02-26,14.63
2007-02-27,14.04
2007-02-28,14
2007-03-01,13.88
2007-03-02,13.45
2007-03-05,13.3
2007-03-06,13.77
2007-03-07,13.84
2007-03-08,13.84
2007-03-09,13.81
2007-03-12,13.32
2007-03-13,13.32
2007-03-14,13.32
2007-03-15,13.32
2007-03-16,13.32
2007-03-19,13.32
2007-03-20,13.32
2007-03-21,13.3
2007-03-22,13.55
2007-03-23,13.55
2007-03-26,13.36
2007-03-27,13.36
2007-03-28,13.39
2007-03-29,13.39
2007-03-30,13.39
2007-04-02,13.39
2007-04-03,13.39
2007-04-04,13.39
2007-04-05,13.39
2007-04-09,13.36
2007-04-10,13.36
2007-04-11,13.36
2007-04-12,13.36
2007-04-13,13.36
2007-04-16,13.3
2007-04-17,13.3
2007-04-18,13.3
2007-04-19,14
2007-04-20,14.1
2007-04-23,14.19
2007-04-24,13.56
2007-04-25,13.56
2007-04-26,13.65
2007-04-27,14.49
2007-04-30,15.6
2007-05-01,16.06
2007-05-02,17.61
2007-05-03,18.24
2007-05-04,19
2007-05-07,18.94
2007-05-08,18.5
2007-05-09,18.7
2007-05-10,18.7
2007-05-11,18.99
2007-05-14,19.45
2007-05-15,19.59
2007-05-16,19.2
2007-05-17,19.12
2007-05-18,20.27
2007-05-21,20.27
2007-05-22,21
2007-05-23,21
2007-05-24,21.25
2007-05-25,21.76
2007-05-29,21.5
2007-05-30,21.5
2007-05-31,22
2007-06-01,21.45
2007-06-04,21.05
2007-06-05,20.99
2007-06-06,20.99
2007-06-07,21.5
2007-06-08,20.91
2007-06-11,21
2007-06-12,21
2007-06-13,21
2007-06-14,21
2007-06-15,21
2007-06-18,21.86
2007-06-19,21.75
2007-06-20,21.75
2007-06-21,21.53
2007-06-22,21.53
2007-06-25,19.24
2007-06-26,18.23
2007-06-27,19.34
2007-06-28,19.34
2007-06-29,18.5
2007-07-02,19.8
2007-07-03,19.8
2007-07-05,19.8
2007-07-06,19.78
2007-07-09,20.69
2007-07-10,21.65
2007-07-11,21.35
2007-07-12,21.29
2007-07-13,21.29
2007-07-16,20.73
2007-07-17,20.73
2007-07-18,20.73
2007-07-19,20.01
2007-07-20,19.01
2007-07-23,19.01
2007-07-24,20.94
2007-07-25,20.5
2007-07-26,19.01
2007-07-27,18.01
2007-07-30,18.99
2007-07-31,18.99
2007-08-01,18.99
2007-08-02,19.49
2007-08-03,19.49
2007-08-06,19.49
2007-08-07,19.49
2007-08-08,20
2007-08-09,17
2007-08-10,17
2007-08-13,19.6
2007-08-14,19
2007-08-15,17.99
2007-08-16,16.36
2007-08-17,18
2007-08-20,17.5
2007-08-21,18.1
2007-08-22,18
2007-08-23,17.67
2007-08-24,17.67
2007-08-27,18.36
2007-08-28,18.36
2007-08-29,18.36
2007-08-30,18.36
2007-08-31,18.35
2007-09-04,18.36
2007-09-05,18.36
2007-09-06,18.36
2007-09-07,18
2007-09-10,18
2007-09-11,18.88
2007-09-12,18.88
2007-09-13,18.88
2007-09-14,18.88
2007-09-17,18.88
2007-09-18,18.88
2007-09-19,18.88
2007-09-20,17.9
2007-09-21,16.01
2007-09-24,16.55
2007-09-25,16.55
2007-09-26,16.55
2007-09-27,17.01
2007-09-28,16.9
2007-10-01,17.49
2007-10-02,17.7
2007-10-03,17.7
2007-10-04,17.66
2007-10-05,17.99
2007-10-08,18.3
2007-10-09,18.35
2007-10-10,18.35
2007-10-11,18.17
2007-10-12,18
2007-10-15,18
2007-10-16,18
2007-10-17,19.5
2007-10-18,19.5
2007-10-19,19.5
2007-10-22,19.45
2007-10-23,18.4
2007-10-24,18.4
2007-10-25,18.4
2007-10-26,18.4
2007-10-29,18.4
2007-10-30,18.4
2007-10-31,18.4
2007-11-01,18
2007-11-02,18
2007-11-05,17.75
2007-11-06,17.75
2007-11-07,16.19
2007-11-08,17.45
2007-11-09,17.7
2007-11-12,17.13
2007-11-13,16.12
2007-11-14,16.5
2007-11-15,16.5
2007-11-16,16.85
2007-11-19,16.85
2007-11-20,16.5
2007-11-21,15.74
2007-11-23,15.74
2007-11-26,15.74
2007-11-27,16.3
2007-11-28,16.7
2007-11-29,16.7
2007-11-30,15.4
2007-12-03,16
2007-12-04,16
2007-12-05,16
2007-12-06,16
2007-12-07,16
2007-12-10,16
2007-12-11,16
2007-12-12,16
2007-12-13,16
2007-12-14,16
2007-12-17,16
2007-12-18,16
2007-12-19,16
2007-12-20,16
2007-12-21,16
2007-12-24,16
2007-12-26,16
2007-12-27,16
2007-12-28,16
2007-12-31,16
2008-01-02,16
2008-01-03,16
2008-01-04,14.5
2008-01-07,14.55
2008-01-08,14.55
2008-01-09,14.55
2008-01-10,14.55
2008-01-11,14.55
2008-01-14,15.9
2008-01-15,15.9
2008-01-16,16.3
2008-01-17,16.3
2008-01-18,16.3
2008-01-22,15.53
2008-01-23,14.73
2008-01-24,14.73
2008-01-25,15.51
2008-01-28,15.51
2008-01-29,14.7
2008-01-30,14.7
2008-01-31,14.7
2008-02-01,15.48
2008-02-04,14.98
2008-02-05,14.67
2008-02-06,15.01
2008-02-07,14.7
2008-02-08,14.59
2008-02-11,14.59
2008-02-12,15
2008-02-13,15.45
2008-02-14,15.45
2008-02-15,14.37
2008-02-19,15.95
2008-02-20,15.95
2008-02-21,14.55
2008-02-22,14.55
2008-02-25,14.55
2008-02-26,14.55
2008-02-27,14.55
2008-02-28,14.5
2008-02-29,14.5
2008-03-03,14.52
2008-03-04,14.52
2008-03-05,14.43
2008-03-06,14.43
2008-03-07,14.43
2008-03-10,14.43
2008-03-11,15.33
2008-03-12,16
2008-03-13,16
2008-03-14,16
2008-03-17,11
2008-03-18,15
2008-03-19,15
2008-03-20,15
2008-03-24,15
2008-03-25,15
2008-03-26,15
2008-03-27,15
2008-03-28,15
2008-03-31,15.96
2008-04-01,15.96
2008-04-02,16.99
2008-04-03,16.99
2008-04-04,16.99
2008-04-07,16.99
2008-04-08,17
2008-04-09,17
2008-04-10,16.03
2008-04-11,16.03
2008-04-14,16.75
2008-04-15,16.75
2008-04-16,16.7
2008-04-17,14.25
2008-04-18,13.74
2008-04-21,13.75
2008-04-22,13.75
2008-04-23,13.35
2008-04-24,13.35
2008-04-25,13.35
2008-04-28,13.35
2008-04-29,13.35
2008-04-30,14
2008-05-01,12.71
2008-05-02,13.5
2008-05-05,13.75
2008-05-06,12.56
2008-05-07,12.56
2008-05-08,12.56
2008-05-09,12.56
2008-05-12,12.8
2008-05-13,13.2
2008-05-14,13.2
2008-05-15,13.08
2008-05-16,13.08
2008-05-19,14
2008-05-20,14.86
2008-05-21,14.87
2008-05-22,14.87
2008-05-23,14.87
2008-05-27,14.5
2008-05-28,14.5
2008-05-29,14.5
2008-05-30,14.5
2008-06-02,14.4
2008-06-03,14.4
2008-06-04,14.4
2008-06-05,14.4
2008-06-06,14.4
2008-06-09,14.4
2008-06-10,13.26
2008-06-11,12.58
2008-06-12,12.58
2008-06-13,12.58
2008-06-16,12.58
2008-06-17,12.58
2008-06-18,11.9
2008-06-19,11.9
2008-06-20,11.9
2008-06-23,11.9
2008-06-24,12
2008-06-25,12
2008-06-26,12
2008-06-27,12
2008-06-30,14.77
2008-07-01,14.77
2008-07-02,14.77
2008-07-03,14.77
2008-07-07,14.77
2008-07-08,14.77
2008-07-09,14.77
2008-07-10,14.77
2008-07-11,14.77
2008-07-14,14.77
2008-07-15,14
2008-07-16,11.59
2008-07-17,11.59
2008-07-18,11.59
2008-07-21,11.59
2008-07-22,11.57
2008-07-23,11.57
2008-07-24,14
2008-07-25,13.01
2008-07-28,12.04
2008-07-29,12.04
2008-07-30,11.54
2008-07-31,11.84
2008-08-01,11.84
2008-08-04,11.84
2008-08-05,11.55
2008-08-06,11.55
2008-08-07,11.55
2008-08-08,11.55
2008-08-11,11.96
2008-08-12,11.97
2008-08-13,11.91
2008-08-14,11.91
2008-08-15,11.91
2008-08-18,10.5
2008-08-19,10.5
2008-08-20,11.65
2008-08-21,11.65
2008-08-22,11.65
2008-08-25,11.65
2008-08-26,11.65
2008-08-27,11.65
2008-08-28,11.65
2008-08-29,11.65
2008-09-02,11.65
2008-09-03,11.99
2008-09-04,11.99
2008-09-05,11.99
